RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL),Year,Stat ID
1,1,Wyndham Clark,87,1.44,22,"1,530",2019,426
2,2,Webb Simpson,81,1.57,22,"1,404",2019,426
3,3,Hudson Swafford,59,1.66,17,"1,026",2019,426
4,4,Peter Malnati,87,1.67,25,"1,494",2019,426
5,6,Dominic Bozzelli,73,1.74,21,"1,206",2019,426
6,T8,Dustin Johnson,73,1.75,22,"1,260",2019,426
7,7,Brice Garnett,87,1.76,27,"1,530",2019,426
8,5,Justin Rose,66,1.79,20,"1,116",2019,426
9,15,Rory McIlroy,72,1.80,22,"1,224",2019,426
10,T13,Kevin Kisner,97,1.81,28,"1,548",2019,426
11,T8,Rickie Fowler,76,1.83,25,"1,368",2019,426
12,11,Patton Kizzire,76,1.88,25,"1,332",2019,426
13,12,Sergio Garcia,53,1.89,15,792,2019,426
14,T13,Jonas Blixt,82,1.90,26,"1,368",2019,426
15,16,Brian Harman,91,1.94,31,"1,602",2019,426
T16,T17,Vaughn Taylor,93,1.95,32,"1,638",2019,426
T16,T17,Harris English,97,1.95,32,"1,638",2019,426
18,10,Brandt Snedeker,102,1.96,35,"1,782",2019,426
19,19,Sam Burns,80,1.99,28,"1,404",2019,426
20,20,Ollie Schniederjans,77,2.00,27,"1,350",2019,426
21,22,Aaron Baddeley,55,2.02,20,990,2019,426
22,23,Nate Lashley,70,2.04,25,"1,224",2019,426
T23,T30,Patrick Reed,93,2.08,33,"1,584",2019,426
T23,T26,Patrick Cantlay,77,2.08,27,"1,296",2019,426
25,24,Bill Haas,77,2.09,26,"1,242",2019,426
26,25,Cody Gribble,74,2.10,25,"1,188",2019,426
T27,T26,Matt Jones,88,2.12,32,"1,512",2019,426
T27,21,Tony Finau,89,2.12,32,"1,512",2019,426
29,28,Denny McCarthy,89,2.13,31,"1,458",2019,426
T30,T30,Cameron Smith,79,2.18,29,"1,332",2019,426
T30,T30,Patrick Rodgers,55,2.18,20,918,2019,426
T32,T33,Daniel Berger,70,2.19,26,"1,188",2019,426
T32,T33,Troy Merritt,69,2.19,24,"1,098",2019,426
34,T45,Jon Rahm,75,2.21,27,"1,224",2019,426
35,35,Billy Horschel,99,2.23,37,"1,656",2019,426
36,36,Scott Langley,78,2.25,30,"1,332",2019,426
T37,T37,Jason Day,69,2.26,26,"1,152",2019,426
T37,T37,Zach Johnson,64,2.26,26,"1,152",2019,426
39,39,Andrew Putnam,81,2.27,31,"1,368",2019,426
T40,T40,Wes Roach,69,2.29,26,"1,134",2019,426
T40,T40,Max Homa,82,2.29,33,"1,440",2019,426
42,42,Carlos Ortiz,84,2.30,34,"1,476",2019,426
T43,T43,Kelly Kraft,87,2.33,34,"1,458",2019,426
T43,T53,Xander Schauffele,77,2.33,31,"1,332",2019,426
T43,T43,Henrik Stenson,58,2.33,21,900,2019,426
46,T45,Richy Werenski,89,2.34,35,"1,494",2019,426
47,47,Graeme McDowell,75,2.35,30,"1,278",2019,426
48,48,Sebastián Muñoz,86,2.36,34,"1,440",2019,426
T49,T49,Francesco Molinari,61,2.37,23,972,2019,426
T49,T49,Brian Gay,93,2.37,38,"1,602",2019,426
51,51,Tyrrell Hatton,62,2.39,25,"1,044",2019,426
T52,52,Bud Cauley,82,2.44,36,"1,476",2019,426
T52,T56,Charles Howell III,94,2.44,40,"1,638",2019,426
54,T53,Martin Trainer,63,2.46,27,"1,098",2019,426
55,55,Brian Stuard,98,2.48,42,"1,692",2019,426
56,T56,Ian Poulter,65,2.49,26,"1,044",2019,426
T57,T58,Kevin Na,65,2.50,27,"1,080",2019,426
T57,T58,Kevin Tway,84,2.50,36,"1,440",2019,426
T59,T61,Nick Taylor,97,2.51,42,"1,674",2019,426
T59,T61,Freddie Jacobson,53,2.51,23,918,2019,426
T59,T61,Chris Stroud,70,2.51,28,"1,116",2019,426
T59,T61,Si Woo Kim,87,2.51,37,"1,476",2019,426
63,65,Jordan Spieth,82,2.53,36,"1,422",2019,426
T64,T66,Sam Ryder,76,2.55,33,"1,296",2019,426
T64,T66,Joaquin Niemann,98,2.55,44,"1,728",2019,426
T64,T66,Ryan Moore,74,2.55,34,"1,332",2019,426
T67,T77,Matt Kuchar,87,2.57,37,"1,440",2019,426
T67,69,C.T. Pan,84,2.57,38,"1,476",2019,426
T69,T70,Anirban Lahiri,73,2.58,32,"1,242",2019,426
T69,T70,Stephan Jaeger,77,2.58,33,"1,278",2019,426
71,T95,Paul Casey,79,2.59,35,"1,350",2019,426
T72,T72,Jim Furyk,73,2.61,32,"1,224",2019,426
T72,T72,Beau Hossler,87,2.61,39,"1,494",2019,426
T72,T72,Matthew Fitzpatrick,54,2.61,24,918,2019,426
T72,T72,Brady Schnell,53,2.61,24,918,2019,426
76,76,Robert Streb,80,2.62,34,"1,296",2019,426
77,T77,Rory Sabbatini,97,2.63,44,"1,674",2019,426
78,79,Ryan Blaum,90,2.64,39,"1,476",2019,426
T79,T80,Josh Teater,73,2.65,32,"1,206",2019,426
T79,T80,Scott Piercy,90,2.65,41,"1,548",2019,426
T81,91,Chez Reavie,99,2.66,44,"1,656",2019,426
T81,T82,Aaron Wise,72,2.66,33,"1,242",2019,426
T81,T82,Jim Herman,52,2.66,23,864,2019,426
T84,T84,Adam Schenk,102,2.67,48,"1,800",2019,426
T84,T84,Kevin Streelman,83,2.67,39,"1,458",2019,426
T86,T86,Louis Oosthuizen,71,2.69,31,"1,152",2019,426
T86,T86,Alex Noren,63,2.69,29,"1,080",2019,426
T86,T58,Tommy Fleetwood,71,2.69,31,"1,152",2019,426
T86,T86,Kiradech Aphibarnrat,65,2.69,30,"1,116",2019,426
T90,T89,Sam Saunders,78,2.70,36,"1,332",2019,426
T90,T89,Chesson Hadley,76,2.70,36,"1,332",2019,426
T92,T92,Joel Dahmen,100,2.72,47,"1,728",2019,426
T92,T92,David Hearn,55,2.72,23,846,2019,426
94,94,Michael Kim,61,2.73,29,"1,062",2019,426
95,T95,Julián Etulain,70,2.74,32,"1,170",2019,426
T96,T97,Kyle Stanley,81,2.78,38,"1,368",2019,426
T96,T97,Harold Varner III,84,2.78,41,"1,476",2019,426
T96,T97,Abraham Ancer,93,2.78,44,"1,584",2019,426
T96,T97,Alex Cejka,58,2.78,25,900,2019,426
100,101,Nick Watney,87,2.81,42,"1,494",2019,426
T101,T116,Sungjae Im,122,2.82,60,"2,124",2019,426
T101,102,Cameron Tringale,73,2.82,33,"1,170",2019,426
103,103,Ernie Els,51,2.83,25,882,2019,426
104,104,J.T. Poston,100,2.84,49,"1,728",2019,426
T105,T105,Mackenzie Hughes,80,2.85,39,"1,368",2019,426
T105,T105,Andrew Landry,80,2.85,38,"1,332",2019,426
T107,T107,Phil Mickelson,63,2.87,31,"1,080",2019,426
T107,T107,Johnson Wagner,64,2.87,30,"1,044",2019,426
109,109,J.J. Henry,58,2.88,27,936,2019,426
110,110,Byeong Hun An,80,2.89,40,"1,386",2019,426
T111,T111,Michael Thompson,71,2.90,37,"1,278",2019,426
T111,T113,Lucas Glover,94,2.90,47,"1,620",2019,426
T111,T111,Chase Wright,75,2.90,36,"1,242",2019,426
T114,T113,Roberto Díaz,73,2.91,34,"1,170",2019,426
T114,T113,J.J. Spaun,90,2.91,43,"1,476",2019,426
T116,T116,Joey Garber,63,2.92,30,"1,026",2019,426
T116,T116,Hunter Mahan,59,2.92,31,"1,062",2019,426
118,119,Roberto Castro,76,2.93,38,"1,296",2019,426
119,120,Charley Hoffman,74,2.94,37,"1,260",2019,426
120,121,Alex Prugh,77,2.97,38,"1,278",2019,426
121,122,Talor Gooch,54,2.98,29,972,2019,426
122,123,José de Jesús Rodríguez,67,2.99,35,"1,170",2019,426
123,T138,Brooks Koepka,81,3.00,40,"1,332",2019,426
T124,T124,Curtis Luck,65,3.01,32,"1,062",2019,426
T124,T124,Jhonattan Vegas,75,3.01,39,"1,296",2019,426
T124,T126,Justin Thomas,75,3.01,39,"1,296",2019,426
127,T126,Tom Hoge,98,3.02,49,"1,620",2019,426
128,T128,Kyle Jones,72,3.03,36,"1,188",2019,426
T129,130,Roger Sloan,88,3.04,46,"1,512",2019,426
T129,T134,Gary Woodland,87,3.04,46,"1,512",2019,426
T131,T131,Adam Hadwin,86,3.05,45,"1,476",2019,426
T131,T131,Scott Brown,86,3.05,45,"1,476",2019,426
T131,T131,Pat Perez,68,3.05,34,"1,116",2019,426
134,T134,Jonathan Byrd,55,3.06,27,882,2019,426
135,136,Tyler Duncan,89,3.08,46,"1,494",2019,426
T136,T138,Bryson DeChambeau,75,3.09,40,"1,296",2019,426
T136,137,Dylan Frittelli,83,3.09,45,"1,458",2019,426
138,148,Adam Scott,63,3.10,34,"1,098",2019,426
139,140,Trey Mullinax,77,3.12,41,"1,314",2019,426
140,141,Austin Cook,68,3.13,36,"1,152",2019,426
