RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,Year,Stat ID
114,116,Sergio Garcia,59,-.022,-.784,36,2015,02564
115,117,Jim Furyk,71,-.024,-1.252,52,2015,02564
116,118,Andrew Svoboda,80,-.026,-1.792,70,2015,02564
117,119,Jon Curran,83,-.028,-1.848,65,2015,02564
118,120,Jim Herman,88,-.030,-2.341,77,2015,02564
119,121,Scott Brown,97,-.031,-2.495,81,2015,02564
120,123,Chad Campbell,97,-.045,-4.074,91,2015,02564
121,124,Brendan Steele,88,-.047,-3.547,76,2015,02564
122,125,D.A. Points,72,-.054,-3.154,58,2015,02564
123,126,Alex Prugh,84,-.055,-3.925,72,2015,02564
124,127,John Senden,80,-.061,-3.103,51,2015,02564
T125,T128,Mark Wilson,89,-.065,-5.295,81,2015,02564
T125,T128,Spencer Levin,99,-.065,-5.408,83,2015,02564
127,130,Jason Gore,76,-.067,-3.911,58,2015,02564
128,131,Keegan Bradley,87,-.070,-4.473,64,2015,02564
129,132,Brice Garnett,81,-.089,-5.727,64,2015,02564
130,133,Whee Kim,71,-.093,-5.235,56,2015,02564
T131,T134,Mark Hubbard,79,-.102,-6.226,61,2015,02564
T131,T134,David Toms,62,-.102,-5.604,55,2015,02564
133,136,Ryo Ishikawa,90,-.103,-7.760,75,2015,02564
134,137,Rory Sabbatini,81,-.106,-6.993,66,2015,02564
135,138,Max Homa,78,-.110,-6.816,62,2015,02564
136,140,Sam Saunders,83,-.136,-8.589,63,2015,02564
137,141,Cameron Percy,72,-.142,-8.262,58,2015,02564
138,142,Steven Alker,62,-.146,-7.294,50,2015,02564
139,143,Tyrone Van Aswegen,58,-.152,-6.379,42,2015,02564
140,144,Chris Stroud,84,-.176,-11.950,68,2015,02564
141,145,John Peterson,84,-.184,-14.163,77,2015,02564
142,139,Daniel Berger,97,-.193,-16.030,83,2015,02564
T143,T147,Martin Flores,95,-.216,-17.069,79,2015,02564
T143,T147,Charles Howell III,105,-.216,-21.395,99,2015,02564
145,149,Kevin Streelman,95,-.219,-15.978,73,2015,02564
146,150,Louis Oosthuizen,68,-.220,-10.341,47,2015,02564
147,151,Ken Duke,93,-.222,-17.294,78,2015,02564
148,146,Bill Haas,89,-.229,-16.243,71,2015,02564
149,152,Alex Cejka,94,-.232,-18.331,79,2015,02564
150,153,Boo Weekley,79,-.246,-16.467,67,2015,02564
151,154,Francesco Molinari,56,-.255,-10.948,43,2015,02564
152,155,Chez Reavie,56,-.262,-13.090,50,2015,02564
153,156,Tim Wilkinson,73,-.278,-16.123,58,2015,02564
154,157,Oscar Fraustro,58,-.283,-11.308,40,2015,02564
155,158,Davis Love III,51,-.347,-14.555,42,2015,02564
156,159,Scott Stallings,60,-.392,-19.208,49,2015,02564
157,160,Adam Scott,51,-.396,-12.662,32,2015,02564
158,161,Nick Watney,91,-.403,-32.658,81,2015,02564
159,162,J.J. Henry,94,-.414,-31.432,76,2015,02564
160,163,Sung Joon Park,79,-.421,-26.539,63,2015,02564
T161,T165,Padraig Harrington,60,-.493,-24.148,49,2015,02564
T161,T165,Nicholas Thompson,90,-.493,-34.513,70,2015,02564
163,167,Roger Sloan,56,-.502,-20.070,40,2015,02564
164,168,Vijay Singh,78,-.511,-35.238,69,2015,02564
165,169,Derek Ernst,75,-.516,-32.531,63,2015,02564
166,170,Bill Lunde,50,-.520,-18.731,36,2015,02564
167,171,Gonzalo Fernandez-Castaño,81,-.522,-32.867,63,2015,02564
168,172,Michael Putnam,87,-.526,-35.781,68,2015,02564
169,173,Charl Schwartzel,67,-.555,-22.769,41,2015,02564
170,174,Ángel Cabrera,53,-.572,-24.020,42,2015,02564
171,175,Heath Slocum,57,-.594,-23.184,39,2015,02564
172,176,Byron Smith,59,-.597,-25.660,43,2015,02564
173,177,Ernie Els,57,-.609,-23.764,39,2015,02564
174,180,Webb Simpson,81,-.646,-41.374,64,2015,02564
175,181,Geoff Ogilvy,50,-.692,-24.221,35,2015,02564
176,182,Robert Garrigus,70,-.697,-38.341,55,2015,02564
177,183,Jason Dufner,76,-.700,-33.598,48,2015,02564
178,184,Roberto Castro,54,-.732,-26.348,36,2015,02564
179,185,Robert Allenby,63,-.754,-38.465,51,2015,02564
180,186,John Merrick,78,-.775,-44.970,58,2015,02564
181,187,Greg Owen,58,-.798,-31.917,40,2015,02564
182,188,Charlie Beljan,76,-.799,-45.536,57,2015,02564
183,189,Jim Renner,68,-.995,-55.698,56,2015,02564
184,190,Lucas Glover,79,-1.351,-97.258,72,2015,02564
