RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,Year,Stat ID
1,2,Aaron Baddeley,76,.722,47.649,66,2015,02564
2,1,Jimmy Walker,89,.692,44.265,64,2015,02564
3,4,Daniel Summerhays,101,.644,57.333,89,2015,02564
4,6,Lee Westwood,56,.595,19.046,32,2015,02564
5,7,Brandt Snedeker,98,.588,44.074,75,2015,02564
6,5,Jason Day,75,.586,33.407,57,2015,02564
7,8,Brendon Todd,96,.582,44.219,76,2015,02564
8,9,Russell Henley,87,.579,38.773,67,2015,02564
9,17,Jordan Spieth,91,.571,37.665,66,2015,02564
10,15,Harris English,105,.560,49.298,88,2015,02564
11,11,Greg Chalmers,58,.529,19.028,36,2015,02564
12,12,Zac Blair,108,.527,46.359,88,2015,02564
13,13,Andrew Putnam,68,.525,28.357,54,2015,02564
14,16,Bryce Molder,91,.508,39.105,77,2015,02564
15,19,Erik Compton,86,.469,32.862,70,2015,02564
16,20,Henrik Stenson,63,.436,19.205,44,2015,02564
17,18,Brooks Koepka,84,.421,27.372,65,2015,02564
18,21,K.J. Choi,66,.415,23.677,57,2015,02564
19,22,Matt Jones,89,.401,26.870,67,2015,02564
20,14,Patrick Reed,103,.394,29.919,76,2015,02564
21,23,Hunter Mahan,88,.390,25.348,65,2015,02564
22,24,Troy Merritt,91,.384,31.459,82,2015,02564
23,26,Robert Streb,110,.381,36.561,96,2015,02564
24,29,Danny Lee,120,.374,37.446,100,2015,02564
25,25,Pat Perez,96,.364,30.224,83,2015,02564
26,27,Hudson Swafford,97,.360,29.896,83,2015,02564
27,28,David Hearn,97,.358,30.442,85,2015,02564
28,30,Jamie Donaldson,50,.349,11.182,32,2015,02564
29,31,Colt Knost,90,.348,25.734,74,2015,02564
30,32,Steve Wheatcroft,87,.345,24.849,72,2015,02564
31,34,Carl Pettersson,106,.335,32.204,96,2015,02564
32,36,Will Wilcox,58,.322,13.220,41,2015,02564
33,41,Matt Kuchar,97,.316,24.322,77,2015,02564
34,37,Blayne Barber,76,.313,19.696,63,2015,02564
35,38,Billy Hurley III,83,.311,19.597,63,2015,02564
36,33,Rickie Fowler,76,.309,17.616,57,2015,02564
37,40,Derek Fathauer,81,.301,19.834,66,2015,02564
38,42,Scott Pinckney,88,.294,21.766,74,2015,02564
39,43,Luke Donald,71,.289,15.579,54,2015,02564
40,45,John Huh,102,.279,24.869,89,2015,02564
41,46,Phil Mickelson,70,.262,14.421,55,2015,02564
42,39,Sangmoon Bae,98,.260,22.865,88,2015,02564
43,47,Jerry Kelly,79,.250,16.490,66,2015,02564
44,48,Billy Horschel,99,.244,17.841,73,2015,02564
45,35,Kevin Kisner,104,.240,22.516,94,2015,02564
46,49,Jason Bohn,95,.239,20.775,87,2015,02564
47,50,Brian Harman,90,.236,18.390,78,2015,02564
48,51,Adam Hadwin,95,.235,19.029,81,2015,02564
49,44,Kevin Na,98,.233,16.544,71,2015,02564
50,52,Morgan Hoffmann,85,.232,15.981,69,2015,02564
51,53,Justin Leonard,61,.231,12.475,54,2015,02564
52,54,Ian Poulter,68,.225,10.820,48,2015,02564
T53,55,George McNeill,93,.212,18.879,89,2015,02564
T53,61,Bubba Watson,71,.212,11.875,56,2015,02564
55,57,Johnson Wagner,68,.203,11.571,57,2015,02564
56,58,Ben Crane,62,.201,10.452,52,2015,02564
57,59,Camilo Villegas,83,.195,14.447,74,2015,02564
58,60,Andres Romero,69,.190,10.244,54,2015,02564
59,62,Andres Gonzales,90,.177,13.481,76,2015,02564
60,63,Carlos Ortiz,100,.172,14.293,83,2015,02564
61,64,Sean O'Hair,86,.169,13.657,81,2015,02564
T62,T65,Kevin Chappell,86,.168,12.628,75,2015,02564
T62,T65,Chesson Hadley,101,.168,14.951,89,2015,02564
64,67,Ryan Moore,81,.160,9.741,61,2015,02564
65,68,Ricky Barnes,82,.159,10.048,63,2015,02564
66,69,Michael Thompson,83,.153,11.506,75,2015,02564
67,70,Eric Axley,57,.150,6.438,43,2015,02564
68,71,Ryan Palmer,80,.147,7.937,54,2015,02564
69,T83,Steven Bowditch,103,.144,12.687,88,2015,02564
70,73,Jonathan Randolph,72,.132,7.408,56,2015,02564
71,72,Dustin Johnson,75,.128,6.932,54,2015,02564
72,74,Ben Martin,93,.127,9.748,77,2015,02564
73,75,Cameron Tringale,96,.125,9.874,79,2015,02564
74,76,Jonas Blixt,78,.122,6.345,52,2015,02564
75,77,Bo Van Pelt,81,.118,7.687,65,2015,02564
76,78,Brian Stuard,97,.116,9.144,79,2015,02564
77,79,Nick Taylor,91,.112,9.329,83,2015,02564
78,80,Luke Guthrie,84,.110,7.472,68,2015,02564
79,81,Jeff Overton,94,.105,7.851,75,2015,02564
80,82,Stewart Cink,77,.102,6.712,66,2015,02564
81,T83,Martin Laird,77,.100,7.320,73,2015,02564
82,86,Jhonattan Vegas,90,.086,6.165,72,2015,02564
83,87,Jonathan Byrd,69,.084,4.295,51,2015,02564
84,90,Brian Davis,86,.081,5.724,71,2015,02564
85,91,Gary Woodland,81,.077,4.173,54,2015,02564
86,89,Hideki Matsuyama,95,.076,5.340,70,2015,02564
87,92,Matt Every,73,.075,4.198,56,2015,02564
88,93,Shawn Stefani,94,.074,6.539,88,2015,02564
89,94,Seung-Yul Noh,65,.066,3.552,54,2015,02564
T90,95,Chris Kirk,76,.065,3.632,56,2015,02564
T90,85,Charley Hoffman,97,.065,4.973,76,2015,02564
92,96,Fabián Gómez,83,.062,4.288,69,2015,02564
93,97,William McGirt,103,.060,5.816,97,2015,02564
94,98,James Hahn,94,.048,3.736,78,2015,02564
95,99,Justin Thomas,106,.042,4.012,96,2015,02564
96,100,Zach Johnson,90,.040,2.778,70,2015,02564
97,101,David Lingmerth,90,.039,2.899,74,2015,02564
98,102,Kyle Reifers,96,.036,2.855,80,2015,02564
99,103,Retief Goosen,81,.027,1.602,60,2015,02564
100,88,Justin Rose,69,.023,1.123,49,2015,02564
101,105,Scott Langley,94,.018,1.424,79,2015,02564
102,122,Paul Casey,87,.014,.911,63,2015,02564
103,106,Chad Collins,79,.012,.778,63,2015,02564
104,104,Scott Piercy,90,.006,.534,83,2015,02564
105,107,Tom Hoge,83,.005,.296,65,2015,02564
106,108,Patrick Rodgers,57,-.003,-.153,46,2015,02564
107,113,J.B. Holmes,89,-.004,-.296,66,2015,02564
108,109,Tony Finau,106,-.006,-.533,92,2015,02564
109,110,Brendon de Jonge,106,-.007,-.684,92,2015,02564
T110,T111,Jason Kokrak,88,-.012,-.993,80,2015,02564
T110,T111,Graham DeLaet,65,-.012,-.636,54,2015,02564
112,114,Marc Leishman,74,-.020,-1.093,54,2015,02564
113,115,Russell Knox,96,-.021,-1.826,87,2015,02564
