RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,Year,Stat ID
1,1,Byeong Hun An,80,.631,38.504,61,2019,02569
2,2,Bud Cauley,82,.577,42.673,74,2019,02569
3,3,Brandt Snedeker,102,.480,38.408,80,2019,02569
4,4,Aaron Baddeley,55,.460,19.309,42,2019,02569
5,8,Stephan Jaeger,77,.365,20.783,57,2019,02569
6,6,Patrick Cantlay,77,.356,20.291,57,2019,02569
7,10,Kevin Na,65,.355,15.617,44,2019,02569
T8,11,Matt Jones,88,.352,23.225,66,2019,02569
T8,T19,Justin Thomas,75,.352,19.729,56,2019,02569
10,5,Adam Scott,63,.351,15.457,44,2019,02569
11,12,Bill Haas,77,.350,21.342,61,2019,02569
12,13,Hideki Matsuyama,91,.347,25.337,73,2019,02569
13,14,Pat Perez,68,.335,13.736,41,2019,02569
14,15,Patrick Reed,93,.332,24.253,73,2019,02569
15,T19,Tommy Fleetwood,71,.329,16.466,50,2019,02569
16,7,Charles Howell III,94,.328,23.940,73,2019,02569
17,17,Jimmy Walker,74,.322,18.360,57,2019,02569
18,21,Si Woo Kim,87,.305,17.982,59,2019,02569
19,28,Rory McIlroy,72,.297,16.939,57,2019,02569
20,16,Webb Simpson,81,.294,20.269,69,2019,02569
T21,T22,Tyrrell Hatton,62,.286,12.031,42,2019,02569
T21,T22,Cameron Smith,79,.286,15.172,53,2019,02569
23,18,Sungjae Im,122,.285,28.510,100,2019,02569
24,24,Ernie Els,51,.282,8.454,30,2019,02569
25,25,Alex Noren,63,.280,12.023,43,2019,02569
T26,T26,Rod Pampling,56,.278,11.417,41,2019,02569
T26,T26,Branden Grace,76,.278,12.511,45,2019,02569
28,9,Louis Oosthuizen,71,.270,12.954,48,2019,02569
29,29,Ian Poulter,65,.267,11.756,44,2019,02569
30,30,Rory Sabbatini,97,.263,19.987,76,2019,02569
T31,T31,Sebastián Muñoz,86,.261,16.708,64,2019,02569
T31,T31,Wyndham Clark,87,.261,19.033,73,2019,02569
33,34,Adam Svensson,73,.259,14.240,55,2019,02569
34,35,Kevin Tway,84,.249,16.670,67,2019,02569
35,36,Jordan Spieth,82,.246,16.260,66,2019,02569
T36,T37,Kramer Hickok,79,.245,14.446,59,2019,02569
T36,T37,Brian Harman,91,.245,17.377,71,2019,02569
38,T31,Dustin Johnson,73,.234,13.098,56,2019,02569
39,40,Fabián Gómez,62,.222,10.660,48,2019,02569
40,39,Xander Schauffele,77,.211,11.199,53,2019,02569
41,41,Jonathan Byrd,55,.205,7.375,36,2019,02569
42,42,Wes Roach,69,.197,9.646,49,2019,02569
T43,T43,Matthew Fitzpatrick,54,.194,7.189,37,2019,02569
T43,T43,Kiradech Aphibarnrat,65,.194,8.736,45,2019,02569
45,45,Brian Stuard,98,.190,14.652,77,2019,02569
46,46,C.T. Pan,84,.180,10.805,60,2019,02569
47,47,Scott Langley,78,.179,11.465,64,2019,02569
48,49,Danny Willett,63,.154,7.700,50,2019,02569
49,50,Michael Kim,61,.150,6.772,45,2019,02569
T50,T51,Denny McCarthy,89,.149,10.248,69,2019,02569
T50,T51,Dylan Frittelli,83,.149,10.152,68,2019,02569
52,53,Seamus Power,80,.147,9.095,62,2019,02569
53,48,Lucas Glover,94,.145,11.722,81,2019,02569
54,T66,Marc Leishman,76,.135,7.719,57,2019,02569
55,55,Harris English,97,.134,10.559,79,2019,02569
T56,56,Shawn Stefani,80,.133,8.276,62,2019,02569
T56,58,Paul Casey,79,.133,7.329,55,2019,02569
T58,T59,José de Jesús Rodríguez,67,.129,6.343,49,2019,02569
T58,T59,Russell Knox,79,.129,7.596,59,2019,02569
60,61,Jason Dufner,74,.124,7.063,57,2019,02569
61,62,Cameron Tringale,73,.123,6.260,51,2019,02569
62,63,Robert Streb,80,.122,7.316,60,2019,02569
63,54,Rickie Fowler,76,.120,7.548,63,2019,02569
64,65,Jim Furyk,73,.114,6.524,57,2019,02569
65,T66,Michael Thompson,71,.113,7.352,65,2019,02569
66,68,Rafa Cabrera Bello,71,.107,5.146,48,2019,02569
67,T69,Ryan Armour,92,.106,7.924,75,2019,02569
T68,64,Matt Kuchar,87,.105,6.925,66,2019,02569
T68,71,Francesco Molinari,61,.105,4.396,42,2019,02569
70,72,Peter Malnati,87,.097,7.362,76,2019,02569
71,73,Graeme McDowell,75,.096,4.796,50,2019,02569
72,74,Zach Johnson,64,.095,5.033,53,2019,02569
73,75,Phil Mickelson,63,.094,4.721,50,2019,02569
74,76,Julián Etulain,70,.091,4.653,51,2019,02569
75,77,Peter Uihlein,84,.085,4.934,58,2019,02569
76,78,Hank Lebioda,76,.081,4.693,58,2019,02569
77,79,Harold Varner III,84,.076,5.625,74,2019,02569
78,T69,Jon Rahm,75,.073,3.863,53,2019,02569
79,80,Scott Piercy,90,.067,4.695,70,2019,02569
80,81,Brian Gay,93,.065,4.708,72,2019,02569
T81,T82,Roberto Díaz,73,.063,3.190,51,2019,02569
T81,T82,Martin Trainer,63,.063,3.134,50,2019,02569
83,84,Andrew Putnam,81,.061,3.400,56,2019,02569
84,T85,Kevin Streelman,83,.058,3.991,69,2019,02569
85,87,Ryan Moore,74,.055,3.476,63,2019,02569
86,T88,Tony Finau,89,.048,3.094,65,2019,02569
87,T88,Troy Merritt,69,.041,2.313,56,2019,02569
88,90,Nick Watney,87,.040,2.740,69,2019,02569
89,91,Roberto Castro,76,.039,2.395,62,2019,02569
T90,T92,J.T. Poston,100,.038,3.363,88,2019,02569
T90,T92,Nick Taylor,97,.038,3.267,86,2019,02569
T92,T85,Justin Rose,66,.036,1.751,49,2019,02569
T92,101,Brooks Koepka,81,.036,2.062,58,2019,02569
94,94,Chris Stroud,70,.035,1.808,52,2019,02569
95,95,Jonas Blixt,82,.034,2.187,64,2019,02569
96,96,Vaughn Taylor,93,.032,2.656,82,2019,02569
T97,T97,Martin Laird,88,.029,2.135,73,2019,02569
T97,T97,Patrick Rodgers,55,.029,1.286,45,2019,02569
99,99,Aaron Wise,72,.026,1.406,54,2019,02569
100,100,Jason Day,69,.025,1.189,47,2019,02569
101,103,Brandon Harkins,91,.019,1.287,69,2019,02569
102,104,Joaquin Niemann,98,.018,1.401,80,2019,02569
103,105,Kyle Jones,72,.016,.848,54,2019,02569
104,106,Billy Horschel,99,.014,.977,69,2019,02569
105,107,J.B. Holmes,78,.012,.594,48,2019,02569
106,108,Henrik Stenson,58,.010,.414,42,2019,02569
107,119,Gary Woodland,87,.008,.532,65,2019,02569
T108,T110,Ryan Blaum,90,.006,.403,72,2019,02569
T108,T110,Luke List,66,.006,.309,55,2019,02569
T108,T110,Mackenzie Hughes,80,.006,.399,66,2019,02569
111,113,Dominic Bozzelli,73,.005,.238,49,2019,02569
112,114,J.J. Spaun,90,.003,.205,64,2019,02569
T113,115,Russell Henley,78,-.005,-.281,61,2019,02569
T113,102,Abraham Ancer,93,-.005,-.375,71,2019,02569
115,109,Bryson DeChambeau,75,-.016,-1.072,66,2019,02569
