RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,Year,Stat ID
1,1,Bryson DeChambeau,62,1.039,64.417,62,2020,02567
2,2,Cameron Champ,70,.999,60.921,61,2020,02567
3,3,Sergio Garcia,44,.848,27.129,32,2020,02567
4,4,Jon Rahm,58,.756,43.109,57,2020,02567
5,5,Jhonattan Vegas,52,.721,26.660,37,2020,02567
6,6,Rory McIlroy,60,.702,35.796,51,2020,02567
7,8,Bubba Watson,66,.649,37.010,57,2020,02567
8,7,Xander Schauffele,70,.648,39.524,61,2020,02567
9,10,Jason Kokrak,62,.633,32.273,51,2020,02567
10,9,Scottie Scheffler,82,.618,43.277,70,2020,02567
11,11,Dustin Johnson,49,.612,28.768,47,2020,02567
12,12,Matthew Wolff,74,.607,38.212,63,2020,02567
13,13,Corey Conners,74,.600,37.211,62,2020,02567
14,14,Will Gordon,36,.564,12.414,22,2020,02567
15,15,Paul Casey,56,.546,24.025,44,2020,02567
16,16,Sam Burns,60,.493,27.103,55,2020,02567
17,18,Harold Varner III,74,.458,26.105,57,2020,02567
18,20,Viktor Hovland,74,.447,25.903,58,2020,02567
19,21,Collin Morikawa,80,.440,31.247,71,2020,02567
20,19,Sungjae Im,94,.437,34.555,79,2020,02567
21,22,Keith Mitchell,64,.412,20.595,50,2020,02567
22,25,Justin Thomas,66,.405,23.502,58,2020,02567
23,23,Patrick Cantlay,46,.404,17.782,44,2020,02567
24,26,Tommy Fleetwood,40,.389,10.894,28,2020,02567
25,27,Luke List,69,.387,22.840,59,2020,02567
26,31,Joaquin Niemann,76,.370,24.059,65,2020,02567
27,17,Daniel Berger,64,.366,20.522,56,2020,02567
28,28,Brooks Koepka,40,.362,13.742,38,2020,02567
29,29,Joel Dahmen,79,.356,22.401,63,2020,02567
T30,T32,Doc Redman,82,.346,24.209,70,2020,02567
T30,T32,Ryan Brehm,52,.346,11.079,32,2020,02567
32,24,Tony Finau,72,.341,20.092,59,2020,02567
33,30,Abraham Ancer,74,.328,18.359,56,2020,02567
34,36,Lucas Glover,67,.327,16.340,50,2020,02567
35,38,Harry Higgs,83,.307,21.215,69,2020,02567
36,42,Ryan Moore,48,.291,9.907,34,2020,02567
37,34,Billy Horschel,79,.286,16.860,59,2020,02567
T38,37,Hideki Matsuyama,74,.285,17.364,61,2020,02567
T38,43,Sepp Straka,70,.285,17.657,62,2020,02567
40,39,Ryan Palmer,68,.280,16.530,59,2020,02567
41,44,Adam Schenk,78,.279,15.356,55,2020,02567
42,50,Patrick Reed,74,.278,18.042,65,2020,02567
43,45,Austin Cook,64,.276,13.229,48,2020,02567
44,46,Max Homa,70,.272,15.481,57,2020,02567
45,47,Scott Piercy,66,.263,13.168,50,2020,02567
46,48,Martin Laird,39,.251,7.269,29,2020,02567
47,49,Emiliano Grillo,69,.250,12.009,48,2020,02567
48,51,Kevin Streelman,73,.246,14.012,57,2020,02567
49,52,Scott Harrington,68,.234,12.646,54,2020,02567
T50,53,Justin Rose,38,.218,7.186,33,2020,02567
T50,54,Sebastián Muñoz,84,.218,16.980,78,2020,02567
T52,40,Harris English,76,.215,14.618,68,2020,02567
T52,T55,Tyler McCumber,57,.215,8.174,38,2020,02567
T52,T55,Scott Brown,64,.215,10.772,50,2020,02567
T55,T57,Chris Baker,53,.211,6.955,33,2020,02567
T55,T57,Patrick Rodgers,95,.211,15.835,75,2020,02567
T55,T57,Cameron Davis,62,.211,9.727,46,2020,02567
58,60,Jim Herman,60,.210,10.899,52,2020,02567
59,61,Matthew Fitzpatrick,54,.206,9.068,44,2020,02567
60,62,Shane Lowry,44,.203,7.299,36,2020,02567
61,63,Kramer Hickok,51,.195,7.007,36,2020,02567
62,64,Brice Garnett,58,.193,8.674,45,2020,02567
63,65,Andrew Landry,63,.189,10.585,56,2020,02567
64,74,Tyrrell Hatton,42,.188,6.402,34,2020,02567
65,66,Keegan Bradley,68,.175,9.991,57,2020,02567
T66,T67,Rickie Fowler,44,.172,7.056,41,2020,02567
T66,T67,Kristoffer Ventura,48,.172,4.806,28,2020,02567
68,69,Danny Lee,69,.165,9.054,55,2020,02567
69,70,Grayson Murray,36,.164,5.070,31,2020,02567
70,71,Matt Jones,76,.159,10.160,64,2020,02567
71,72,Matt Wallace,44,.158,6.309,40,2020,02567
72,75,Jason Day,53,.146,5.859,40,2020,02567
73,76,James Hahn,36,.143,3.865,27,2020,02567
