RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,Year,Stat ID
1,1,Lucas Glover,75,71.63,967,"1,350",-0.27,2016,103
2,2,Paul Casey,77,70.80,943,"1,332",-0.25,2016,103
3,3,Adam Scott,79,70.76,968,"1,368",-0.29,2016,103
4,4,Stewart Cink,61,70.40,773,"1,098",-0.25,2016,103
5,8,Thomas Aiken,70,70.20,834,"1,188",-0.21,2016,103
T6,5,Jason Dufner,105,70.15,"1,288","1,836",-0.25,2016,103
T6,9,Sergio Garcia,54,70.15,644,918,-0.26,2016,103
8,11,Greg Owen,85,69.75,"1,017","1,458",-0.23,2016,103
9,6,Russell Knox,92,69.73,"1,117","1,602",-0.24,2016,103
10,10,Jhonattan Vegas,97,69.71,"1,167","1,674",-0.26,2016,103
11,20,Rory McIlroy,69,69.62,777,"1,116",-0.32,2016,103
12,13,Keegan Bradley,82,69.58,"1,027","1,476",-0.24,2016,103
13,14,Johnson Wagner,86,69.38,"1,074","1,548",-0.25,2016,103
14,15,Robert Garrigus,69,69.32,811,"1,170",-0.29,2016,103
15,16,Rickie Fowler,80,69.26,960,"1,386",-0.28,2016,103
16,17,Patrick Rodgers,89,69.22,"1,059","1,530",-0.26,2016,103
17,18,Kevin Streelman,82,69.17,"1,021","1,476",-0.25,2016,103
18,19,Bubba Watson,72,69.16,859,"1,242",-0.28,2016,103
19,12,Roberto Castro,97,69.13,"1,207","1,746",-0.27,2016,103
20,21,Scott Pinckney,87,69.02,"1,056","1,530",-0.25,2016,103
21,23,John Senden,88,68.86,"1,066","1,548",-0.25,2016,103
22,24,Hudson Swafford,104,68.80,"1,288","1,872",-0.28,2016,103
23,22,Gary Woodland,95,68.74,"1,126","1,638",-0.27,2016,103
24,25,Charl Schwartzel,73,68.73,866,"1,260",-0.26,2016,103
25,26,Brendan Steele,88,68.72,"1,039","1,512",-0.26,2016,103
26,28,Jason Kokrak,89,68.66,"1,100","1,602",-0.26,2016,103
27,27,Emiliano Grillo,93,68.52,"1,110","1,620",-0.26,2016,103
28,30,Graham DeLaet,70,68.35,812,"1,188",-0.28,2016,103
T29,T31,Jim Furyk,52,68.27,639,936,-0.22,2016,103
T29,T31,Russell Henley,76,68.27,934,"1,368",-0.25,2016,103
31,33,David Hearn,95,68.25,"1,167","1,710",-0.26,2016,103
32,34,Henrik Norlander,71,68.24,823,"1,206",-0.25,2016,103
T33,T35,Louis Oosthuizen,63,68.15,687,"1,008",-0.25,2016,103
T33,T35,Chad Campbell,90,68.15,"1,104","1,620",-0.25,2016,103
T35,37,Rhein Gibson,58,68.11,662,972,-0.22,2016,103
T35,29,Hideki Matsuyama,76,68.11,895,"1,314",-0.30,2016,103
37,38,Chez Reavie,90,68.09,"1,054","1,548",-0.26,2016,103
38,39,Charles Howell III,91,68.01,"1,114","1,638",-0.29,2016,103
39,40,Alex Cejka,71,67.99,820,"1,206",-0.28,2016,103
40,42,Justin Rose,65,67.92,758,"1,116",-0.27,2016,103
41,43,Boo Weekley,83,67.87,"1,014","1,494",-0.26,2016,103
42,44,Ryan Palmer,86,67.83,"1,050","1,548",-0.29,2016,103
T43,47,Matt Kuchar,100,67.82,"1,172","1,728",-0.28,2016,103
T43,45,Dustin Johnson,87,67.82,"1,001","1,476",-0.36,2016,103
45,46,Billy Horschel,73,67.70,853,"1,260",-0.27,2016,103
46,49,Daniel Berger,92,67.67,"1,084","1,602",-0.28,2016,103
47,48,Martin Laird,82,67.66,950,"1,404",-0.27,2016,103
48,50,Kyle Reifers,115,67.62,"1,351","1,998",-0.27,2016,103
49,51,J.J. Henry,68,67.51,802,"1,188",-0.18,2016,103
50,52,Kelly Kraft,63,67.42,716,"1,062",-0.27,2016,103
51,41,William McGirt,98,67.35,"1,188","1,764",-0.26,2016,103
52,54,Scott Piercy,87,67.33,"1,018","1,512",-0.26,2016,103
53,55,Jason Day,76,67.23,835,"1,242",-0.34,2016,103
T54,T56,Luke List,79,67.17,931,"1,386",-0.26,2016,103
T54,T56,Kyle Stanley,92,67.17,"1,076","1,602",-0.25,2016,103
T54,53,Sean O'Hair,89,67.17,"1,076","1,602",-0.28,2016,103
T57,T58,Bill Haas,86,67.14,991,"1,476",-0.23,2016,103
T57,T58,Webb Simpson,70,67.14,846,"1,260",-0.26,2016,103
59,60,Brooks Koepka,75,66.98,844,"1,260",-0.31,2016,103
60,61,Brett Stegmaier,87,66.80,"1,022","1,530",-0.25,2016,103
61,62,Branden Grace,63,66.76,721,"1,080",-0.26,2016,103
62,63,Dawie van der Walt,72,66.75,841,"1,260",-0.26,2016,103
63,64,Blayne Barber,84,66.74,961,"1,440",-0.25,2016,103
T64,65,Ben Martin,92,66.73,"1,057","1,584",-0.28,2016,103
T64,T66,Kevin Na,96,66.73,"1,117","1,674",-0.28,2016,103
66,T66,Jerry Kelly,76,66.67,912,"1,368",-0.24,2016,103
67,68,Chris Stroud,82,66.60,959,"1,440",-0.27,2016,103
68,69,Jason Gore,78,66.52,886,"1,332",-0.26,2016,103
69,70,Shawn Stefani,91,66.48,"1,041","1,566",-0.23,2016,103
70,71,Will MacKenzie,84,66.39,956,"1,440",-0.23,2016,103
71,89,Kevin Chappell,93,66.37,"1,111","1,674",-0.27,2016,103
T72,T73,Spencer Levin,104,66.33,"1,194","1,800",-0.27,2016,103
T72,T73,Jason Bohn,67,66.33,800,"1,206",-0.28,2016,103
74,75,Smylie Kaufman,91,66.29,"1,050","1,584",-0.29,2016,103
T75,T76,Harold Varner III,92,66.24,"1,097","1,656",-0.25,2016,103
T75,T76,Bronson Burgoon,83,66.24,942,"1,422",-0.25,2016,103
77,78,John Huh,86,66.21,"1,013","1,530",-0.24,2016,103
78,79,Robert Streb,87,66.20,"1,001","1,512",-0.23,2016,103
T79,T80,Derek Ernst,59,66.18,679,"1,026",-0.21,2016,103
T79,T80,Michael Thompson,71,66.18,810,"1,224",-0.28,2016,103
81,82,Andres Gonzales,80,66.17,929,"1,404",-0.25,2016,103
82,83,Scott Stallings,74,66.11,833,"1,260",-0.25,2016,103
83,84,Adam Hadwin,93,66.07,"1,106","1,674",-0.30,2016,103
84,72,Phil Mickelson,75,66.05,856,"1,296",-0.31,2016,103
85,T85,Steve Marino,72,66.01,808,"1,224",-0.25,2016,103
86,T87,Nick Taylor,83,65.82,936,"1,422",-0.27,2016,103
87,95,Ryan Moore,86,65.78,959,"1,458",-0.28,2016,103
88,90,Ricky Barnes,97,65.77,"1,101","1,674",-0.29,2016,103
89,91,Whee Kim,82,65.74,923,"1,404",-0.23,2016,103
90,T85,Brandt Snedeker,93,65.67,"1,052","1,602",-0.28,2016,103
91,92,Cameron Tringale,81,65.66,910,"1,386",-0.27,2016,103
92,93,Jim Herman,93,65.65,"1,099","1,674",-0.24,2016,103
93,94,Brendon de Jonge,83,65.64,957,"1,458",-0.25,2016,103
94,T87,Justin Thomas,99,65.63,"1,134","1,728",-0.29,2016,103
95,96,Tyler Aldridge,83,65.54,932,"1,422",-0.24,2016,103
96,97,David Toms,62,65.50,731,"1,116",-0.21,2016,103
97,T99,K.J. Choi,73,65.37,859,"1,314",-0.26,2016,103
98,101,D.A. Points,55,65.36,600,918,-0.24,2016,103
99,102,Jamie Lovemark,91,65.32,"1,070","1,638",-0.28,2016,103
100,103,Marc Leishman,89,65.31,"1,011","1,548",-0.27,2016,103
T101,T104,Sung Kang,89,65.26,"1,022","1,566",-0.27,2016,103
T101,T104,Chesson Hadley,81,65.26,928,"1,422",-0.25,2016,103
103,106,Colt Knost,90,65.25,"1,010","1,548",-0.25,2016,103
104,T99,Kevin Kisner,97,65.19,"1,103","1,692",-0.30,2016,103
105,98,J.B. Holmes,77,65.17,868,"1,332",-0.29,2016,103
106,107,Tony Finau,95,65.09,"1,113","1,710",-0.29,2016,103
107,108,Scott Brown,88,65.03,"1,030","1,584",-0.27,2016,103
108,109,Mark Wilson,66,64.96,725,"1,116",-0.21,2016,103
109,110,Francesco Molinari,64,64.93,748,"1,152",-0.25,2016,103
110,112,Freddie Jacobson,86,64.86,"1,004","1,548",-0.28,2016,103
111,113,Brian Harman,104,64.85,"1,214","1,872",-0.28,2016,103
T112,117,Si Woo Kim,113,64.83,"1,272","1,962",-0.29,2016,103
T112,114,Harris English,97,64.83,"1,132","1,746",-0.26,2016,103
114,115,Tyrone Van Aswegen,105,64.81,"1,190","1,836",-0.25,2016,103
115,116,Tim Wilkinson,72,64.71,792,"1,224",-0.27,2016,103
116,111,Patrick Reed,105,64.65,"1,152","1,782",-0.30,2016,103
117,118,Andrew Landry,53,64.63,570,882,-0.25,2016,103
118,119,Luke Donald,81,64.61,942,"1,458",-0.23,2016,103
T119,T120,Charley Hoffman,91,64.58,"1,023","1,584",-0.25,2016,103
T119,T120,James Hahn,85,64.58,988,"1,530",-0.25,2016,103
121,122,Seung-Yul Noh,85,64.54,941,"1,458",-0.27,2016,103
122,123,Zach Johnson,90,64.53,999,"1,548",-0.27,2016,103
123,124,Shane Lowry,57,64.51,627,972,-0.24,2016,103
124,125,Patton Kizzire,93,64.48,"1,033","1,602",-0.27,2016,103
T125,T126,Graeme McDowell,63,64.44,696,"1,080",-0.25,2016,103
