RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK,Year,Stat ID
1,1,Corey Conners,90,"32' 6""","40,129.750","1,234",1 Under,2019,331
2,3,Chez Reavie,99,"33' 0""","41,287.750","1,252",1 Under,2019,331
3,2,Jim Furyk,73,"33' 1""","33,628.417","1,017",1 Under,2019,331
T4,T4,Ryan Armour,92,"33' 3""","44,606.500","1,340",1 Under,2019,331
T4,T4,Vaughn Taylor,93,"33' 3""","48,500.083","1,459",1 Under,2019,331
T4,T4,Jason Dufner,74,"33' 3""","33,799.917","1,017",Under,2019,331
7,7,Russell Knox,79,"33' 5""","35,225.167","1,055",1 Under,2019,331
8,8,Chesson Hadley,76,"33' 7""","35,827.833","1,068",Under,2019,331
9,9,Adam Svensson,73,"33' 8""","33,080.083",983,1 Under,2019,331
T10,T10,Joaquin Niemann,98,"34' 0""","48,576.917","1,429",1 Under,2019,331
T10,T10,Keegan Bradley,89,"34' 0""","40,658.667","1,196",Under,2019,331
T10,T13,Louis Oosthuizen,71,"34' 0""","29,090.250",855,Under,2019,331
13,T13,Nate Lashley,70,"34' 2""","33,602.917",984,1 Under,2019,331
14,15,Brian Stuard,98,"34' 3""","47,183.000","1,379",1 Under,2019,331
T15,T16,Charley Hoffman,74,"34' 4""","28,631.083",833,Under,2019,331
T15,T16,Talor Gooch,54,"34' 4""","29,324.333",855,1 Under,2019,331
T17,T18,Paul Casey,79,"34' 5""","33,851.917",984,1 Under,2019,331
T17,T18,Josh Teater,73,"34' 5""","32,680.750",949,1 Under,2019,331
T17,T18,Adam Hadwin,86,"34' 5""","37,812.167","1,098",1 Under,2019,331
T17,T18,Hideki Matsuyama,91,"34' 5""","44,956.500","1,305",1 Under,2019,331
T21,T22,Russell Henley,78,"34' 6""","37,678.333","1,092",1 Under,2019,331
T21,T22,Brady Schnell,53,"34' 6""","24,070.750",697,Under,2019,331
T21,T10,Lucas Glover,94,"34' 6""","49,959.417","1,448",1 Under,2019,331
T24,T24,Kyle Stanley,81,"34' 7""","34,006.917",983,Under,2019,331
T24,T24,Andrew Landry,80,"34' 7""","39,951.417","1,156",1 Under,2019,331
T24,T24,Troy Merritt,69,"34' 7""","34,485.333",998,1 Under,2019,331
T24,T27,Brooks Koepka,81,"34' 7""","35,579.250","1,029",1 Under,2019,331
T24,T27,Abraham Ancer,93,"34' 7""","44,001.500","1,272",1 Under,2019,331
T29,T27,Roberto Castro,76,"34' 8""","38,462.583","1,109",1 Under,2019,331
T29,T27,Bronson Burgoon,59,"34' 8""","28,941.083",835,Under,2019,331
T29,T31,Rory McIlroy,72,"34' 8""","35,297.917","1,018",2 Under,2019,331
T32,T31,Emiliano Grillo,85,"34' 9""","34,187.750",984,Under,2019,331
T32,T31,Alex Prugh,77,"34' 9""","35,363.250","1,017",Under,2019,331
34,34,Alex Cejka,58,"34' 10""","24,855.667",714,Over,2019,331
T35,T35,Kevin Streelman,83,"34' 11""","42,941.083","1,231",1 Under,2019,331
T35,T35,Ryan Moore,74,"34' 11""","39,154.333","1,122",1 Under,2019,331
T35,T35,Tom Hoge,98,"34' 11""","44,726.167","1,281",Under,2019,331
T35,T35,Justin Thomas,75,"34' 11""","34,844.000",997,1 Under,2019,331
T39,T39,Shawn Stefani,80,"35' 0""","38,687.833","1,105",1 Under,2019,331
T39,T39,Nick Watney,87,"35' 0""","43,026.667","1,229",1 Under,2019,331
T39,T39,Tyler Duncan,89,"35' 0""","40,553.917","1,159",Under,2019,331
T42,T44,Zach Johnson,64,"35' 1""","33,179.250",946,Under,2019,331
T42,T50,Gary Woodland,87,"35' 1""","40,548.167","1,155",1 Under,2019,331
T42,T44,Adam Long,76,"35' 1""","42,370.000","1,209",Under,2019,331
T45,T46,Joel Dahmen,100,"35' 2""","47,644.583","1,355",Under,2019,331
T45,T46,Tyrrell Hatton,62,"35' 2""","26,313.583",748,Under,2019,331
T45,T50,Justin Rose,66,"35' 2""","30,320.917",862,1 Under,2019,331
T45,T46,Austin Cook,68,"35' 2""","33,190.000",943,Under,2019,331
49,T50,Roger Sloan,88,"35' 3""","44,045.667","1,249",1 Under,2019,331
T50,T64,Jason Kokrak,94,"35' 5""","47,415.667","1,338",1 Under,2019,331
T50,74,Adam Scott,63,"35' 5""","27,896.000",788,1 Under,2019,331
T50,T55,Whee Kim,73,"35' 5""","29,522.917",834,Over,2019,331
T50,T55,Sepp Straka,78,"35' 5""","36,794.083","1,038",1 Under,2019,331
T54,T39,Matt Kuchar,87,"35' 6""","41,881.667","1,180",1 Under,2019,331
T54,T46,Marc Leishman,76,"35' 6""","36,056.583","1,016",1 Under,2019,331
T54,T57,Scott Piercy,90,"35' 6""","44,307.167","1,249",1 Under,2019,331
T54,T53,Kevin Kisner,97,"35' 6""","45,070.917","1,269",1 Under,2019,331
T54,T53,Patrick Cantlay,77,"35' 6""","36,125.083","1,018",1 Under,2019,331
T59,T60,Jim Herman,52,"35' 7""","24,187.833",679,Under,2019,331
T59,T60,Brendan Steele,68,"35' 7""","32,413.583",911,Under,2019,331
T59,T60,Ben Silverman,70,"35' 7""","35,354.500",994,Under,2019,331
T59,T60,Matthew Fitzpatrick,54,"35' 7""","23,536.833",662,Under,2019,331
T63,T64,Max Homa,82,"35' 8""","44,033.500","1,234",Under,2019,331
T63,T64,Hank Lebioda,76,"35' 8""","37,022.000","1,038",1 Under,2019,331
T63,T64,Harold Varner III,84,"35' 8""","47,170.083","1,324",1 Under,2019,331
T63,T57,Webb Simpson,81,"35' 8""","43,850.917","1,230",1 Under,2019,331
T63,T64,"Ted Potter, Jr.",73,"35' 8""","38,116.750","1,069",Under,2019,331
T63,T64,Sergio Garcia,53,"35' 8""","24,093.583",676,Under,2019,331
T69,T70,Ryan Palmer,74,"35' 9""","32,523.500",909,1 Under,2019,331
T69,T70,David Hearn,55,"35' 9""","21,781.500",609,Under,2019,331
T69,T57,Rickie Fowler,76,"35' 9""","39,977.000","1,117",1 Under,2019,331
T69,T70,Chase Wright,75,"35' 9""","36,477.000","1,020",1 Under,2019,331
73,75,Cameron Davis,76,"35' 11""","36,588.000","1,018",1 Under,2019,331
T74,T76,Danny Willett,63,"36' 0""","31,988.500",889,Under,2019,331
T74,T76,Danny Lee,83,"36' 0""","46,006.667","1,278",Under,2019,331
T74,T76,Scott Stallings,82,"36' 0""","43,765.000","1,216",Under,2019,331
T74,T76,Wes Roach,69,"36' 0""","31,429.583",873,1 Under,2019,331
T74,T76,Ian Poulter,65,"36' 0""","28,208.000",784,1 Under,2019,331
T79,T81,Brian Harman,91,"36' 1""","45,589.667","1,262",1 Under,2019,331
T79,T81,Sam Ryder,76,"36' 1""","38,601.083","1,070",1 Under,2019,331
T79,T81,Cameron Smith,79,"36' 1""","34,051.250",943,Under,2019,331
T79,T81,Scott Langley,78,"36' 1""","41,340.583","1,147",Over,2019,331
T79,T100,Jon Rahm,75,"36' 1""","34,109.667",946,1 Under,2019,331
T84,T85,J.T. Poston,100,"36' 2""","56,717.417","1,568",1 Under,2019,331
T84,T70,Dustin Johnson,73,"36' 2""","36,082.750",997,1 Under,2019,331
T84,T85,Sam Saunders,78,"36' 2""","43,188.583","1,195",Under,2019,331
T84,T85,Francesco Molinari,61,"36' 2""","27,031.167",748,Under,2019,331
T88,T88,Phil Mickelson,63,"36' 3""","32,081.000",884,Under,2019,331
