RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,Year,Stat ID
1,1,Chez Reavie,99,75.72,973,"1,285",2019,102
2,2,Ryan Moore,74,75.53,781,"1,034",2019,102
3,3,Jim Furyk,73,74.45,705,947,2019,102
4,4,Ryan Armour,92,73.81,947,"1,283",2019,102
5,5,Henrik Stenson,58,72.13,502,696,2019,102
6,6,Andrew Landry,80,71.72,743,"1,036",2019,102
7,7,Brice Garnett,87,71.45,851,"1,191",2019,102
8,8,Brian Stuard,98,71.09,932,"1,311",2019,102
9,10,Austin Cook,68,70.26,626,891,2019,102
10,9,Abraham Ancer,93,70.21,865,"1,232",2019,102
11,11,Brian Gay,93,70.19,871,"1,241",2019,102
12,12,Jim Herman,52,70.15,470,670,2019,102
13,13,David Hearn,55,69.92,458,655,2019,102
14,15,Tyler Duncan,89,69.63,807,"1,159",2019,102
15,14,Kevin Kisner,97,69.39,832,"1,199",2019,102
16,16,Russell Henley,78,69.33,676,975,2019,102
17,17,Kramer Hickok,79,69.25,743,"1,073",2019,102
18,18,Michael Thompson,71,69.12,685,991,2019,102
19,19,Kyle Stanley,81,69.08,735,"1,064",2019,102
20,20,Vaughn Taylor,93,69.03,876,"1,269",2019,102
21,21,Scott Langley,78,69.02,713,"1,033",2019,102
22,22,Brendan Steele,68,68.71,595,866,2019,102
23,23,Kyle Jones,72,68.62,632,921,2019,102
24,24,Joel Dahmen,100,68.51,918,"1,340",2019,102
T25,T26,Brian Harman,91,68.17,848,"1,244",2019,102
T25,T26,Fabián Gómez,62,68.17,591,867,2019,102
27,28,Emiliano Grillo,85,68.13,744,"1,092",2019,102
28,29,Kevin Streelman,83,67.99,769,"1,131",2019,102
29,30,Ben Silverman,70,67.97,645,949,2019,102
30,32,Roberto Díaz,73,67.85,614,905,2019,102
31,33,Jason Dufner,74,67.79,682,"1,006",2019,102
32,34,Adam Hadwin,86,67.77,776,"1,145",2019,102
33,25,Paul Casey,79,67.68,710,"1,049",2019,102
34,T35,Satoshi Kodaira,67,67.63,606,896,2019,102
35,37,Scott Piercy,90,67.61,816,"1,207",2019,102
36,38,Roberto Castro,76,67.50,677,"1,003",2019,102
37,39,Brady Schnell,53,67.46,481,713,2019,102
38,31,Matt Kuchar,87,67.41,757,"1,123",2019,102
39,41,Alex Cejka,58,67.19,467,695,2019,102
40,42,Johnson Wagner,64,67.08,544,811,2019,102
41,40,Louis Oosthuizen,71,66.93,597,892,2019,102
T42,44,Rory Sabbatini,97,66.92,868,"1,297",2019,102
T42,43,Corey Conners,90,66.92,805,"1,203",2019,102
44,T35,Webb Simpson,81,66.82,731,"1,094",2019,102
45,46,Zach Johnson,64,66.59,594,892,2019,102
46,47,Adam Long,76,66.51,707,"1,063",2019,102
47,48,Bronson Burgoon,59,66.49,512,770,2019,102
48,49,Francesco Molinari,61,66.45,505,760,2019,102
49,50,Troy Merritt,69,66.43,570,858,2019,102
50,51,Keegan Bradley,89,66.35,763,"1,150",2019,102
51,45,Lucas Glover,94,66.14,830,"1,255",2019,102
52,52,Matthew Fitzpatrick,54,66.06,471,713,2019,102
53,53,Kyoung-Hoon Lee,92,66.01,775,"1,174",2019,102
54,54,Wes Roach,69,65.95,581,881,2019,102
55,55,Russell Knox,79,65.90,661,"1,003",2019,102
56,57,Denny McCarthy,89,65.84,744,"1,130",2019,102
57,58,Hank Lebioda,76,65.64,640,975,2019,102
58,59,Hunter Mahan,59,65.61,540,823,2019,102
59,60,Daniel Berger,70,65.48,605,924,2019,102
60,56,Sungjae Im,122,65.45,"1,078","1,647",2019,102
61,61,Scott Brown,86,65.41,749,"1,145",2019,102
62,62,Pat Perez,68,65.28,566,867,2019,102
63,63,Adam Svensson,73,65.24,610,935,2019,102
64,64,Nate Lashley,70,65.19,620,951,2019,102
65,T65,J.J. Henry,58,65.06,473,727,2019,102
66,T65,Bryson DeChambeau,75,65.02,658,"1,012",2019,102
67,67,C.T. Pan,84,64.77,741,"1,144",2019,102
68,68,Billy Horschel,99,64.71,836,"1,292",2019,102
69,69,Rafa Cabrera Bello,71,64.52,611,947,2019,102
70,71,Jonas Blixt,82,64.31,681,"1,059",2019,102
71,72,Alex Prugh,77,64.08,635,991,2019,102
72,73,Kevin Na,65,64.05,538,840,2019,102
73,70,Tommy Fleetwood,71,64.02,573,895,2019,102
74,74,Sepp Straka,78,63.91,641,"1,003",2019,102
75,76,Sam Ryder,76,63.62,640,"1,006",2019,102
76,77,Ian Poulter,65,63.60,519,816,2019,102
77,78,J.J. Spaun,90,63.56,729,"1,147",2019,102
78,79,Josh Teater,73,63.50,595,937,2019,102
79,75,Gary Woodland,87,63.41,747,"1,178",2019,102
80,82,Bud Cauley,82,63.26,725,"1,146",2019,102
T81,80,Brandt Snedeker,102,63.25,876,"1,385",2019,102
T81,83,Kiradech Aphibarnrat,65,63.25,549,868,2019,102
83,84,"Ted Potter, Jr.",73,63.22,629,995,2019,102
84,85,Martin Laird,88,63.09,706,"1,119",2019,102
85,87,Tyrrell Hatton,62,62.96,510,810,2019,102
86,88,Si Woo Kim,87,62.95,722,"1,147",2019,102
87,89,J.T. Poston,100,62.89,844,"1,342",2019,102
88,90,Charles Howell III,94,62.83,803,"1,278",2019,102
89,91,Rod Pampling,56,62.76,455,725,2019,102
90,86,Jason Kokrak,94,62.74,788,"1,256",2019,102
91,92,Dylan Frittelli,83,62.71,708,"1,129",2019,102
92,93,Graeme McDowell,75,62.69,620,989,2019,102
93,94,Chase Wright,75,62.62,603,963,2019,102
94,95,Joey Garber,63,62.52,497,795,2019,102
T95,81,Jon Rahm,75,62.50,595,952,2019,102
T95,T96,Ryan Blaum,90,62.50,715,"1,144",2019,102
97,98,Alex Noren,63,62.38,524,840,2019,102
98,100,Carlos Ortiz,84,62.30,714,"1,146",2019,102
99,101,Matt Jones,88,62.17,728,"1,171",2019,102
100,103,Whee Kim,73,62.07,599,965,2019,102
101,104,Shawn Stefani,80,61.89,656,"1,060",2019,102
T102,105,Roger Sloan,88,61.83,724,"1,171",2019,102
T102,T96,Brooks Koepka,81,61.83,643,"1,040",2019,102
104,111,Rory McIlroy,72,61.82,591,956,2019,102
105,106,Tom Hoge,98,61.81,777,"1,257",2019,102
106,107,Jason Day,69,61.76,554,897,2019,102
107,108,Aaron Wise,72,61.75,599,970,2019,102
108,109,Joaquin Niemann,98,61.72,827,"1,340",2019,102
109,110,Nick Taylor,97,61.68,800,"1,297",2019,102
110,112,Kelly Kraft,87,61.65,696,"1,129",2019,102
111,113,Harris English,97,61.57,782,"1,270",2019,102
112,114,Sangmoon Bae,60,61.49,463,753,2019,102
113,116,Bill Haas,77,61.33,590,962,2019,102
114,99,Hideki Matsuyama,91,61.28,755,"1,232",2019,102
115,118,Adam Schenk,102,61.27,856,"1,397",2019,102
116,119,Richy Werenski,89,61.26,710,"1,159",2019,102
117,120,Robert Streb,80,60.93,613,"1,006",2019,102
118,124,Sung Kang,86,60.72,711,"1,171",2019,102
119,125,Patton Kizzire,76,60.71,629,"1,036",2019,102
120,126,Ryan Palmer,74,60.67,560,923,2019,102
121,127,Andrew Putnam,81,60.64,647,"1,067",2019,102
T122,117,Rickie Fowler,76,60.62,645,"1,064",2019,102
T122,128,Freddie Jacobson,53,60.62,431,711,2019,102
124,129,Cameron Tringale,73,60.53,549,907,2019,102
125,130,Keith Mitchell,86,60.38,701,"1,161",2019,102
126,132,José de Jesús Rodríguez,67,60.31,547,907,2019,102
127,121,Xander Schauffele,77,60.29,627,"1,040",2019,102
128,134,Dominic Bozzelli,73,60.19,564,937,2019,102
129,131,Justin Rose,66,60.14,522,868,2019,102
130,135,Anders Albertson,68,60.11,538,895,2019,102
131,122,Patrick Reed,93,60.10,741,"1,233",2019,102
132,136,Anirban Lahiri,73,60.08,578,962,2019,102
133,133,Justin Thomas,75,59.98,607,"1,012",2019,102
134,137,Harold Varner III,84,59.97,686,"1,144",2019,102
135,123,Adam Scott,63,59.91,511,853,2019,102
136,139,Sebastián Muñoz,86,59.80,668,"1,117",2019,102
137,140,Chesson Hadley,76,59.75,616,"1,031",2019,102
138,141,Danny Willett,63,59.57,523,878,2019,102
139,142,Stephan Jaeger,77,59.54,590,991,2019,102
140,138,Marc Leishman,76,59.39,601,"1,012",2019,102
141,143,Cameron Smith,79,59.36,615,"1,036",2019,102
142,144,Nick Watney,87,59.29,686,"1,157",2019,102
143,145,Ernie Els,51,59.27,406,685,2019,102
144,146,Beau Hossler,87,59.19,686,"1,159",2019,102
145,147,Scott Stallings,82,58.97,641,"1,087",2019,102
146,148,Jhonattan Vegas,75,58.93,594,"1,008",2019,102
147,149,Sergio Garcia,53,58.82,360,612,2019,102
148,150,Talor Gooch,54,58.68,443,755,2019,102
149,151,Chris Stroud,70,58.29,503,863,2019,102
150,152,Charley Hoffman,74,58.26,568,975,2019,102
151,153,Jonathan Byrd,55,58.25,399,685,2019,102
152,155,John Chin,58,58.15,439,755,2019,102
153,156,Bubba Watson,65,58.13,472,812,2019,102
154,157,Cameron Davis,76,58.01,583,"1,005",2019,102
T155,T158,Mackenzie Hughes,80,57.98,614,"1,059",2019,102
T155,T158,Byeong Hun An,80,57.98,625,"1,078",2019,102
157,161,Aaron Baddeley,55,57.74,444,769,2019,102
158,162,Hudson Swafford,59,57.66,459,796,2019,102
159,163,Max Homa,82,57.48,642,"1,117",2019,102
160,154,Patrick Cantlay,77,57.34,578,"1,008",2019,102
161,164,Patrick Rodgers,55,57.24,407,711,2019,102
T162,T165,Seth Reeves,73,57.22,535,935,2019,102
T162,T165,Branden Grace,76,57.22,543,949,2019,102
164,167,Sam Burns,80,57.17,622,"1,088",2019,102
165,168,Danny Lee,83,57.08,645,"1,130",2019,102
166,169,Brandon Harkins,91,56.96,659,"1,157",2019,102
167,170,Tony Finau,89,56.94,669,"1,175",2019,102
168,171,Sam Saunders,78,56.55,583,"1,031",2019,102
169,172,J.B. Holmes,78,56.50,561,993,2019,102
170,173,Wyndham Clark,87,56.37,668,"1,185",2019,102
171,174,Seamus Power,80,56.26,566,"1,006",2019,102
172,175,Curtis Luck,65,55.91,459,821,2019,102
173,177,Jimmy Walker,74,55.65,576,"1,035",2019,102
174,176,Dustin Johnson,73,55.57,544,979,2019,102
175,178,Cameron Champ,78,55.30,590,"1,067",2019,102
176,179,Kevin Tway,84,55.26,620,"1,122",2019,102
177,180,Jim Knous,57,55.21,408,739,2019,102
178,181,Julián Etulain,70,54.81,496,905,2019,102
179,183,Peter Malnati,87,54.62,632,"1,157",2019,102
180,184,Cody Gribble,74,53.64,494,921,2019,102
181,185,Jordan Spieth,82,53.12,587,"1,105",2019,102
182,186,Luke List,66,53.06,468,882,2019,102
183,187,Michael Kim,61,52.96,438,827,2019,102
184,188,Trey Mullinax,77,51.03,519,"1,017",2019,102
185,189,Phil Mickelson,63,50.77,426,839,2019,102
186,190,Martin Trainer,63,50.76,432,851,2019,102
