RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR,Year,Stat ID
1,1,Sean O'Hair,89,62.42,93,149,+29.00,2016,111
2,2,Jason Day,76,62.26,66,106,+23.00,2016,111
3,6,Phil Mickelson,75,61.54,80,130,+29.00,2016,111
4,3,Jonas Blixt,79,61.29,95,155,+31.00,2016,111
5,4,Aaron Baddeley,93,61.07,91,149,+29.00,2016,111
6,5,Jon Curran,99,61.05,116,190,+64.00,2016,111
7,7,Brendon Todd,66,59.48,69,116,+40.00,2016,111
8,8,John Huh,86,59.44,85,143,+33.00,2016,111
9,9,Robert Allenby,51,59.15,42,71,+24.00,2016,111
10,10,Tyrone Van Aswegen,105,58.96,102,173,+51.00,2016,111
11,11,Bryce Molder,80,58.27,81,139,+37.00,2016,111
12,12,Martin Piller,59,58.23,46,79,+37.00,2016,111
T13,T14,Michael Kim,100,57.83,96,166,+50.00,2016,111
T13,T14,Padraig Harrington,54,57.83,48,83,+23.00,2016,111
T13,T14,Sergio Garcia,54,57.83,48,83,+14.00,2016,111
16,17,David Toms,62,57.47,50,87,+37.00,2016,111
17,18,Steven Bowditch,71,57.43,85,148,+58.00,2016,111
18,19,Chris Kirk,90,57.42,89,155,+51.00,2016,111
19,20,Stuart Appleby,71,57.27,63,110,+33.00,2016,111
20,37,Brandt Snedeker,93,57.14,80,140,+32.00,2016,111
T21,T21,Danny Lee,93,56.80,96,169,+59.00,2016,111
T21,T21,Russell Henley,76,56.80,71,125,+32.00,2016,111
23,13,Patrick Reed,105,56.71,93,164,+36.00,2016,111
24,23,Ben Crane,80,56.59,73,129,+35.00,2016,111
25,24,Dicky Pride,55,56.57,56,99,+28.00,2016,111
26,25,Kyle Reifers,115,56.50,100,177,+28.00,2016,111
27,26,K.J. Choi,73,56.25,81,144,+49.00,2016,111
28,27,Luke Donald,81,56.16,82,146,+34.00,2016,111
29,28,Tim Wilkinson,72,56.10,46,82,+23.00,2016,111
30,29,Brendan Steele,88,55.96,61,109,+24.00,2016,111
31,31,Justin Rose,65,55.46,66,119,+34.00,2016,111
32,32,Hiroshi Iwata,85,55.41,87,157,+60.00,2016,111
33,33,Cameron Smith,73,55.34,57,103,+46.00,2016,111
T34,T34,Chad Campbell,90,55.32,78,141,+38.00,2016,111
T34,T34,Marc Leishman,89,55.32,78,141,+38.00,2016,111
36,36,Brian Harman,104,55.26,105,190,+58.00,2016,111
T37,T38,Freddie Jacobson,86,55.00,77,140,+59.00,2016,111
T37,T38,Mark Wilson,66,55.00,44,80,+26.00,2016,111
39,40,Adam Hadwin,93,54.78,86,157,+43.00,2016,111
40,30,Jordan Spieth,80,54.70,64,117,+39.00,2016,111
41,46,Matt Kuchar,100,54.61,83,152,+46.00,2016,111
42,41,Fabián Gómez,82,54.55,78,143,+37.00,2016,111
43,42,Luke List,79,54.40,68,125,+40.00,2016,111
44,43,Brian Stuard,66,54.35,50,92,+34.00,2016,111
45,44,Alex Cejka,71,54.32,44,81,+16.00,2016,111
46,45,Steve Stricker,53,54.26,51,94,+33.00,2016,111
47,51,J.B. Holmes,77,53.91,69,128,+39.00,2016,111
48,47,Jerry Kelly,76,53.85,63,117,+47.00,2016,111
49,48,David Hearn,95,53.73,72,134,+52.00,2016,111
50,49,Mark Hubbard,101,53.72,101,188,+57.00,2016,111
51,50,Zach Johnson,90,53.68,73,136,+44.00,2016,111
T52,T52,Troy Merritt,77,53.44,70,131,+55.00,2016,111
T52,T52,Webb Simpson,70,53.44,70,131,+40.00,2016,111
54,54,Chez Reavie,90,53.24,74,139,+40.00,2016,111
55,55,Tyler Aldridge,83,53.21,58,109,+38.00,2016,111
56,56,Retief Goosen,55,53.19,50,94,+28.00,2016,111
57,57,Louis Oosthuizen,63,53.00,53,100,+28.00,2016,111
58,97,Hideki Matsuyama,76,52.99,62,117,+30.00,2016,111
59,58,Seung-Yul Noh,85,52.94,72,136,+53.00,2016,111
60,59,Smylie Kaufman,91,52.87,83,157,+51.00,2016,111
61,60,Scott Langley,65,52.73,58,110,+32.00,2016,111
62,61,Brendon de Jonge,83,52.71,68,129,+37.00,2016,111
63,62,Scott Piercy,87,52.63,80,152,+41.00,2016,111
64,63,Erik Compton,65,52.59,61,116,+38.00,2016,111
65,64,Hunter Mahan,61,52.58,51,97,+35.00,2016,111
66,66,Michael Thompson,71,52.44,43,82,+27.00,2016,111
67,67,Chad Collins,73,52.42,65,124,+51.00,2016,111
68,68,Ricky Barnes,97,52.38,77,147,+43.00,2016,111
T69,T72,Justin Thomas,99,52.23,82,157,+48.00,2016,111
T69,69,Jamie Lovemark,91,52.23,82,157,+43.00,2016,111
71,70,Rickie Fowler,80,52.03,64,123,+35.00,2016,111
72,71,Brooks Koepka,75,51.75,59,114,+39.00,2016,111
73,74,Shawn Stefani,91,51.49,69,134,+40.00,2016,111
74,75,Blayne Barber,84,51.46,53,103,+38.00,2016,111
