RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,Year,Stat ID
40,22,Bubba Watson,72,.393,20.032,51,2016,02568
41,40,Chris Kirk,90,.369,27.306,74,2016,02568
42,41,Robert Streb,87,.366,24.140,66,2016,02568
43,42,David Toms,62,.360,19.417,54,2016,02568
44,43,Russell Knox,92,.356,23.160,65,2016,02568
45,46,Patton Kizzire,93,.339,25.416,75,2016,02568
46,45,Matt Kuchar,100,.326,25.122,77,2016,02568
47,48,Hudson Swafford,104,.320,29.406,92,2016,02568
48,49,Martin Laird,82,.313,22.210,71,2016,02568
T49,T50,Rickie Fowler,80,.308,19.738,64,2016,02568
T49,T50,Lucas Glover,75,.308,20.668,67,2016,02568
51,52,Louis Oosthuizen,63,.300,12.613,42,2016,02568
52,54,George McNeill,51,.278,12.773,46,2016,02568
53,55,Luke List,79,.277,18.035,65,2016,02568
T54,T56,Bill Haas,86,.272,17.432,64,2016,02568
T54,T56,Jason Bohn,67,.272,16.072,59,2016,02568
56,59,K.J. Choi,73,.263,17.621,67,2016,02568
57,60,Kyle Stanley,92,.262,20.666,79,2016,02568
58,61,Cameron Tringale,81,.257,18.015,70,2016,02568
59,58,William McGirt,98,.256,22.517,88,2016,02568
60,47,Emiliano Grillo,93,.255,18.617,73,2016,02568
61,62,Ryan Palmer,86,.242,18.891,78,2016,02568
62,63,Harris English,97,.240,17.533,73,2016,02568
T63,T64,Brendan Steele,88,.238,16.438,69,2016,02568
T63,T64,Kevin Streelman,82,.238,15.227,64,2016,02568
65,66,Tom Hoge,81,.236,14.873,63,2016,02568
66,67,Chad Campbell,90,.235,18.768,80,2016,02568
67,68,Colt Knost,90,.228,16.172,71,2016,02568
68,69,Billy Hurley III,66,.226,13.307,59,2016,02568
69,71,Johnson Wagner,86,.219,16.664,76,2016,02568
70,73,Dawie van der Walt,72,.210,11.751,56,2016,02568
71,T74,Danny Lee,93,.205,14.559,71,2016,02568
72,76,Ricky Barnes,97,.200,15.971,80,2016,02568
73,77,John Senden,88,.199,15.684,79,2016,02568
74,78,Rob Oppenheim,67,.189,9.632,51,2016,02568
75,79,Jhonattan Vegas,97,.180,14.610,81,2016,02568
76,80,Scott Stallings,74,.177,11.137,63,2016,02568
77,81,Geoff Ogilvy,63,.173,8.670,50,2016,02568
78,72,Brandt Snedeker,93,.164,12.263,75,2016,02568
79,82,Zach Johnson,90,.163,11.871,73,2016,02568
80,83,Charley Hoffman,91,.161,11.419,71,2016,02568
T81,T84,Michael Thompson,71,.160,8.645,54,2016,02568
T81,T84,Chesson Hadley,81,.160,10.747,67,2016,02568
T83,T86,Will Wilcox,67,.159,9.054,57,2016,02568
T83,T86,Chris Stroud,82,.159,10.974,69,2016,02568
T83,T86,Padraig Harrington,54,.159,6.979,44,2016,02568
86,T74,Patrick Reed,105,.158,12.318,78,2016,02568
87,89,Graeme McDowell,63,.153,6.868,45,2016,02568
T88,90,Bronson Burgoon,83,.145,9.451,65,2016,02568
T88,70,Jordan Spieth,80,.145,8.436,58,2016,02568
90,91,Anirban Lahiri,72,.143,6.851,48,2016,02568
91,92,Brooks Koepka,75,.139,8.322,60,2016,02568
92,93,Russell Henley,76,.136,9.350,69,2016,02568
93,94,Brett Stegmaier,87,.133,9.993,75,2016,02568
94,95,Blayne Barber,84,.127,9.363,74,2016,02568
T95,T96,David Lingmerth,84,.116,6.977,60,2016,02568
T95,T96,Scott Piercy,87,.116,7.535,65,2016,02568
97,98,Seung-Yul Noh,85,.114,7.852,69,2016,02568
98,99,John Huh,86,.110,8.686,79,2016,02568
T99,T100,Thomas Aiken,70,.101,4.851,48,2016,02568
T99,T100,Ben Crane,80,.101,6.695,66,2016,02568
101,102,Ben Martin,92,.081,6.440,80,2016,02568
T102,T103,Retief Goosen,55,.080,3.820,48,2016,02568
T102,T103,Camilo Villegas,83,.080,5.658,71,2016,02568
104,105,Shawn Stefani,91,.073,5.601,77,2016,02568
105,106,Will MacKenzie,84,.072,4.742,66,2016,02568
106,107,Carlos Ortiz,79,.061,3.733,61,2016,02568
107,108,Nick Taylor,83,.060,3.973,66,2016,02568
108,109,Harold Varner III,92,.057,4.589,80,2016,02568
109,110,Charles Howell III,91,.046,3.667,79,2016,02568
110,111,Kyle Reifers,115,.040,3.910,97,2016,02568
111,112,Smylie Kaufman,91,.039,2.806,72,2016,02568
112,113,Henrik Norlander,71,.031,1.623,53,2016,02568
113,114,Spencer Levin,104,.003,.229,82,2016,02568
114,115,Jon Curran,99,.001,.086,84,2016,02568
115,116,Rhein Gibson,58,.000,.012,44,2016,02568
116,117,Steve Stricker,53,-.003,-.140,45,2016,02568
117,118,Patrick Rodgers,89,-.009,-.617,71,2016,02568
118,119,Vijay Singh,72,-.010,-.639,65,2016,02568
119,120,Tyler Aldridge,83,-.031,-2.083,67,2016,02568
120,121,Scott Brown,88,-.038,-2.692,70,2016,02568
121,123,Adam Hadwin,93,-.055,-4.870,88,2016,02568
122,124,Freddie Jacobson,86,-.059,-4.246,72,2016,02568
123,125,Mark Wilson,66,-.061,-3.330,55,2016,02568
124,126,Luke Guthrie,57,-.075,-3.380,45,2016,02568
125,128,Michael Kim,100,-.078,-6.743,86,2016,02568
126,129,James Hahn,85,-.082,-5.724,70,2016,02568
127,130,Boo Weekley,83,-.090,-6.379,71,2016,02568
128,131,Marc Leishman,89,-.092,-6.003,65,2016,02568
129,132,Jason Gore,78,-.097,-5.805,60,2016,02568
T130,T133,Stuart Appleby,71,-.100,-6.570,66,2016,02568
T130,T133,Kelly Kraft,63,-.100,-4.483,45,2016,02568
132,135,Sam Saunders,69,-.105,-5.345,51,2016,02568
133,136,Brian Stuard,66,-.110,-6.596,60,2016,02568
134,137,Andres Gonzales,80,-.112,-7.175,64,2016,02568
135,138,Sung Kang,89,-.121,-8.810,73,2016,02568
136,139,Troy Merritt,77,-.138,-9.002,65,2016,02568
137,127,Kevin Kisner,97,-.142,-10.345,73,2016,02568
138,122,J.B. Holmes,77,-.151,-9.241,61,2016,02568
139,140,Jeff Overton,69,-.157,-9.088,58,2016,02568
140,142,Si Woo Kim,113,-.168,-16.591,99,2016,02568
141,143,Shane Lowry,57,-.180,-6.677,37,2016,02568
142,141,Sean O'Hair,89,-.187,-15.684,84,2016,02568
143,144,Mark Hubbard,101,-.189,-15.715,83,2016,02568
144,145,Morgan Hoffmann,71,-.192,-11.347,59,2016,02568
145,146,Brendon de Jonge,83,-.195,-12.707,65,2016,02568
146,147,Ken Duke,58,-.202,-9.703,48,2016,02568
147,148,Chad Collins,73,-.226,-14.473,64,2016,02568
148,149,Matt Jones,83,-.233,-14.678,63,2016,02568
149,150,Tony Finau,95,-.247,-19.249,78,2016,02568
150,151,Derek Fathauer,94,-.250,-18.988,76,2016,02568
T151,T152,Daniel Summerhays,99,-.257,-20.276,79,2016,02568
T151,T152,J.J. Henry,68,-.257,-15.700,61,2016,02568
153,154,Wes Roach,59,-.262,-11.273,43,2016,02568
154,155,Andrew Loupe,75,-.281,-18.842,67,2016,02568
155,156,Cameron Smith,73,-.286,-13.167,46,2016,02568
156,157,Jim Herman,93,-.288,-20.467,71,2016,02568
157,158,Fabián Gómez,82,-.289,-21.062,73,2016,02568
158,159,Derek Ernst,59,-.291,-12.523,43,2016,02568
159,160,Jonas Blixt,79,-.303,-20.579,68,2016,02568
160,161,Bryce Molder,80,-.331,-22.147,67,2016,02568
161,162,Abraham Ancer,51,-.340,-12.936,38,2016,02568
162,163,Steve Marino,72,-.350,-19.578,56,2016,02568
163,164,Ángel Cabrera,62,-.355,-17.404,49,2016,02568
164,165,Aaron Baddeley,93,-.362,-27.120,75,2016,02568
165,166,Rod Pampling,54,-.372,-13.779,37,2016,02568
166,167,Whee Kim,82,-.390,-25.379,65,2016,02568
167,168,Steve Wheatcroft,85,-.394,-27.601,70,2016,02568
168,169,Scott Pinckney,87,-.396,-28.127,71,2016,02568
169,171,Erik Compton,65,-.443,-22.586,51,2016,02568
170,172,Jamie Lovemark,91,-.459,-38.098,83,2016,02568
171,173,Robert Allenby,51,-.460,-18.851,41,2016,02568
172,174,Ernie Els,66,-.480,-26.857,56,2016,02568
173,175,Zac Blair,99,-.498,-40.343,81,2016,02568
174,176,Peter Malnati,85,-.532,-39.401,74,2016,02568
175,177,Martin Piller,59,-.549,-25.793,47,2016,02568
176,178,Hiroshi Iwata,85,-.562,-37.679,67,2016,02568
177,180,Brian Harman,104,-.611,-56.204,92,2016,02568
178,181,Rory Sabbatini,57,-.628,-24.494,39,2016,02568
179,182,Dicky Pride,55,-.856,-35.096,41,2016,02568
180,183,Hunter Mahan,61,-.869,-43.439,50,2016,02568
181,184,Andrew Landry,53,-.892,-29.451,33,2016,02568
182,185,Scott Langley,65,-.998,-52.910,53,2016,02568
183,186,D.H. Lee,61,-1.318,-60.608,46,2016,02568
184,187,Brendon Todd,66,-1.424,-76.901,54,2016,02568
185,188,Steven Bowditch,71,-1.680,-92.415,55,2016,02568
