RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,Year,Stat ID
1,1,Adam Scott,79,1.491,83.505,56,2016,02568
2,3,Kevin Na,96,.788,54.394,69,2016,02568
3,2,Hideki Matsuyama,76,.774,44.865,58,2016,02568
4,T4,Robert Garrigus,69,.734,40.382,55,2016,02568
5,6,Webb Simpson,70,.728,42.216,58,2016,02568
6,8,Phil Mickelson,75,.726,42.840,59,2016,02568
7,T4,Jimmy Walker,85,.690,48.965,71,2016,02568
8,9,Graham DeLaet,70,.662,39.031,59,2016,02568
9,7,Charl Schwartzel,73,.652,36.491,56,2016,02568
10,10,D.A. Points,55,.640,24.970,39,2016,02568
11,14,Kevin Chappell,93,.634,49.464,78,2016,02568
12,11,Alex Cejka,71,.626,31.918,51,2016,02568
13,18,Paul Casey,77,.616,35.090,57,2016,02568
14,12,Vaughn Taylor,72,.612,40.979,67,2016,02568
15,13,Branden Grace,63,.603,25.314,42,2016,02568
16,16,Tyrone Van Aswegen,105,.571,50.232,88,2016,02568
17,17,Chez Reavie,90,.567,43.075,76,2016,02568
18,19,David Hearn,95,.532,43.661,82,2016,02568
19,15,Gary Woodland,95,.522,40.696,78,2016,02568
20,20,Justin Thomas,99,.494,37.049,75,2016,02568
21,23,Stewart Cink,61,.492,24.099,49,2016,02568
22,24,Daniel Berger,92,.490,35.251,72,2016,02568
23,25,Francesco Molinari,64,.484,27.600,57,2016,02568
24,26,Sergio Garcia,54,.482,14.951,31,2016,02568
25,27,Greg Owen,85,.475,32.766,69,2016,02568
26,21,Jason Dufner,105,.469,37.078,79,2016,02568
T27,T29,Luke Donald,81,.465,27.427,59,2016,02568
T27,T29,Jim Furyk,52,.465,20.451,44,2016,02568
29,32,Rory McIlroy,69,.447,21.439,48,2016,02568
30,28,Roberto Castro,97,.437,38.481,88,2016,02568
31,31,Dustin Johnson,87,.430,27.073,63,2016,02568
32,33,Jerry Kelly,76,.427,25.614,60,2016,02568
33,39,Jason Day,76,.426,23.028,54,2016,02568
T34,T34,Jason Kokrak,89,.424,31.813,75,2016,02568
T34,T34,Tim Wilkinson,72,.424,21.222,50,2016,02568
36,36,Billy Horschel,73,.422,24.079,57,2016,02568
37,37,Keegan Bradley,82,.419,26.389,63,2016,02568
38,44,Ryan Moore,86,.418,27.196,65,2016,02568
39,38,Justin Rose,65,.409,20.058,49,2016,02568
