RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,Year,Stat ID
129,130,Kevin Tway,84,-.131,-8.786,67,2019,02564
130,126,Gary Woodland,87,-.143,-9.277,65,2019,02564
131,131,Fabián Gómez,62,-.144,-6.909,48,2019,02564
132,132,Aaron Wise,72,-.146,-7.897,54,2019,02564
133,T133,Andrew Landry,80,-.153,-9.937,65,2019,02564
134,135,Jim Herman,52,-.154,-5.854,38,2019,02564
135,136,Jhonattan Vegas,75,-.156,-9.523,61,2019,02564
136,137,David Hearn,55,-.157,-5.323,34,2019,02564
137,138,Charley Hoffman,74,-.158,-7.438,47,2019,02564
138,T139,Shawn Stefani,80,-.159,-9.845,62,2019,02564
139,141,Phil Mickelson,63,-.160,-8.025,50,2019,02564
140,143,Dylan Frittelli,83,-.169,-11.465,68,2019,02564
141,144,Joaquin Niemann,98,-.170,-13.561,80,2019,02564
142,145,Russell Knox,79,-.176,-10.397,59,2019,02564
143,146,Michael Kim,61,-.185,-8.333,45,2019,02564
144,T139,Justin Thomas,75,-.186,-10.419,56,2019,02564
145,147,Tyrrell Hatton,62,-.192,-8.063,42,2019,02564
146,148,Harold Varner III,84,-.202,-14.976,74,2019,02564
147,149,Cameron Davis,76,-.204,-11.600,57,2019,02564
148,150,Francesco Molinari,61,-.211,-8.870,42,2019,02564
149,151,"Ted Potter, Jr.",73,-.216,-12.987,60,2019,02564
150,152,Kyle Jones,72,-.217,-11.701,54,2019,02564
151,153,Joey Garber,63,-.234,-10.074,43,2019,02564
152,154,Robert Streb,80,-.237,-14.217,60,2019,02564
153,155,Danny Lee,83,-.240,-17.247,72,2019,02564
154,156,Jim Knous,57,-.249,-9.716,39,2019,02564
155,157,Kevin Streelman,83,-.251,-17.312,69,2019,02564
156,158,Alex Noren,63,-.266,-11.455,43,2019,02564
T157,T159,Luke List,66,-.280,-15.400,55,2019,02564
T157,T159,Hank Lebioda,76,-.280,-16.223,58,2019,02564
159,161,Tom Hoge,98,-.284,-20.476,72,2019,02564
160,162,Bronson Burgoon,59,-.291,-13.679,47,2019,02564
161,163,Kyle Stanley,81,-.297,-16.351,55,2019,02564
162,164,Russell Henley,78,-.299,-18.228,61,2019,02564
163,165,Anders Albertson,68,-.307,-15.974,52,2019,02564
164,166,John Chin,58,-.318,-12.096,38,2019,02564
165,167,Scott Stallings,82,-.329,-22.353,68,2019,02564
166,168,Keith Mitchell,86,-.338,-20.632,61,2019,02564
T167,T169,Bubba Watson,65,-.344,-17.180,50,2019,02564
T167,T169,Alex Prugh,77,-.344,-19.615,57,2019,02564
169,171,Trey Mullinax,77,-.353,-22.265,63,2019,02564
170,173,Adam Long,76,-.369,-25.109,68,2019,02564
171,174,Jonathan Byrd,55,-.412,-14.840,36,2019,02564
172,176,Seth Reeves,73,-.475,-25.149,53,2019,02564
173,177,Brandon Harkins,91,-.481,-33.194,69,2019,02564
174,178,Alex Cejka,58,-.482,-19.269,40,2019,02564
175,179,Jason Dufner,74,-.494,-28.161,57,2019,02564
176,180,Brendan Steele,68,-.503,-25.647,51,2019,02564
177,181,Satoshi Kodaira,67,-.504,-25.717,51,2019,02564
178,183,Keegan Bradley,89,-.516,-34.551,67,2019,02564
179,184,Branden Grace,76,-.520,-23.379,45,2019,02564
180,185,Tyler Duncan,89,-.565,-36.727,65,2019,02564
181,182,Corey Conners,90,-.576,-39.771,69,2019,02564
182,186,Byeong Hun An,80,-.583,-35.554,61,2019,02564
183,187,Adam Svensson,73,-.602,-33.084,55,2019,02564
184,188,Kramer Hickok,79,-.604,-35.608,59,2019,02564
185,189,Emiliano Grillo,85,-.633,-34.828,55,2019,02564
186,190,J.J. Henry,58,-.657,-26.941,41,2019,02564
187,191,J.B. Holmes,78,-.752,-36.084,48,2019,02564
188,192,Rod Pampling,56,-.796,-32.621,41,2019,02564
