RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,Year,Stat ID
1,1,Denny McCarthy,89,.926,63.890,69,2019,02564
2,2,Jordan Spieth,82,.862,56.900,66,2019,02564
3,3,Dominic Bozzelli,73,.847,41.522,49,2019,02564
4,4,Graeme McDowell,75,.731,36.555,50,2019,02564
5,5,Andrew Putnam,81,.700,39.180,56,2019,02564
6,8,Aaron Baddeley,55,.654,27.451,42,2019,02564
7,9,Patton Kizzire,76,.642,34.050,53,2019,02564
8,10,Wyndham Clark,87,.640,46.752,73,2019,02564
9,11,Vaughn Taylor,93,.636,52.113,82,2019,02564
10,12,Beau Hossler,87,.619,42.084,68,2019,02564
11,13,Webb Simpson,81,.608,41.957,69,2019,02564
12,6,Brandt Snedeker,102,.592,47.330,80,2019,02564
13,18,Rickie Fowler,76,.541,34.066,63,2019,02564
14,15,Pat Perez,68,.535,21.954,41,2019,02564
15,16,Harris English,97,.527,41.671,79,2019,02564
16,17,Billy Horschel,99,.522,36.051,69,2019,02564
17,7,Justin Rose,66,.504,24.682,49,2019,02564
18,19,Johnson Wagner,64,.488,22.959,47,2019,02564
19,20,Peter Malnati,87,.467,35.469,76,2019,02564
20,26,Kevin Kisner,97,.450,31.952,71,2019,02564
21,21,Curtis Luck,65,.446,19.604,44,2019,02564
22,22,Patrick Rodgers,55,.428,19.240,45,2019,02564
23,23,Sam Ryder,76,.427,25.592,60,2019,02564
T24,25,Rory McIlroy,72,.425,24.221,57,2019,02564
T24,24,Ian Poulter,65,.425,18.695,44,2019,02564
26,14,Patrick Cantlay,77,.386,22.027,57,2019,02564
27,28,Chase Wright,75,.379,21.623,57,2019,02564
28,32,Bryson DeChambeau,75,.372,24.564,66,2019,02564
29,29,Sam Burns,80,.369,25.125,68,2019,02564
30,31,Jason Day,69,.356,16.735,47,2019,02564
31,39,Adam Scott,63,.348,15.321,44,2019,02564
32,33,Peter Uihlein,84,.345,19.997,58,2019,02564
33,34,Adam Schenk,102,.341,27.941,82,2019,02564
34,35,Michael Thompson,71,.339,22.056,65,2019,02564
35,36,Kiradech Aphibarnrat,65,.337,15.167,45,2019,02564
36,27,Jon Rahm,75,.336,17.793,53,2019,02564
37,37,Brian Gay,93,.335,24.096,72,2019,02564
38,38,Nick Taylor,97,.330,28.376,86,2019,02564
39,42,Sungjae Im,122,.323,32.264,100,2019,02564
40,40,Nate Lashley,70,.304,16.727,55,2019,02564
T41,30,Marc Leishman,76,.302,17.219,57,2019,02564
T41,T45,Matt Kuchar,87,.302,19.924,66,2019,02564
43,44,Charles Howell III,94,.291,21.214,73,2019,02564
44,41,Patrick Reed,93,.261,19.054,73,2019,02564
45,T45,Adam Hadwin,86,.252,15.644,62,2019,02564
46,47,Xander Schauffele,77,.244,12.949,53,2019,02564
47,48,Chesson Hadley,76,.230,13.772,60,2019,02564
48,51,Brooks Koepka,81,.226,13.106,58,2019,02564
49,49,Sangmoon Bae,60,.217,8.680,40,2019,02564
50,50,J.T. Poston,100,.212,18.687,88,2019,02564
51,52,Cameron Tringale,73,.204,10.396,51,2019,02564
52,54,Ryan Blaum,90,.194,13.937,72,2019,02564
53,55,Ryan Armour,92,.190,14.227,75,2019,02564
54,57,Brian Stuard,98,.176,13.515,77,2019,02564
T55,43,Tommy Fleetwood,71,.169,8.441,50,2019,02564
T55,T74,Louis Oosthuizen,71,.169,8.113,48,2019,02564
57,58,Lucas Glover,94,.164,13.324,81,2019,02564
58,59,Roberto Díaz,73,.162,8.239,51,2019,02564
59,60,Cameron Smith,79,.157,8.323,53,2019,02564
60,61,Rory Sabbatini,97,.154,11.699,76,2019,02564
61,62,José de Jesús Rodríguez,67,.151,7.422,49,2019,02564
62,63,Ollie Schniederjans,77,.147,8.996,61,2019,02564
63,64,Scott Piercy,90,.146,10.237,70,2019,02564
64,65,Freddie Jacobson,53,.142,5.671,40,2019,02564
T65,T66,Jonas Blixt,82,.130,8.329,64,2019,02564
T65,T66,Scott Langley,78,.130,8.317,64,2019,02564
67,68,Matt Jones,88,.120,7.926,66,2019,02564
68,69,Anirban Lahiri,73,.116,6.873,59,2019,02564
69,70,Jim Furyk,73,.113,6.449,57,2019,02564
70,72,Talor Gooch,54,.111,5.336,48,2019,02564
71,73,Henrik Stenson,58,.106,4.442,42,2019,02564
72,T74,Hunter Mahan,59,.102,4.772,47,2019,02564
73,76,Roger Sloan,88,.101,7.085,70,2019,02564
74,53,Dustin Johnson,73,.096,5.378,56,2019,02564
75,77,Brice Garnett,87,.091,5.928,65,2019,02564
76,78,Brian Harman,91,.090,6.376,71,2019,02564
77,79,Kevin Na,65,.089,3.925,44,2019,02564
78,80,Troy Merritt,69,.085,4.773,56,2019,02564
79,81,Carlos Ortiz,84,.079,5.723,72,2019,02564
80,82,Sebastián Muñoz,86,.076,4.856,64,2019,02564
81,83,Richy Werenski,89,.074,5.430,73,2019,02564
82,84,Scott Brown,86,.073,4.993,68,2019,02564
83,85,Brady Schnell,53,.065,2.539,39,2019,02564
T84,71,Chez Reavie,99,.062,4.306,70,2019,02564
T84,86,Ryan Moore,74,.062,3.885,63,2019,02564
86,87,Seamus Power,80,.057,3.529,62,2019,02564
87,88,Sepp Straka,78,.056,3.255,58,2019,02564
88,89,Bill Haas,77,.055,3.354,61,2019,02564
89,90,Kelly Kraft,87,.054,3.507,65,2019,02564
90,91,Julián Etulain,70,.048,2.462,51,2019,02564
91,92,Rafa Cabrera Bello,71,.043,2.058,48,2019,02564
92,93,Whee Kim,73,.042,1.995,47,2019,02564
93,94,Ryan Palmer,74,.041,2.076,51,2019,02564
94,95,Chris Stroud,70,.022,1.165,52,2019,02564
95,96,Martin Laird,88,.019,1.373,73,2019,02564
96,T97,Nick Watney,87,.012,.829,69,2019,02564
97,100,Hideki Matsuyama,91,.011,.811,73,2019,02564
98,99,Ernie Els,51,.010,.296,30,2019,02564
99,101,Wes Roach,69,.000,-.019,49,2019,02564
100,102,Max Homa,82,-.006,-.380,69,2019,02564
101,103,Mackenzie Hughes,80,-.014,-.901,66,2019,02564
102,104,Josh Teater,73,-.017,-.884,53,2019,02564
103,T97,Jason Kokrak,94,-.018,-1.332,75,2019,02564
104,105,J.J. Spaun,90,-.021,-1.328,64,2019,02564
105,107,Hudson Swafford,59,-.031,-1.471,47,2019,02564
106,108,Cody Gribble,74,-.033,-1.902,58,2019,02564
107,109,Martin Trainer,63,-.041,-2.036,50,2019,02564
108,110,Daniel Berger,70,-.043,-2.510,59,2019,02564
109,111,Bud Cauley,82,-.052,-3.883,74,2019,02564
110,112,Matthew Fitzpatrick,54,-.054,-1.986,37,2019,02564
111,113,Si Woo Kim,87,-.060,-3.516,59,2019,02564
112,114,C.T. Pan,84,-.062,-3.710,60,2019,02564
113,106,Abraham Ancer,93,-.065,-4.642,71,2019,02564
114,115,Sergio Garcia,53,-.078,-2.954,38,2019,02564
115,116,Roberto Castro,76,-.079,-4.903,62,2019,02564
116,117,Sam Saunders,78,-.082,-5.518,67,2019,02564
117,118,Zach Johnson,64,-.087,-4.633,53,2019,02564
T118,T119,Sung Kang,86,-.088,-6.194,70,2019,02564
T118,T119,Austin Cook,68,-.088,-4.658,53,2019,02564
120,121,Stephan Jaeger,77,-.091,-5.176,57,2019,02564
121,127,Paul Casey,79,-.092,-5.058,55,2019,02564
122,122,Kyoung-Hoon Lee,92,-.096,-5.935,62,2019,02564
123,123,Cameron Champ,78,-.099,-6.720,68,2019,02564
124,124,Joel Dahmen,100,-.102,-7.756,76,2019,02564
125,T133,Tony Finau,89,-.103,-6.720,65,2019,02564
126,125,Ben Silverman,70,-.112,-6.283,56,2019,02564
T127,T128,Danny Willett,63,-.130,-6.500,50,2019,02564
T127,T128,Jimmy Walker,74,-.130,-7.430,57,2019,02564
