RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,Year,Stat ID
174,178,Vaughn Taylor,93,282.9,"51,488",182,2019,101
175,179,Henrik Stenson,58,282.7,"28,270",100,2019,101
176,180,Satoshi Kodaira,67,282.3,"31,617",112,2019,101
177,181,Ryan Moore,74,282.2,"37,251",132,2019,101
178,182,Jonathan Byrd,55,281.6,"27,600",98,2019,101
179,183,Andrew Putnam,81,281.5,"36,034",128,2019,101
180,184,"Ted Potter, Jr.",73,281.4,"35,451",126,2019,101
T181,T185,David Hearn,55,279.3,"26,258",94,2019,101
T181,T185,Michael Kim,61,279.3,"28,489",102,2019,101
183,187,Alex Cejka,58,278.0,"27,796",100,2019,101
184,188,Ryan Armour,92,277.9,"46,694",168,2019,101
185,189,Brian Stuard,98,276.6,"47,575",172,2019,101
186,190,Jim Furyk,73,275.0,"37,397",136,2019,101
187,191,Brian Gay,93,274.9,"44,537",162,2019,101
188,192,Scott Langley,78,271.3,"40,147",148,2019,101
