RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# BIRDIES,GREENS HIT,Year,Stat ID
1,1,Justin Thomas,86,37.39,356,952,2017,115
2,2,Brooks Koepka,88,36.40,332,912,2017,115
3,3,Jason Day,71,35.86,270,753,2017,115
4,4,Jordan Spieth,85,35.00,343,980,2017,115
5,5,Rickie Fowler,78,34.75,318,915,2017,115
6,7,Anirban Lahiri,72,34.23,281,821,2017,115
7,6,Hideki Matsuyama,83,34.22,322,941,2017,115
8,8,Phil Mickelson,85,33.04,297,899,2017,115
9,9,Cameron Smith,86,32.94,306,929,2017,115
10,10,Matt Every,76,32.93,248,753,2017,115
11,11,Camilo Villegas,76,32.88,263,800,2017,115
12,14,Grayson Murray,94,32.36,334,"1,032",2017,115
13,T15,J.B. Holmes,83,32.32,276,854,2017,115
14,17,Sam Saunders,76,32.28,265,821,2017,115
15,12,Jon Rahm,90,32.25,329,"1,020",2017,115
16,18,Tony Finau,106,32.12,414,"1,289",2017,115
17,13,Dustin Johnson,77,32.08,281,876,2017,115
18,T15,Charley Hoffman,112,31.99,413,"1,291",2017,115
19,20,Scott Piercy,70,31.97,257,804,2017,115
20,19,Justin Rose,66,31.93,250,783,2017,115
21,21,Rory McIlroy,51,31.86,180,565,2017,115
22,22,Luke List,102,31.85,386,"1,212",2017,115
23,23,Brandt Snedeker,53,31.79,192,604,2017,115
24,24,Charl Schwartzel,63,31.78,212,667,2017,115
25,25,Tom Hoge,54,31.74,173,545,2017,115
26,26,J.T. Poston,95,31.71,325,"1,025",2017,115
27,28,Patrick Reed,107,31.64,354,"1,119",2017,115
28,29,Trey Mullinax,88,31.48,311,988,2017,115
29,33,Xander Schauffele,96,31.41,353,"1,124",2017,115
30,34,Daniel Berger,91,31.39,323,"1,029",2017,115
31,30,Graeme McDowell,56,31.38,198,631,2017,115
32,27,Jason Dufner,89,31.34,310,989,2017,115
33,31,Tag Ridings,67,31.33,219,699,2017,115
34,35,David Lingmerth,79,31.18,265,850,2017,115
35,36,Robert Garrigus,78,31.15,280,899,2017,115
T36,32,Brian Harman,104,31.09,356,"1,145",2017,115
T36,T38,Jonas Blixt,74,31.09,240,772,2017,115
T36,T38,Derek Fathauer,81,31.09,263,846,2017,115
39,37,Kevin Chappell,95,31.05,326,"1,050",2017,115
40,40,Rory Sabbatini,71,31.00,244,787,2017,115
41,41,Cody Gribble,79,30.99,269,868,2017,115
42,43,Danny Lee,93,30.97,328,"1,059",2017,115
43,42,Pat Perez,93,30.96,331,"1,069",2017,115
44,44,Ollie Schniederjans,92,30.88,319,"1,033",2017,115
45,45,Brendan Steele,89,30.87,313,"1,014",2017,115
46,46,Smylie Kaufman,76,30.85,257,833,2017,115
T47,47,Brandon Hagy,85,30.83,275,892,2017,115
T47,55,Adam Hadwin,98,30.83,353,"1,145",2017,115
49,48,Kevin Na,86,30.81,297,964,2017,115
50,T50,Stewart Cink,93,30.70,353,"1,150",2017,115
51,52,Sung Kang,104,30.64,371,"1,211",2017,115
52,53,Adam Scott,58,30.62,214,699,2017,115
53,54,Bubba Watson,71,30.58,218,713,2017,115
T54,T56,Seamus Power,86,30.47,287,942,2017,115
T54,T56,Jamie Lovemark,98,30.47,347,"1,139",2017,115
56,58,Blayne Barber,77,30.44,263,864,2017,115
