RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL),Year,Stat ID
1,1,Brian Gay,82,1.42,20,"1,404",2017,426
2,2,Luke Donald,50,1.62,14,864,2017,426
3,3,K.J. Choi,72,1.68,20,"1,188",2017,426
4,4,Ernie Els,52,1.71,16,936,2017,426
5,5,Ricky Barnes,100,1.81,30,"1,656",2017,426
6,6,Patrick Reed,107,1.89,34,"1,800",2017,426
7,T9,Jordan Spieth,85,1.99,28,"1,404",2017,426
T8,T7,Phil Mickelson,85,2.01,29,"1,440",2017,426
T8,T7,Chris Kirk,89,2.01,30,"1,494",2017,426
10,T9,Brian Harman,104,2.06,37,"1,800",2017,426
11,13,Patrick Cantlay,52,2.08,18,864,2017,426
12,11,Charles Howell III,86,2.10,31,"1,476",2017,426
13,12,Aaron Baddeley,61,2.14,22,"1,026",2017,426
14,14,Chez Reavie,98,2.16,37,"1,710",2017,426
15,15,Carl Pettersson,63,2.17,23,"1,062",2017,426
16,T16,Søren Kjeldsen,58,2.27,20,882,2017,426
17,T27,Marc Leishman,94,2.28,37,"1,620",2017,426
T18,T18,Charl Schwartzel,63,2.31,25,"1,080",2017,426
T18,T18,Zach Johnson,81,2.31,32,"1,386",2017,426
T18,T18,Danny Lee,93,2.31,37,"1,602",2017,426
T18,T18,Cody Gribble,79,2.31,32,"1,386",2017,426
22,22,Wesley Bryan,95,2.32,38,"1,638",2017,426
23,23,Bryce Molder,74,2.33,31,"1,332",2017,426
T24,24,Greg Chalmers,75,2.35,30,"1,278",2017,426
T24,T27,Russell Henley,99,2.35,41,"1,746",2017,426
26,25,Ian Poulter,72,2.37,29,"1,224",2017,426
27,26,Michael Thompson,60,2.38,24,"1,008",2017,426
28,29,J.T. Poston,95,2.43,38,"1,566",2017,426
T29,T30,Derek Fathauer,81,2.44,33,"1,350",2017,426
T29,T30,Scott Brown,95,2.44,40,"1,638",2017,426
31,32,Ben Crane,86,2.46,35,"1,422",2017,426
32,33,Hudson Swafford,94,2.47,40,"1,620",2017,426
33,34,Ryo Ishikawa,56,2.48,25,"1,008",2017,426
34,35,Brian Campbell,55,2.51,23,918,2017,426
35,36,Martin Flores,88,2.54,37,"1,458",2017,426
T36,T37,Ryan Blaum,100,2.55,44,"1,728",2017,426
T36,T37,Brian Stuard,93,2.55,40,"1,566",2017,426
T36,T37,Geoff Ogilvy,80,2.55,33,"1,296",2017,426
T36,T37,Mark Hubbard,81,2.55,34,"1,332",2017,426
40,41,Graham DeLaet,82,2.56,35,"1,368",2017,426
41,42,Jason Bohn,75,2.58,33,"1,278",2017,426
T42,57,Pat Perez,93,2.59,42,"1,620",2017,426
T42,T43,Kevin Tway,96,2.59,41,"1,584",2017,426
T42,T43,Bud Cauley,92,2.59,41,"1,584",2017,426
T42,T43,David Lingmerth,79,2.59,35,"1,350",2017,426
T46,T43,Justin Thomas,86,2.60,37,"1,422",2017,426
T46,47,Chad Collins,66,2.60,29,"1,116",2017,426
48,48,Jim Furyk,54,2.61,24,918,2017,426
T49,T49,Chad Campbell,97,2.63,46,"1,746",2017,426
T49,T49,Troy Merritt,82,2.63,36,"1,368",2017,426
T49,T49,Harris English,84,2.63,36,"1,368",2017,426
52,T60,Paul Casey,94,2.65,43,"1,620",2017,426
T53,T52,Tim Wilkinson,64,2.68,28,"1,044",2017,426
T53,T52,Matt Jones,64,2.68,27,"1,008",2017,426
T53,T52,David Hearn,93,2.68,41,"1,530",2017,426
56,55,Louis Oosthuizen,69,2.69,30,"1,116",2017,426
57,56,Anirban Lahiri,72,2.70,35,"1,296",2017,426
58,58,Lucas Glover,93,2.72,44,"1,620",2017,426
59,59,Fabián Gómez,61,2.73,29,"1,062",2017,426
T60,T60,Jamie Lovemark,98,2.78,48,"1,728",2017,426
T60,T60,Kyle Reifers,96,2.78,44,"1,584",2017,426
T60,T60,Jonas Blixt,74,2.78,35,"1,260",2017,426
T60,T72,Adam Hadwin,98,2.78,49,"1,764",2017,426
T60,T60,Daniel Summerhays,100,2.78,47,"1,692",2017,426
T60,T72,Matt Kuchar,95,2.78,46,"1,656",2017,426
T60,87,Brooks Koepka,88,2.78,40,"1,440",2017,426
T60,T60,Michael Kim,94,2.78,45,"1,620",2017,426
T60,T60,Whee Kim,74,2.78,36,"1,296",2017,426
T69,T67,Zac Blair,105,2.81,50,"1,782",2017,426
T69,T67,Peter Malnati,91,2.81,43,"1,530",2017,426
T69,T67,Ollie Schniederjans,92,2.81,44,"1,566",2017,426
T69,T67,Ryan Moore,82,2.81,40,"1,422",2017,426
T69,T67,Seung-Yul Noh,91,2.81,44,"1,566",2017,426
T74,T72,Steve Wheatcroft,51,2.84,24,846,2017,426
T74,T72,Vaughn Taylor,90,2.84,43,"1,512",2017,426
T74,T72,John Huh,92,2.84,45,"1,584",2017,426
T74,T72,Grayson Murray,94,2.84,46,"1,620",2017,426
T78,T78,Cameron Smith,86,2.85,42,"1,476",2017,426
T78,T78,Trey Mullinax,88,2.85,42,"1,476",2017,426
T78,T99,Rickie Fowler,78,2.85,39,"1,368",2017,426
81,80,Shawn Stefani,72,2.86,35,"1,224",2017,426
82,81,Stewart Cink,93,2.87,48,"1,674",2017,426
T83,T82,Gonzalo Fernandez-Castaño,63,2.88,29,"1,008",2017,426
T83,T82,Cameron Tringale,89,2.88,43,"1,494",2017,426
T83,T82,Martin Laird,83,2.88,43,"1,494",2017,426
86,86,J.J. Spaun,92,2.91,45,"1,548",2017,426
T87,88,Richy Werenski,81,2.93,39,"1,332",2017,426
T87,T82,Charley Hoffman,112,2.93,57,"1,944",2017,426
T89,T89,Bill Haas,92,2.94,45,"1,530",2017,426
T89,T89,Spencer Levin,89,2.94,45,"1,530",2017,426
T89,T101,Dustin Johnson,77,2.94,37,"1,260",2017,426
T92,91,James Hahn,96,2.95,51,"1,728",2017,426
T92,T92,Jason Day,71,2.95,35,"1,188",2017,426
T94,T92,Rafa Cabrera Bello,63,2.96,32,"1,080",2017,426
T94,T92,Robert Streb,98,2.96,50,"1,692",2017,426
T96,109,Daniel Berger,91,2.97,46,"1,548",2017,426
T96,T95,Smylie Kaufman,76,2.97,38,"1,278",2017,426
T96,T95,J.J. Henry,92,2.97,46,"1,548",2017,426
