RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL),Year,Stat ID
T96,T106,Webb Simpson,102,2.97,53,"1,782",2017,426
100,T97,Tony Finau,106,2.99,56,"1,872",2017,426
101,T97,Steven Alker,69,3.00,34,"1,134",2017,426
102,T99,Ryan Armour,63,3.01,32,"1,062",2017,426
103,T101,Alex Cejka,85,3.03,42,"1,386",2017,426
104,103,Jim Herman,77,3.04,41,"1,350",2017,426
105,104,Sung Kang,104,3.05,56,"1,836",2017,426
106,T114,Xander Schauffele,96,3.08,51,"1,656",2017,426
107,105,Julián Etulain,68,3.09,35,"1,134",2017,426
108,T106,Mark Anderson,54,3.10,29,936,2017,426
109,108,Rick Lamb,54,3.11,28,900,2017,426
110,T119,Kevin Kisner,105,3.12,55,"1,764",2017,426
T111,T110,Billy Hurley III,80,3.13,45,"1,440",2017,426
T111,T125,Justin Rose,66,3.13,36,"1,152",2017,426
T111,T110,Kelly Kraft,75,3.13,40,"1,278",2017,426
114,112,Retief Goosen,52,3.14,26,828,2017,426
115,113,William McGirt,89,3.15,47,"1,494",2017,426
T116,T114,Camilo Villegas,76,3.16,41,"1,296",2017,426
T116,T114,Jimmy Walker,68,3.16,37,"1,170",2017,426
T118,T117,Brendan Steele,89,3.17,48,"1,512",2017,426
T118,T117,Jonathan Randolph,68,3.17,36,"1,134",2017,426
T120,T119,Seamus Power,86,3.19,46,"1,440",2017,426
T120,T119,D.A. Points,68,3.19,39,"1,224",2017,426
122,122,Keegan Bradley,104,3.21,59,"1,836",2017,426
123,123,Nick Watney,75,3.22,40,"1,242",2017,426
124,124,Ben Martin,86,3.23,46,"1,422",2017,426
T125,T127,Dominic Bozzelli,69,3.25,38,"1,170",2017,426
T125,T127,Bryson DeChambeau,91,3.25,52,"1,602",2017,426
T127,T129,Mackenzie Hughes,106,3.26,61,"1,872",2017,426
T127,T129,Tom Hoge,54,3.26,27,828,2017,426
T127,T129,Adam Scott,58,3.26,34,"1,044",2017,426
130,132,Graeme McDowell,56,3.27,33,"1,008",2017,426
T131,T125,Hideki Matsuyama,83,3.29,45,"1,368",2017,426
T131,133,Billy Horschel,88,3.29,51,"1,548",2017,426
T133,T134,Chris Stroud,67,3.30,35,"1,062",2017,426
T133,T134,Tag Ridings,67,3.30,35,"1,062",2017,426
135,T136,Sean O'Hair,84,3.31,50,"1,512",2017,426
136,138,Scott Stallings,81,3.32,46,"1,386",2017,426
T137,T139,Johnson Wagner,71,3.35,38,"1,134",2017,426
T137,T139,Morgan Hoffmann,92,3.35,53,"1,584",2017,426
T139,T141,J.B. Holmes,83,3.36,46,"1,368",2017,426
T139,T141,Ken Duke,77,3.36,43,"1,278",2017,426
T141,149,Sergio Garcia,65,3.41,38,"1,116",2017,426
T141,143,Sam Saunders,76,3.41,43,"1,260",2017,426
143,144,Steven Bowditch,59,3.43,34,990,2017,426
T144,T145,Tyrone Van Aswegen,105,3.44,60,"1,746",2017,426
T144,T145,Brandt Snedeker,53,3.44,31,900,2017,426
T144,T145,Patton Kizzire,84,3.44,47,"1,368",2017,426
T144,T145,Blayne Barber,77,3.44,44,"1,278",2017,426
148,150,Kevin Na,86,3.46,51,"1,476",2017,426
149,151,Emiliano Grillo,90,3.51,55,"1,566",2017,426
150,152,Robert Garrigus,78,3.55,46,"1,296",2017,426
151,153,Brett Stegmaier,78,3.58,49,"1,368",2017,426
T152,T154,Rory McIlroy,51,3.59,31,864,2017,426
T152,T154,Rory Sabbatini,71,3.59,42,"1,170",2017,426
154,156,Kevin Streelman,90,3.60,57,"1,584",2017,426
T155,T157,Bubba Watson,71,3.62,41,"1,134",2017,426
T155,T157,C.T. Pan,88,3.62,56,"1,548",2017,426
T155,T157,Branden Grace,70,3.62,41,"1,134",2017,426
T158,T160,Shane Lowry,52,3.63,32,882,2017,426
T158,T160,Francesco Molinari,75,3.63,47,"1,296",2017,426
160,T169,Jhonattan Vegas,95,3.64,59,"1,620",2017,426
161,162,Scott Piercy,70,3.65,44,"1,206",2017,426
162,164,Nick Taylor,97,3.68,63,"1,710",2017,426
T163,T165,Miguel Angel Carballo,63,3.70,38,"1,026",2017,426
T163,T165,Byeong Hun An,77,3.70,48,"1,296",2017,426
T165,T167,Sebastián Muñoz,51,3.74,33,882,2017,426
T165,T167,Luke List,102,3.74,66,"1,764",2017,426
167,T169,Brandon Hagy,85,3.75,52,"1,386",2017,426
168,171,Cameron Percy,71,3.76,44,"1,170",2017,426
169,174,Kyle Stanley,104,3.78,68,"1,800",2017,426
T170,172,Ryan Brehm,83,3.82,53,"1,386",2017,426
T170,163,Jon Rahm,90,3.82,57,"1,494",2017,426
172,175,Russell Knox,75,3.89,49,"1,260",2017,426
173,176,Si Woo Kim,80,3.93,53,"1,350",2017,426
T174,T177,Andrew Loupe,55,3.95,37,936,2017,426
T174,T177,Andres Gonzales,73,3.95,49,"1,242",2017,426
176,179,Matt Every,76,3.97,50,"1,260",2017,426
177,180,Harold Varner III,101,3.98,71,"1,782",2017,426
178,181,Roberto Castro,70,4.08,50,"1,224",2017,426
179,T182,Patrick Rodgers,76,4.13,55,"1,332",2017,426
180,T182,Kevin Chappell,95,4.14,67,"1,620",2017,426
181,184,Hunter Mahan,73,4.15,53,"1,278",2017,426
182,185,Nicholas Lindheim,58,4.17,42,"1,008",2017,426
183,186,Jason Dufner,89,4.20,62,"1,476",2017,426
184,187,Gary Woodland,94,4.24,68,"1,602",2017,426
185,188,Rod Pampling,71,4.38,56,"1,278",2017,426
186,189,Brad Fritsch,56,4.49,42,936,2017,426
T187,T190,Ryan Palmer,61,4.51,43,954,2017,426
T187,T190,Brett Drewitt,57,4.51,43,954,2017,426
189,192,Jason Kokrak,95,4.62,79,"1,710",2017,426
190,194,Boo Weekley,75,5.10,67,"1,314",2017,426
