RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL),Year,Stat ID
1,1,Beau Hossler,71,1.33,16,"1,206",2020,426
2,4,Matt Kuchar,56,1.49,15,"1,008",2020,426
3,5,J.T. Poston,78,1.50,21,"1,404",2020,426
4,2,Jon Rahm,58,1.53,16,"1,044",2020,426
5,3,Tyrrell Hatton,42,1.59,12,756,2020,426
6,6,Talor Gooch,83,1.67,25,"1,494",2020,426
7,T14,Webb Simpson,52,1.71,16,936,2020,426
8,7,Brice Garnett,58,1.72,18,"1,044",2020,426
9,8,Vaughn Taylor,61,1.73,19,"1,098",2020,426
10,9,Adam Scott,38,1.75,12,684,2020,426
11,10,Patrick Rodgers,95,1.77,29,"1,638",2020,426
T12,T11,Brandt Snedeker,53,1.78,17,954,2020,426
T12,T11,Brian Stuard,83,1.78,26,"1,458",2020,426
14,13,Bud Cauley,65,1.82,20,"1,098",2020,426
T15,T14,Brian Harman,78,1.85,26,"1,404",2020,426
T15,T14,Matthew Fitzpatrick,54,1.85,18,972,2020,426
17,18,Patrick Reed,74,1.88,25,"1,332",2020,426
T18,T19,Mackenzie Hughes,70,1.90,24,"1,260",2020,426
T18,T14,Harris English,76,1.90,26,"1,368",2020,426
T20,T19,Scott Piercy,66,1.94,23,"1,188",2020,426
T20,T19,Mark Hubbard,86,1.94,30,"1,548",2020,426
T22,T22,Phil Mickelson,51,1.96,18,918,2020,426
T22,T22,Stewart Cink,51,1.96,18,918,2020,426
24,25,Gary Woodland,62,1.97,22,"1,116",2020,426
T25,T28,James Hahn,36,2.01,13,648,2020,426
T25,T28,Sam Burns,60,2.01,21,"1,044",2020,426
27,30,Patton Kizzire,55,2.02,20,990,2020,426
28,27,Billy Horschel,79,2.04,29,"1,422",2020,426
29,31,Alex Noren,60,2.08,21,"1,008",2020,426
T30,T32,Zach Johnson,61,2.09,23,"1,098",2020,426
T30,T32,Denny McCarthy,81,2.09,29,"1,386",2020,426
T32,T38,Viktor Hovland,74,2.10,28,"1,332",2020,426
T32,26,Abraham Ancer,74,2.10,28,"1,332",2020,426
T32,34,Jason Day,53,2.10,20,954,2020,426
35,T35,Brian Gay,67,2.12,24,"1,134",2020,426
T36,T38,Adam Hadwin,65,2.14,25,"1,170",2020,426
T36,T38,Max Homa,70,2.14,27,"1,260",2020,426
38,T44,Bryson DeChambeau,62,2.15,24,"1,116",2020,426
T39,T41,Andrew Putnam,46,2.17,18,828,2020,426
T39,T41,Tim Wilkinson,50,2.17,18,828,2020,426
41,T44,Peter Uihlein,47,2.20,17,774,2020,426
T42,T41,Kevin Kisner,73,2.21,29,"1,314",2020,426
T42,46,Harry Higgs,83,2.21,33,"1,494",2020,426
44,T47,Nelson Ledesma,42,2.22,16,720,2020,426
45,49,Chez Reavie,77,2.24,31,"1,386",2020,426
46,T47,Sungjae Im,94,2.25,38,"1,692",2020,426
47,51,Bubba Watson,66,2.27,27,"1,188",2020,426
T48,52,Ian Poulter,48,2.31,20,864,2020,426
T48,T35,Tony Finau,72,2.31,30,"1,296",2020,426
T50,T53,Jordan Spieth,62,2.33,26,"1,116",2020,426
T50,T53,Michael Thompson,62,2.33,26,"1,116",2020,426
52,55,Nick Taylor,59,2.35,25,"1,062",2020,426
T53,56,Aaron Baddeley,49,2.36,20,846,2020,426
T53,61,Justin Thomas,66,2.36,28,"1,188",2020,426
55,57,Richy Werenski,60,2.38,24,"1,008",2020,426
56,58,Joel Dahmen,79,2.39,34,"1,422",2020,426
57,59,Bo Hoag,71,2.40,29,"1,206",2020,426
58,60,Bronson Burgoon,55,2.41,23,954,2020,426
59,75,Cameron Smith,64,2.43,28,"1,152",2020,426
60,62,Peter Malnati,61,2.44,25,"1,026",2020,426
T61,T63,Troy Merritt,72,2.45,30,"1,224",2020,426
T61,T63,Matthew NeSmith,72,2.45,30,"1,224",2020,426
T63,T66,Ben Martin,38,2.47,16,648,2020,426
T63,T66,Russell Henley,67,2.47,28,"1,134",2020,426
T63,T66,Carlos Ortiz,72,2.47,32,"1,296",2020,426
66,T80,Brendon Todd,86,2.52,39,"1,548",2020,426
T67,T69,Rickie Fowler,44,2.53,20,792,2020,426
T67,T69,Fabián Gómez,59,2.53,25,990,2020,426
T67,T69,Ryan Moore,48,2.53,20,792,2020,426
70,72,Patrick Cantlay,46,2.54,21,828,2020,426
71,73,Matthew Wolff,74,2.55,34,"1,332",2020,426
72,74,Doc Redman,82,2.57,38,"1,476",2020,426
73,T82,Kevin Na,71,2.58,33,"1,278",2020,426
74,76,David Hearn,55,2.61,24,918,2020,426
T75,T77,Rafa Cabrera Bello,53,2.62,25,954,2020,426
T75,T77,Sepp Straka,70,2.62,33,"1,260",2020,426
77,79,Harold Varner III,74,2.63,35,"1,332",2020,426
78,T80,Charley Hoffman,63,2.64,28,"1,062",2020,426
79,T82,Scott Stallings,71,2.65,32,"1,206",2020,426
