RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,Year,Stat ID
1,1,Henrik Stenson,58,1.149,48.250,42,2019,02568
2,2,Justin Thomas,75,.985,55.176,56,2019,02568
3,3,Emiliano Grillo,85,.926,50.929,55,2019,02568
4,4,Adam Scott,63,.846,37.234,44,2019,02568
5,5,Hideki Matsuyama,91,.759,55.397,73,2019,02568
6,7,Jason Kokrak,94,.745,55.838,75,2019,02568
7,6,Jim Furyk,73,.741,42.250,57,2019,02568
8,9,Paul Casey,79,.706,38.844,55,2019,02568
9,10,Corey Conners,90,.665,45.915,69,2019,02568
10,12,Patrick Cantlay,77,.640,36.474,57,2019,02568
11,16,Brooks Koepka,81,.636,36.896,58,2019,02568
12,13,Rory McIlroy,72,.633,36.096,57,2019,02568
13,17,Chez Reavie,99,.625,43.753,70,2019,02568
14,11,Webb Simpson,81,.613,42.285,69,2019,02568
15,14,Talor Gooch,54,.604,28.977,48,2019,02568
16,15,Ryan Moore,74,.596,37.519,63,2019,02568
17,8,Matt Kuchar,87,.591,39.032,66,2019,02568
18,18,Russell Knox,79,.585,34.500,59,2019,02568
19,19,Keegan Bradley,89,.567,37.975,67,2019,02568
20,20,Gary Woodland,87,.545,35.400,65,2019,02568
T21,21,Sergio Garcia,53,.525,19.960,38,2019,02568
T21,23,Justin Rose,66,.525,25.712,49,2019,02568
23,24,Adam Svensson,73,.509,27.989,55,2019,02568
24,25,Nate Lashley,70,.487,26.789,55,2019,02568
25,26,Joaquin Niemann,98,.484,38.744,80,2019,02568
26,43,Xander Schauffele,77,.481,25.491,53,2019,02568
27,28,Kevin Streelman,83,.479,33.031,69,2019,02568
28,22,Marc Leishman,76,.472,26.895,57,2019,02568
29,31,Roberto Castro,76,.432,26.770,62,2019,02568
30,32,Shawn Stefani,80,.421,26.125,62,2019,02568
31,33,Byeong Hun An,80,.420,25.612,61,2019,02568
32,34,Andrew Putnam,81,.414,23.211,56,2019,02568
33,36,Matthew Fitzpatrick,54,.409,15.125,37,2019,02568
