RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,Year,Stat ID
1,1,Jim Furyk,39,74.50,406,545,2020,102
2,2,Ryan Armour,60,73.86,599,811,2020,102
3,3,Brian Stuard,83,71.84,814,"1,133",2020,102
4,4,Brendon Todd,86,71.36,862,"1,208",2020,102
5,5,Kyle Stanley,57,71.29,529,742,2020,102
6,6,Tyler Duncan,83,69.87,814,"1,165",2020,102
7,7,Chez Reavie,77,69.73,751,"1,077",2020,102
8,8,Henrik Norlander,74,69.57,720,"1,035",2020,102
9,9,Chris Baker,53,69.49,476,685,2020,102
10,10,Jim Herman,60,69.28,584,843,2020,102
11,11,Ryan Moore,48,68.63,420,612,2020,102
12,12,David Hearn,55,68.44,488,713,2020,102
T13,T13,Tim Wilkinson,50,68.27,439,643,2020,102
T13,T13,Doc Redman,82,68.27,783,"1,147",2020,102
15,15,Josh Teater,43,68.24,391,573,2020,102
16,16,Vaughn Taylor,61,67.84,576,849,2020,102
17,18,Scott Brown,64,67.37,603,895,2020,102
18,17,Webb Simpson,52,67.31,490,728,2020,102
19,19,Kramer Hickok,51,67.15,460,685,2020,102
20,20,Corey Conners,74,67.08,695,"1,036",2020,102
21,21,Austin Cook,64,66.75,560,839,2020,102
22,22,Chesson Hadley,62,66.71,541,811,2020,102
23,23,Arjun Atwal,35,66.51,288,433,2020,102
24,24,Jason Dufner,62,66.44,576,867,2020,102
25,T25,Emiliano Grillo,69,66.11,599,906,2020,102
26,27,Kevin Streelman,73,65.88,670,"1,017",2020,102
27,28,Matt Kuchar,56,65.82,518,787,2020,102
28,29,Fabián Gómez,59,65.80,506,769,2020,102
29,31,Andrew Landry,63,65.72,579,881,2020,102
30,32,Russell Henley,67,65.65,579,882,2020,102
31,33,Collin Morikawa,80,65.54,734,"1,120",2020,102
32,34,Michael Thompson,62,65.40,567,867,2020,102
33,T25,Kevin Kisner,73,65.23,666,"1,021",2020,102
34,35,Kyoung-Hoon Lee,76,64.98,655,"1,008",2020,102
35,36,Rickie Fowler,44,64.84,402,620,2020,102
36,38,D.J. Trahan,49,64.69,425,657,2020,102
37,39,Lucas Glover,67,64.63,603,933,2020,102
T38,T40,Joel Dahmen,79,64.58,711,"1,101",2020,102
T38,T40,Matthew Fitzpatrick,54,64.58,485,751,2020,102
40,43,Adam Hadwin,65,64.53,584,905,2020,102
41,44,Troy Merritt,72,64.52,611,947,2020,102
42,48,Sungjae Im,94,64.48,846,"1,312",2020,102
43,42,Abraham Ancer,74,64.44,665,"1,032",2020,102
44,45,Ben Martin,38,64.41,324,503,2020,102
45,46,Brice Garnett,58,64.36,522,811,2020,102
46,49,Nick Taylor,59,64.24,530,825,2020,102
47,50,Matthew NeSmith,72,64.14,610,951,2020,102
48,37,Daniel Berger,64,63.86,569,891,2020,102
T49,T52,J.T. Poston,78,63.74,696,"1,092",2020,102
T49,T52,Martin Laird,39,63.74,348,546,2020,102
51,54,Doug Ghim,44,63.69,356,559,2020,102
52,55,Paul Casey,56,63.60,498,783,2020,102
53,56,Brian Harman,78,63.28,691,"1,092",2020,102
54,T57,Viktor Hovland,74,63.24,652,"1,031",2020,102
55,T57,Bo Hoag,71,63.18,592,937,2020,102
56,47,Jon Rahm,58,63.11,515,816,2020,102
57,59,Rob Oppenheim,65,62.95,537,853,2020,102
58,60,Mark Hubbard,86,62.84,756,"1,203",2020,102
59,51,Billy Horschel,79,62.79,692,"1,102",2020,102
60,61,Zach Johnson,61,62.76,536,854,2020,102
61,62,Pat Perez,59,62.75,480,765,2020,102
62,64,Kevin Na,71,62.74,623,993,2020,102
63,63,Scott Piercy,66,62.68,576,919,2020,102
64,65,Zac Blair,70,62.62,578,923,2020,102
65,66,Wes Roach,42,62.61,350,559,2020,102
66,67,Rafa Cabrera Bello,53,62.55,461,737,2020,102
T67,T68,Michael Gellerman,46,62.52,367,587,2020,102
T67,T68,Chase Seiffert,56,62.52,472,755,2020,102
69,70,Adam Long,88,62.47,769,"1,231",2020,102
70,71,Adam Schenk,78,62.27,642,"1,031",2020,102
71,73,Russell Knox,67,62.20,548,881,2020,102
72,74,Harry Higgs,83,62.19,722,"1,161",2020,102
73,75,Nate Lashley,52,62.05,453,730,2020,102
74,76,Graeme McDowell,48,62.02,418,674,2020,102
75,77,Jhonattan Vegas,52,62.00,434,700,2020,102
76,78,Brandt Snedeker,53,61.94,459,741,2020,102
77,79,Harris English,76,61.75,657,"1,064",2020,102
78,72,Tyrrell Hatton,42,61.73,363,588,2020,102
79,80,Harold Varner III,74,61.69,636,"1,031",2020,102
80,81,Denny McCarthy,81,61.60,664,"1,078",2020,102
81,83,James Hahn,36,61.43,309,503,2020,102
82,84,Tommy Fleetwood,40,61.33,341,556,2020,102
83,85,Bill Haas,46,61.30,377,615,2020,102
84,82,Scottie Scheffler,82,61.24,703,"1,148",2020,102
85,86,Sam Ryder,74,61.22,600,980,2020,102
86,87,Robby Shelton,75,61.17,608,994,2020,102
87,88,Shane Lowry,44,60.95,373,612,2020,102
88,90,Dylan Frittelli,82,60.80,698,"1,148",2020,102
89,91,Rory Sabbatini,66,60.76,559,920,2020,102
90,92,Anirban Lahiri,35,60.74,297,489,2020,102
91,94,"Ted Potter, Jr.",46,60.65,373,615,2020,102
92,95,Louis Oosthuizen,48,60.63,405,668,2020,102
93,96,Sergio Garcia,44,60.62,371,612,2020,102
94,97,Tom Hoge,74,60.58,627,"1,035",2020,102
95,T103,Sebastián Muñoz,84,60.42,713,"1,180",2020,102
T96,T99,Hank Lebioda,57,60.34,464,769,2020,102
T96,T99,Justin Rose,38,60.34,321,532,2020,102
98,93,Xander Schauffele,70,60.31,591,980,2020,102
99,101,C.T. Pan,56,60.26,470,780,2020,102
100,102,Sepp Straka,70,60.20,590,980,2020,102
101,89,Ryan Palmer,68,60.08,572,952,2020,102
102,105,Gary Woodland,62,60.02,521,868,2020,102
103,106,Aaron Wise,49,59.94,377,629,2020,102
104,107,Brendan Steele,68,59.93,537,896,2020,102
105,108,Keegan Bradley,68,59.70,566,948,2020,102
106,109,Kristoffer Ventura,48,59.67,367,615,2020,102
107,110,Ian Poulter,48,59.58,398,668,2020,102
108,111,Bronson Burgoon,55,59.57,442,742,2020,102
109,112,Xinjun Zhang,77,59.52,641,"1,077",2020,102
T110,T113,Mark Anderson,51,59.51,391,657,2020,102
T110,T113,Aaron Baddeley,49,59.51,391,657,2020,102
112,115,Michael Gligic,52,59.46,399,671,2020,102
113,116,Chris Stroud,48,59.41,382,643,2020,102
114,117,Patrick Cantlay,46,59.35,384,647,2020,102
115,118,Bo Van Pelt,45,59.23,356,601,2020,102
116,119,Cameron Percy,49,59.21,373,630,2020,102
117,120,Matt Jones,76,59.17,629,"1,063",2020,102
118,98,Dustin Johnson,49,59.07,407,689,2020,102
119,121,Bud Cauley,65,59.02,504,854,2020,102
120,122,Matthew Wolff,74,58.98,611,"1,036",2020,102
121,123,Max Homa,70,58.94,577,979,2020,102
122,124,Cameron Davis,62,58.82,477,811,2020,102
123,125,Brian Gay,67,58.68,517,881,2020,102
124,126,Seamus Power,36,58.61,262,447,2020,102
125,128,Vincent Whaley,40,58.38,310,531,2020,102
126,129,Scott Harrington,68,58.36,555,951,2020,102
127,130,Talor Gooch,83,58.35,678,"1,162",2020,102
128,131,Keith Mitchell,64,58.32,522,895,2020,102
129,132,Roger Sloan,55,58.26,416,714,2020,102
130,133,Maverick McNealy,80,58.23,619,"1,063",2020,102
131,T134,Alex Noren,60,58.11,455,783,2020,102
132,136,Robert Streb,54,58.08,406,699,2020,102
133,137,Matt Every,47,58.03,365,629,2020,102
134,138,Richy Werenski,60,57.98,454,783,2020,102
135,139,Bubba Watson,66,57.93,533,920,2020,102
136,140,Ben Taylor,44,57.92,340,587,2020,102
137,141,J.J. Spaun,62,57.83,469,811,2020,102
138,142,Jason Kokrak,62,57.64,498,864,2020,102
139,144,Luke List,69,57.45,555,966,2020,102
T140,T149,Bryson DeChambeau,62,57.37,498,868,2020,102
T140,145,Will Gordon,36,57.37,257,448,2020,102
142,146,Joseph Bramlett,57,57.35,425,741,2020,102
143,148,Scott Stallings,71,57.31,537,937,2020,102
144,143,Justin Thomas,66,57.25,529,924,2020,102
145,147,Lanto Griffin,96,57.16,738,"1,291",2020,102
146,151,Danny Lee,69,57.07,549,962,2020,102
T147,T152,Andrew Putnam,46,57.03,365,640,2020,102
T147,T152,Si Woo Kim,78,57.03,588,"1,031",2020,102
149,T149,Hideki Matsuyama,74,56.98,588,"1,032",2020,102
150,154,Charley Hoffman,63,56.85,469,825,2020,102
151,159,Kevin Chappell,41,56.54,324,573,2020,102
152,157,Joaquin Niemann,76,56.48,601,"1,064",2020,102
153,160,Stewart Cink,51,56.38,402,713,2020,102
154,162,Cameron Champ,70,56.36,554,983,2020,102
155,155,Rory McIlroy,60,56.34,471,836,2020,102
156,171,Patrick Reed,74,56.08,581,"1,036",2020,102
157,163,Jason Day,53,55.90,412,737,2020,102
158,161,Mackenzie Hughes,70,55.77,546,979,2020,102
159,T164,Branden Grace,43,55.67,319,573,2020,102
160,166,Sung Kang,73,55.63,568,"1,021",2020,102
161,167,Adam Scott,38,55.49,293,528,2020,102
162,168,Nick Watney,46,55.45,341,615,2020,102
T163,T169,Danny Willett,40,55.36,310,560,2020,102
T163,T169,Carlos Ortiz,72,55.36,558,"1,008",2020,102
165,172,Sam Burns,60,54.80,445,812,2020,102
166,173,Charles Howell III,69,54.57,525,962,2020,102
167,175,Cameron Smith,64,54.46,488,896,2020,102
168,174,Peter Malnati,61,54.45,434,797,2020,102
169,177,Byeong Hun An,75,54.30,568,"1,046",2020,102
170,178,Tyler McCumber,57,54.25,402,741,2020,102
171,179,Grayson Murray,36,54.17,273,504,2020,102
T172,T180,Cameron Tringale,63,54.03,476,881,2020,102
T172,T180,Patton Kizzire,55,54.03,416,770,2020,102
174,182,Phil Mickelson,51,54.00,385,713,2020,102
175,183,Beau Hossler,71,53.90,505,937,2020,102
176,184,Brooks Koepka,40,53.75,301,560,2020,102
177,185,Zack Sucher,38,53.28,268,503,2020,102
178,186,Matt Wallace,44,53.08,327,616,2020,102
179,187,Patrick Rodgers,95,52.95,674,"1,273",2020,102
180,190,Wyndham Clark,65,52.18,443,849,2020,102
181,191,Jordan Spieth,62,52.14,450,863,2020,102
182,192,Rhein Gibson,54,51.93,363,699,2020,102
183,189,Marc Leishman,61,51.88,441,850,2020,102
184,188,Tony Finau,72,51.79,520,"1,004",2020,102
185,193,Dominic Bozzelli,38,51.69,260,503,2020,102
186,194,Sebastian Cappelen,55,51.15,379,741,2020,102
187,195,Brandon Hagy,50,51.01,328,643,2020,102
188,196,Nelson Ledesma,42,50.98,285,559,2020,102
189,197,Kevin Tway,52,49.85,333,668,2020,102
190,198,Ryan Brehm,52,48.78,341,699,2020,102
191,199,Martin Trainer,48,48.07,311,647,2020,102
192,200,Peter Uihlein,47,47.42,285,601,2020,102
193,201,Jimmy Walker,46,46.81,301,643,2020,102
