RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# BIRDIES,GREENS HIT,Year,Stat ID
96,98,Matthew Fitzpatrick,54,30.63,196,640,2020,115
97,99,Matt Wallace,44,30.62,154,503,2020,115
T98,T100,Doc Redman,82,30.58,319,"1,043",2020,115
T98,T100,Tom Hoge,74,30.58,267,873,2020,115
T100,T103,Martin Trainer,48,30.54,131,429,2020,115
T100,T103,Max Homa,70,30.54,248,812,2020,115
102,105,Zack Sucher,38,30.47,135,443,2020,115
103,106,Kyoung-Hoon Lee,76,30.45,257,844,2020,115
T104,T116,Harris English,76,30.44,295,969,2020,115
T104,107,Ryan Moore,48,30.44,165,542,2020,115
T106,T108,Zac Blair,70,30.41,229,753,2020,115
T106,T108,Will Gordon,36,30.41,125,411,2020,115
108,110,Tommy Fleetwood,40,30.37,147,484,2020,115
109,111,Henrik Norlander,74,30.35,285,939,2020,115
110,114,Dylan Frittelli,82,30.27,293,968,2020,115
111,115,Adam Schenk,78,30.24,277,916,2020,115
112,T116,Wes Roach,42,30.18,147,487,2020,115
113,118,Scott Harrington,68,30.16,238,789,2020,115
114,119,Carlos Ortiz,72,30.15,259,859,2020,115
115,120,Robby Shelton,75,30.08,256,851,2020,115
116,121,Louis Oosthuizen,48,30.07,169,562,2020,115
T117,T122,Beau Hossler,71,30.01,235,783,2020,115
T117,T122,Troy Merritt,72,30.01,244,813,2020,115
119,124,Sergio Garcia,44,30.00,162,540,2020,115
T120,T125,Zach Johnson,61,29.99,224,747,2020,115
T120,T125,Brian Stuard,83,29.99,284,947,2020,115
122,127,Cameron Tringale,63,29.95,236,788,2020,115
123,128,Harry Higgs,83,29.92,295,986,2020,115
124,129,Tyler McCumber,57,29.91,189,632,2020,115
125,130,Sebastian Cappelen,55,29.90,183,612,2020,115
126,131,Andrew Landry,63,29.89,217,726,2020,115
127,132,Ryan Brehm,52,29.87,184,616,2020,115
128,133,Sung Kang,73,29.86,255,854,2020,115
129,134,Chase Seiffert,56,29.85,197,660,2020,115
130,135,Sepp Straka,70,29.81,251,842,2020,115
131,136,Brandt Snedeker,53,29.73,187,629,2020,115
132,137,Tyler Duncan,83,29.72,299,"1,006",2020,115
133,138,Nick Taylor,59,29.66,210,708,2020,115
134,139,Michael Gellerman,46,29.65,153,516,2020,115
135,140,D.J. Trahan,49,29.64,171,577,2020,115
136,141,Rory Sabbatini,66,29.59,229,774,2020,115
137,142,Michael Gligic,52,29.53,171,579,2020,115
138,143,Bubba Watson,66,29.50,236,800,2020,115
139,146,Marc Leishman,61,29.46,198,672,2020,115
140,144,Charles Howell III,69,29.43,251,853,2020,115
141,145,Luke List,69,29.35,253,862,2020,115
142,147,Hank Lebioda,57,29.28,195,666,2020,115
T143,T148,Aaron Wise,49,29.21,170,582,2020,115
T143,T148,Austin Cook,64,29.21,215,736,2020,115
145,150,Ben Martin,38,29.20,127,435,2020,115
146,151,Joseph Bramlett,57,29.19,195,668,2020,115
147,152,Matthew NeSmith,72,29.16,249,854,2020,115
148,153,Adam Hadwin,65,29.15,232,796,2020,115
149,154,Branden Grace,43,29.11,147,505,2020,115
150,155,Jason Kokrak,62,29.02,222,765,2020,115
151,156,Stewart Cink,51,29.01,181,624,2020,115
152,157,Fabián Gómez,59,28.96,190,656,2020,115
153,158,Emiliano Grillo,69,28.95,242,836,2020,115
154,159,Scott Piercy,66,28.89,221,765,2020,115
155,160,Pat Perez,59,28.84,201,697,2020,115
156,161,Kyle Stanley,57,28.76,199,692,2020,115
157,162,James Hahn,36,28.73,129,449,2020,115
158,163,Michael Thompson,62,28.63,207,723,2020,115
T159,T164,Kevin Tway,52,28.52,154,540,2020,115
T159,T164,Graeme McDowell,48,28.52,156,547,2020,115
161,166,Corey Conners,74,28.50,271,951,2020,115
T162,T167,Tim Wilkinson,50,28.49,159,558,2020,115
T162,T167,Paul Casey,56,28.49,202,709,2020,115
164,169,Robert Streb,54,28.48,172,604,2020,115
165,170,Roger Sloan,55,28.43,170,598,2020,115
166,171,Shane Lowry,44,28.42,156,549,2020,115
167,172,David Hearn,55,28.38,174,613,2020,115
168,173,Nate Lashley,52,28.36,171,603,2020,115
169,174,Scott Brown,64,28.34,210,741,2020,115
170,177,Cameron Percy,49,28.24,159,563,2020,115
171,178,Brice Garnett,58,28.12,205,729,2020,115
172,179,Andrew Putnam,46,28.03,148,528,2020,115
173,180,Bo Hoag,71,28.00,236,843,2020,115
174,181,Martin Laird,39,27.90,137,491,2020,115
175,182,Russell Knox,67,27.83,221,794,2020,115
176,183,"Ted Potter, Jr.",46,27.71,151,545,2020,115
177,184,Keegan Bradley,68,27.65,224,810,2020,115
178,185,Bill Haas,46,27.64,152,550,2020,115
179,186,Bud Cauley,65,27.62,198,717,2020,115
180,187,Arjun Atwal,35,27.37,101,369,2020,115
181,188,Doug Ghim,44,27.20,136,500,2020,115
182,189,Rob Oppenheim,65,27.14,193,711,2020,115
T183,T190,Russell Henley,67,26.95,218,809,2020,115
T183,T190,Chris Baker,53,26.95,166,616,2020,115
185,192,Ben Taylor,44,26.78,139,519,2020,115
186,193,Chez Reavie,77,26.46,245,926,2020,115
187,194,Jim Herman,60,26.34,182,691,2020,115
188,196,Kramer Hickok,51,25.90,151,583,2020,115
189,197,Jason Dufner,62,25.76,195,757,2020,115
190,198,Mark Anderson,51,25.40,143,563,2020,115
191,199,C.T. Pan,56,25.30,171,676,2020,115
192,200,Bo Van Pelt,45,24.90,125,502,2020,115
193,201,Jim Furyk,39,24.81,129,520,2020,115
