RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# BIRDIES,GREENS HIT,Year,Stat ID
1,1,Dominic Bozzelli,38,36.61,149,407,2020,115
2,3,Webb Simpson,52,36.31,240,661,2020,115
3,5,Justin Thomas,66,35.64,294,825,2020,115
4,2,Bryson DeChambeau,62,35.52,271,763,2020,115
5,4,Patrick Reed,74,35.37,307,868,2020,115
6,6,Daniel Berger,64,35.24,271,769,2020,115
7,7,Dustin Johnson,49,35.20,214,608,2020,115
8,9,Justin Rose,38,34.88,150,430,2020,115
9,13,Rory McIlroy,60,34.47,252,731,2020,115
10,14,Tyrrell Hatton,42,34.42,180,523,2020,115
11,T10,Kristoffer Ventura,48,34.40,183,532,2020,115
12,12,Seamus Power,36,34.34,137,399,2020,115
13,T10,Scottie Scheffler,82,34.28,349,"1,018",2020,115
14,15,Denny McCarthy,81,34.19,319,933,2020,115
15,16,Charley Hoffman,63,33.79,245,725,2020,115
16,17,Grayson Murray,36,33.74,139,412,2020,115
T17,T18,Jordan Spieth,62,33.72,234,694,2020,115
T17,T18,Wyndham Clark,65,33.72,231,685,2020,115
19,20,Chesson Hadley,62,33.52,245,731,2020,115
20,21,Bronson Burgoon,55,33.49,213,636,2020,115
21,22,Danny Lee,69,33.46,272,813,2020,115
22,23,Patrick Cantlay,46,33.45,189,565,2020,115
23,24,Ian Poulter,48,33.40,180,539,2020,115
24,T25,Jon Rahm,58,33.38,244,731,2020,115
25,T25,Rickie Fowler,44,33.33,175,525,2020,115
26,36,Xander Schauffele,70,33.30,297,892,2020,115
27,35,Cameron Smith,64,33.29,245,736,2020,115
28,28,Sungjae Im,94,33.27,377,"1,133",2020,115
29,29,Tony Finau,72,33.26,296,890,2020,115
30,32,Maverick McNealy,80,33.11,298,900,2020,115
31,33,Cameron Champ,70,32.98,281,852,2020,115
32,34,Aaron Baddeley,49,32.97,181,549,2020,115
33,37,Matt Every,47,32.76,172,525,2020,115
34,38,Brian Harman,78,32.75,301,919,2020,115
35,44,Ryan Palmer,68,32.71,263,804,2020,115
36,39,Vincent Whaley,40,32.68,149,456,2020,115
37,55,Collin Morikawa,80,32.66,323,989,2020,115
38,40,J.T. Poston,78,32.64,296,907,2020,115
39,41,Gary Woodland,62,32.63,248,760,2020,115
40,31,Viktor Hovland,74,32.60,296,908,2020,115
41,27,Kevin Na,71,32.59,263,807,2020,115
T42,T42,Patton Kizzire,55,32.55,208,639,2020,115
T42,T42,Cameron Davis,62,32.55,234,719,2020,115
44,52,Sebastián Muñoz,84,32.44,325,"1,002",2020,115
45,45,Xinjun Zhang,77,32.42,296,913,2020,115
46,46,Brian Gay,67,32.38,237,732,2020,115
47,47,Phil Mickelson,51,32.36,188,581,2020,115
48,T48,Vaughn Taylor,61,32.33,226,699,2020,115
49,50,Anirban Lahiri,35,32.32,138,427,2020,115
50,51,Sam Burns,60,32.28,225,697,2020,115
51,53,Peter Malnati,61,32.24,206,639,2020,115
52,56,Matthew Wolff,74,32.17,286,889,2020,115
53,57,Si Woo Kim,78,32.15,280,871,2020,115
54,T48,Hideki Matsuyama,74,32.05,291,908,2020,115
55,58,Kevin Chappell,41,32.02,154,481,2020,115
56,60,Lanto Griffin,96,31.98,346,"1,082",2020,115
57,59,Chris Stroud,48,31.96,171,535,2020,115
58,66,Billy Horschel,79,31.81,299,940,2020,115
59,62,Alex Noren,60,31.69,206,650,2020,115
60,63,Mark Hubbard,86,31.68,326,"1,029",2020,115
61,64,Matt Kuchar,56,31.65,207,654,2020,115
T62,61,Brendon Todd,86,31.59,320,"1,013",2020,115
T62,65,Keith Mitchell,64,31.59,236,747,2020,115
64,67,Sam Ryder,74,31.50,263,835,2020,115
65,68,Richy Werenski,60,31.49,211,670,2020,115
T66,T69,Jhonattan Vegas,52,31.43,198,630,2020,115
T66,T69,Peter Uihlein,47,31.43,165,525,2020,115
68,T71,Brooks Koepka,40,31.39,151,481,2020,115
69,73,Brendan Steele,68,31.38,246,784,2020,115
70,T71,Abraham Ancer,74,31.35,279,890,2020,115
71,74,Danny Willett,40,31.33,141,450,2020,115
72,75,Jason Day,53,31.28,193,617,2020,115
73,83,Kevin Kisner,73,31.27,268,857,2020,115
74,77,Rafa Cabrera Bello,53,31.20,190,609,2020,115
75,78,Adam Scott,38,31.18,145,465,2020,115
76,79,Lucas Glover,67,31.16,258,828,2020,115
T77,76,Joaquin Niemann,76,31.15,295,947,2020,115
T77,80,J.J. Spaun,62,31.15,214,687,2020,115
79,81,Scott Stallings,71,31.14,260,835,2020,115
80,82,Byeong Hun An,75,31.11,275,884,2020,115
81,84,Talor Gooch,83,31.07,311,"1,001",2020,115
82,85,Josh Teater,43,31.05,163,525,2020,115
83,86,Matt Jones,76,31.01,280,903,2020,115
T84,T87,Nick Watney,46,30.99,172,555,2020,115
T84,T87,Patrick Rodgers,95,30.99,339,"1,094",2020,115
86,89,Joel Dahmen,79,30.91,280,906,2020,115
87,90,Rhein Gibson,54,30.89,181,586,2020,115
T88,91,Adam Long,88,30.87,330,"1,069",2020,115
T88,113,Mackenzie Hughes,70,30.87,246,797,2020,115
90,92,Ryan Armour,60,30.83,218,707,2020,115
91,93,Kevin Streelman,73,30.81,273,886,2020,115
92,94,Brandon Hagy,50,30.77,172,559,2020,115
93,95,Jimmy Walker,46,30.68,158,515,2020,115
94,96,Nelson Ledesma,42,30.67,138,450,2020,115
95,97,Harold Varner III,74,30.64,288,940,2020,115
