RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR,Year,Stat ID
1,1,Tommy Fleetwood,71,67.98,259,381,2019,130
2,2,Webb Simpson,81,66.88,321,480,2019,130
3,3,Patrick Cantlay,77,66.12,281,425,2019,130
4,4,Aaron Baddeley,55,65.84,239,363,2019,130
5,5,Lucas Glover,94,64.73,334,516,2019,130
6,7,Matt Jones,88,64.55,326,505,2019,130
7,6,Sungjae Im,122,64.53,444,688,2019,130
8,8,Ernie Els,51,64.38,206,320,2019,130
T9,T9,Denny McCarthy,89,64.31,319,496,2019,130
T9,T9,Brian Stuard,98,64.31,382,594,2019,130
11,11,Jonathan Byrd,55,64.17,197,307,2019,130
12,15,Hideki Matsuyama,91,64.12,311,485,2019,130
13,12,Jim Furyk,73,64.10,241,376,2019,130
14,13,Bud Cauley,82,64.05,310,484,2019,130
15,14,Kiradech Aphibarnrat,65,64.02,274,428,2019,130
16,20,Marc Leishman,76,64.00,272,425,2019,130
17,16,Scott Piercy,90,63.93,296,463,2019,130
18,17,Rory Sabbatini,97,63.90,354,554,2019,130
19,18,Ryan Armour,92,63.87,343,537,2019,130
20,19,C.T. Pan,84,63.71,337,529,2019,130
21,21,Vaughn Taylor,93,63.54,345,543,2019,130
22,22,Si Woo Kim,87,63.51,329,518,2019,130
23,23,Stephan Jaeger,77,63.45,276,435,2019,130
24,25,Jimmy Walker,74,63.40,298,470,2019,130
25,29,Rory McIlroy,72,63.38,244,385,2019,130
T26,26,Brandt Snedeker,102,63.04,394,625,2019,130
T26,27,Matt Kuchar,87,63.04,278,441,2019,130
T28,30,Francesco Molinari,61,62.99,223,354,2019,130
T28,28,Patrick Reed,93,62.99,337,535,2019,130
T30,31,Wes Roach,69,62.94,231,367,2019,130
T30,24,Charles Howell III,94,62.94,304,483,2019,130
32,32,Sam Ryder,76,62.89,261,415,2019,130
33,33,J.T. Poston,100,62.83,360,573,2019,130
34,34,Michael Thompson,71,62.79,275,438,2019,130
35,35,Russell Henley,78,62.69,252,402,2019,130
36,36,Peter Malnati,87,62.64,337,538,2019,130
37,37,Dylan Frittelli,83,62.63,290,463,2019,130
38,40,Anders Albertson,68,62.37,232,372,2019,130
39,41,Roberto Castro,76,62.35,255,409,2019,130
40,50,Bryson DeChambeau,75,62.33,273,438,2019,130
41,42,Henrik Stenson,58,62.30,190,305,2019,130
42,46,Brooks Koepka,81,62.25,249,400,2019,130
43,T48,Xander Schauffele,77,62.23,262,421,2019,130
44,43,Graeme McDowell,75,62.22,280,450,2019,130
45,44,Tony Finau,89,62.20,306,492,2019,130
T46,39,Justin Rose,66,62.09,244,393,2019,130
T46,45,Russell Knox,79,62.09,249,401,2019,130
48,47,Nate Lashley,70,62.06,247,398,2019,130
49,T48,Jordan Spieth,82,62.00,328,529,2019,130
50,38,Abraham Ancer,93,61.98,326,526,2019,130
51,51,Zach Johnson,64,61.95,267,431,2019,130
52,52,Daniel Berger,70,61.84,256,414,2019,130
53,53,Pat Perez,68,61.76,239,387,2019,130
54,54,Joey Garber,63,61.74,213,345,2019,130
55,55,Bill Haas,77,61.73,271,439,2019,130
56,T56,Brian Gay,93,61.65,352,571,2019,130
57,58,Julián Etulain,70,61.59,263,427,2019,130
58,59,Shawn Stefani,80,61.56,253,411,2019,130
59,60,Billy Horschel,99,61.38,329,536,2019,130
60,80,Justin Thomas,75,61.32,233,380,2019,130
61,61,Wyndham Clark,87,61.23,319,521,2019,130
62,62,J.J. Henry,58,61.22,191,312,2019,130
63,64,Cameron Tringale,73,61.13,217,355,2019,130
T64,71,Kevin Kisner,97,61.06,312,511,2019,130
T64,65,Martin Laird,88,61.06,265,434,2019,130
T66,T66,Mackenzie Hughes,80,61.05,290,475,2019,130
T66,T66,Kevin Tway,84,61.05,290,475,2019,130
68,68,Seamus Power,80,61.02,299,490,2019,130
69,69,Roberto Díaz,73,60.87,238,391,2019,130
T70,72,Nick Taylor,97,60.77,333,548,2019,130
T70,63,Rickie Fowler,76,60.77,268,441,2019,130
72,73,Cameron Smith,79,60.74,294,484,2019,130
73,74,Scott Brown,86,60.73,300,494,2019,130
74,75,Adam Schenk,102,60.71,343,565,2019,130
75,T76,Adam Svensson,73,60.70,224,369,2019,130
T76,78,Fabián Gómez,62,60.67,216,356,2019,130
T76,T76,Jason Kokrak,94,60.67,307,506,2019,130
78,79,Ryan Blaum,90,60.54,313,517,2019,130
