RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR,Year,Stat ID
1,1,Bud Cauley,65,66.99,69,103,+21.00,2020,111
2,2,Jason Day,53,65.49,74,113,+11.00,2020,111
3,3,Adam Hadwin,65,65.05,67,103,+18.00,2020,111
4,T8,Bryson DeChambeau,62,62.89,61,97,+8.00,2020,111
5,5,Justin Thomas,66,62.50,65,104,+21.00,2020,111
6,6,Brendon Todd,86,61.60,77,125,+26.00,2020,111
7,7,Shane Lowry,44,61.54,40,65,+12.00,2020,111
8,T8,Maverick McNealy,80,61.36,81,132,+34.00,2020,111
9,10,Justin Rose,38,61.29,38,62,+13.00,2020,111
10,11,Brian Harman,78,60.98,75,123,+29.00,2020,111
11,12,Patrick Reed,74,60.61,80,132,+30.00,2020,111
12,13,Rory Sabbatini,66,59.83,70,117,+27.00,2020,111
13,29,Daniel Berger,64,59.81,64,107,+18.00,2020,111
14,14,Matt Wallace,44,59.30,51,86,+35.00,2020,111
T15,15,Sungjae Im,94,58.82,90,153,+33.00,2020,111
T15,53,Jon Rahm,58,58.82,50,85,+14.00,2020,111
17,17,Alex Noren,60,58.59,58,99,+23.00,2020,111
18,18,Matt Kuchar,56,58.43,52,89,+21.00,2020,111
19,19,Matt Jones,76,58.33,84,144,+27.00,2020,111
20,20,Fabián Gómez,59,58.23,46,79,+19.00,2020,111
21,21,Brandon Hagy,50,58.21,39,67,+13.00,2020,111
22,22,Pat Perez,59,57.83,48,83,+29.00,2020,111
23,23,Scott Harrington,68,57.72,71,123,+23.00,2020,111
24,24,Peter Uihlein,47,57.69,30,52,+10.00,2020,111
25,16,Cameron Smith,64,57.52,65,113,+40.00,2020,111
26,25,J.T. Poston,78,57.25,79,138,+31.00,2020,111
27,26,Michael Thompson,62,57.14,60,105,+25.00,2020,111
28,27,Cameron Davis,62,56.99,53,93,+19.00,2020,111
29,28,Tommy Fleetwood,40,56.92,37,65,+11.00,2020,111
30,30,Danny Willett,40,56.76,42,74,+8.00,2020,111
31,31,Chez Reavie,77,56.67,68,120,+32.00,2020,111
32,32,Phil Mickelson,51,56.60,60,106,+27.00,2020,111
33,T68,Xander Schauffele,70,56.44,57,101,+17.00,2020,111
34,T49,Webb Simpson,52,56.34,40,71,+10.00,2020,111
