RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR,Year,Stat ID
1,1,Francesco Molinari,61,65.33,49,75,+12.00,2019,111
2,3,Ernie Els,51,64.47,49,76,+14.00,2019,111
3,2,Dustin Johnson,73,63.86,53,83,+5.00,2019,111
4,4,Tommy Fleetwood,71,63.54,61,96,+5.00,2019,111
5,T8,Webb Simpson,81,62.96,85,135,+23.00,2019,111
6,T6,Talor Gooch,54,62.50,50,80,+22.00,2019,111
7,T8,Sam Ryder,76,62.40,78,125,+24.00,2019,111
8,5,Brandt Snedeker,102,62.29,109,175,+39.00,2019,111
9,10,Ian Poulter,65,62.04,67,108,+25.00,2019,111
10,11,Jimmy Walker,74,61.76,84,136,+34.00,2019,111
11,T12,Justin Rose,66,61.68,66,107,+23.00,2019,111
12,T12,Ben Silverman,70,61.17,63,103,+20.00,2019,111
13,14,Andrew Putnam,81,61.02,72,118,+33.00,2019,111
14,15,Matt Kuchar,87,60.82,59,97,+21.00,2019,111
15,18,Russell Knox,79,59.57,56,94,+24.00,2019,111
16,24,Lucas Glover,94,59.12,81,137,+17.00,2019,111
17,26,Patrick Reed,93,58.82,90,153,+21.00,2019,111
18,19,Cameron Smith,79,58.68,71,121,+30.00,2019,111
19,20,Byeong Hun An,80,58.52,79,135,+25.00,2019,111
20,21,Harold Varner III,84,58.47,69,118,+34.00,2019,111
21,22,Brian Harman,91,58.45,83,142,+29.00,2019,111
22,27,Brooks Koepka,81,58.43,52,89,+13.00,2019,111
23,38,Marc Leishman,76,58.21,78,134,+32.00,2019,111
24,T16,Louis Oosthuizen,71,58.12,68,117,+30.00,2019,111
25,T16,Patrick Cantlay,77,58.04,65,112,+18.00,2019,111
26,23,Sung Kang,86,57.75,82,142,+43.00,2019,111
27,25,C.T. Pan,84,57.45,81,141,+43.00,2019,111
28,28,Vaughn Taylor,93,56.69,89,157,+46.00,2019,111
29,29,Seamus Power,80,56.64,64,113,+18.00,2019,111
30,30,Graeme McDowell,75,56.62,77,136,+47.00,2019,111
31,31,Si Woo Kim,87,56.60,90,159,+34.00,2019,111
32,32,Roger Sloan,88,56.52,78,138,+50.00,2019,111
33,33,Bud Cauley,82,56.43,79,140,+36.00,2019,111
34,T34,Daniel Berger,70,56.20,68,121,+33.00,2019,111
35,36,Adam Hadwin,86,55.94,80,143,+44.00,2019,111
36,37,Wyndham Clark,87,55.91,71,127,+30.00,2019,111
37,T34,Xander Schauffele,77,55.65,69,124,+28.00,2019,111
T38,T39,Dominic Bozzelli,73,55.56,60,108,+23.00,2019,111
T38,T39,Rory Sabbatini,97,55.56,80,144,+39.00,2019,111
40,46,Adam Scott,63,55.45,56,101,+27.00,2019,111
41,41,Peter Uihlein,84,55.38,72,130,+29.00,2019,111
42,T54,Rory McIlroy,72,55.34,57,103,+24.00,2019,111
43,42,Kevin Na,65,55.26,63,114,+30.00,2019,111
44,43,Phil Mickelson,63,55.10,54,98,+37.00,2019,111
45,45,Michael Thompson,71,54.93,78,142,+36.00,2019,111
46,44,Rickie Fowler,76,54.79,80,146,+31.00,2019,111
47,47,Cameron Tringale,73,54.65,47,86,+21.00,2019,111
48,48,Hudson Swafford,59,54.64,53,97,+23.00,2019,111
49,49,Anirban Lahiri,73,54.63,59,108,+39.00,2019,111
50,50,Jordan Spieth,82,54.61,77,141,+51.00,2019,111
51,51,Aaron Baddeley,55,54.55,54,99,+31.00,2019,111
52,52,Stephan Jaeger,77,54.31,63,116,+23.00,2019,111
53,53,Joaquin Niemann,98,54.12,92,170,+30.00,2019,111
54,T54,Zach Johnson,64,54.08,53,98,+19.00,2019,111
55,56,Tyrrell Hatton,62,53.76,50,93,+26.00,2019,111
56,60,Hideki Matsuyama,91,53.74,79,147,+43.00,2019,111
57,57,Danny Willett,63,53.64,59,110,+24.00,2019,111
58,58,Ryan Armour,92,53.62,74,138,+44.00,2019,111
59,59,Jim Furyk,73,53.41,47,88,+29.00,2019,111
60,61,Danny Lee,83,53.19,75,141,+37.00,2019,111
61,62,Martin Trainer,63,53.13,51,96,+27.00,2019,111
T62,T63,Matt Jones,88,53.10,77,145,+35.00,2019,111
T62,T63,J.B. Holmes,78,53.10,60,113,+29.00,2019,111
64,65,Rafa Cabrera Bello,71,53.06,78,147,+47.00,2019,111
65,66,Scott Langley,78,53.04,61,115,+47.00,2019,111
66,67,Brian Stuard,98,52.90,73,138,+53.00,2019,111
67,68,Shawn Stefani,80,52.88,55,104,+25.00,2019,111
68,69,J.T. Poston,100,52.84,93,176,+40.00,2019,111
69,T73,Jon Rahm,75,52.83,56,106,+19.00,2019,111
70,71,Kiradech Aphibarnrat,65,52.73,58,110,+51.00,2019,111
71,72,Chris Stroud,70,52.63,50,95,+24.00,2019,111
72,85,Justin Thomas,75,52.58,51,97,+18.00,2019,111
73,T73,Roberto Díaz,73,52.43,54,103,+25.00,2019,111
74,75,Jason Day,69,52.38,55,105,+30.00,2019,111
75,76,Beau Hossler,87,52.35,78,149,+29.00,2019,111
76,77,Bill Haas,77,52.34,56,107,+36.00,2019,111
77,70,Bryson DeChambeau,75,52.29,57,109,+32.00,2019,111
78,79,Brady Schnell,53,52.24,35,67,+26.00,2019,111
79,80,Anders Albertson,68,52.17,48,92,+30.00,2019,111
80,81,Nate Lashley,70,52.13,49,94,+30.00,2019,111
81,78,Corey Conners,90,51.82,71,137,+38.00,2019,111
82,82,Kyoung-Hoon Lee,92,51.77,73,141,+54.00,2019,111
83,83,Chesson Hadley,76,51.69,61,118,+39.00,2019,111
84,84,José de Jesús Rodríguez,67,51.67,62,120,+36.00,2019,111
85,86,Ollie Schniederjans,77,51.45,71,138,+48.00,2019,111
86,87,Harris English,97,51.37,75,146,+45.00,2019,111
87,88,Sangmoon Bae,60,51.25,41,80,+21.00,2019,111
88,89,Jason Dufner,74,50.74,69,136,+42.00,2019,111
T89,T90,David Hearn,55,50.68,37,73,+23.00,2019,111
T89,T90,Keith Mitchell,86,50.68,74,146,+43.00,2019,111
91,92,Patton Kizzire,76,50.42,60,119,+45.00,2019,111
92,T98,Gary Woodland,87,50.41,61,121,+25.00,2019,111
93,93,Scott Stallings,82,50.39,65,129,+40.00,2019,111
T94,T94,Kevin Streelman,83,50.37,68,135,+38.00,2019,111
T94,T94,Scott Piercy,90,50.37,68,135,+33.00,2019,111
96,96,Nick Watney,87,50.35,71,141,+41.00,2019,111
97,97,Joel Dahmen,100,50.32,79,157,+62.00,2019,111
T98,T98,Carlos Ortiz,84,50.00,57,114,+32.00,2019,111
T98,T98,Peter Malnati,87,50.00,67,134,+47.00,2019,111
T98,T98,Branden Grace,76,50.00,55,110,+47.00,2019,111
T98,T98,Scott Brown,86,50.00,72,144,+40.00,2019,111
T98,T98,Andrew Landry,80,50.00,55,110,+42.00,2019,111
T98,T98,Kevin Tway,84,50.00,63,126,+37.00,2019,111
T98,T98,Bronson Burgoon,59,50.00,49,98,+37.00,2019,111
T98,T98,Pat Perez,68,50.00,46,92,+40.00,2019,111
T98,T98,Sergio Garcia,53,50.00,38,76,+22.00,2019,111
T98,T98,Joey Garber,63,50.00,47,94,+28.00,2019,111
T98,T98,Adam Schenk,102,50.00,68,136,+43.00,2019,111
109,110,Tom Hoge,98,49.65,70,141,+37.00,2019,111
110,T111,Ryan Blaum,90,49.62,66,133,+39.00,2019,111
111,113,Kyle Stanley,81,49.61,63,127,+47.00,2019,111
112,114,Adam Long,76,49.59,61,123,+40.00,2019,111
113,115,Bubba Watson,65,49.47,47,95,+25.00,2019,111
114,130,Tony Finau,89,49.38,80,162,+38.00,2019,111
115,T116,Henrik Stenson,58,49.33,37,75,+20.00,2019,111
116,118,Dylan Frittelli,83,49.15,58,118,+25.00,2019,111
117,119,Martin Laird,88,49.11,55,112,+30.00,2019,111
118,126,Sungjae Im,122,48.95,93,190,+59.00,2019,111
119,T111,Chez Reavie,99,48.92,68,139,+47.00,2019,111
120,120,Austin Cook,68,48.89,66,135,+43.00,2019,111
121,121,Sebastián Muñoz,86,48.82,62,127,+32.00,2019,111
122,122,Troy Merritt,69,48.78,40,82,+31.00,2019,111
123,123,Denny McCarthy,89,48.76,59,121,+41.00,2019,111
T124,T124,Brandon Harkins,91,48.65,72,148,+54.00,2019,111
T124,T124,Kelly Kraft,87,48.65,72,148,+58.00,2019,111
126,127,Brian Gay,93,48.25,69,143,+59.00,2019,111
127,128,Aaron Wise,72,48.19,40,83,+27.00,2019,111
128,129,Curtis Luck,65,48.04,49,102,+36.00,2019,111
129,131,Emiliano Grillo,85,47.93,58,121,+37.00,2019,111
T130,T132,Billy Horschel,99,47.86,67,140,+43.00,2019,111
T130,T132,Sam Saunders,78,47.86,56,117,+38.00,2019,111
132,135,Matthew Fitzpatrick,54,47.67,41,86,+34.00,2019,111
133,137,Julián Etulain,70,47.54,58,122,+38.00,2019,111
134,136,Charles Howell III,94,47.52,67,141,+47.00,2019,111
135,150,Jason Kokrak,94,47.50,57,120,+31.00,2019,111
136,138,Adam Svensson,73,47.37,45,95,+29.00,2019,111
137,139,Alex Prugh,77,47.31,44,93,+34.00,2019,111
138,141,J.J. Spaun,90,47.12,49,104,+33.00,2019,111
139,142,Roberto Castro,76,46.94,46,98,+27.00,2019,111
140,143,Cameron Davis,76,46.81,44,94,+31.00,2019,111
141,144,Nick Taylor,97,46.79,73,156,+43.00,2019,111
142,145,Robert Streb,80,46.67,56,120,+46.00,2019,111
143,140,Abraham Ancer,93,46.62,62,133,+44.00,2019,111
