RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR,Year,Stat ID
144,146,Hunter Mahan,59,46.60,48,103,+38.00,2019,111
T145,T147,Jonas Blixt,82,46.55,54,116,+35.00,2019,111
T145,T147,Michael Kim,61,46.55,54,116,+56.00,2019,111
147,149,Luke List,66,46.46,59,127,+36.00,2019,111
148,152,Rod Pampling,56,46.23,49,106,+41.00,2019,111
149,153,Chase Wright,75,46.08,47,102,+36.00,2019,111
150,154,Patrick Rodgers,55,46.07,41,89,+30.00,2019,111
151,159,Kevin Kisner,97,45.83,66,144,+58.00,2019,111
T152,T155,Ryan Moore,74,45.53,56,123,+40.00,2019,111
T152,T155,Whee Kim,73,45.53,56,123,+54.00,2019,111
154,157,Fabián Gómez,62,45.35,39,86,+25.00,2019,111
155,158,Richy Werenski,89,45.24,57,126,+41.00,2019,111
156,160,Keegan Bradley,89,44.92,53,118,+39.00,2019,111
157,161,Tyler Duncan,89,44.55,45,101,+41.00,2019,111
158,162,Alex Noren,63,44.54,53,119,+46.00,2019,111
159,163,Trey Mullinax,77,44.44,48,108,+31.00,2019,111
160,164,Brice Garnett,87,44.36,59,133,+41.00,2019,111
161,165,Max Homa,82,44.20,61,138,+60.00,2019,111
162,166,Jim Herman,52,44.16,34,77,+31.00,2019,111
163,173,Paul Casey,79,43.70,52,119,+39.00,2019,111
164,167,Kramer Hickok,79,43.64,48,110,+41.00,2019,111
T165,T168,Hank Lebioda,76,43.43,43,99,+32.00,2019,111
T165,T168,Jhonattan Vegas,75,43.43,43,99,+41.00,2019,111
167,170,John Chin,58,43.37,36,83,+32.00,2019,111
168,171,Russell Henley,78,43.27,45,104,+39.00,2019,111
169,172,Ryan Palmer,74,42.73,47,110,+39.00,2019,111
170,174,Freddie Jacobson,53,42.47,31,73,+32.00,2019,111
171,175,Alex Cejka,58,41.98,34,81,+37.00,2019,111
172,176,"Ted Potter, Jr.",73,41.79,56,134,+62.00,2019,111
173,177,Jim Knous,57,41.46,34,82,+29.00,2019,111
174,178,Cody Gribble,74,41.30,38,92,+51.00,2019,111
175,179,Jonathan Byrd,55,41.18,28,68,+32.00,2019,111
176,180,Sam Burns,80,41.09,53,129,+58.00,2019,111
177,181,Sepp Straka,78,41.07,46,112,+35.00,2019,111
178,182,Mackenzie Hughes,80,40.68,48,118,+47.00,2019,111
179,183,Wes Roach,69,40.66,37,91,+27.00,2019,111
180,184,Seth Reeves,73,40.38,42,104,+45.00,2019,111
181,185,Johnson Wagner,64,40.24,33,82,+28.00,2019,111
182,186,J.J. Henry,58,39.76,33,83,+33.00,2019,111
183,187,Charley Hoffman,74,39.32,46,117,+50.00,2019,111
184,188,Kyle Jones,72,39.00,39,100,+39.00,2019,111
T185,T189,Brendan Steele,68,38.95,37,95,+40.00,2019,111
T185,T189,Satoshi Kodaira,67,38.95,37,95,+54.00,2019,111
187,191,Josh Teater,73,37.50,36,96,+42.00,2019,111
188,192,Cameron Champ,78,37.04,40,108,+44.00,2019,111
