RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR,Year,Stat ID
1,1,Daniel Berger,64,67.45,257,381,2020,130
2,4,Xander Schauffele,70,66.49,244,367,2020,130
3,2,Brendon Todd,86,66.10,353,534,2020,130
4,5,Kevin Na,71,65.96,310,470,2020,130
5,6,Russell Henley,67,65.42,210,321,2020,130
6,3,Harris English,76,65.33,260,398,2020,130
7,8,Adam Schenk,78,65.29,269,412,2020,130
8,11,Mark Anderson,51,65.12,183,281,2020,130
9,12,Brian Harman,78,64.94,313,482,2020,130
10,10,Abraham Ancer,74,64.77,285,440,2020,130
11,T22,Jon Rahm,58,64.52,200,310,2020,130
12,7,Webb Simpson,52,64.47,176,273,2020,130
13,15,Bud Cauley,65,64.29,243,378,2020,130
14,16,Cameron Tringale,63,64.24,221,344,2020,130
15,17,David Hearn,55,64.14,195,304,2020,130
16,14,Kevin Kisner,73,63.96,291,455,2020,130
17,13,Bryson DeChambeau,62,63.92,225,352,2020,130
18,18,Kramer Hickok,51,63.76,190,298,2020,130
19,T22,Hideki Matsuyama,74,63.72,267,419,2020,130
20,20,Alex Noren,60,63.66,226,355,2020,130
21,T30,Patrick Reed,74,63.64,294,462,2020,130
22,24,Russell Knox,67,63.42,215,339,2020,130
23,21,Lanto Griffin,96,63.40,362,571,2020,130
24,25,Tim Wilkinson,50,63.33,171,270,2020,130
25,19,Justin Thomas,66,63.16,228,361,2020,130
26,26,Brandt Snedeker,53,63.08,205,325,2020,130
27,27,Ben Martin,38,62.91,134,213,2020,130
28,28,Jason Day,53,62.80,211,336,2020,130
29,29,Carlos Ortiz,72,62.65,270,431,2020,130
30,32,Maverick McNealy,80,62.53,292,467,2020,130
31,33,Sebastián Muñoz,84,62.48,318,509,2020,130
32,34,Shane Lowry,44,62.40,151,242,2020,130
33,35,Brian Stuard,83,62.28,317,509,2020,130
34,36,Ian Poulter,48,62.23,201,323,2020,130
35,T30,Sungjae Im,94,62.12,346,557,2020,130
36,37,Zach Johnson,61,62.11,218,351,2020,130
37,38,Brice Garnett,58,62.10,195,314,2020,130
38,39,Kyoung-Hoon Lee,76,62.08,280,451,2020,130
39,40,Rob Oppenheim,65,62.04,237,382,2020,130
40,41,Dylan Frittelli,82,61.78,312,505,2020,130
41,42,Jason Dufner,62,61.56,221,359,2020,130
42,44,Aaron Baddeley,49,61.28,182,297,2020,130
43,45,Sebastian Cappelen,55,61.18,208,340,2020,130
44,46,Roger Sloan,55,61.08,193,316,2020,130
45,47,Cameron Davis,62,61.06,196,321,2020,130
46,48,Chez Reavie,77,61.01,277,454,2020,130
47,49,Cameron Percy,49,60.98,150,246,2020,130
48,50,Peter Malnati,61,60.94,234,384,2020,130
T49,T51,Matt Kuchar,56,60.91,215,353,2020,130
T49,T51,Fabián Gómez,59,60.91,201,330,2020,130
51,62,Tony Finau,72,60.89,246,404,2020,130
T52,T54,Michael Thompson,62,60.87,238,391,2020,130
T52,T54,Martin Laird,39,60.87,126,207,2020,130
T54,T56,Mark Hubbard,86,60.85,314,516,2020,130
T54,T56,Sam Ryder,74,60.85,258,424,2020,130
56,58,Adam Long,88,60.67,310,511,2020,130
57,74,Rory McIlroy,60,60.63,211,348,2020,130
T58,76,Scottie Scheffler,82,60.61,277,457,2020,130
T58,59,Byeong Hun An,75,60.61,280,462,2020,130
T60,T60,Zac Blair,70,60.60,263,434,2020,130
T60,T60,Phil Mickelson,51,60.60,203,335,2020,130
62,63,Harry Higgs,83,60.55,307,507,2020,130
T63,72,Dustin Johnson,49,60.52,164,271,2020,130
T63,87,Mackenzie Hughes,70,60.52,279,461,2020,130
65,64,Joel Dahmen,79,60.51,311,514,2020,130
66,65,Tom Hoge,74,60.48,277,458,2020,130
67,68,J.T. Poston,78,60.40,299,495,2020,130
68,69,Rickie Fowler,44,60.38,160,265,2020,130
69,70,Andrew Putnam,46,60.33,181,300,2020,130
70,71,Rory Sabbatini,66,60.29,249,413,2020,130
71,73,Paul Casey,56,60.14,178,296,2020,130
72,75,Adam Scott,38,60.09,131,218,2020,130
T73,T77,Matthew NeSmith,72,60.00,219,365,2020,130
T73,T77,Gary Woodland,62,60.00,213,355,2020,130
