RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,Year,Stat ID
1,1,Steve Stricker,53,.544,24.461,45,2016,02569
2,2,Bryce Molder,80,.498,33.380,67,2016,02569
3,3,Retief Goosen,55,.457,21.926,48,2016,02569
4,5,Luke Donald,81,.429,25.338,59,2016,02569
5,6,Brendon Todd,66,.412,22.248,54,2016,02569
T6,T7,Padraig Harrington,54,.408,17.971,44,2016,02569
T6,T7,Chad Collins,73,.408,26.090,64,2016,02569
8,4,Patrick Reed,105,.406,31.651,78,2016,02569
9,11,Si Woo Kim,113,.403,39.876,99,2016,02569
10,9,Aaron Baddeley,93,.402,30.132,75,2016,02569
11,12,Rickie Fowler,80,.387,24.759,64,2016,02569
12,10,Jason Day,76,.375,20.226,54,2016,02569
13,13,Seung-Yul Noh,85,.374,25.802,69,2016,02569
14,14,Bill Haas,86,.353,22.597,64,2016,02569
15,15,Chad Campbell,90,.346,27.654,80,2016,02569
16,17,Charles Howell III,91,.323,25.503,79,2016,02569
17,18,Zach Johnson,90,.321,23.428,73,2016,02569
18,T19,Brandt Snedeker,93,.320,23.992,75,2016,02569
19,T19,Jon Curran,99,.304,25.521,84,2016,02569
20,21,Alex Cejka,71,.297,15.170,51,2016,02569
21,22,Jamie Lovemark,91,.294,24.368,83,2016,02569
22,23,David Toms,62,.278,15.033,54,2016,02569
23,24,Webb Simpson,70,.276,15.981,58,2016,02569
24,16,Jordan Spieth,80,.264,15.318,58,2016,02569
25,25,Tim Wilkinson,72,.260,13.020,50,2016,02569
26,T26,Scott Langley,65,.254,13.467,53,2016,02569
27,29,Stuart Appleby,71,.248,16.351,66,2016,02569
28,30,Matt Kuchar,100,.242,18.633,77,2016,02569
T29,31,Justin Rose,65,.237,11.618,49,2016,02569
T29,28,Ryan Moore,86,.237,15.417,65,2016,02569
31,34,J.B. Holmes,77,.233,14.221,61,2016,02569
32,32,Jim Furyk,52,.232,10.201,44,2016,02569
33,33,Ricky Barnes,97,.227,18.179,80,2016,02569
34,T26,Jimmy Walker,85,.225,16.002,71,2016,02569
35,T37,Charl Schwartzel,73,.224,12.567,56,2016,02569
