RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# BIRDIES,GREENS HIT,Year,Stat ID
1,1,Rory McIlroy,72,36.87,309,838,2019,115
2,2,Jordan Spieth,82,36.29,323,890,2019,115
3,3,Justin Thomas,75,35.60,324,910,2019,115
4,4,Patrick Cantlay,77,35.17,306,870,2019,115
5,6,Gary Woodland,87,35.06,366,"1,044",2019,115
6,8,Denny McCarthy,89,35.03,337,962,2019,115
7,9,Aaron Wise,72,35.02,298,851,2019,115
8,10,Wyndham Clark,87,34.99,353,"1,009",2019,115
9,5,Justin Rose,66,34.95,252,721,2019,115
10,7,Bryson DeChambeau,75,34.54,295,854,2019,115
11,12,Si Woo Kim,87,34.52,330,956,2019,115
12,11,Jon Rahm,75,34.36,290,844,2019,115
13,13,Andrew Putnam,81,34.30,309,901,2019,115
14,14,Dominic Bozzelli,73,34.12,275,806,2019,115
15,15,Adam Scott,63,33.95,256,754,2019,115
16,16,Rafa Cabrera Bello,71,33.85,260,768,2019,115
17,18,Brooks Koepka,81,33.58,312,929,2019,115
18,20,Hideki Matsuyama,91,33.42,366,"1,095",2019,115
19,17,Dustin Johnson,73,33.41,282,844,2019,115
20,T22,Troy Merritt,69,33.33,251,753,2019,115
21,24,Sepp Straka,78,33.30,297,892,2019,115
22,25,Ryan Palmer,74,33.25,270,812,2019,115
23,26,Vaughn Taylor,93,33.18,363,"1,094",2019,115
24,27,Bud Cauley,82,33.17,329,992,2019,115
25,T22,Xander Schauffele,77,33.04,300,908,2019,115
26,29,Roger Sloan,88,33.03,324,981,2019,115
27,30,Cameron Champ,78,32.98,312,946,2019,115
28,32,Brandon Harkins,91,32.94,332,"1,008",2019,115
29,31,Rickie Fowler,76,32.93,303,920,2019,115
30,33,Phil Mickelson,63,32.90,228,693,2019,115
31,28,Patrick Reed,93,32.89,344,"1,046",2019,115
32,34,Ian Poulter,65,32.81,228,695,2019,115
33,36,Sungjae Im,122,32.80,468,"1,427",2019,115
34,T37,Webb Simpson,81,32.65,301,922,2019,115
35,T37,Austin Cook,68,32.58,245,752,2019,115
36,39,Adam Hadwin,86,32.49,322,991,2019,115
37,21,Marc Leishman,76,32.45,282,869,2019,115
38,40,Beau Hossler,87,32.36,323,998,2019,115
39,35,Jason Kokrak,94,32.31,359,"1,111",2019,115
40,41,Keith Mitchell,86,32.27,324,"1,004",2019,115
41,42,Rory Sabbatini,97,32.23,360,"1,117",2019,115
42,44,Peter Malnati,87,32.18,307,954,2019,115
43,43,Chez Reavie,99,32.17,360,"1,119",2019,115
44,45,Cameron Tringale,73,32.15,262,815,2019,115
45,47,José de Jesús Rodríguez,67,32.04,240,749,2019,115
46,48,J.T. Poston,100,32.03,369,"1,152",2019,115
47,49,Jason Day,69,31.96,256,801,2019,115
48,50,Sam Ryder,76,31.89,280,878,2019,115
49,51,Sebastián Muñoz,86,31.87,312,979,2019,115
50,52,Sam Burns,80,31.86,289,907,2019,115
51,53,Joel Dahmen,100,31.80,366,"1,151",2019,115
52,54,Aaron Baddeley,55,31.79,199,626,2019,115
T53,46,Matt Kuchar,87,31.76,317,998,2019,115
T53,58,Tony Finau,89,31.76,323,"1,017",2019,115
55,55,Danny Lee,83,31.75,307,967,2019,115
56,56,Cameron Smith,79,31.72,269,848,2019,115
57,57,Adam Schenk,102,31.68,390,"1,231",2019,115
58,59,Cameron Davis,76,31.61,281,889,2019,115
59,60,Patton Kizzire,76,31.56,267,846,2019,115
T60,T61,Jhonattan Vegas,75,31.54,282,894,2019,115
T60,T61,Michael Thompson,71,31.54,264,837,2019,115
62,63,Hank Lebioda,76,31.53,274,869,2019,115
