RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,Year,Stat ID
1,1,Jason Day,76,1.130,61.042,54,2016,02564
2,2,Jordan Spieth,80,.758,43.954,58,2016,02564
3,3,Kevin Kisner,97,.672,49.051,73,2016,02564
4,4,Andrew Landry,53,.654,21.591,33,2016,02564
5,6,Steve Stricker,53,.620,27.895,45,2016,02564
6,7,Harris English,97,.594,43.331,73,2016,02564
7,8,Daniel Summerhays,99,.592,46.747,79,2016,02564
8,9,Aaron Baddeley,93,.586,43.961,75,2016,02564
9,5,Phil Mickelson,75,.565,33.335,59,2016,02564
10,10,Bryce Molder,80,.553,37.064,67,2016,02564
11,11,Adam Hadwin,93,.530,46.675,88,2016,02564
12,12,Jonas Blixt,79,.527,35.810,68,2016,02564
13,13,Martin Piller,59,.518,24.357,47,2016,02564
14,14,Peter Malnati,85,.491,36.352,74,2016,02564
15,15,Freddie Jacobson,86,.487,35.039,72,2016,02564
16,16,Brian Harman,104,.465,42.762,92,2016,02564
T17,T17,Retief Goosen,55,.462,22.157,48,2016,02564
T17,T17,Brendon Todd,66,.462,24.939,54,2016,02564
19,19,Brooks Koepka,75,.445,26.681,60,2016,02564
20,21,Patton Kizzire,93,.442,33.154,75,2016,02564
21,22,Billy Hurley III,66,.433,25.520,59,2016,02564
22,23,Jon Curran,99,.407,34.190,84,2016,02564
23,24,Ernie Els,66,.405,22.659,56,2016,02564
24,25,Luke Guthrie,57,.404,18.169,45,2016,02564
T25,T26,Colt Knost,90,.395,28.051,71,2016,02564
T25,T26,Zach Johnson,90,.395,28.816,73,2016,02564
T25,30,Brandt Snedeker,93,.395,29.605,75,2016,02564
28,28,Ricky Barnes,97,.385,30.827,80,2016,02564
29,20,Matt Kuchar,100,.381,29.342,77,2016,02564
30,29,William McGirt,98,.360,31.667,88,2016,02564
31,31,Derek Fathauer,94,.356,27.054,76,2016,02564
32,39,Ryan Moore,86,.351,22.831,65,2016,02564
33,32,K.J. Choi,73,.349,23.403,67,2016,02564
34,33,Tim Wilkinson,72,.335,16.775,50,2016,02564
35,34,John Senden,88,.321,25.352,79,2016,02564
36,T37,Wes Roach,59,.299,12.878,43,2016,02564
37,35,Dustin Johnson,87,.281,17.729,63,2016,02564
T38,36,Patrick Reed,105,.280,21.805,78,2016,02564
T38,40,Andrew Loupe,75,.280,18.765,67,2016,02564
40,41,Michael Kim,100,.276,23.706,86,2016,02564
41,42,Johnson Wagner,86,.273,20.728,76,2016,02564
42,43,Mark Hubbard,101,.272,22.546,83,2016,02564
43,44,Hunter Mahan,61,.253,12.663,50,2016,02564
44,45,Marc Leishman,89,.252,16.350,65,2016,02564
45,46,Troy Merritt,77,.244,15.828,65,2016,02564
46,47,Ben Crane,80,.230,15.160,66,2016,02564
47,T37,Jimmy Walker,85,.222,15.737,71,2016,02564
48,48,David Hearn,95,.214,17.563,82,2016,02564
49,49,Fabián Gómez,82,.213,15.516,73,2016,02564
T50,61,Sean O'Hair,89,.208,17.474,84,2016,02564
T50,50,Morgan Hoffmann,71,.208,12.291,59,2016,02564
52,51,Kelly Kraft,63,.207,9.302,45,2016,02564
53,52,Hudson Swafford,104,.205,18.864,92,2016,02564
54,53,Camilo Villegas,83,.203,14.392,71,2016,02564
55,54,Stuart Appleby,71,.201,13.289,66,2016,02564
56,55,Zac Blair,99,.195,15.806,81,2016,02564
57,56,Russell Henley,76,.193,13.327,69,2016,02564
58,58,Sung Kang,89,.186,13.606,73,2016,02564
59,59,Seung-Yul Noh,85,.176,12.116,69,2016,02564
60,57,Daniel Berger,92,.175,12.627,72,2016,02564
61,60,Hiroshi Iwata,85,.174,11.645,67,2016,02564
62,62,Martin Laird,82,.158,11.202,71,2016,02564
63,63,Brendon de Jonge,83,.156,10.126,65,2016,02564
T64,T64,Steve Wheatcroft,85,.153,10.738,70,2016,02564
T64,T64,Rickie Fowler,80,.153,9.807,64,2016,02564
66,66,Charles Howell III,91,.152,11.999,79,2016,02564
67,67,Chris Stroud,82,.150,10.380,69,2016,02564
68,68,Luke Donald,81,.148,8.761,59,2016,02564
69,69,Dicky Pride,55,.144,5.901,41,2016,02564
70,70,Ben Martin,92,.140,11.202,80,2016,02564
71,72,David Toms,62,.132,7.145,54,2016,02564
T72,T73,Steven Bowditch,71,.131,7.212,55,2016,02564
T72,T73,Jamie Lovemark,91,.131,10.909,83,2016,02564
74,75,Kyle Reifers,115,.120,11.617,97,2016,02564
T75,T77,Shane Lowry,57,.113,4.180,37,2016,02564
T75,T77,Smylie Kaufman,91,.113,8.107,72,2016,02564
T77,79,Billy Horschel,73,.112,6.405,57,2016,02564
T77,76,Paul Casey,77,.112,6.384,57,2016,02564
79,71,Kevin Na,96,.074,5.140,69,2016,02564
80,80,Jhonattan Vegas,97,.072,5.836,81,2016,02564
T81,T81,Steve Marino,72,.067,3.776,56,2016,02564
T81,T81,Jim Furyk,52,.067,2.965,44,2016,02564
83,83,Sam Saunders,69,.060,3.082,51,2016,02564
84,84,Cameron Tringale,81,.057,4.003,70,2016,02564
85,85,David Lingmerth,84,.055,3.274,60,2016,02564
86,86,Scott Langley,65,.045,2.395,53,2016,02564
87,87,D.H. Lee,61,.042,1.949,46,2016,02564
