RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,Year,Stat ID
1,1,Henrik Stenson,63,1.244,54.732,44,2015,02568
2,2,Jim Furyk,71,1.081,56.199,52,2015,02568
3,3,Paul Casey,87,.991,62.461,63,2015,02568
4,5,Danny Lee,120,.718,71.791,100,2015,02568
5,9,Justin Rose,69,.692,33.923,49,2015,02568
6,6,Lucas Glover,79,.691,49.722,72,2015,02568
7,4,Bubba Watson,71,.684,38.329,56,2015,02568
8,10,George McNeill,93,.645,57.401,89,2015,02568
9,8,Hideki Matsuyama,95,.637,44.617,70,2015,02568
10,12,Russell Knox,96,.622,54.145,87,2015,02568
11,7,Jordan Spieth,91,.618,40.776,66,2015,02568
12,20,Zach Johnson,90,.605,42.346,70,2015,02568
13,14,Brendan Steele,88,.600,45.627,76,2015,02568
14,13,Rickie Fowler,76,.590,33.657,57,2015,02568
15,15,Webb Simpson,81,.582,37.224,64,2015,02568
16,11,Dustin Johnson,75,.579,31.252,54,2015,02568
17,16,Luke Donald,71,.573,30.959,54,2015,02568
18,17,Francesco Molinari,56,.572,24.605,43,2015,02568
T19,T18,Jason Bohn,95,.561,48.838,87,2015,02568
T19,T18,Stewart Cink,77,.561,37.026,66,2015,02568
21,22,Ryan Palmer,80,.529,28.555,54,2015,02568
22,21,Daniel Berger,97,.526,43.686,83,2015,02568
23,24,Tyrone Van Aswegen,58,.471,19.795,42,2015,02568
24,25,Sergio Garcia,59,.468,16.837,36,2015,02568
25,T26,Jason Day,75,.461,26.260,57,2015,02568
26,T26,Tom Hoge,83,.456,29.610,65,2015,02568
27,28,Ryo Ishikawa,90,.436,32.670,75,2015,02568
28,23,Bill Haas,89,.422,29.975,71,2015,02568
T29,T29,Vijay Singh,78,.420,28.960,69,2015,02568
T29,T29,Michael Putnam,87,.420,28.559,68,2015,02568
31,31,Greg Owen,58,.407,16.270,40,2015,02568
32,32,Jason Dufner,76,.399,19.149,48,2015,02568
33,33,Louis Oosthuizen,68,.397,18.679,47,2015,02568
34,34,Keegan Bradley,87,.389,24.878,64,2015,02568
35,35,Justin Thomas,106,.385,36.987,96,2015,02568
36,38,Kevin Na,98,.381,27.045,71,2015,02568
37,36,Rory Sabbatini,81,.375,24.746,66,2015,02568
38,37,John Merrick,78,.358,20.760,58,2015,02568
39,39,Roberto Castro,54,.347,12.499,36,2015,02568
40,40,Ángel Cabrera,53,.336,14.118,42,2015,02568
41,42,Jimmy Walker,89,.334,21.386,64,2015,02568
42,41,Graham DeLaet,65,.328,17.714,54,2015,02568
43,43,Whee Kim,71,.324,18.153,56,2015,02568
T44,T45,Martin Laird,77,.302,22.049,73,2015,02568
T44,T45,Chris Kirk,76,.302,16.891,56,2015,02568
