RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK,Year,Stat ID
T76,T75,Fabián Gómez,88,"35' 9""","45,201.500","1,263",Under,2018,331
T76,T75,Shane Lowry,64,"35' 9""","32,524.500",909,Under,2018,331
T76,T75,Hudson Swafford,73,"35' 9""","33,005.083",923,Under,2018,331
T76,T75,Adam Scott,78,"35' 9""","38,307.667","1,072",1 Under,2018,331
T81,T80,Ben Crane,65,"35' 11""","29,402.583",818,Under,2018,331
T81,T80,Robert Garrigus,80,"35' 11""","43,543.833","1,212",Under,2018,331
T81,T80,Rob Oppenheim,74,"35' 11""","34,546.917",962,Under,2018,331
T81,T80,Brandt Snedeker,84,"35' 11""","47,284.167","1,316",1 Under,2018,331
T81,T80,James Hahn,85,"35' 11""","44,385.667","1,235",1 Under,2018,331
T81,T80,Bronson Burgoon,69,"35' 11""","36,617.750","1,019",1 Under,2018,331
T87,T87,Sam Saunders,80,"36' 0""","42,867.083","1,190",1 Under,2018,331
T87,T87,J.B. Holmes,77,"36' 0""","43,594.583","1,210",1 Under,2018,331
T87,T87,Tyrone Van Aswegen,101,"36' 0""","53,290.250","1,482",Under,2018,331
T87,T87,Jimmy Walker,81,"36' 0""","42,380.167","1,176",Under,2018,331
T87,T87,Rory Sabbatini,91,"36' 0""","48,063.750","1,336",1 Under,2018,331
T87,T87,Patrick Cantlay,87,"36' 0""","43,197.750","1,200",1 Under,2018,331
T93,T93,Austin Cook,107,"36' 1""","59,231.250","1,642",1 Under,2018,331
T93,T93,Jason Kokrak,99,"36' 1""","56,863.333","1,577",1 Under,2018,331
T93,T93,Byeong Hun An,86,"36' 1""","46,951.000","1,302",1 Under,2018,331
T96,T96,Tony Finau,105,"36' 2""","52,260.250","1,446",1 Under,2018,331
T96,T108,Francesco Molinari,73,"36' 2""","36,850.583","1,018",1 Under,2018,331
T96,T80,Phil Mickelson,90,"36' 2""","45,047.333","1,245",1 Under,2018,331
T96,T99,Cameron Smith,85,"36' 2""","39,174.667","1,083",Under,2018,331
T100,T96,Lanto Griffin,80,"36' 3""","38,754.000","1,070",Under,2018,331
T100,T96,Michael Thompson,62,"36' 3""","36,229.833","1,000",Under,2018,331
T102,T99,Billy Hurley III,70,"36' 4""","36,953.167","1,017",Over,2018,331
T102,T108,Billy Horschel,86,"36' 4""","49,999.833","1,376",1 Under,2018,331
T102,T99,Brian Harman,94,"36' 4""","46,272.417","1,274",1 Under,2018,331
T102,T99,Nicholas Lindheim,77,"36' 4""","38,262.167","1,053",Under,2018,331
T102,T99,Ethan Tracy,72,"36' 4""","34,838.250",958,Under,2018,331
T107,T105,Ben Silverman,90,"36' 5""","49,011.667","1,346",Under,2018,331
T107,T105,Keith Mitchell,99,"36' 5""","53,881.583","1,480",1 Under,2018,331
T107,T105,Charles Howell III,104,"36' 5""","50,879.083","1,397",1 Under,2018,331
T110,T108,D.A. Points,63,"36' 6""","31,029.333",850,Over,2018,331
T110,T108,Anirban Lahiri,82,"36' 6""","43,388.167","1,188",Under,2018,331
T110,T132,Jon Rahm,71,"36' 6""","32,991.000",904,1 Under,2018,331
T110,T108,Talor Gooch,78,"36' 6""","40,153.750","1,099",Under,2018,331
T110,T108,Mackenzie Hughes,80,"36' 6""","44,484.917","1,219",Under,2018,331
T115,T114,Si Woo Kim,108,"36' 7""","50,562.750","1,382",1 Under,2018,331
T115,T114,Zac Blair,64,"36' 7""","30,191.583",826,Under,2018,331
T115,T114,J.T. Poston,73,"36' 7""","37,268.583","1,018",Under,2018,331
T118,T117,Aaron Wise,90,"36' 8""","52,232.167","1,426",1 Under,2018,331
T118,T117,Scott Stallings,96,"36' 8""","52,476.917","1,430",Under,2018,331
T118,T117,Kevin Kisner,89,"36' 8""","42,419.500","1,157",Under,2018,331
T121,T120,Martin Flores,92,"36' 9""","47,259.333","1,285",Over,2018,331
T121,T120,William McGirt,84,"36' 9""","49,323.417","1,343",Under,2018,331
T121,T120,Retief Goosen,60,"36' 9""","26,275.917",715,Over,2018,331
T121,T120,Jason Dufner,71,"36' 9""","33,988.083",925,Under,2018,331
T125,T124,Sung Kang,89,"36' 10""","43,797.500","1,190",Over,2018,331
T125,T124,Andrew Putnam,97,"36' 10""","50,646.417","1,375",1 Under,2018,331
T125,T124,Harold Varner III,91,"36' 10""","48,607.000","1,321",Under,2018,331
T125,T124,Tyrrell Hatton,58,"36' 10""","27,609.417",750,Under,2018,331
T125,T124,Brandon Harkins,101,"36' 10""","55,675.500","1,511",1 Under,2018,331
T130,T129,Ryan Blaum,81,"36' 11""","47,452.583","1,286",Under,2018,331
T130,T129,Sean O'Hair,67,"36' 11""","37,376.833","1,012",Under,2018,331
T132,T132,Hunter Mahan,67,"37' 0""","33,679.083",911,1 Under,2018,331
T132,T132,Aaron Baddeley,84,"37' 0""","46,271.167","1,251",Under,2018,331
T132,T132,Tom Lovelady,87,"37' 0""","45,472.167","1,229",Under,2018,331
T135,T137,Ricky Barnes,65,"37' 1""","29,906.167",806,Under,2018,331
T135,T137,Grayson Murray,72,"37' 1""","38,492.167","1,039",Under,2018,331
T135,T129,Tommy Fleetwood,73,"37' 1""","35,837.083",967,1 Under,2018,331
T138,T139,John Huh,94,"37' 2""","54,489.500","1,466",1 Under,2018,331
T138,T139,Roberto Díaz,72,"37' 2""","37,129.000",998,Over,2018,331
T138,T139,Troy Merritt,89,"37' 2""","48,413.000","1,303",1 Under,2018,331
T138,T132,Bubba Watson,90,"37' 2""","45,130.250","1,214",1 Under,2018,331
T138,T139,Marc Leishman,93,"37' 2""","48,628.083","1,308",1 Under,2018,331
T143,T143,Zecheng Dou,53,"37' 3""","23,934.667",643,Over,2018,331
T143,T143,Stephan Jaeger,81,"37' 3""","41,891.000","1,124",Under,2018,331
T143,T143,Daniel Berger,81,"37' 3""","41,336.917","1,109",1 Under,2018,331
T143,T143,Ollie Schniederjans,91,"37' 3""","51,261.583","1,375",Under,2018,331
T147,T148,Denny McCarthy,71,"37' 4""","32,479.167",870,Under,2018,331
T147,T148,Nick Taylor,94,"37' 4""","49,168.000","1,317",Under,2018,331
T147,T156,Jason Day,75,"37' 4""","32,757.417",877,1 Under,2018,331
T147,T148,Jonathan Byrd,70,"37' 4""","32,094.667",859,Under,2018,331
T147,T148,Robert Streb,78,"37' 4""","39,919.250","1,070",Over,2018,331
T147,T143,Patrick Reed,94,"37' 4""","41,882.167","1,122",1 Under,2018,331
T147,T148,Branden Grace,67,"37' 4""","29,377.000",787,Under,2018,331
T147,T148,Matt Every,79,"37' 4""","40,240.167","1,079",Over,2018,331
T155,T154,Seamus Power,86,"37' 5""","43,921.667","1,173",1 Under,2018,331
T155,T154,Cameron Tringale,67,"37' 5""","33,940.167",908,Over,2018,331
T157,T156,Peter Malnati,87,"37' 6""","50,313.583","1,342",1 Under,2018,331
T157,T156,Bud Cauley,55,"37' 6""","27,423.500",732,Under,2018,331
T157,T156,Trey Mullinax,75,"37' 6""","39,117.000","1,043",Under,2018,331
T160,T160,Dominic Bozzelli,65,"37' 7""","40,781.833","1,085",Under,2018,331
T160,T175,Xander Schauffele,96,"37' 7""","48,416.167","1,288",1 Under,2018,331
T160,T160,Kevin Tway,110,"37' 7""","60,328.667","1,604",1 Under,2018,331
T160,T160,Brendan Steele,74,"37' 7""","36,493.750",970,Under,2018,331
T160,T160,Matt Jones,70,"37' 7""","31,412.917",836,Under,2018,331
T165,T164,Peter Uihlein,83,"37' 8""","43,605.167","1,157",Under,2018,331
T165,T164,Andrew Yun,51,"37' 8""","22,832.250",606,Over,2018,331
T167,T166,Jamie Lovemark,92,"37' 9""","52,234.417","1,383",1 Under,2018,331
T167,T166,Graeme McDowell,67,"37' 9""","31,056.833",823,Under,2018,331
T167,T166,Bill Haas,76,"37' 9""","44,566.000","1,181",Under,2018,331
T167,T166,Rod Pampling,62,"37' 9""","30,133.500",798,Over,2018,331
