RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,Year,Stat ID
1,1,Dustin Johnson,77,.919,56.985,62,2018,02567
2,4,Jon Rahm,71,.817,41.660,51,2018,02567
3,3,Gary Woodland,96,.803,56.202,70,2018,02567
4,5,Luke List,98,.795,61.975,78,2018,02567
5,2,Bubba Watson,90,.780,53.012,68,2018,02567
6,6,Rory McIlroy,64,.761,38.798,51,2018,02567
7,8,Keith Mitchell,99,.706,58.589,83,2018,02567
8,10,Francesco Molinari,73,.690,39.315,57,2018,02567
9,7,Brooks Koepka,64,.658,35.528,54,2018,02567
10,9,Patrick Cantlay,87,.622,41.703,67,2018,02567
11,11,Kevin Chappell,77,.608,37.675,62,2018,02567
12,13,Bryson DeChambeau,93,.586,45.741,78,2018,02567
13,12,Tommy Fleetwood,73,.580,31.344,54,2018,02567
14,15,J.B. Holmes,77,.565,38.419,68,2018,02567
15,16,Brendan Steele,74,.557,30.071,54,2018,02567
16,14,Justin Rose,70,.551,29.227,53,2018,02567
17,17,Billy Horschel,86,.538,41.435,77,2018,02567
18,18,Lucas Glover,65,.514,23.637,46,2018,02567
19,19,Trey Mullinax,75,.506,29.831,59,2018,02567
20,21,Corey Conners,97,.501,39.616,79,2018,02567
21,22,Kiradech Aphibarnrat,51,.485,16.493,34,2018,02567
22,20,Tony Finau,105,.481,38.970,81,2018,02567
23,23,Byeong Hun An,86,.475,34.678,73,2018,02567
24,24,Hunter Mahan,67,.465,23.732,51,2018,02567
25,25,Kevin Streelman,94,.439,35.995,82,2018,02567
26,26,Henrik Stenson,60,.427,18.789,44,2018,02567
27,31,Aaron Wise,90,.410,32.834,80,2018,02567
28,27,Justin Thomas,91,.408,27.721,68,2018,02567
29,28,Ryan Moore,78,.406,26.814,66,2018,02567
30,29,Louis Oosthuizen,62,.401,18.428,46,2018,02567
31,32,J.T. Poston,73,.381,21.692,57,2018,02567
32,33,Tom Lovelady,87,.379,26.149,69,2018,02567
33,30,Kyle Stanley,93,.378,25.344,67,2018,02567
34,34,Grayson Murray,72,.375,22.153,59,2018,02567
35,35,Emiliano Grillo,94,.364,26.594,73,2018,02567
36,36,Jason Kokrak,99,.360,31.698,88,2018,02567
37,37,Sam Saunders,80,.350,23.445,67,2018,02567
38,38,Matt Jones,70,.333,15.639,47,2018,02567
39,39,Shane Lowry,64,.331,16.886,51,2018,02567
40,40,Abraham Ancer,98,.325,26.952,83,2018,02567
41,41,Charles Howell III,104,.324,25.305,78,2018,02567
42,42,James Hahn,85,.323,22.256,69,2018,02567
43,43,Bronson Burgoon,69,.309,17.587,57,2018,02567
T44,T44,Joel Dahmen,93,.300,21.326,71,2018,02567
T44,T44,Adam Scott,78,.300,17.987,60,2018,02567
46,46,Jhonattan Vegas,92,.294,18.789,64,2018,02567
47,47,J.J. Spaun,85,.286,20.323,71,2018,02567
48,48,Beau Hossler,104,.281,25.257,90,2018,02567
49,50,Tyler Duncan,97,.273,22.103,81,2018,02567
T50,T51,Kevin Tway,110,.271,24.388,90,2018,02567
T50,T51,Jordan Spieth,81,.271,17.879,66,2018,02567
T52,T54,Rafa Cabrera Bello,75,.256,12.288,48,2018,02567
T52,T54,Jason Dufner,71,.256,13.315,52,2018,02567
54,56,Charley Hoffman,87,.254,17.242,68,2018,02567
55,60,Rickie Fowler,74,.244,14.856,61,2018,02567
56,57,Cameron Percy,56,.241,9.868,41,2018,02567
57,53,Xander Schauffele,96,.240,17.310,72,2018,02567
58,49,Keegan Bradley,98,.237,18.955,80,2018,02567
59,59,Ryan Palmer,69,.235,14.104,60,2018,02567
