RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,Year,Stat ID
T145,T147,Erik Compton,65,284.7,"35,868",126,2016,101
147,149,George McNeill,51,284.5,"29,022",102,2016,101
148,150,Michael Kim,100,284.3,"54,595",192,2016,101
149,151,Roberto Castro,97,284.2,"55,136",194,2016,101
150,155,Ryan Moore,86,283.2,"43,615",154,2016,101
151,153,Luke Donald,81,282.9,"41,306",146,2016,101
152,154,Stuart Appleby,71,282.7,"39,010",138,2016,101
153,156,D.A. Points,55,282.3,"28,791",102,2016,101
154,157,Robert Allenby,51,282.2,"28,782",102,2016,101
155,158,Alex Cejka,71,281.5,"35,475",126,2016,101
156,159,Graeme McDowell,63,281.4,"33,773",120,2016,101
157,160,Spencer Levin,104,281.3,"54,019",192,2016,101
T158,T161,Rob Oppenheim,67,281.2,"35,156",125,2016,101
T158,T161,David Hearn,95,281.2,"51,186",182,2016,101
160,163,Jim Furyk,52,280.8,"29,203",104,2016,101
161,164,D.H. Lee,61,280.4,"31,971",114,2016,101
T162,T165,Ben Crane,80,280.3,"40,362",144,2016,101
T162,T165,Freddie Jacobson,86,280.3,"48,219",172,2016,101
T164,T167,Bryce Molder,80,280.2,"43,709",156,2016,101
T164,T167,Ken Duke,58,280.2,"30,257",108,2016,101
T164,T167,Mark Hubbard,101,280.2,"54,354",194,2016,101
T167,T170,Brendon Todd,66,280.1,"35,290",126,2016,101
T167,T170,Zach Johnson,90,280.1,"48,185",172,2016,101
169,172,Peter Malnati,85,279.7,"47,549",170,2016,101
170,173,Kevin Na,96,279.6,"47,531",170,2016,101
T171,T174,Tim Wilkinson,72,279.3,"37,981",136,2016,101
T171,T174,Chad Collins,73,279.3,"40,776",146,2016,101
173,176,Dicky Pride,55,278.9,"29,561",106,2016,101
174,177,Jerry Kelly,76,278.2,"40,063",144,2016,101
175,178,Steve Stricker,53,278.0,"29,471",106,2016,101
T176,T179,Billy Hurley III,66,277.7,"36,657",132,2016,101
T176,T179,Brian Stuard,66,277.7,"36,657",132,2016,101
178,181,Abraham Ancer,51,276.4,"26,534",96,2016,101
179,182,Jason Bohn,67,276.3,"37,020",134,2016,101
T180,T183,K.J. Choi,73,275.3,"40,190",146,2016,101
T180,T183,Zac Blair,99,275.3,"50,113",182,2016,101
182,185,Mark Wilson,66,274.7,"34,063",124,2016,101
183,186,Jon Curran,99,271.9,"51,654",190,2016,101
T184,T187,Colt Knost,90,269.7,"44,236",164,2016,101
T184,T187,David Toms,62,269.7,"33,439",124,2016,101
