RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,Year,Stat ID
1,1,Rickie Fowler,78,.852,53.706,63,2017,02564
2,2,Michael Thompson,60,.840,36.940,44,2017,02564
3,3,Luke Donald,50,.704,30.285,43,2017,02564
4,4,Brian Harman,104,.600,51.597,86,2017,02564
5,11,Brooks Koepka,88,.581,38.934,67,2017,02564
6,5,Patrick Reed,107,.577,48.483,84,2017,02564
7,7,Brandt Snedeker,53,.572,24.044,42,2017,02564
8,8,Graeme McDowell,56,.563,28.174,50,2017,02564
9,9,Jonas Blixt,74,.536,31.627,59,2017,02564
10,10,Louis Oosthuizen,69,.530,27.008,51,2017,02564
11,12,Mackenzie Hughes,106,.492,47.265,96,2017,02564
12,13,Gonzalo Fernandez-Castaño,63,.489,21.523,44,2017,02564
13,14,David Lingmerth,79,.484,33.406,69,2017,02564
T14,T15,Steve Wheatcroft,51,.479,19.148,40,2017,02564
T14,T15,Shane Lowry,52,.479,18.184,38,2017,02564
T16,T17,Rafa Cabrera Bello,63,.473,21.756,46,2017,02564
T16,T17,Søren Kjeldsen,58,.473,16.081,34,2017,02564
18,19,Cody Gribble,79,.461,32.252,70,2017,02564
19,20,Ernie Els,52,.458,16.959,37,2017,02564
T20,T21,Brian Gay,82,.451,31.106,69,2017,02564
T20,T21,Peter Malnati,91,.451,32.905,73,2017,02564
22,23,Whee Kim,74,.443,27.485,62,2017,02564
23,T30,Russell Henley,99,.434,37.283,86,2017,02564
T24,T24,Chez Reavie,98,.417,34.584,83,2017,02564
T24,T24,Zach Johnson,81,.417,28.326,68,2017,02564
26,38,Adam Hadwin,98,.409,32.298,79,2017,02564
T27,27,Blayne Barber,77,.402,26.929,67,2017,02564
T27,26,Xander Schauffele,96,.402,29.755,74,2017,02564
29,28,Camilo Villegas,76,.400,24.802,62,2017,02564
30,36,Kevin Kisner,105,.388,29.847,77,2017,02564
31,29,Brian Campbell,55,.385,15.773,41,2017,02564
32,T30,Bryce Molder,74,.383,24.540,64,2017,02564
T33,T33,Billy Hurley III,80,.374,25.772,69,2017,02564
T33,T33,Harris English,84,.374,26.957,72,2017,02564
35,37,Sebastián Muñoz,51,.358,13.953,39,2017,02564
36,32,Marc Leishman,94,.356,25.972,73,2017,02564
37,35,Jason Day,71,.354,19.497,55,2017,02564
38,52,Pat Perez,93,.346,25.281,73,2017,02564
39,40,Wesley Bryan,95,.340,26.142,77,2017,02564
40,41,Phil Mickelson,85,.337,23.222,69,2017,02564
41,42,Nicholas Lindheim,58,.336,14.796,44,2017,02564
42,43,Ryan Blaum,100,.334,27.370,82,2017,02564
T43,44,Justin Thomas,86,.332,21.583,65,2017,02564
T43,48,Matt Kuchar,95,.332,25.596,77,2017,02564
45,47,Greg Chalmers,75,.316,21.516,68,2017,02564
46,49,Graham DeLaet,82,.291,20.639,71,2017,02564
47,50,Stewart Cink,93,.286,23.170,81,2017,02564
48,45,Jordan Spieth,85,.278,18.896,68,2017,02564
49,51,Scott Brown,95,.276,21.562,78,2017,02564
50,53,Hunter Mahan,73,.268,15.830,59,2017,02564
51,54,Kevin Na,86,.265,17.507,66,2017,02564
52,55,Kevin Tway,96,.261,19.312,74,2017,02564
53,56,Ricky Barnes,100,.260,19.992,77,2017,02564
54,57,Charl Schwartzel,63,.257,12.346,48,2017,02564
55,39,Jon Rahm,90,.256,16.906,66,2017,02564
56,58,Martin Laird,83,.253,18.195,72,2017,02564
57,59,Danny Lee,93,.247,18.754,76,2017,02564
58,60,Seung-Yul Noh,91,.244,18.293,75,2017,02564
59,61,Martin Flores,88,.242,16.203,67,2017,02564
60,62,Michael Kim,94,.229,19.249,84,2017,02564
61,63,Tag Ridings,67,.203,10.129,50,2017,02564
62,64,Jim Furyk,54,.187,8.211,44,2017,02564
