RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,Year,Stat ID
1,1,Henrik Stenson,63,73.52,794,"1,080",-0.26,2015,103
2,2,Jim Herman,88,73.23,"1,160","1,584",-0.23,2015,103
3,3,Stewart Cink,77,72.94,"1,011","1,386",-0.23,2015,103
4,5,Will Wilcox,58,72.53,705,972,-0.28,2015,103
5,4,Paul Casey,87,72.36,"1,068","1,476",-0.27,2015,103
6,7,Francesco Molinari,56,71.07,678,954,-0.22,2015,103
T7,6,Jason Day,75,70.83,918,"1,296",-0.36,2015,103
T7,8,Russell Knox,96,70.83,"1,224","1,728",-0.25,2015,103
9,9,Justin Rose,69,70.54,838,"1,188",-0.31,2015,103
10,10,Lucas Glover,79,70.46,"1,002","1,422",-0.22,2015,103
11,11,Alex Prugh,84,70.14,"1,010","1,440",-0.26,2015,103
12,12,Michael Putnam,87,70.13,"1,073","1,530",-0.22,2015,103
13,14,J.J. Henry,94,69.88,"1,132","1,620",-0.22,2015,103
14,15,Jim Furyk,71,69.79,804,"1,152",-0.24,2015,103
15,18,Chez Reavie,56,69.64,702,"1,008",-0.25,2015,103
16,19,Adam Scott,51,69.62,589,846,-0.26,2015,103
17,16,Brooks Koepka,84,69.48,"1,013","1,458",-0.30,2015,103
18,21,Billy Horschel,99,69.33,"1,173","1,692",-0.27,2015,103
19,13,Bubba Watson,71,69.32,836,"1,206",-0.33,2015,103
20,23,Greg Owen,58,69.25,723,"1,044",-0.22,2015,103
21,20,Hideki Matsuyama,95,69.20,"1,121","1,620",-0.30,2015,103
22,24,Graham DeLaet,65,69.15,809,"1,170",-0.27,2015,103
23,17,Robert Streb,110,69.14,"1,369","1,980",-0.29,2015,103
24,25,Jason Dufner,76,69.03,907,"1,314",-0.24,2015,103
25,26,Kevin Streelman,95,68.99,"1,130","1,638",-0.26,2015,103
26,27,Johnson Wagner,68,68.95,844,"1,224",-0.25,2015,103
27,28,Justin Thomas,106,68.92,"1,315","1,908",-0.31,2015,103
T28,T29,Byron Smith,59,68.89,682,990,-0.23,2015,103
T28,T29,Jason Bohn,95,68.89,"1,178","1,710",-0.30,2015,103
30,31,Daniel Berger,97,68.84,"1,202","1,746",-0.27,2015,103
31,22,Bill Haas,89,68.80,"1,065","1,548",-0.24,2015,103
32,32,Shawn Stefani,94,68.79,"1,164","1,692",-0.29,2015,103
33,33,Bill Lunde,50,68.72,569,828,-0.21,2015,103
34,34,Ben Martin,93,68.70,"1,113","1,620",-0.27,2015,103
35,35,Chad Campbell,97,68.61,"1,198","1,746",-0.24,2015,103
36,36,Nicholas Thompson,90,68.60,"1,062","1,548",-0.25,2015,103
37,40,Zach Johnson,90,68.58,"1,074","1,566",-0.29,2015,103
38,37,Charles Howell III,105,68.57,"1,296","1,890",-0.26,2015,103
39,38,Hudson Swafford,97,68.54,"1,172","1,710",-0.30,2015,103
40,39,Brendan Steele,88,68.52,"1,036","1,512",-0.30,2015,103
T41,T41,Martin Flores,95,68.32,"1,119","1,638",-0.24,2015,103
T41,T41,John Peterson,84,68.32,"1,033","1,512",-0.25,2015,103
T43,T43,Louis Oosthuizen,68,68.28,762,"1,116",-0.27,2015,103
T43,T43,Brice Garnett,81,68.28,971,"1,422",-0.23,2015,103
