RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK,Year,Stat ID
1,1,Ryan Armour,63,"32' 8""","28,609.667",876,Under,2017,331
2,2,Nick Watney,75,"33' 1""","37,789.083","1,141",Under,2017,331
3,3,Boo Weekley,75,"33' 2""","36,163.250","1,091",Under,2017,331
T4,4,Chez Reavie,98,"33' 4""","49,265.167","1,478",1 Under,2017,331
T4,5,Kyle Stanley,104,"33' 4""","55,868.417","1,676",1 Under,2017,331
6,T8,Dustin Johnson,77,"33' 5""","35,158.583","1,052",1 Under,2017,331
T7,T6,Scott Stallings,81,"33' 7""","40,820.167","1,216",Under,2017,331
T7,T6,Blayne Barber,77,"33' 7""","39,877.000","1,187",Under,2017,331
9,T8,Jim Furyk,54,"33' 8""","26,456.167",785,Under,2017,331
T10,T13,Webb Simpson,102,"33' 9""","50,488.167","1,495",1 Under,2017,331
T10,T8,Jordan Spieth,85,"33' 9""","40,953.333","1,214",2 Under,2017,331
T12,T11,Kevin Na,86,"33' 11""","39,855.250","1,175",1 Under,2017,331
T12,T11,Steven Alker,69,"33' 11""","30,770.333",907,Under,2017,331
14,T13,Tom Hoge,54,"34' 0""","23,582.833",693,Under,2017,331
T15,T15,Vaughn Taylor,90,"34' 1""","45,895.917","1,346",1 Under,2017,331
T15,T15,Chad Campbell,97,"34' 1""","51,650.667","1,517",1 Under,2017,331
17,17,Jason Dufner,89,"34' 3""","44,134.417","1,288",1 Under,2017,331
T18,T18,Brian Stuard,93,"34' 4""","42,216.167","1,231",Over,2017,331
T18,T18,Rick Lamb,54,"34' 4""","23,197.667",675,Under,2017,331
T20,T20,Ben Martin,86,"34' 5""","43,021.250","1,251",Under,2017,331
T20,T20,Scott Piercy,70,"34' 5""","30,035.167",872,Under,2017,331
T20,T20,Johnson Wagner,71,"34' 5""","34,686.000","1,008",Under,2017,331
T20,T20,Robert Garrigus,78,"34' 5""","36,647.583","1,065",Under,2017,331
T24,T24,Rory Sabbatini,71,"34' 6""","32,566.167",944,Under,2017,331
T24,T24,Brett Drewitt,57,"34' 6""","26,419.833",765,Over,2017,331
26,26,Graham DeLaet,82,"34' 7""","43,819.667","1,266",1 Under,2017,331
