RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK,Year,Stat ID
T27,T27,Russell Knox,75,"34' 8""","33,412.583",963,Under,2017,331
T27,T27,Lucas Glover,93,"34' 8""","52,918.833","1,528",1 Under,2017,331
T27,T27,Hudson Swafford,94,"34' 8""","47,038.167","1,356",Under,2017,331
T30,T30,Richy Werenski,81,"34' 9""","37,952.250","1,092",Under,2017,331
T30,T30,Ken Duke,77,"34' 9""","37,005.250","1,064",Over,2017,331
32,T47,Hideki Matsuyama,83,"34' 10""","36,695.500","1,053",1 Under,2017,331
T33,T32,Tyrone Van Aswegen,105,"34' 11""","49,932.833","1,430",Under,2017,331
T33,T32,Ryan Moore,82,"34' 11""","40,322.417","1,155",Under,2017,331
T33,T32,David Hearn,93,"34' 11""","44,157.000","1,266",Under,2017,331
T36,T35,Jason Bohn,75,"35' 0""","38,486.500","1,100",Over,2017,331
T36,T35,Retief Goosen,52,"35' 0""","25,462.833",728,Under,2017,331
T36,T35,Ryan Palmer,61,"35' 0""","30,519.167",872,Over,2017,331
T36,T35,Zach Johnson,81,"35' 0""","42,097.000","1,203",1 Under,2017,331
T36,T35,Brad Fritsch,56,"35' 0""","26,288.000",751,Over,2017,331
T41,T41,Emiliano Grillo,90,"35' 1""","41,304.417","1,178",Under,2017,331
T41,T35,Kevin Kisner,105,"35' 1""","48,266.750","1,376",1 Under,2017,331
T41,T41,Stewart Cink,93,"35' 1""","50,882.667","1,449",1 Under,2017,331
T41,T41,Brian Gay,82,"35' 1""","43,169.250","1,230",Under,2017,331
T41,T41,Ollie Schniederjans,92,"35' 1""","50,768.333","1,446",1 Under,2017,331
T41,T41,Wesley Bryan,95,"35' 1""","48,008.333","1,367",Under,2017,331
T41,T41,Mark Hubbard,81,"35' 1""","38,072.333","1,084",Even,2017,331
T48,T68,Justin Thomas,86,"35' 2""","40,681.667","1,156",1 Under,2017,331
T48,T47,Roberto Castro,70,"35' 2""","33,863.333",962,Over,2017,331
T50,T60,Rickie Fowler,78,"35' 3""","39,330.500","1,117",1 Under,2017,331
T50,T50,Alex Cejka,85,"35' 3""","38,586.917","1,095",Under,2017,331
T50,T68,Justin Rose,66,"35' 3""","33,120.917",939,1 Under,2017,331
T50,T50,Tag Ridings,67,"35' 3""","31,407.333",891,Under,2017,331
T50,T50,D.A. Points,68,"35' 3""","36,143.167","1,025",Even,2017,331
T50,T53,Jon Rahm,90,"35' 3""","41,566.083","1,179",1 Under,2017,331
T56,T53,Bud Cauley,92,"35' 4""","51,927.833","1,468",1 Under,2017,331
T56,T53,David Lingmerth,79,"35' 4""","43,404.917","1,228",Under,2017,331
T56,T53,Chris Kirk,89,"35' 4""","43,940.500","1,244",Under,2017,331
T59,T57,Patton Kizzire,84,"35' 5""","45,320.833","1,279",Over,2017,331
T59,T57,Tim Wilkinson,64,"35' 5""","28,892.000",815,Under,2017,331
T59,T57,Zac Blair,105,"35' 5""","51,229.167","1,445",Under,2017,331
T62,T60,Peter Malnati,91,"35' 6""","46,104.250","1,299",Under,2017,331
T62,T78,Paul Casey,94,"35' 6""","44,930.583","1,266",1 Under,2017,331
T62,T60,Brett Stegmaier,78,"35' 6""","36,559.917","1,030",Over,2017,331
T65,T63,Brendan Steele,89,"35' 7""","45,049.083","1,266",1 Under,2017,331
T65,T63,Chris Stroud,67,"35' 7""","30,377.250",853,Under,2017,331
T65,T63,Kevin Streelman,90,"35' 7""","49,363.250","1,387",Under,2017,331
T65,T63,Francesco Molinari,75,"35' 7""","37,448.167","1,053",1 Under,2017,331
T65,T75,Matt Kuchar,95,"35' 7""","49,126.000","1,379",1 Under,2017,331
T65,T63,Harold Varner III,101,"35' 7""","54,406.667","1,530",Under,2017,331
T71,T68,Michael Kim,94,"35' 8""","53,230.833","1,493",1 Under,2017,331
T71,T78,Daniel Berger,91,"35' 8""","43,936.167","1,233",1 Under,2017,331
T71,T68,Trey Mullinax,88,"35' 8""","44,573.917","1,251",Under,2017,331
T71,T68,Luke List,102,"35' 8""","54,600.583","1,532",1 Under,2017,331
T71,T68,Keegan Bradley,104,"35' 8""","57,796.167","1,619",1 Under,2017,331
T71,T68,Danny Lee,93,"35' 8""","48,101.083","1,349",Under,2017,331
T77,T75,Sam Saunders,76,"35' 9""","38,804.167","1,086",Under,2017,331
T77,T75,Jimmy Walker,68,"35' 9""","31,872.500",892,Under,2017,331
T79,T78,K.J. Choi,72,"35' 10""","34,556.750",965,Under,2017,331
T79,T78,Cameron Percy,71,"35' 10""","35,191.167",981,Under,2017,331
T79,T78,Martin Flores,88,"35' 10""","42,859.333","1,197",Under,2017,331
T79,T78,Shane Lowry,52,"35' 10""","24,253.250",677,Under,2017,331
T79,T78,Mark Anderson,54,"35' 10""","26,868.167",750,Under,2017,331
T79,T78,Troy Merritt,82,"35' 10""","44,652.083","1,246",Under,2017,331
T79,T78,J.T. Poston,95,"35' 10""","46,635.667","1,302",Under,2017,331
T79,T78,Cameron Smith,86,"35' 10""","44,913.250","1,254",1 Under,2017,331
T79,T78,Harris English,84,"35' 10""","45,872.333","1,279",Under,2017,331
T88,T90,Grayson Murray,94,"35' 11""","54,244.167","1,509",Under,2017,331
T88,T90,Smylie Kaufman,76,"35' 11""","39,937.917","1,112",Under,2017,331
T88,T90,Derek Fathauer,81,"35' 11""","40,627.750","1,132",Over,2017,331
T88,T90,Billy Hurley III,80,"35' 11""","44,147.750","1,230",Under,2017,331
T88,T90,Brandt Snedeker,53,"35' 11""","27,006.750",752,1 Under,2017,331
T93,T95,Anirban Lahiri,72,"36' 0""","37,879.250","1,052",Over,2017,331
T93,T95,Bill Haas,92,"36' 0""","46,405.750","1,288",1 Under,2017,331
T93,T95,Nicholas Lindheim,58,"36' 0""","28,137.250",782,Over,2017,331
T96,T99,Phil Mickelson,85,"36' 1""","44,647.167","1,236",1 Under,2017,331
T96,T99,Jim Herman,77,"36' 1""","42,496.667","1,177",Under,2017,331
T96,T78,Adam Hadwin,98,"36' 1""","50,866.167","1,409",1 Under,2017,331
T96,T99,Andres Gonzales,73,"36' 1""","36,675.667","1,016",Under,2017,331
T100,T102,Scott Brown,95,"36' 2""","50,035.000","1,382",Under,2017,331
T100,T102,Camilo Villegas,76,"36' 2""","40,066.833","1,109",Under,2017,331
T100,T102,Shawn Stefani,72,"36' 2""","38,528.583","1,066",Under,2017,331
T100,T102,Geoff Ogilvy,80,"36' 2""","43,071.417","1,192",Under,2017,331
T104,T115,Sergio Garcia,65,"36' 3""","29,725.667",820,Under,2017,331
T104,T102,Gary Woodland,94,"36' 3""","43,943.917","1,212",1 Under,2017,331
T104,107,Brian Campbell,55,"36' 3""","26,389.917",728,Under,2017,331
T107,T108,J.J. Spaun,92,"36' 4""","46,652.333","1,283",Under,2017,331
T107,T108,Xander Schauffele,96,"36' 4""","47,757.000","1,314",1 Under,2017,331
T107,T108,Billy Horschel,88,"36' 4""","51,692.250","1,422",Under,2017,331
T110,T108,Brian Harman,104,"36' 6""","55,852.500","1,529",1 Under,2017,331
T110,T112,Julián Etulain,68,"36' 6""","33,087.833",906,Under,2017,331
T110,T112,Graeme McDowell,56,"36' 6""","32,498.917",890,Under,2017,331
T110,T115,Russell Henley,99,"36' 6""","55,789.167","1,530",1 Under,2017,331
114,T115,Miguel Angel Carballo,63,"36' 7""","28,085.500",767,Over,2017,331
T115,T118,Seamus Power,86,"36' 8""","44,647.083","1,218",1 Under,2017,331
T115,T118,Ricky Barnes,100,"36' 8""","50,168.667","1,369",Under,2017,331
T115,T130,Patrick Cantlay,52,"36' 8""","30,188.333",824,1 Under,2017,331
T115,T118,Bryson DeChambeau,91,"36' 8""","47,788.000","1,304",Under,2017,331
T119,T121,Kelly Kraft,75,"36' 9""","42,695.333","1,162",Over,2017,331
T119,T121,Adam Scott,58,"36' 9""","27,474.917",748,Under,2017,331
T119,T121,Charley Hoffman,112,"36' 9""","60,765.083","1,654",1 Under,2017,331
T119,T121,Ian Poulter,72,"36' 9""","36,199.750",985,Under,2017,331
T119,T121,J.B. Holmes,83,"36' 9""","39,799.000","1,084",Under,2017,331
T124,T126,Rory McIlroy,51,"36' 10""","23,460.917",637,Under,2017,331
T124,T139,Tony Finau,106,"36' 10""","59,686.667","1,620",1 Under,2017,331
T124,T126,Michael Thompson,60,"36' 10""","29,041.750",788,Over,2017,331
T124,T126,Kevin Chappell,95,"36' 10""","47,231.667","1,281",Under,2017,331
T124,T126,Sean O'Hair,84,"36' 10""","45,948.833","1,247",Under,2017,331
T129,T130,Søren Kjeldsen,58,"36' 11""","22,233.333",602,Over,2017,331
T129,T130,Daniel Summerhays,100,"36' 11""","53,750.833","1,456",Under,2017,331
T129,T130,Chad Collins,66,"36' 11""","35,588.583",963,Under,2017,331
T129,T130,Bubba Watson,71,"36' 11""","34,745.417",942,Under,2017,331
T129,T130,William McGirt,89,"36' 11""","47,228.083","1,279",Under,2017,331
T129,T130,Sung Kang,104,"36' 11""","53,828.500","1,458",Under,2017,331
T129,T130,Ryan Blaum,100,"36' 11""","53,999.250","1,462",Under,2017,331
T129,T130,Morgan Hoffmann,92,"36' 11""","53,882.250","1,459",Under,2017,331
T137,T139,Andrew Loupe,55,"37' 0""","30,972.417",837,Over,2017,331
T137,T139,Spencer Levin,89,"37' 0""","44,204.750","1,196",Under,2017,331
T137,T139,C.T. Pan,88,"37' 0""","50,103.333","1,355",Under,2017,331
T137,T139,James Hahn,96,"37' 0""","53,454.083","1,446",1 Under,2017,331
T137,T139,Charles Howell III,86,"37' 0""","45,014.417","1,217",Under,2017,331
T137,T139,Luke Donald,50,"37' 0""","28,445.750",768,Over,2017,331
T143,T146,J.J. Henry,92,"37' 1""","49,797.083","1,343",Under,2017,331
T143,T146,Ben Crane,86,"37' 1""","45,691.167","1,232",Under,2017,331
T143,T146,Louis Oosthuizen,69,"37' 1""","33,571.083",906,1 Under,2017,331
T143,T146,Branden Grace,70,"37' 1""","31,143.500",840,Under,2017,331
T147,T150,Kyle Reifers,96,"37' 2""","49,061.417","1,319",Over,2017,331
T147,T150,Jonathan Randolph,68,"37' 2""","33,733.417",908,Over,2017,331
T147,T150,John Huh,92,"37' 2""","50,371.750","1,354",Under,2017,331
T147,T150,Whee Kim,74,"37' 2""","41,168.500","1,108",Over,2017,331
T147,T150,Sebastián Muñoz,51,"37' 2""","25,620.083",690,Under,2017,331
T152,T156,Martin Laird,83,"37' 4""","47,856.833","1,283",1 Under,2017,331
T152,T156,Matt Every,76,"37' 4""","40,330.333","1,081",1 Over,2017,331
T152,T156,Ryo Ishikawa,56,"37' 4""","28,389.583",761,Over,2017,331
T155,T164,Pat Perez,93,"37' 5""","48,757.917","1,304",1 Under,2017,331
T155,T159,Brandon Hagy,85,"37' 5""","45,980.583","1,230",1 Under,2017,331
T155,T159,Dominic Bozzelli,69,"37' 5""","36,494.750",976,Over,2017,331
T158,T162,Greg Chalmers,75,"37' 6""","45,295.833","1,208",Over,2017,331
T158,T159,Jhonattan Vegas,95,"37' 6""","47,387.417","1,265",Under,2017,331
T158,T162,Jason Kokrak,95,"37' 6""","55,366.333","1,478",Over,2017,331
T161,T164,Cameron Tringale,89,"37' 7""","43,589.000","1,161",Under,2017,331
T161,T164,Ryan Brehm,83,"37' 7""","43,515.250","1,157",Under,2017,331
T161,T164,Bryce Molder,74,"37' 7""","42,854.167","1,140",Over,2017,331
164,168,Jason Day,71,"37' 8""","36,825.167",978,1 Under,2017,331
T165,T169,Kevin Tway,96,"37' 9""","50,033.583","1,325",Under,2017,331
T165,T169,Ernie Els,52,"37' 9""","24,817.667",657,Over,2017,331
T165,T169,Rafa Cabrera Bello,63,"37' 9""","30,748.833",815,Under,2017,331
T168,T169,Marc Leishman,94,"37' 10""","49,329.167","1,303",1 Under,2017,331
T168,173,Gonzalo Fernandez-Castaño,63,"37' 10""","29,764.250",786,Under,2017,331
170,174,Nick Taylor,97,"37' 11""","56,435.000","1,488",Under,2017,331
171,175,Seung-Yul Noh,91,"38' 0""","50,820.750","1,337",Under,2017,331
T172,T176,Fabián Gómez,61,"38' 1""","34,354.250",903,Under,2017,331
T172,T176,Carl Pettersson,63,"38' 1""","35,184.917",924,Over,2017,331
T174,T178,Byeong Hun An,77,"38' 2""","38,898.833","1,020",Under,2017,331
T174,T178,Robert Streb,98,"38' 2""","57,326.250","1,502",Under,2017,331
T176,T186,Brooks Koepka,88,"38' 4""","45,457.417","1,186",1 Under,2017,331
T176,T180,Charl Schwartzel,63,"38' 4""","32,969.917",861,Under,2017,331
T176,T180,Jonas Blixt,74,"38' 4""","40,404.250","1,053",Over,2017,331
T179,T182,Steve Wheatcroft,51,"38' 5""","27,337.333",711,Under,2017,331
T179,T182,Matt Jones,64,"38' 5""","35,046.167",912,Under,2017,331
T179,T182,Cody Gribble,79,"38' 5""","47,625.667","1,239",Over,2017,331
T179,T182,Mackenzie Hughes,106,"38' 5""","65,917.583","1,715",Under,2017,331
T183,188,Patrick Reed,107,"38' 6""","57,716.250","1,500",1 Under,2017,331
T183,T186,Aaron Baddeley,61,"38' 6""","31,542.167",820,Under,2017,331
185,189,Jamie Lovemark,98,"38' 10""","55,234.750","1,421",1 Under,2017,331
186,190,Patrick Rodgers,76,"39' 0""","45,799.167","1,175",Over,2017,331
187,191,Rod Pampling,71,"39' 4""","46,227.083","1,176",Over,2017,331
188,192,Si Woo Kim,80,"39' 5""","41,835.250","1,062",Over,2017,331
189,193,Hunter Mahan,73,"39' 10""","42,019.333","1,055",Over,2017,331
190,194,Steven Bowditch,59,"40' 4""","32,128.083",796,1 Over,2017,331
