RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,Year,Stat ID
1,2,Ryan Armour,63,72.73,600,825,2017,102
2,3,Jim Furyk,54,72.07,511,709,2017,102
3,4,Boo Weekley,75,71.67,731,"1,020",2017,102
4,5,Chez Reavie,98,71.40,946,"1,325",2017,102
5,6,Brian Stuard,93,71.32,868,"1,217",2017,102
6,7,Francesco Molinari,75,70.14,707,"1,008",2017,102
7,8,William McGirt,89,69.96,815,"1,165",2017,102
8,9,Graeme McDowell,56,69.87,545,780,2017,102
9,10,Zac Blair,105,69.70,964,"1,383",2017,102
10,11,Søren Kjeldsen,58,69.21,472,682,2017,102
11,12,Jim Herman,77,69.02,724,"1,049",2017,102
12,14,Ken Duke,77,68.62,680,991,2017,102
13,13,Kyle Stanley,104,68.55,957,"1,396",2017,102
14,16,Vaughn Taylor,90,68.28,805,"1,179",2017,102
15,17,Steve Wheatcroft,51,68.24,447,655,2017,102
16,18,Ben Crane,86,67.97,749,"1,102",2017,102
17,19,Ryan Moore,82,67.90,751,"1,106",2017,102
18,20,Spencer Levin,89,67.82,805,"1,187",2017,102
19,15,Kevin Kisner,105,67.76,929,"1,371",2017,102
20,21,Russell Knox,75,67.62,664,982,2017,102
21,22,Steven Alker,69,67.54,595,881,2017,102
22,23,Zach Johnson,81,67.53,728,"1,078",2017,102
23,24,Chad Campbell,97,67.21,910,"1,354",2017,102
24,25,Alex Cejka,85,67.19,721,"1,073",2017,102
25,26,Keegan Bradley,104,66.78,951,"1,424",2017,102
26,27,David Hearn,93,66.75,791,"1,185",2017,102
27,28,Roberto Castro,70,66.35,631,951,2017,102
28,29,Webb Simpson,102,66.26,915,"1,381",2017,102
29,30,K.J. Choi,72,66.23,610,921,2017,102
30,31,Kevin Streelman,90,66.01,810,"1,227",2017,102
31,32,Matt Kuchar,95,65.94,846,"1,283",2017,102
32,33,Richy Werenski,81,65.92,681,"1,033",2017,102
33,34,Shane Lowry,52,65.84,451,685,2017,102
34,35,D.A. Points,68,65.83,626,951,2017,102
35,36,Chris Stroud,67,65.70,542,825,2017,102
36,37,Tim Wilkinson,64,65.68,530,807,2017,102
37,38,Martin Laird,83,65.66,761,"1,159",2017,102
38,39,Brian Gay,82,65.47,713,"1,089",2017,102
39,40,Emiliano Grillo,90,65.44,797,"1,218",2017,102
40,41,Lucas Glover,93,65.37,821,"1,256",2017,102
41,42,Kyle Reifers,96,65.15,800,"1,228",2017,102
42,43,J.J. Spaun,92,65.11,782,"1,201",2017,102
43,44,Rory Sabbatini,71,64.91,590,909,2017,102
44,45,Rick Lamb,54,64.81,453,699,2017,102
45,46,Sam Saunders,76,64.69,632,977,2017,102
46,48,Brett Stegmaier,78,64.66,686,"1,061",2017,102
47,50,Jonathan Randolph,68,64.25,566,881,2017,102
48,T51,C.T. Pan,88,64.20,771,"1,201",2017,102
49,T51,Paul Casey,94,64.13,808,"1,260",2017,102
