RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,Year,Stat ID
1,1,Greg Chalmers,56,.790,32.388,41,2018,02564
2,4,Jason Day,75,.770,37.721,49,2018,02564
3,2,Alex Noren,67,.758,37.154,49,2018,02564
4,3,Daniel Summerhays,51,.736,27.966,38,2018,02564
5,6,Webb Simpson,95,.692,56.018,81,2018,02564
6,5,Beau Hossler,104,.685,61.617,90,2018,02564
7,7,Johnson Wagner,75,.623,34.292,55,2018,02564
8,9,Peter Malnati,87,.619,46.410,75,2018,02564
9,10,Patrick Rodgers,97,.561,40.932,73,2018,02564
10,11,Emiliano Grillo,94,.546,39.841,73,2018,02564
11,16,Kevin Na,91,.533,37.304,70,2018,02564
12,12,Kevin Kisner,89,.513,33.365,65,2018,02564
13,8,Phil Mickelson,90,.510,35.711,70,2018,02564
T14,T14,Seamus Power,86,.498,32.851,66,2018,02564
T14,T14,Michael Thompson,62,.498,27.889,56,2018,02564
T16,T17,Graeme McDowell,67,.478,21.967,46,2018,02564
T16,T17,Brandt Snedeker,84,.478,35.378,74,2018,02564
18,19,Denny McCarthy,71,.449,22.018,49,2018,02564
19,20,Brian Gay,103,.442,40.668,92,2018,02564
20,21,Whee Kim,93,.427,31.181,73,2018,02564
21,13,Justin Rose,70,.424,22.479,53,2018,02564
22,22,Brett Stegmaier,67,.401,18.836,47,2018,02564
23,25,Billy Horschel,86,.392,30.165,77,2018,02564
24,24,Jim Furyk,50,.389,17.903,46,2018,02564
25,23,Dustin Johnson,77,.385,23.861,62,2018,02564
26,26,Bud Cauley,55,.367,15.055,41,2018,02564
27,27,Derek Fathauer,84,.363,24.669,68,2018,02564
28,28,Wesley Bryan,69,.360,18.354,51,2018,02564
29,30,Nicholas Lindheim,77,.355,20.930,59,2018,02564
30,31,Branden Grace,67,.350,15.390,44,2018,02564
31,32,Matt Kuchar,88,.348,22.592,65,2018,02564
T32,34,Hunter Mahan,67,.346,17.640,51,2018,02564
T32,29,Bryson DeChambeau,93,.346,26.983,78,2018,02564
34,35,Ricky Barnes,65,.338,15.201,45,2018,02564
35,36,Tyrrell Hatton,58,.335,14.077,42,2018,02564
36,37,Ben Crane,65,.332,15.286,46,2018,02564
37,38,Ollie Schniederjans,91,.325,25.042,77,2018,02564
T38,33,Tommy Fleetwood,73,.324,17.510,54,2018,02564
T38,39,Jimmy Walker,81,.324,21.369,66,2018,02564
40,40,Daniel Berger,81,.319,19.780,62,2018,02564
41,41,Austin Cook,107,.315,28.963,92,2018,02564
42,44,Dominic Bozzelli,65,.308,18.800,61,2018,02564
43,T42,Rickie Fowler,74,.296,18.029,61,2018,02564
44,45,Martin Laird,73,.282,17.178,61,2018,02564
T45,T46,Brian Harman,94,.273,19.683,72,2018,02564
T45,T46,Rafa Cabrera Bello,75,.273,13.101,48,2018,02564
47,T42,Justin Thomas,91,.272,18.528,68,2018,02564
48,T67,Tiger Woods,68,.266,15.703,59,2018,02564
49,49,Michael Kim,74,.259,14.005,54,2018,02564
50,50,Jonas Blixt,67,.244,11.722,48,2018,02564
T51,51,Ben Silverman,90,.238,18.085,76,2018,02564
T51,T46,Aaron Wise,90,.238,19.071,80,2018,02564
53,57,Tony Finau,105,.232,18.774,81,2018,02564
54,52,David Lingmerth,82,.229,15.774,69,2018,02564
55,53,Brandon Harkins,101,.225,19.146,85,2018,02564
56,54,Ian Poulter,73,.223,11.143,50,2018,02564
57,T55,Harris English,84,.222,15.063,68,2018,02564
58,58,Charles Howell III,104,.219,17.092,78,2018,02564
59,60,Chesson Hadley,103,.208,18.555,89,2018,02564
