RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,Year,Stat ID
65,65,Anirban Lahiri,72,.234,13.794,59,2017,02567
66,66,Billy Horschel,88,.224,17.949,80,2017,02567
67,68,J.J. Henry,92,.208,15.582,75,2017,02567
68,69,Richy Werenski,81,.203,12.408,61,2017,02567
69,67,Patrick Reed,107,.199,16.682,84,2017,02567
70,70,Scott Piercy,70,.190,9.317,49,2017,02567
71,71,Branden Grace,70,.180,8.445,47,2017,02567
72,72,James Hahn,96,.177,14.314,81,2017,02567
73,73,Nick Taylor,97,.168,13.938,83,2017,02567
74,74,Morgan Hoffmann,92,.165,13.551,82,2017,02567
75,75,Matt Kuchar,95,.158,12.155,77,2017,02567
76,76,J.T. Poston,95,.156,11.373,73,2017,02567
77,77,Scott Brown,95,.143,11.128,78,2017,02567
78,78,Miguel Angel Carballo,63,.139,5.972,43,2017,02567
79,79,Ben Martin,86,.138,9.656,70,2017,02567
80,80,Ryan Brehm,83,.137,8.890,65,2017,02567
81,81,Ollie Schniederjans,92,.125,10.147,81,2017,02567
82,82,Chez Reavie,98,.121,10.056,83,2017,02567
83,83,Russell Knox,75,.102,5.533,54,2017,02567
84,84,Smylie Kaufman,76,.091,5.759,63,2017,02567
85,85,Graeme McDowell,56,.085,4.256,50,2017,02567
86,86,Matt Jones,64,.073,3.743,51,2017,02567
87,87,Brian Campbell,55,.063,2.593,41,2017,02567
88,90,C.T. Pan,88,.052,3.981,76,2017,02567
89,91,Dominic Bozzelli,69,.051,2.792,55,2017,02567
90,92,Scott Stallings,81,.049,3.301,68,2017,02567
T91,T93,Chad Campbell,97,.041,3.488,85,2017,02567
T91,T93,Blayne Barber,77,.041,2.731,67,2017,02567
93,95,Danny Lee,93,.037,2.819,76,2017,02567
94,96,Sebastián Muñoz,51,.031,1.227,39,2017,02567
95,97,Jonathan Randolph,68,.030,1.524,51,2017,02567
96,99,Fabián Gómez,61,.022,1.100,51,2017,02567
97,100,Mackenzie Hughes,106,.021,1.988,96,2017,02567
98,101,Ryan Armour,63,.020,.981,49,2017,02567
99,102,Charles Howell III,86,.016,1.060,68,2017,02567
100,89,Brian Harman,104,.015,1.305,86,2017,02567
101,103,Shawn Stefani,72,.010,.611,60,2017,02567
102,88,Adam Hadwin,98,.003,.273,79,2017,02567
T103,T104,Vaughn Taylor,90,-.001,-.052,76,2017,02567
T103,T104,Retief Goosen,52,-.001,-.042,41,2017,02567
105,T106,Zach Johnson,81,-.005,-.316,68,2017,02567
106,108,Ryan Moore,82,-.006,-.407,65,2017,02567
T107,T109,Stewart Cink,93,-.019,-1.507,81,2017,02567
T107,T109,Cameron Percy,71,-.019,-1.067,55,2017,02567
109,111,Alex Cejka,85,-.020,-1.215,62,2017,02567
T110,T112,Charl Schwartzel,63,-.023,-1.088,48,2017,02567
T110,T112,Kyle Reifers,96,-.023,-1.727,74,2017,02567
112,114,Martin Flores,88,-.024,-1.577,67,2017,02567
113,115,David Lingmerth,79,-.032,-2.198,69,2017,02567
114,116,Julián Etulain,68,-.035,-1.781,51,2017,02567
115,T106,Webb Simpson,102,-.036,-3.045,84,2017,02567
116,117,Patrick Rodgers,76,-.044,-2.918,66,2017,02567
117,118,Bill Haas,92,-.047,-3.369,72,2017,02567
118,119,John Huh,92,-.049,-3.706,76,2017,02567
119,120,Daniel Summerhays,100,-.050,-4.107,82,2017,02567
120,121,Phil Mickelson,85,-.058,-3.999,69,2017,02567
121,122,Nick Watney,75,-.063,-4.030,64,2017,02567
122,123,Geoff Ogilvy,80,-.064,-4.281,67,2017,02567
T123,T124,Tyrone Van Aswegen,105,-.067,-5.333,80,2017,02567
T123,T124,Seamus Power,86,-.067,-4.550,68,2017,02567
125,126,Johnson Wagner,71,-.081,-4.597,57,2017,02567
126,127,Chris Stroud,67,-.094,-4.493,48,2017,02567
127,129,Andres Gonzales,73,-.104,-5.926,57,2017,02567
128,131,Rod Pampling,71,-.110,-7.256,66,2017,02567
129,132,Troy Merritt,82,-.118,-8.253,70,2017,02567
130,133,Cameron Smith,86,-.130,-9.207,71,2017,02567
T131,T134,Brett Stegmaier,78,-.141,-8.178,58,2017,02567
T131,T134,K.J. Choi,72,-.141,-7.622,54,2017,02567
133,128,Pat Perez,93,-.147,-10.719,73,2017,02567
134,137,Mark Anderson,54,-.149,-6.279,42,2017,02567
135,138,Ben Crane,86,-.150,-10.345,69,2017,02567
136,139,Zac Blair,105,-.155,-12.555,81,2017,02567
137,140,Robert Streb,98,-.159,-13.331,84,2017,02567
138,141,Spencer Levin,89,-.161,-10.806,67,2017,02567
139,142,Ian Poulter,72,-.162,-8.934,55,2017,02567
140,143,David Hearn,93,-.175,-12.396,71,2017,02567
141,144,Ken Duke,77,-.179,-10.729,60,2017,02567
142,145,Ryan Blaum,100,-.198,-16.233,82,2017,02567
143,146,Kelly Kraft,75,-.205,-13.333,65,2017,02567
144,147,Brett Drewitt,57,-.209,-9.004,43,2017,02567
145,148,Rafa Cabrera Bello,63,-.223,-10.249,46,2017,02567
146,149,Si Woo Kim,80,-.236,-14.160,60,2017,02567
147,150,Roberto Castro,70,-.244,-13.181,54,2017,02567
148,151,Michael Kim,94,-.247,-20.726,84,2017,02567
149,152,Jimmy Walker,68,-.258,-12.876,50,2017,02567
150,153,Peter Malnati,91,-.262,-19.104,73,2017,02567
T151,T154,Tim Wilkinson,64,-.289,-13.314,46,2017,02567
T151,T154,Steven Alker,69,-.289,-14.722,51,2017,02567
153,156,Jonas Blixt,74,-.300,-17.720,59,2017,02567
154,157,Brandt Snedeker,53,-.311,-13.082,42,2017,02567
155,158,Chris Kirk,89,-.315,-22.060,70,2017,02567
156,159,Cody Gribble,79,-.338,-23.653,70,2017,02567
157,160,Brian Stuard,93,-.340,-23.444,69,2017,02567
158,161,Andrew Loupe,55,-.348,-16.333,47,2017,02567
159,162,Tom Hoge,54,-.352,-13.724,39,2017,02567
160,163,Gonzalo Fernandez-Castaño,63,-.375,-16.495,44,2017,02567
161,164,Kevin Na,86,-.406,-26.775,66,2017,02567
162,165,Brian Gay,82,-.417,-28.747,69,2017,02567
163,166,Søren Kjeldsen,58,-.424,-14.409,34,2017,02567
164,167,Michael Thompson,60,-.431,-18.982,44,2017,02567
165,168,Brad Fritsch,56,-.432,-18.162,42,2017,02567
166,169,D.A. Points,68,-.436,-25.290,58,2017,02567
167,170,Derek Fathauer,81,-.456,-29.178,64,2017,02567
168,171,Jim Furyk,54,-.491,-21.611,44,2017,02567
169,172,Greg Chalmers,75,-.496,-33.743,68,2017,02567
170,173,Camilo Villegas,76,-.524,-32.491,62,2017,02567
171,174,Mark Hubbard,81,-.539,-32.887,61,2017,02567
172,175,Seung-Yul Noh,91,-.541,-40.560,75,2017,02567
173,176,Ernie Els,52,-.565,-20.916,37,2017,02567
174,178,Chad Collins,66,-.573,-30.964,54,2017,02567
175,179,Ryo Ishikawa,56,-.580,-24.923,43,2017,02567
176,180,Ricky Barnes,100,-.638,-49.131,77,2017,02567
177,181,Harris English,84,-.644,-46.340,72,2017,02567
178,182,Whee Kim,74,-.665,-41.255,62,2017,02567
179,183,Jason Bohn,75,-.685,-42.461,62,2017,02567
180,184,Nicholas Lindheim,58,-.733,-32.244,44,2017,02567
181,185,Matt Every,76,-.734,-44.771,61,2017,02567
182,186,Patton Kizzire,84,-.744,-53.580,72,2017,02567
183,187,Cameron Tringale,89,-.750,-48.738,65,2017,02567
184,188,Aaron Baddeley,61,-.782,-35.950,46,2017,02567
185,189,Billy Hurley III,80,-.812,-56.054,69,2017,02567
186,190,Wesley Bryan,95,-.899,-69.244,77,2017,02567
187,191,Luke Donald,50,-1.001,-43.034,43,2017,02567
188,192,Bryce Molder,74,-1.098,-70.297,64,2017,02567
189,193,Carl Pettersson,63,-1.123,-58.398,52,2017,02567
190,194,Steven Bowditch,59,-1.717,-77.258,45,2017,02567
