RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,Year,Stat ID
1,1,Dustin Johnson,77,1.071,63.182,59,2017,02567
2,2,Rory McIlroy,51,.965,34.731,36,2017,02567
3,3,Jon Rahm,90,.949,62.665,66,2017,02567
4,4,Tony Finau,106,.826,75.128,91,2017,02567
5,5,Sergio Garcia,65,.795,36.589,46,2017,02567
6,6,Rick Lamb,54,.686,26.070,38,2017,02567
7,7,Kyle Stanley,104,.659,61.980,94,2017,02567
8,8,Bubba Watson,71,.647,34.297,53,2017,02567
9,10,Boo Weekley,75,.634,38.652,61,2017,02567
10,11,Keegan Bradley,104,.625,56.885,91,2017,02567
11,9,Patrick Cantlay,52,.623,28.675,46,2017,02567
12,13,Jason Kokrak,95,.607,50.342,83,2017,02567
13,14,Luke List,102,.600,51.629,86,2017,02567
14,12,Charley Hoffman,112,.586,54.498,93,2017,02567
15,16,Shane Lowry,52,.582,22.129,38,2017,02567
16,17,Justin Rose,66,.559,29.643,53,2017,02567
17,23,Xander Schauffele,96,.554,41.005,74,2017,02567
18,18,Brooks Koepka,88,.546,36.588,67,2017,02567
T19,T19,Ryan Palmer,61,.533,26.121,49,2017,02567
T19,T19,J.B. Holmes,83,.533,32.516,61,2017,02567
T21,T21,Adam Scott,58,.524,22.005,42,2017,02567
T21,T21,Byeong Hun An,77,.524,29.877,57,2017,02567
23,15,Hideki Matsuyama,83,.508,29.955,59,2017,02567
24,24,Lucas Glover,93,.502,43.209,86,2017,02567
25,25,Graham DeLaet,82,.486,34.531,71,2017,02567
26,26,Francesco Molinari,75,.483,28.488,59,2017,02567
27,29,Brandon Hagy,85,.459,31.681,69,2017,02567
28,31,Hudson Swafford,94,.454,34.478,76,2017,02567
29,33,Justin Thomas,86,.452,29.390,65,2017,02567
30,27,Kevin Chappell,95,.442,31.790,72,2017,02567
31,28,Gary Woodland,94,.431,29.302,68,2017,02567
32,34,Trey Mullinax,88,.427,29.890,70,2017,02567
T33,T35,Jim Herman,77,.422,27.868,66,2017,02567
T33,T35,Robert Garrigus,78,.422,25.329,60,2017,02567
35,37,Bryson DeChambeau,91,.420,30.628,73,2017,02567
36,32,Jhonattan Vegas,95,.394,27.995,71,2017,02567
37,38,Brendan Steele,89,.387,27.470,71,2017,02567
38,30,Rickie Fowler,78,.378,23.804,63,2017,02567
39,39,Hunter Mahan,73,.376,22.173,59,2017,02567
40,40,Emiliano Grillo,90,.368,24.272,66,2017,02567
41,42,Grayson Murray,94,.353,30.033,85,2017,02567
42,45,Paul Casey,94,.349,24.766,71,2017,02567
43,43,Sam Saunders,76,.348,21.216,61,2017,02567
44,48,Jordan Spieth,85,.321,21.821,68,2017,02567
T45,47,Jamie Lovemark,98,.319,25.507,80,2017,02567
T45,41,Marc Leishman,94,.319,23.308,73,2017,02567
47,49,J.J. Spaun,92,.316,22.777,72,2017,02567
48,44,Jason Day,71,.311,17.114,55,2017,02567
49,46,Russell Henley,99,.310,26.625,86,2017,02567
50,50,Rory Sabbatini,71,.308,16.309,53,2017,02567
51,51,Louis Oosthuizen,69,.301,15.331,51,2017,02567
52,T52,Tag Ridings,67,.295,14.728,50,2017,02567
53,54,Kevin Streelman,90,.292,22.769,78,2017,02567
54,55,Kevin Tway,96,.288,21.279,74,2017,02567
55,T62,Daniel Berger,91,.282,19.429,69,2017,02567
56,T52,Jason Dufner,89,.268,19.282,72,2017,02567
57,57,Bud Cauley,92,.264,21.681,82,2017,02567
58,58,Harold Varner III,101,.262,22.518,86,2017,02567
59,59,Steve Wheatcroft,51,.259,10.348,40,2017,02567
T60,60,William McGirt,89,.257,18.507,72,2017,02567
T60,56,Kevin Kisner,105,.257,19.786,77,2017,02567
62,61,Sung Kang,104,.255,20.949,82,2017,02567
63,T62,Sean O'Hair,84,.252,17.612,70,2017,02567
64,64,Martin Laird,83,.235,16.910,72,2017,02567
