RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,Year,Stat ID
106,110,Ben Martin,38,.016,.350,22,2020,02568
107,111,Joseph Bramlett,57,.015,.583,39,2020,02568
T108,T112,Tyler McCumber,57,.014,.532,38,2020,02568
T108,T112,Matt Kuchar,56,.014,.680,49,2020,02568
110,114,Xinjun Zhang,77,.005,.323,59,2020,02568
111,115,Adam Schenk,78,.001,.072,55,2020,02568
112,116,Sung Kang,73,.000,-.013,62,2020,02568
113,117,Brian Harman,78,-.018,-1.288,71,2020,02568
114,109,Billy Horschel,79,-.033,-1.934,59,2020,02568
115,120,Hank Lebioda,57,-.053,-2.157,41,2020,02568
116,121,Ben Taylor,44,-.054,-1.526,28,2020,02568
117,122,Peter Uihlein,47,-.083,-2.725,33,2020,02568
118,123,Michael Gligic,52,-.089,-3.040,34,2020,02568
119,118,Bryson DeChambeau,62,-.090,-5.583,62,2020,02568
120,124,Tim Wilkinson,50,-.101,-3.241,32,2020,02568
121,125,Will Gordon,36,-.106,-2.341,22,2020,02568
122,T126,Brice Garnett,58,-.114,-5.150,45,2020,02568
123,T126,Brendon Todd,86,-.119,-8.955,75,2020,02568
124,129,Aaron Baddeley,49,-.122,-4.507,37,2020,02568
125,130,Rob Oppenheim,65,-.123,-5.514,45,2020,02568
126,131,Louis Oosthuizen,48,-.126,-5.021,40,2020,02568
127,132,Michael Thompson,62,-.127,-7.113,56,2020,02568
128,133,Bill Haas,46,-.128,-4.353,34,2020,02568
129,134,Phil Mickelson,51,-.129,-4.903,38,2020,02568
130,135,Fabián Gómez,59,-.137,-5.351,39,2020,02568
131,139,Cameron Champ,70,-.143,-8.747,61,2020,02568
132,136,Jhonattan Vegas,52,-.148,-5.489,37,2020,02568
133,137,Jason Day,53,-.151,-6.038,40,2020,02568
134,138,Vaughn Taylor,61,-.155,-6.812,44,2020,02568
135,140,Rafa Cabrera Bello,53,-.166,-6.484,39,2020,02568
136,141,Grayson Murray,36,-.167,-5.164,31,2020,02568
137,142,Andrew Landry,63,-.169,-9.438,56,2020,02568
138,144,Sam Burns,60,-.179,-9.847,55,2020,02568
139,145,D.J. Trahan,49,-.191,-6.298,33,2020,02568
140,146,Chris Stroud,48,-.194,-6.983,36,2020,02568
141,147,Robert Streb,54,-.221,-7.071,32,2020,02568
142,148,David Hearn,55,-.229,-8.235,36,2020,02568
143,149,Denny McCarthy,81,-.243,-15.792,65,2020,02568
144,150,Doug Ghim,44,-.244,-6.829,28,2020,02568
145,151,J.J. Spaun,62,-.266,-12.786,48,2020,02568
146,152,Kyoung-Hoon Lee,76,-.274,-14.803,54,2020,02568
147,153,Rory Sabbatini,66,-.278,-13.904,50,2020,02568
148,154,Brian Gay,67,-.293,-14.646,50,2020,02568
149,155,Bo Hoag,71,-.295,-14.461,49,2020,02568
150,156,Charles Howell III,69,-.300,-14.977,50,2020,02568
151,157,Kevin Chappell,41,-.304,-9.744,32,2020,02568
152,158,Scott Brown,64,-.307,-15.353,50,2020,02568
153,159,Kristoffer Ventura,48,-.314,-8.800,28,2020,02568
154,160,Troy Merritt,72,-.323,-17.788,55,2020,02568
155,161,Ryan Brehm,52,-.327,-10.457,32,2020,02568
T156,T163,Brandt Snedeker,53,-.336,-16.799,50,2020,02568
T156,T163,Danny Willett,40,-.336,-10.766,32,2020,02568
158,165,Kevin Tway,52,-.350,-12.234,35,2020,02568
159,166,Nate Lashley,52,-.353,-15.867,45,2020,02568
160,167,Seamus Power,36,-.358,-7.511,21,2020,02568
161,168,Harry Higgs,83,-.361,-24.908,69,2020,02568
162,169,J.T. Poston,78,-.366,-23.082,63,2020,02568
163,170,Patton Kizzire,55,-.368,-17.275,47,2020,02568
164,172,Arjun Atwal,35,-.377,-7.544,20,2020,02568
165,173,Tommy Fleetwood,40,-.378,-10.572,28,2020,02568
T166,T174,Roger Sloan,55,-.384,-14.590,38,2020,02568
T166,T174,Kramer Hickok,51,-.384,-13.807,36,2020,02568
168,171,Mackenzie Hughes,70,-.390,-24.199,62,2020,02568
169,176,Maverick McNealy,80,-.391,-22.696,58,2020,02568
170,177,Dominic Bozzelli,38,-.393,-9.443,24,2020,02568
171,178,Matt Every,47,-.400,-16.414,41,2020,02568
172,179,Zack Sucher,38,-.403,-9.675,24,2020,02568
T173,T180,Peter Malnati,61,-.431,-20.267,47,2020,02568
T173,T180,Keith Mitchell,64,-.431,-21.548,50,2020,02568
T175,T182,Matt Jones,76,-.438,-28.011,64,2020,02568
T175,T182,Jim Herman,60,-.438,-22.795,52,2020,02568
177,184,Zac Blair,70,-.443,-22.140,50,2020,02568
178,185,Wes Roach,42,-.449,-9.872,22,2020,02568
179,186,Patrick Rodgers,95,-.465,-34.848,75,2020,02568
180,187,Austin Cook,64,-.492,-23.615,48,2020,02568
181,188,Andrew Putnam,46,-.495,-15.846,32,2020,02568
