RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,Year,Stat ID
1,1,Kevin Na,98,.660,46.826,71,2015,02569
2,2,Jonathan Byrd,69,.596,30.391,51,2015,02569
3,3,Webb Simpson,81,.539,34.496,64,2015,02569
4,4,Luke Donald,71,.514,27.782,54,2015,02569
5,5,Jim Furyk,71,.513,26.701,52,2015,02569
6,7,Matt Kuchar,97,.479,36.864,77,2015,02569
7,8,Jordan Spieth,91,.471,31.054,66,2015,02569
8,9,Steven Alker,62,.406,20.301,50,2015,02569
9,10,Mark Wilson,89,.377,30.507,81,2015,02569
10,11,Cameron Tringale,96,.373,29.438,79,2015,02569
11,12,Aaron Baddeley,76,.370,24.399,66,2015,02569
12,14,Brandt Snedeker,98,.344,25.818,75,2015,02569
13,13,Morgan Hoffmann,85,.343,23.658,69,2015,02569
T14,T15,Padraig Harrington,60,.336,16.444,49,2015,02569
T14,T15,Ricky Barnes,82,.336,21.182,63,2015,02569
16,17,Matt Jones,89,.333,22.303,67,2015,02569
17,20,Chris Stroud,84,.295,20.046,68,2015,02569
18,18,Jason Day,75,.287,16.357,57,2015,02569
19,22,Jason Dufner,76,.281,13.474,48,2015,02569
T20,T23,Tim Wilkinson,73,.280,16.226,58,2015,02569
T20,T23,Brendon Todd,96,.280,21.286,76,2015,02569
22,21,Patrick Reed,103,.273,20.717,76,2015,02569
23,26,Jon Curran,83,.270,17.554,65,2015,02569
24,T37,J.B. Holmes,89,.268,17.699,66,2015,02569
25,27,Keegan Bradley,87,.263,16.862,64,2015,02569
26,31,Hideki Matsuyama,95,.254,17.797,70,2015,02569
27,34,Steven Bowditch,103,.253,22.270,88,2015,02569
T28,T28,David Toms,62,.248,13.645,55,2015,02569
T28,T28,William McGirt,103,.248,24.102,97,2015,02569
30,30,Vijay Singh,78,.241,16.607,69,2015,02569
31,25,Zach Johnson,90,.236,16.512,70,2015,02569
T32,50,Justin Rose,69,.228,11.195,49,2015,02569
T32,32,Robert Streb,110,.228,21.918,96,2015,02569
34,33,Phil Mickelson,70,.225,12.387,55,2015,02569
35,35,K.J. Choi,66,.210,11.949,57,2015,02569
36,36,Jonas Blixt,78,.209,10.862,52,2015,02569
37,T37,Chad Collins,79,.205,12.921,63,2015,02569
38,39,D.A. Points,72,.199,11.568,58,2015,02569
39,40,Chris Kirk,76,.198,11.097,56,2015,02569
T40,T41,Seung-Yul Noh,65,.188,10.159,54,2015,02569
T40,T41,Justin Thomas,106,.188,18.081,96,2015,02569
42,43,Roberto Castro,54,.187,6.717,36,2015,02569
43,44,Gonzalo Fernandez-Castaño,81,.183,11.532,63,2015,02569
44,45,Tyrone Van Aswegen,58,.181,7.601,42,2015,02569
45,46,Scott Langley,94,.180,14.219,79,2015,02569
46,47,Derek Fathauer,81,.179,11.822,66,2015,02569
T47,T48,Jerry Kelly,79,.166,10.938,66,2015,02569
T47,T48,Justin Leonard,61,.166,8.978,54,2015,02569
49,51,Chad Campbell,97,.159,14.485,91,2015,02569
50,53,Sergio Garcia,59,.157,5.669,36,2015,02569
51,54,Bryce Molder,91,.156,11.990,77,2015,02569
52,56,Kevin Chappell,86,.148,11.095,75,2015,02569
T53,T57,Ian Poulter,68,.147,7.078,48,2015,02569
T53,T57,Luke Guthrie,84,.147,9.975,68,2015,02569
55,59,Camilo Villegas,83,.143,10.610,74,2015,02569
56,60,Sean O'Hair,86,.142,11.513,81,2015,02569
57,61,Alex Cejka,94,.135,10.649,79,2015,02569
58,62,Zac Blair,108,.131,11.510,88,2015,02569
59,63,Greg Owen,58,.129,5.166,40,2015,02569
60,64,Mark Hubbard,79,.128,7.836,61,2015,02569
61,65,J.J. Henry,94,.127,9.670,76,2015,02569
62,52,Bill Haas,89,.126,8.978,71,2015,02569
63,66,Davis Love III,51,.116,4.854,42,2015,02569
64,T67,Andrew Putnam,68,.113,6.089,54,2015,02569
65,69,Nick Watney,91,.112,9.102,81,2015,02569
66,70,Russell Knox,96,.107,9.339,87,2015,02569
T67,T71,Marc Leishman,74,.102,5.510,54,2015,02569
T67,T71,Ryan Moore,81,.102,6.195,61,2015,02569
T67,T71,Ernie Els,57,.102,3.992,39,2015,02569
70,74,Billy Hurley III,83,.098,6.160,63,2015,02569
71,75,Rory Sabbatini,81,.097,6.433,66,2015,02569
72,78,Charl Schwartzel,67,.092,3.762,41,2015,02569
73,79,Louis Oosthuizen,68,.088,4.126,47,2015,02569
T74,82,Brice Garnett,81,.082,5.244,64,2015,02569
T74,76,Henrik Stenson,63,.082,3.604,44,2015,02569
76,83,Kyle Reifers,96,.076,6.112,80,2015,02569
77,81,Jimmy Walker,89,.068,4.357,64,2015,02569
78,77,Rickie Fowler,76,.066,3.751,57,2015,02569
79,84,James Hahn,94,.065,5.103,78,2015,02569
80,85,Charles Howell III,105,.059,5.857,99,2015,02569
81,86,Will Wilcox,58,.058,2.360,41,2015,02569
82,87,Sung Joon Park,79,.055,3.452,63,2015,02569
83,T67,Brooks Koepka,84,.052,3.405,65,2015,02569
T84,T88,Erik Compton,86,.047,3.281,70,2015,02569
T84,T88,Martin Flores,95,.047,3.713,79,2015,02569
86,90,Jamie Donaldson,50,.046,1.469,32,2015,02569
87,91,Pat Perez,96,.045,3.721,83,2015,02569
88,92,Adam Hadwin,95,.044,3.530,81,2015,02569
