RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,Year,Stat ID
1,1,Bubba Watson,71,1.194,66.846,56,2015,02567
2,2,Dustin Johnson,75,.960,51.833,54,2015,02567
3,3,Jason Day,75,.772,44.027,57,2015,02567
4,4,Adam Scott,51,.682,21.818,32,2015,02567
5,5,Patrick Rodgers,57,.680,31.268,46,2015,02567
6,6,Derek Ernst,75,.676,42.578,63,2015,02567
7,7,Charl Schwartzel,67,.669,27.444,41,2015,02567
8,8,Will Wilcox,58,.662,27.132,41,2015,02567
9,9,Lucas Glover,79,.591,42.520,72,2015,02567
10,10,Charlie Beljan,76,.583,33.212,57,2015,02567
11,11,Kevin Streelman,95,.563,41.071,73,2015,02567
12,12,Justin Rose,69,.550,26.937,49,2015,02567
13,13,Boo Weekley,79,.548,36.729,67,2015,02567
14,14,Hideki Matsuyama,95,.496,34.719,70,2015,02567
15,16,Jordan Spieth,91,.494,32.635,66,2015,02567
16,15,Charley Hoffman,97,.470,35.724,76,2015,02567
17,17,Jim Herman,88,.467,35.930,77,2015,02567
18,18,Jason Kokrak,88,.464,37.110,80,2015,02567
19,19,Henrik Stenson,63,.448,19.704,44,2015,02567
20,20,Sergio Garcia,59,.442,15.901,36,2015,02567
21,21,Keegan Bradley,87,.436,27.888,64,2015,02567
22,22,J.B. Holmes,89,.427,28.194,66,2015,02567
23,23,Brooks Koepka,84,.407,26.468,65,2015,02567
24,27,Paul Casey,87,.392,24.689,63,2015,02567
25,24,Chez Reavie,56,.384,19.221,50,2015,02567
26,25,Tony Finau,106,.383,35.193,92,2015,02567
27,26,David Lingmerth,90,.379,28.016,74,2015,02567
28,T33,Daniel Berger,97,.372,30.893,83,2015,02567
29,28,Nicholas Thompson,90,.370,25.909,70,2015,02567
30,29,Billy Horschel,99,.366,26.704,73,2015,02567
31,30,Brendan Steele,88,.363,27.623,76,2015,02567
32,31,Ryan Palmer,80,.356,19.246,54,2015,02567
33,32,Carlos Ortiz,100,.355,29.502,83,2015,02567
34,T33,Justin Thomas,106,.352,33.811,96,2015,02567
35,36,Martin Flores,95,.349,27.600,79,2015,02567
36,T37,Robert Garrigus,70,.345,19.001,55,2015,02567
37,39,Russell Henley,87,.343,22.975,67,2015,02567
38,40,Charles Howell III,105,.340,33.677,99,2015,02567
39,41,Louis Oosthuizen,68,.339,15.950,47,2015,02567
40,42,John Peterson,84,.333,25.661,77,2015,02567
