RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR,Year,Stat ID
1,1,Chad Collins,79,66.18,319,482,2015,130
2,2,Jason Day,75,65.34,247,378,2015,130
3,5,Steven Bowditch,103,65.19,442,678,2015,130
4,13,Jordan Spieth,91,65.03,331,509,2015,130
5,4,Jonathan Byrd,69,64.92,248,382,2015,130
6,6,Zac Blair,108,64.81,418,645,2015,130
7,7,Jerry Kelly,79,64.46,312,484,2015,130
8,8,Sung Joon Park,79,64.42,315,489,2015,130
9,9,Webb Simpson,81,64.38,291,452,2015,130
10,11,Billy Hurley III,83,64.17,317,494,2015,130
11,12,William McGirt,103,64.09,382,596,2015,130
12,14,David Toms,62,63.96,236,369,2015,130
13,16,Matt Kuchar,97,63.78,361,566,2015,130
14,17,John Peterson,84,63.47,304,479,2015,130
15,15,Brandt Snedeker,98,63.27,379,599,2015,130
16,22,K.J. Choi,66,63.12,255,404,2015,130
17,23,Rory Sabbatini,81,63.11,296,469,2015,130
18,24,Jim Furyk,71,62.93,219,348,2015,130
19,19,Kevin Na,98,62.87,381,606,2015,130
20,T25,Bryce Molder,91,62.85,340,541,2015,130
21,10,Kevin Kisner,104,62.66,396,632,2015,130
22,28,Brendon Todd,96,62.63,362,578,2015,130
23,29,John Huh,102,62.60,400,639,2015,130
24,30,Will Wilcox,58,62.55,167,267,2015,130
25,27,Henrik Stenson,63,62.24,178,286,2015,130
26,31,Carl Pettersson,106,62.18,439,706,2015,130
27,32,Cameron Tringale,96,62.09,380,612,2015,130
28,18,Patrick Reed,103,61.99,393,634,2015,130
29,34,Ben Crane,62,61.98,238,384,2015,130
30,T25,Hideki Matsuyama,95,61.92,309,499,2015,130
31,21,Bill Haas,89,61.90,299,483,2015,130
32,45,Bubba Watson,71,61.89,229,370,2015,130
33,35,Troy Merritt,91,61.83,371,600,2015,130
34,36,Justin Leonard,61,61.80,254,411,2015,130
