RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,Year,Stat ID
182,187,Justin Rose,38,63.16,432,684,-0.33,2020,103
183,188,Dominic Bozzelli,38,62.96,408,648,-0.33,2020,103
184,189,Nelson Ledesma,42,62.64,451,720,-0.28,2020,103
T185,T190,Ian Poulter,48,62.62,541,864,-0.32,2020,103
T185,T190,Kevin Tway,52,62.62,541,864,-0.26,2020,103
T187,T192,Peter Malnati,61,62.57,642,"1,026",-0.30,2020,103
T187,T192,Wyndham Clark,65,62.57,687,"1,098",-0.31,2020,103
189,T194,Danny Willett,40,62.50,450,720,-0.27,2020,103
190,196,Jordan Spieth,62,62.37,696,"1,116",-0.32,2020,103
191,197,Jimmy Walker,46,62.20,515,828,-0.27,2020,103
192,198,Marc Leishman,61,61.48,675,"1,098",-0.27,2020,103
193,201,Martin Trainer,48,52.05,431,828,-0.25,2020,103
