RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR,Year,Stat ID
1,1,Ben Crane,65,66.00,66,100,+20.00,2018,111
2,3,Louis Oosthuizen,62,64.29,72,112,+25.00,2018,111
3,4,Webb Simpson,95,62.91,95,151,+31.00,2018,111
4,2,Jason Day,75,62.50,85,136,+32.00,2018,111
5,6,Whee Kim,93,61.82,102,165,+37.00,2018,111
6,7,Zac Blair,64,61.63,53,86,+24.00,2018,111
7,5,Kevin Na,91,61.49,91,148,+30.00,2018,111
8,12,Justin Rose,70,61.16,74,121,+22.00,2018,111
9,8,Seamus Power,86,60.94,78,128,+29.00,2018,111
10,9,Matt Kuchar,88,60.81,90,148,+40.00,2018,111
11,11,Rory Sabbatini,91,60.67,108,178,+28.00,2018,111
12,10,Rickie Fowler,74,60.50,72,119,+21.00,2018,111
13,13,Rob Oppenheim,74,60.00,66,110,+29.00,2018,111
14,15,Alex Cejka,77,59.35,73,123,+34.00,2018,111
15,14,Phil Mickelson,90,58.60,92,157,+39.00,2018,111
16,16,Ben Martin,64,57.69,75,130,+34.00,2018,111
17,17,D.A. Points,63,57.66,64,111,+45.00,2018,111
18,18,Jonathan Byrd,70,57.65,49,85,+21.00,2018,111
19,19,Bill Haas,76,57.26,71,124,+27.00,2018,111
20,20,Aaron Baddeley,84,57.04,77,135,+35.00,2018,111
21,21,Rafa Cabrera Bello,75,56.90,66,116,+35.00,2018,111
22,22,Peter Malnati,87,56.69,89,157,+57.00,2018,111
23,30,Patrick Reed,94,56.68,106,187,+38.00,2018,111
24,23,Brandt Snedeker,84,56.67,85,150,+48.00,2018,111
25,24,Cameron Smith,85,56.52,91,161,+41.00,2018,111
26,25,Charles Howell III,104,55.76,92,165,+45.00,2018,111
27,26,Scott Stallings,96,55.63,89,160,+40.00,2018,111
28,27,Danny Lee,88,55.62,99,178,+41.00,2018,111
T29,T28,Henrik Stenson,60,55.56,40,72,+21.00,2018,111
T29,T28,Nick Taylor,94,55.56,75,135,+38.00,2018,111
31,31,Emiliano Grillo,94,54.84,85,155,+40.00,2018,111
32,32,Cameron Percy,56,54.79,40,73,+24.00,2018,111
33,33,Tyrrell Hatton,58,54.65,47,86,+33.00,2018,111
34,34,J.B. Holmes,77,54.55,84,154,+30.00,2018,111
35,49,Paul Casey,74,54.46,55,101,+34.00,2018,111
36,35,Bud Cauley,55,54.37,56,103,+29.00,2018,111
37,36,Justin Thomas,91,54.29,76,140,+27.00,2018,111
38,37,Peter Uihlein,83,54.24,64,118,+36.00,2018,111
39,39,Beau Hossler,104,54.19,97,179,+40.00,2018,111
40,40,Abraham Ancer,98,54.12,92,170,+33.00,2018,111
41,41,Jonathan Randolph,71,54.03,67,124,+44.00,2018,111
42,42,Chris Kirk,108,54.01,101,187,+38.00,2018,111
43,38,Patrick Cantlay,87,53.91,62,115,+23.00,2018,111
44,57,Brooks Koepka,64,53.76,50,93,+23.00,2018,111
45,43,Austin Cook,107,53.45,93,174,+54.00,2018,111
T46,T44,Brandon Harkins,101,53.42,86,161,+53.00,2018,111
T46,T44,Chris Stroud,81,53.42,78,146,+47.00,2018,111
T48,T46,Jimmy Walker,81,53.33,80,150,+49.00,2018,111
T48,T46,Jamie Lovemark,92,53.33,96,180,+43.00,2018,111
50,48,William McGirt,84,53.28,73,137,+42.00,2018,111
51,50,Brian Gay,103,53.10,77,145,+55.00,2018,111
52,51,Zach Johnson,94,52.98,80,151,+38.00,2018,111
53,52,Cameron Tringale,67,52.81,47,89,+32.00,2018,111
54,53,Johnson Wagner,75,52.75,48,91,+16.00,2018,111
55,54,Blayne Barber,69,52.73,58,110,+38.00,2018,111
56,55,Ryan Armour,109,52.54,93,177,+59.00,2018,111
57,56,Daniel Summerhays,51,52.44,43,82,+38.00,2018,111
58,T63,Rory McIlroy,64,52.43,54,103,+26.00,2018,111
59,59,Luke List,98,52.22,94,180,+35.00,2018,111
60,T60,Russell Knox,94,52.21,71,136,+38.00,2018,111
61,58,Dustin Johnson,77,52.17,48,92,+24.00,2018,111
62,62,Jonas Blixt,67,52.13,49,94,+26.00,2018,111
63,T63,Hideki Matsuyama,75,52.04,51,98,+40.00,2018,111
64,65,Harold Varner III,91,51.95,80,154,+33.00,2018,111
T65,T66,Joel Dahmen,93,51.85,70,135,+31.00,2018,111
T65,T66,Alex Noren,67,51.85,56,108,+28.00,2018,111
67,68,Sam Saunders,80,51.75,74,143,+46.00,2018,111
T68,T90,Billy Horschel,86,51.72,60,116,+37.00,2018,111
T68,69,Patrick Rodgers,97,51.72,75,145,+40.00,2018,111
T70,70,Si Woo Kim,108,51.67,108,209,+65.00,2018,111
T70,T60,Tommy Fleetwood,73,51.67,62,120,+46.00,2018,111
72,71,Ricky Barnes,65,51.65,47,91,+30.00,2018,111
73,72,Lucas Glover,65,51.61,64,124,+36.00,2018,111
T74,T73,Hudson Swafford,73,51.52,51,99,+27.00,2018,111
T74,T73,Talor Gooch,78,51.52,68,132,+37.00,2018,111
76,75,Ollie Schniederjans,91,51.48,87,169,+64.00,2018,111
77,76,Anirban Lahiri,82,51.46,88,171,+55.00,2018,111
78,77,Matt Jones,70,51.38,56,109,+38.00,2018,111
79,78,Jordan Spieth,81,51.33,58,113,+29.00,2018,111
80,79,Kyle Thompson,50,51.28,40,78,+24.00,2018,111
81,80,"Ted Potter, Jr.",87,51.27,81,158,+60.00,2018,111
82,81,Sean O'Hair,67,51.09,70,137,+47.00,2018,111
83,82,Jason Dufner,71,50.94,54,106,+31.00,2018,111
84,83,Shane Lowry,64,50.54,47,93,+26.00,2018,111
85,84,Martin Laird,73,50.48,53,105,+31.00,2018,111
86,85,Greg Chalmers,56,50.44,57,113,+50.00,2018,111
87,86,Lanto Griffin,80,50.43,59,117,+46.00,2018,111
88,87,Ian Poulter,73,50.42,60,119,+49.00,2018,111
89,88,Adam Scott,78,50.38,67,133,+50.00,2018,111
90,89,Sung Kang,89,50.34,75,149,+64.00,2018,111
T91,T90,Chad Campbell,87,50.00,71,142,+57.00,2018,111
T91,T90,Roberto Díaz,72,50.00,68,136,+49.00,2018,111
T91,T90,J.T. Poston,73,50.00,56,112,+40.00,2018,111
94,94,Tom Lovelady,87,49.65,71,143,+48.00,2018,111
95,95,Wesley Bryan,69,49.58,59,119,+48.00,2018,111
96,96,Kevin Tway,110,49.44,89,180,+46.00,2018,111
97,97,Tom Hoge,101,49.36,77,156,+51.00,2018,111
98,98,Stewart Cink,87,49.29,69,140,+49.00,2018,111
99,99,Charl Schwartzel,65,49.26,67,136,+42.00,2018,111
100,100,Xinjun Zhang,81,49.23,64,130,+44.00,2018,111
