RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR,Year,Stat ID
101,102,Tyrone Van Aswegen,101,49.01,74,151,+47.00,2018,111
102,103,Billy Hurley III,70,48.96,47,96,+35.00,2018,111
103,104,Byeong Hun An,86,48.85,64,131,+44.00,2018,111
T104,T105,Matt Every,79,48.84,63,129,+53.00,2018,111
T104,T105,Michael Kim,74,48.84,63,129,+45.00,2018,111
106,101,Marc Leishman,93,48.81,82,168,+55.00,2018,111
107,107,Andrew Putnam,97,48.80,61,125,+39.00,2018,111
108,108,Cody Gribble,71,48.72,57,117,+47.00,2018,111
109,135,Bryson DeChambeau,93,48.67,73,150,+47.00,2018,111
T110,T109,Keith Mitchell,99,48.61,70,144,+42.00,2018,111
T110,T109,Michael Thompson,62,48.61,35,72,+22.00,2018,111
112,111,Nate Lashley,51,48.57,34,70,+21.00,2018,111
113,121,Jon Rahm,71,48.54,50,103,+25.00,2018,111
114,112,James Hahn,85,48.48,64,132,+41.00,2018,111
115,113,Troy Merritt,89,48.47,79,163,+49.00,2018,111
116,114,David Lingmerth,82,48.41,61,126,+51.00,2018,111
117,122,Xander Schauffele,96,48.40,91,188,+49.00,2018,111
118,115,Brett Stegmaier,67,48.28,28,58,+20.00,2018,111
T119,149,Tiger Woods,68,48.15,52,108,+33.00,2018,111
T119,T116,Conrad Shindler,60,48.15,39,81,+32.00,2018,111
121,118,Brian Stuard,103,48.03,73,152,+67.00,2018,111
122,119,Brendan Steele,74,48.00,48,100,+34.00,2018,111
123,120,Trey Mullinax,75,47.97,59,123,+41.00,2018,111
124,T116,Aaron Wise,90,47.92,69,144,+47.00,2018,111
125,141,Francesco Molinari,73,47.90,57,119,+37.00,2018,111
126,123,Steve Wheatcroft,60,47.73,42,88,+35.00,2018,111
127,124,Vaughn Taylor,83,47.65,71,149,+65.00,2018,111
T128,T125,David Hearn,66,47.62,40,84,+30.00,2018,111
T128,T125,Martin Piller,79,47.62,70,147,+63.00,2018,111
130,127,Shawn Stefani,76,47.50,57,120,+42.00,2018,111
131,128,Branden Grace,67,47.46,56,118,+38.00,2018,111
132,129,Graeme McDowell,67,47.37,54,114,+36.00,2018,111
133,130,Adam Hadwin,92,47.34,80,169,+47.00,2018,111
134,131,Daniel Berger,81,47.33,62,131,+50.00,2018,111
135,132,Kevin Streelman,94,47.24,77,163,+52.00,2018,111
136,133,Brian Harman,94,47.22,68,144,+42.00,2018,111
137,134,Pat Perez,82,47.20,59,125,+48.00,2018,111
138,136,Ryan Moore,78,47.14,66,140,+43.00,2018,111
139,137,John Huh,94,47.06,72,153,+62.00,2018,111
140,138,Stephan Jaeger,81,46.97,62,132,+56.00,2018,111
141,139,Kiradech Aphibarnrat,51,46.88,45,96,+39.00,2018,111
142,156,Patton Kizzire,92,46.83,59,126,+43.00,2018,111
143,140,Zecheng Dou,53,46.51,40,86,+30.00,2018,111
144,142,Jim Furyk,50,46.25,37,80,+37.00,2018,111
145,148,Kyle Stanley,93,46.20,73,158,+49.00,2018,111
T146,T143,Ryan Palmer,69,46.15,60,130,+42.00,2018,111
T146,T143,Denny McCarthy,71,46.15,42,91,+31.00,2018,111
148,145,Chesson Hadley,103,46.10,71,154,+59.00,2018,111
149,146,Bronson Burgoon,69,45.95,51,111,+32.00,2018,111
150,147,Matt Atkins,56,45.65,42,92,+35.00,2018,111
151,151,Keegan Bradley,98,45.20,80,177,+64.00,2018,111
152,152,Charley Hoffman,87,45.14,65,144,+60.00,2018,111
153,153,Robert Streb,78,45.00,63,140,+70.00,2018,111
154,154,Scott Piercy,84,44.96,58,129,+49.00,2018,111
155,155,Kelly Kraft,94,44.94,71,158,+70.00,2018,111
156,157,Dominic Bozzelli,65,44.80,56,125,+54.00,2018,111
T157,T158,Ben Silverman,90,44.67,67,150,+61.00,2018,111
T157,T158,Harris English,84,44.67,67,150,+44.00,2018,111
159,160,Tony Finau,105,44.38,75,169,+50.00,2018,111
160,161,Corey Conners,97,44.27,58,131,+46.00,2018,111
161,150,Bubba Watson,90,44.20,61,138,+46.00,2018,111
162,162,Kevin Chappell,77,44.07,52,118,+49.00,2018,111
163,163,Kevin Kisner,89,44.00,55,125,+47.00,2018,111
164,164,Nicholas Lindheim,77,43.96,40,91,+36.00,2018,111
165,165,Grayson Murray,72,43.93,76,173,+67.00,2018,111
166,166,J.J. Spaun,85,43.90,54,123,+52.00,2018,111
167,167,Nick Watney,94,43.79,74,169,+51.00,2018,111
168,168,Derek Fathauer,84,43.62,65,149,+68.00,2018,111
169,169,Sam Ryder,82,43.48,50,115,+36.00,2018,111
170,170,Richy Werenski,98,43.33,65,150,+69.00,2018,111
T171,T171,Fabián Gómez,88,43.20,54,125,+53.00,2018,111
T171,T171,Rod Pampling,62,43.20,54,125,+53.00,2018,111
T171,T171,Robert Garrigus,80,43.20,54,125,+41.00,2018,111
174,174,Chez Reavie,93,43.06,62,144,+62.00,2018,111
175,T175,Scott Brown,102,42.86,69,161,+68.00,2018,111
176,177,Andrew Landry,82,42.64,55,129,+47.00,2018,111
177,178,Russell Henley,77,42.54,57,134,+58.00,2018,111
178,179,Adam Schenk,86,42.36,61,144,+51.00,2018,111
179,180,J.J. Henry,81,42.22,38,90,+37.00,2018,111
180,181,C.T. Pan,104,42.07,61,145,+52.00,2018,111
181,182,Retief Goosen,60,41.89,31,74,+31.00,2018,111
182,183,Mackenzie Hughes,80,41.74,48,115,+50.00,2018,111
183,184,Ryan Blaum,81,41.54,54,130,+48.00,2018,111
184,185,Gary Woodland,96,41.49,78,188,+70.00,2018,111
185,186,Brice Garnett,99,41.43,58,140,+52.00,2018,111
186,187,Hunter Mahan,67,40.95,43,105,+43.00,2018,111
187,188,Jason Kokrak,99,40.88,65,159,+60.00,2018,111
188,189,Martin Flores,92,40.65,63,155,+73.00,2018,111
189,190,Jhonattan Vegas,92,39.64,67,169,+83.00,2018,111
190,191,Satoshi Kodaira,51,39.53,34,86,+45.00,2018,111
191,192,Ethan Tracy,72,34.86,38,109,+51.00,2018,111
192,193,Andrew Yun,51,34.33,23,67,+37.00,2018,111
193,194,Tyler Duncan,97,32.43,48,148,+67.00,2018,111
