RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# BIRDIES,GREENS HIT,Year,Stat ID
146,147,Johnson Wagner,86,27.66,296,"1,070",2016,115
147,148,Chad Campbell,90,27.59,304,"1,102",2016,115
148,149,Abraham Ancer,51,27.58,147,533,2016,115
149,150,Brett Stegmaier,87,27.52,281,"1,021",2016,115
150,151,Louis Oosthuizen,63,27.49,188,684,2016,115
T151,T153,Stewart Cink,61,27.46,212,772,2016,115
T151,T153,Keegan Bradley,82,27.46,282,"1,027",2016,115
153,155,Andrew Landry,53,27.42,156,569,2016,115
154,156,Brendon Todd,66,27.36,168,614,2016,115
155,157,Francesco Molinari,64,27.25,203,745,2016,115
156,158,Colt Knost,90,27.21,274,"1,007",2016,115
157,159,Zac Blair,99,27.14,289,"1,065",2016,115
158,160,Tyler Aldridge,83,27.13,252,929,2016,115
159,161,Jim Herman,93,27.06,296,"1,094",2016,115
160,162,Will MacKenzie,84,26.99,258,956,2016,115
161,163,Greg Owen,85,26.90,273,"1,015",2016,115
162,164,Rhein Gibson,58,26.89,178,662,2016,115
163,165,Robert Streb,87,26.85,268,998,2016,115
164,166,Brendon de Jonge,83,26.78,256,956,2016,115
165,167,Bronson Burgoon,83,26.65,250,938,2016,115
166,168,Rob Oppenheim,67,26.64,191,717,2016,115
167,169,Jeff Overton,69,26.51,198,747,2016,115
168,T170,Ángel Cabrera,62,26.46,186,703,2016,115
169,172,John Huh,86,26.39,266,"1,008",2016,115
170,173,Whee Kim,82,26.38,243,921,2016,115
171,174,Martin Piller,59,26.14,172,658,2016,115
172,175,Chad Collins,73,25.95,212,817,2016,115
173,176,Luke Donald,81,25.93,244,941,2016,115
174,177,Jerry Kelly,76,25.85,235,909,2016,115
175,178,Scott Langley,65,25.83,187,724,2016,115
176,179,David Toms,62,25.58,187,731,2016,115
177,180,Rod Pampling,54,25.57,147,575,2016,115
178,181,Derek Ernst,59,25.48,173,679,2016,115
179,182,Shawn Stefani,91,25.43,264,"1,038",2016,115
180,183,Thomas Aiken,70,25.21,209,829,2016,115
181,184,Bill Haas,86,25.10,248,988,2016,115
182,185,Mark Wilson,66,25.00,181,724,2016,115
183,186,Jim Furyk,52,24.29,155,638,2016,115
184,187,Robert Allenby,51,23.29,136,584,2016,115
185,188,J.J. Henry,68,21.88,175,800,2016,115
