RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# BIRDIES,GREENS HIT,Year,Stat ID
1,1,Dustin Johnson,87,36.58,364,995,2016,115
2,2,Jordan Spieth,80,35.68,309,866,2016,115
3,3,Rory McIlroy,69,35.32,273,773,2016,115
4,4,Jason Day,76,34.70,288,830,2016,115
5,6,Brooks Koepka,75,33.65,283,841,2016,115
6,7,Andrew Loupe,75,33.57,286,852,2016,115
7,5,J.B. Holmes,77,33.45,290,867,2016,115
T8,10,Hideki Matsuyama,76,33.37,298,893,2016,115
T8,9,Phil Mickelson,75,33.37,285,854,2016,115
10,8,Jimmy Walker,85,32.91,310,942,2016,115
11,11,Jonas Blixt,79,32.73,273,834,2016,115
12,12,Ryan Palmer,86,32.31,337,"1,043",2016,115
13,14,Adam Hadwin,93,31.73,350,"1,103",2016,115
14,T15,Daniel Summerhays,99,31.72,355,"1,119",2016,115
15,T24,Sean O'Hair,89,31.63,340,"1,075",2016,115
16,17,Robert Garrigus,69,31.60,255,807,2016,115
17,18,Luke Guthrie,57,31.56,196,621,2016,115
18,19,Morgan Hoffmann,71,31.54,240,761,2016,115
19,T15,Kevin Kisner,97,31.45,346,"1,100",2016,115
20,13,Matt Kuchar,100,31.43,368,"1,171",2016,115
21,21,Patrick Reed,105,31.42,361,"1,149",2016,115
22,20,Michael Thompson,71,31.39,253,806,2016,115
T23,T22,Jamie Lovemark,91,31.21,333,"1,067",2016,115
T23,T22,Aaron Baddeley,93,31.21,314,"1,006",2016,115
25,T24,Smylie Kaufman,91,31.17,326,"1,046",2016,115
26,29,Justin Thomas,99,31.10,352,"1,132",2016,115
27,26,Adam Scott,79,31.06,300,966,2016,115
28,28,Brandt Snedeker,93,30.95,325,"1,050",2016,115
29,30,Ricky Barnes,97,30.94,340,"1,099",2016,115
30,27,Kevin Na,96,30.89,345,"1,117",2016,115
31,31,Tony Finau,95,30.87,343,"1,111",2016,115
32,32,Wes Roach,59,30.83,193,626,2016,115
33,33,Justin Rose,65,30.78,233,757,2016,115
34,34,Freddie Jacobson,86,30.77,308,"1,001",2016,115
35,35,Charles Howell III,91,30.75,341,"1,109",2016,115
36,36,Hudson Swafford,104,30.69,395,"1,287",2016,115
37,37,Graham DeLaet,70,30.58,248,811,2016,115
38,39,Brian Harman,104,30.53,370,"1,212",2016,115
39,40,Ben Martin,92,30.51,321,"1,052",2016,115
T40,T41,Cameron Tringale,81,30.47,277,909,2016,115
T40,T41,Anirban Lahiri,72,30.47,238,781,2016,115
42,38,Si Woo Kim,113,30.44,386,"1,268",2016,115
43,43,Luke List,79,30.39,282,928,2016,115
44,44,Carlos Ortiz,79,30.38,264,869,2016,115
45,45,Troy Merritt,77,30.28,264,872,2016,115
46,46,Ken Duke,58,30.26,174,575,2016,115
47,47,Derek Fathauer,94,30.25,317,"1,048",2016,115
48,48,Steve Stricker,53,30.22,181,599,2016,115
49,49,Alex Cejka,71,30.20,247,818,2016,115
50,51,Billy Horschel,73,30.08,256,851,2016,115
51,52,Vaughn Taylor,72,30.06,251,835,2016,115
52,53,Jason Bohn,67,30.04,240,799,2016,115
53,56,Seung-Yul Noh,85,30.00,282,940,2016,115
54,67,Ryan Moore,86,29.99,287,957,2016,115
T55,54,Charl Schwartzel,73,29.98,259,864,2016,115
T55,57,Danny Lee,93,29.98,310,"1,034",2016,115
57,58,Tim Wilkinson,72,29.96,237,791,2016,115
58,59,Patton Kizzire,93,29.94,309,"1,032",2016,115
59,60,Matt Jones,83,29.92,275,919,2016,115
T60,50,Bubba Watson,72,29.91,256,856,2016,115
T60,55,Emiliano Grillo,93,29.91,332,"1,110",2016,115
T60,61,Will Wilcox,67,29.91,221,739,2016,115
63,62,Martin Laird,82,29.89,284,950,2016,115
64,63,David Lingmerth,84,29.88,271,907,2016,115
65,64,Zach Johnson,90,29.86,298,998,2016,115
66,66,Daniel Berger,92,29.82,323,"1,083",2016,115
67,65,Sergio Garcia,54,29.80,191,641,2016,115
68,68,Fabián Gómez,82,29.76,269,904,2016,115
69,69,Stuart Appleby,71,29.53,225,762,2016,115
70,70,Boo Weekley,83,29.49,299,"1,014",2016,115
71,71,Rickie Fowler,80,29.41,282,959,2016,115
72,72,Steve Wheatcroft,85,29.37,264,899,2016,115
73,74,Webb Simpson,70,29.33,247,842,2016,115
74,75,Mark Hubbard,101,29.29,324,"1,106",2016,115
75,77,Michael Kim,100,29.23,318,"1,088",2016,115
T76,76,Jason Dufner,105,29.22,376,"1,287",2016,115
T76,78,Ernie Els,66,29.22,211,722,2016,115
78,79,Scott Brown,88,29.21,300,"1,027",2016,115
79,80,Hiroshi Iwata,85,29.20,259,887,2016,115
80,81,Sung Kang,89,29.19,298,"1,021",2016,115
81,73,Gary Woodland,95,29.18,328,"1,124",2016,115
82,T82,Harold Varner III,92,29.16,319,"1,094",2016,115
83,85,Ben Crane,80,29.15,253,868,2016,115
84,86,Cameron Smith,73,29.14,227,779,2016,115
85,87,Rory Sabbatini,57,29.12,182,625,2016,115
T86,T88,Hunter Mahan,61,29.11,200,687,2016,115
T86,T88,Steven Bowditch,71,29.11,202,694,2016,115
T88,T90,Lucas Glover,75,29.09,281,966,2016,115
T88,T90,Andres Gonzales,80,29.09,270,928,2016,115
90,92,Graeme McDowell,63,29.06,202,695,2016,115
91,93,Chesson Hadley,81,29.05,269,926,2016,115
92,94,Peter Malnati,85,29.04,275,947,2016,115
93,95,D.A. Points,55,28.98,173,597,2016,115
94,T82,Jhonattan Vegas,97,28.95,337,"1,164",2016,115
T95,T96,Marc Leishman,89,28.94,292,"1,009",2016,115
T95,T96,Chris Stroud,82,28.94,277,957,2016,115
T95,T96,Vijay Singh,72,28.94,235,812,2016,115
T98,T99,Padraig Harrington,54,28.90,176,609,2016,115
T98,T99,Billy Hurley III,66,28.90,215,744,2016,115
100,101,Retief Goosen,55,28.87,179,620,2016,115
101,T82,Kevin Chappell,93,28.83,318,"1,103",2016,115
T102,T102,Jon Curran,99,28.81,323,"1,121",2016,115
T102,T102,Kelly Kraft,63,28.81,206,715,2016,115
T104,T104,Kyle Reifers,115,28.80,388,"1,347",2016,115
T104,T104,Camilo Villegas,83,28.80,254,882,2016,115
T106,T106,Nick Taylor,83,28.79,268,931,2016,115
T106,T106,Patrick Rodgers,89,28.79,304,"1,056",2016,115
108,108,Jason Kokrak,89,28.78,316,"1,098",2016,115
109,109,Bryce Molder,80,28.77,246,855,2016,115
110,110,Scott Piercy,87,28.71,290,"1,010",2016,115
111,111,Sam Saunders,69,28.69,216,753,2016,115
112,112,Harris English,97,28.67,324,"1,130",2016,115
113,113,Jason Gore,78,28.65,253,883,2016,115
114,114,K.J. Choi,73,28.64,246,859,2016,115
115,116,Paul Casey,77,28.63,270,943,2016,115
116,115,Charley Hoffman,91,28.60,292,"1,021",2016,115
117,117,Scott Pinckney,87,28.52,300,"1,052",2016,115
T118,118,Blayne Barber,84,28.50,273,958,2016,115
T118,131,William McGirt,98,28.50,338,"1,186",2016,115
120,119,Spencer Levin,104,28.46,339,"1,191",2016,115
121,120,Geoff Ogilvy,63,28.44,192,675,2016,115
122,121,Branden Grace,63,28.43,205,721,2016,115
T123,T122,Brendan Steele,88,28.38,294,"1,036",2016,115
T123,T122,Steve Marino,72,28.38,229,807,2016,115
125,129,Roberto Castro,97,28.37,341,"1,202",2016,115
126,124,D.H. Lee,61,28.34,174,614,2016,115
127,133,Russell Knox,92,28.32,316,"1,116",2016,115
128,125,Scott Stallings,74,28.28,235,831,2016,115
129,126,Tom Hoge,81,28.26,243,860,2016,115
130,127,Dawie van der Walt,72,28.23,236,836,2016,115
131,128,Chez Reavie,90,28.18,295,"1,047",2016,115
132,130,Kyle Stanley,92,28.16,303,"1,076",2016,115
133,132,Kevin Streelman,82,28.12,286,"1,017",2016,115
134,134,John Senden,88,28.08,299,"1,065",2016,115
135,135,David Hearn,95,28.03,326,"1,163",2016,115
136,136,Chris Kirk,90,28.02,274,978,2016,115
T137,T137,Henrik Norlander,71,28.01,230,821,2016,115
T137,T137,Erik Compton,65,28.01,186,664,2016,115
139,139,Brian Stuard,66,27.96,210,751,2016,115
140,140,Tyrone Van Aswegen,105,27.92,332,"1,189",2016,115
141,141,Shane Lowry,57,27.88,174,624,2016,115
142,143,Dicky Pride,55,27.85,161,578,2016,115
143,144,George McNeill,51,27.84,164,589,2016,115
144,145,James Hahn,85,27.79,274,986,2016,115
145,146,Russell Henley,76,27.76,259,933,2016,115
