RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,Year,Stat ID
1,1,Rory McIlroy,51,317.2,"27,917",88,2017,101
2,2,Dustin Johnson,77,315.0,"41,576",132,2017,101
3,3,Brandon Hagy,85,312.7,"48,162",154,2017,101
T4,T4,Ryan Brehm,83,311.5,"47,965",154,2017,101
T4,T4,Luke List,102,311.5,"61,046",196,2017,101
6,6,Andrew Loupe,55,311.3,"32,371",104,2017,101
7,7,Brooks Koepka,88,311.1,"47,293",152,2017,101
8,T8,Justin Thomas,86,309.7,"43,977",142,2017,101
9,T8,Trey Mullinax,88,309.6,"50,778",164,2017,101
T10,11,Kevin Tway,96,309.2,"54,421",176,2017,101
T10,10,Tony Finau,106,309.2,"61,842",200,2017,101
12,12,Grayson Murray,94,308.2,"55,483",180,2017,101
13,T13,Gary Woodland,94,307.6,"49,827",162,2017,101
14,T13,J.B. Holmes,83,307.5,"44,286",144,2017,101
15,15,Adam Scott,58,307.0,"30,697",100,2017,101
16,T16,Xander Schauffele,96,306.8,"56,449",184,2017,101
17,T16,Jason Kokrak,95,306.4,"55,771",182,2017,101
18,18,Patrick Rodgers,76,306.3,"42,884",140,2017,101
19,21,Jason Day,71,306.2,"40,421",132,2017,101
T20,19,Bubba Watson,71,305.8,"36,086",118,2017,101
T20,20,Jon Rahm,90,305.8,"50,767",166,2017,101
22,22,Hudson Swafford,94,305.1,"52,477",172,2017,101
23,25,Kevin Chappell,95,305.0,"50,022",164,2017,101
24,23,Jamie Lovemark,98,304.9,"56,102",184,2017,101
25,24,Smylie Kaufman,76,304.8,"40,842",134,2017,101
26,26,Hideki Matsuyama,83,303.3,"41,247",136,2017,101
27,27,Ryan Palmer,61,303.2,"32,140",106,2017,101
28,28,Matt Jones,64,302.6,"33,891",112,2017,101
29,29,Harold Varner III,101,302.4,"57,462",190,2017,101
T30,31,Harris English,84,301.9,"45,890",152,2017,101
T30,32,Sergio Garcia,65,301.9,"32,604",108,2017,101
32,33,Tag Ridings,67,301.6,"35,583",118,2017,101
33,30,Jhonattan Vegas,95,301.3,"49,414",164,2017,101
34,34,Graham DeLaet,82,301.1,"45,769",152,2017,101
T35,35,Nick Watney,75,300.9,"41,521",138,2017,101
T35,36,Justin Rose,66,300.9,"38,517",128,2017,101
T37,T37,Robert Garrigus,78,300.7,"43,307",144,2017,101
T37,T37,Ollie Schniederjans,92,300.7,"52,321",174,2017,101
39,39,Martin Flores,88,300.6,"48,705",162,2017,101
40,40,Brendan Steele,89,300.4,"48,061",160,2017,101
T41,T42,Rickie Fowler,78,300.3,"43,245",144,2017,101
T41,41,Byeong Hun An,77,300.3,"38,443",128,2017,101
43,T42,Billy Horschel,88,300.1,"51,610",172,2017,101
44,44,Keegan Bradley,104,299.8,"58,759",196,2017,101
45,45,Bryson DeChambeau,91,299.4,"53,302",178,2017,101
46,46,Andres Gonzales,73,299.2,"41,289",138,2017,101
47,47,Charl Schwartzel,63,299.1,"33,499",112,2017,101
48,53,Patrick Cantlay,52,298.9,"28,699",96,2017,101
49,T49,Charley Hoffman,112,298.7,"64,521",216,2017,101
T50,48,Marc Leishman,94,298.6,"51,354",172,2017,101
T50,T49,Lucas Glover,93,298.6,"53,752",180,2017,101
52,51,Seung-Yul Noh,91,298.5,"51,943",174,2017,101
53,54,Seamus Power,86,298.1,"47,702",160,2017,101
T54,52,Russell Henley,99,298.0,"57,811",194,2017,101
T54,55,Rick Lamb,54,298.0,"29,798",100,2017,101
56,56,Matt Every,76,297.7,"41,672",140,2017,101
57,57,Scott Stallings,81,297.6,"45,832",154,2017,101
T58,59,Paul Casey,94,297.5,"48,794",164,2017,101
T58,58,Sean O'Hair,84,297.5,"47,604",160,2017,101
60,60,Cody Gribble,79,297.2,"45,770",154,2017,101
61,61,Anirban Lahiri,72,297.0,"40,391",136,2017,101
T62,T62,Martin Laird,83,296.9,"49,291",166,2017,101
T62,T62,Charles Howell III,86,296.9,"46,318",156,2017,101
T62,66,Daniel Berger,91,296.9,"46,319",156,2017,101
65,64,Stewart Cink,93,296.7,"55,185",186,2017,101
66,65,Kyle Stanley,104,296.5,"59,304",200,2017,101
T67,T67,Shane Lowry,52,296.4,"26,680",90,2017,101
T67,T67,Sung Kang,104,296.4,"58,094",196,2017,101
69,69,Louis Oosthuizen,69,296.3,"34,376",116,2017,101
T70,T70,Brian Campbell,55,296.0,"30,188",102,2017,101
T70,T70,Sebastián Muñoz,51,296.0,"29,004",98,2017,101
T72,T72,Bud Cauley,92,295.9,"52,083",176,2017,101
T72,T72,Scott Piercy,70,295.9,"34,911",118,2017,101
74,74,Jimmy Walker,68,295.7,"36,073",122,2017,101
T75,75,Jordan Spieth,85,295.6,"46,114",156,2017,101
T75,T76,Patrick Reed,107,295.6,"54,383",184,2017,101
77,T76,J.T. Poston,95,295.5,"51,412",174,2017,101
78,T80,Jason Dufner,89,294.6,"48,311",164,2017,101
79,78,Hunter Mahan,73,294.5,"41,814",142,2017,101
80,79,Dominic Bozzelli,69,294.4,"38,278",130,2017,101
T81,T80,Robert Streb,98,294.3,"52,980",180,2017,101
T81,T80,Mackenzie Hughes,106,294.3,"61,211",208,2017,101
83,83,J.J. Henry,92,294.1,"50,585",172,2017,101
T84,T84,Kevin Streelman,90,294.0,"51,736",176,2017,101
T84,T84,Shawn Stefani,72,294.0,"39,985",136,2017,101
T86,T86,Morgan Hoffmann,92,293.9,"51,728",176,2017,101
T86,T86,James Hahn,96,293.9,"54,083",184,2017,101
88,88,Sam Saunders,76,293.6,"41,097",140,2017,101
T89,T89,Julián Etulain,68,293.5,"36,978",126,2017,101
T89,T89,Phil Mickelson,85,293.5,"46,956",160,2017,101
91,91,Emiliano Grillo,90,293.3,"46,342",158,2017,101
T92,T92,Patton Kizzire,84,293.0,"44,531",152,2017,101
T92,T92,Bill Haas,92,293.0,"47,460",162,2017,101
T94,T94,Aaron Baddeley,61,292.6,"31,014",106,2017,101
T94,T94,Cameron Smith,86,292.6,"47,989",164,2017,101
T96,T96,Cameron Percy,71,292.5,"38,027",130,2017,101
T96,T96,Jim Herman,77,292.5,"41,536",142,2017,101
98,98,Francesco Molinari,75,292.4,"39,762",136,2017,101
99,99,Gonzalo Fernandez-Castaño,63,292.1,"32,720",112,2017,101
100,100,Branden Grace,70,292.0,"32,115",110,2017,101
101,101,Kelly Kraft,75,291.9,"41,453",142,2017,101
102,T102,Retief Goosen,52,291.8,"26,843",92,2017,101
T103,T104,Rafa Cabrera Bello,63,291.7,"30,341",104,2017,101
T103,T104,Ben Martin,86,291.7,"46,087",158,2017,101
T105,T107,Nick Taylor,97,291.6,"55,408",190,2017,101
T105,T107,Rory Sabbatini,71,291.6,"37,911",130,2017,101
107,109,J.J. Spaun,92,291.5,"50,146",172,2017,101
108,T104,Adam Hadwin,98,291.3,"54,762",188,2017,101
T109,T110,Blayne Barber,77,291.2,"41,355",142,2017,101
T109,T110,Richy Werenski,81,291.2,"43,102",148,2017,101
111,113,Danny Lee,93,291.1,"49,486",170,2017,101
112,T110,Pat Perez,93,290.9,"50,036",172,2017,101
113,114,David Lingmerth,79,290.6,"41,269",142,2017,101
114,115,Troy Merritt,82,290.2,"44,111",152,2017,101
115,116,Whee Kim,74,290.0,"41,767",144,2017,101
T116,T119,Brian Harman,104,289.9,"55,653",192,2017,101
T116,T117,Boo Weekley,75,289.9,"42,332",146,2017,101
118,T119,Si Woo Kim,80,289.8,"38,827",134,2017,101
119,121,Michael Kim,94,289.6,"52,130",180,2017,101
120,122,Kevin Kisner,105,289.5,"52,101",180,2017,101
121,123,Scott Brown,95,289.0,"52,591",182,2017,101
T122,T124,Jonas Blixt,74,288.8,"40,435",140,2017,101
T122,T124,Ryo Ishikawa,56,288.8,"30,035",104,2017,101
T124,T126,Camilo Villegas,76,288.7,"41,579",144,2017,101
T124,T126,Brett Stegmaier,78,288.7,"41,573",144,2017,101
126,128,Russell Knox,75,288.6,"35,784",124,2017,101
127,129,Brad Fritsch,56,288.3,"29,988",104,2017,101
T128,T130,Miguel Angel Carballo,63,288.1,"32,849",114,2017,101
T128,T130,Johnson Wagner,71,288.1,"36,299",126,2017,101
130,132,Ryan Moore,82,288.0,"40,894",142,2017,101
131,133,Rod Pampling,71,287.8,"40,864",142,2017,101
132,134,Jonathan Randolph,68,287.7,"36,252",126,2017,101
133,135,Steven Bowditch,59,287.3,"31,608",110,2017,101
T134,T136,Tyrone Van Aswegen,105,287.2,"53,412",186,2017,101
T134,T136,C.T. Pan,88,287.2,"49,405",172,2017,101
T136,T138,Daniel Summerhays,100,287.1,"51,675",180,2017,101
T136,T138,John Huh,92,287.1,"48,229",168,2017,101
T136,T138,Nicholas Lindheim,58,287.1,"32,151",112,2017,101
139,141,Chris Kirk,89,287.0,"47,637",166,2017,101
140,142,Zach Johnson,81,286.9,"44,178",154,2017,101
141,143,Chris Stroud,67,286.8,"33,847",118,2017,101
T142,144,Webb Simpson,102,286.5,"56,735",198,2017,101
T142,T145,Derek Fathauer,81,286.5,"40,684",142,2017,101
T142,T145,Geoff Ogilvy,80,286.5,"41,261",144,2017,101
145,147,Brett Drewitt,57,286.4,"30,356",106,2017,101
146,148,Kyle Reifers,96,286.1,"48,062",168,2017,101
147,149,Chad Campbell,97,285.6,"53,121",186,2017,101
148,154,Matt Kuchar,95,285.4,"50,231",176,2017,101
T149,T150,Chez Reavie,98,285.2,"51,905",182,2017,101
T149,T150,William McGirt,89,285.2,"47,349",166,2017,101
T151,T152,Fabián Gómez,61,285.1,"33,638",118,2017,101
T151,T152,Tom Hoge,54,285.1,"26,226",92,2017,101
153,155,Ricky Barnes,100,284.9,"50,148",176,2017,101
154,156,Michael Thompson,60,284.8,"31,903",112,2017,101
155,157,Ernie Els,52,284.7,"27,329",96,2017,101
156,158,Ryan Blaum,100,284.1,"54,539",192,2017,101
157,159,Mark Anderson,54,283.8,"29,512",104,2017,101
158,160,Kevin Na,86,283.7,"41,991",148,2017,101
159,161,Ian Poulter,72,283.5,"36,282",128,2017,101
160,162,Mark Hubbard,81,282.7,"39,581",140,2017,101
161,164,Vaughn Taylor,90,282.4,"47,446",168,2017,101
162,165,Peter Malnati,91,282.3,"45,737",162,2017,101
163,166,K.J. Choi,72,282.2,"34,993",124,2017,101
164,167,Alex Cejka,85,282.1,"41,184",146,2017,101
165,168,Brandt Snedeker,53,281.6,"28,156",100,2017,101
