RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,Year,Stat ID
1,1,Henrik Stenson,60,73.51,741,"1,008",-0.26,2018,103
2,2,Sam Ryder,82,72.08,"1,038","1,440",-0.26,2018,103
3,4,Billy Horschel,86,71.75,"1,059","1,476",-0.28,2018,103
4,3,Kevin Streelman,94,71.56,"1,185","1,656",-0.24,2018,103
5,5,C.T. Pan,104,71.20,"1,256","1,764",-0.26,2018,103
6,6,Kyle Stanley,93,71.09,"1,126","1,584",-0.26,2018,103
7,8,Patrick Cantlay,87,70.69,"1,018","1,440",-0.27,2018,103
8,9,Adam Scott,78,70.66,992,"1,404",-0.25,2018,103
9,13,Dustin Johnson,77,70.57,940,"1,332",-0.37,2018,103
10,11,J.J. Henry,81,70.52,952,"1,350",-0.21,2018,103
11,7,Gary Woodland,96,70.51,"1,155","1,638",-0.27,2018,103
T12,T14,Jordan Spieth,81,70.47,964,"1,368",-0.29,2018,103
T12,T14,Andrew Putnam,97,70.47,"1,129","1,602",-0.24,2018,103
14,16,Jason Kokrak,99,70.37,"1,254","1,782",-0.28,2018,103
15,17,Brett Stegmaier,67,70.31,772,"1,098",-0.26,2018,103
16,10,Francesco Molinari,73,70.24,885,"1,260",-0.26,2018,103
17,18,Corey Conners,97,70.19,"1,175","1,674",-0.24,2018,103
18,12,Tony Finau,105,70.18,"1,238","1,764",-0.32,2018,103
19,19,Rafa Cabrera Bello,75,70.16,884,"1,260",-0.27,2018,103
20,21,Jon Rahm,71,70.12,833,"1,188",-0.31,2018,103
21,20,Michael Thompson,62,70.11,732,"1,044",-0.26,2018,103
22,22,Blayne Barber,69,69.98,844,"1,206",-0.26,2018,103
23,27,Justin Rose,70,69.95,831,"1,188",-0.32,2018,103
24,24,Scott Piercy,84,69.72,"1,004","1,440",-0.24,2018,103
T25,26,Tyler Duncan,97,69.65,"1,166","1,674",-0.24,2018,103
T25,23,Bryson DeChambeau,93,69.65,"1,166","1,674",-0.30,2018,103
27,29,Russell Knox,94,69.57,"1,127","1,620",-0.24,2018,103
28,30,Cameron Percy,56,69.56,626,900,-0.29,2018,103
29,25,Rickie Fowler,74,69.52,926,"1,332",-0.30,2018,103
30,32,J.J. Spaun,85,69.48,988,"1,422",-0.28,2018,103
31,33,Keith Mitchell,99,69.42,"1,212","1,746",-0.28,2018,103
