RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# BIRDIES,GREENS HIT,Year,Stat ID
1,1,Dustin Johnson,77,37.04,346,934,2018,115
2,2,Phil Mickelson,90,35.96,365,"1,015",2018,115
3,3,Justin Thomas,91,35.08,354,"1,009",2018,115
4,T5,Jason Day,75,34.63,276,797,2018,115
5,T5,Jon Rahm,71,34.46,286,830,2018,115
6,4,Justin Rose,70,34.38,285,829,2018,115
7,7,Ricky Barnes,65,34.37,232,675,2018,115
8,8,Grayson Murray,72,34.20,276,807,2018,115
9,9,Tommy Fleetwood,73,34.14,281,823,2018,115
10,10,Brooks Koepka,64,33.42,254,760,2018,115
11,11,Brandon Harkins,101,33.33,374,"1,122",2018,115
12,12,Bryson DeChambeau,93,33.25,387,"1,164",2018,115
13,13,Ollie Schniederjans,91,33.13,325,981,2018,115
14,15,Rory McIlroy,64,33.10,240,725,2018,115
15,14,Sam Saunders,80,33.06,286,865,2018,115
16,21,Tiger Woods,68,32.93,271,823,2018,115
17,19,Kevin Na,91,32.87,328,998,2018,115
18,16,Tony Finau,105,32.79,404,"1,232",2018,115
19,18,Ryan Palmer,69,32.75,243,742,2018,115
20,20,David Lingmerth,82,32.62,288,883,2018,115
21,T23,Marc Leishman,93,32.44,350,"1,079",2018,115
22,22,Brian Gay,103,32.39,379,"1,170",2018,115
23,17,Aaron Wise,90,32.32,352,"1,089",2018,115
24,25,Tom Hoge,101,32.27,343,"1,063",2018,115
25,26,Peter Malnati,87,32.23,303,940,2018,115
26,27,Jordan Spieth,81,32.22,310,962,2018,115
27,T23,Hideki Matsuyama,75,32.10,287,894,2018,115
28,28,Tom Lovelady,87,31.93,312,977,2018,115
T29,T29,Keith Mitchell,99,31.90,386,"1,210",2018,115
T29,T29,Martin Laird,73,31.90,245,768,2018,115
31,T31,Chesson Hadley,103,31.89,383,"1,201",2018,115
T32,T33,Cameron Smith,85,31.75,281,885,2018,115
T32,T33,Xander Schauffele,96,31.75,348,"1,096",2018,115
T32,35,Rickie Fowler,74,31.75,294,926,2018,115
35,T31,Patrick Reed,94,31.50,309,981,2018,115
36,36,Trey Mullinax,75,31.48,255,810,2018,115
37,37,Vaughn Taylor,83,31.41,299,952,2018,115
38,38,Danny Lee,88,31.37,315,"1,004",2018,115
