RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,Year,Stat ID
1,1,Henrik Stenson,60,75.19,591,786,2018,102
2,2,Ryan Armour,109,73.58,"1,103","1,499",2018,102
3,3,Chez Reavie,93,72.24,869,"1,203",2018,102
4,5,Ryan Moore,78,71.94,787,"1,094",2018,102
5,6,Brian Stuard,103,71.44,968,"1,355",2018,102
6,7,Brian Gay,103,71.37,"1,007","1,411",2018,102
7,4,Kyle Stanley,93,71.29,884,"1,240",2018,102
8,8,Emiliano Grillo,94,70.16,905,"1,290",2018,102
9,9,Russell Henley,77,70.03,729,"1,041",2018,102
10,10,Jim Furyk,50,69.91,467,668,2018,102
11,11,Steve Wheatcroft,60,69.79,566,811,2018,102
12,12,Kevin Streelman,94,69.11,888,"1,285",2018,102
13,13,C.T. Pan,104,68.98,945,"1,370",2018,102
14,14,David Lingmerth,82,68.93,750,"1,088",2018,102
15,15,Keegan Bradley,98,67.90,884,"1,302",2018,102
16,16,Rafa Cabrera Bello,75,67.85,667,983,2018,102
17,T17,Billy Horschel,86,67.80,779,"1,149",2018,102
18,T17,Russell Knox,94,67.70,851,"1,257",2018,102
19,19,Ben Crane,65,67.52,557,825,2018,102
20,20,Vaughn Taylor,83,67.51,746,"1,105",2018,102
21,21,Brian Harman,94,67.14,850,"1,266",2018,102
22,22,Sam Ryder,82,66.91,746,"1,115",2018,102
23,23,"Ted Potter, Jr.",87,66.83,812,"1,215",2018,102
24,24,Austin Cook,107,66.76,"1,002","1,501",2018,102
25,25,Tyler Duncan,97,66.74,867,"1,299",2018,102
26,26,David Hearn,66,66.63,559,839,2018,102
27,28,Alex Cejka,77,66.49,639,961,2018,102
28,29,Ian Poulter,73,66.41,595,896,2018,102
29,30,Joel Dahmen,93,66.36,789,"1,189",2018,102
30,31,Kevin Kisner,89,66.33,729,"1,099",2018,102
31,32,J.J. Henry,81,66.22,692,"1,045",2018,102
32,33,J.J. Spaun,85,66.18,732,"1,106",2018,102
33,27,Justin Rose,70,66.02,610,924,2018,102
34,34,Kelly Kraft,94,65.84,846,"1,285",2018,102
35,35,Conrad Shindler,60,65.77,515,783,2018,102
36,36,Scott Piercy,84,65.68,735,"1,119",2018,102
37,T37,Adam Hadwin,92,65.60,820,"1,250",2018,102
38,39,Ben Silverman,90,65.56,769,"1,173",2018,102
39,40,Satoshi Kodaira,51,65.53,443,676,2018,102
T40,41,Rickie Fowler,74,65.33,682,"1,044",2018,102
T40,42,Xinjun Zhang,81,65.33,684,"1,047",2018,102
42,44,Kiradech Aphibarnrat,51,65.12,422,648,2018,102
43,45,Pat Perez,82,65.09,688,"1,057",2018,102
T44,T46,Lucas Glover,65,65.06,553,850,2018,102
T44,T46,Richy Werenski,98,65.06,836,"1,285",2018,102
T46,48,Hunter Mahan,67,65.04,573,881,2018,102
T46,43,Francesco Molinari,73,65.04,640,984,2018,102
48,49,Fabián Gómez,88,64.99,761,"1,171",2018,102
49,T37,Tommy Fleetwood,73,64.98,603,928,2018,102
50,50,Graeme McDowell,67,64.92,533,821,2018,102
51,51,Louis Oosthuizen,62,64.81,490,756,2018,102
52,53,Chad Campbell,87,64.70,713,"1,102",2018,102
53,54,Blayne Barber,69,64.67,604,934,2018,102
54,55,Michael Thompson,62,64.66,525,812,2018,102
55,56,Chris Kirk,108,64.64,956,"1,479",2018,102
56,57,Daniel Berger,81,64.58,691,"1,070",2018,102
57,58,Hudson Swafford,73,64.57,607,940,2018,102
58,59,Bronson Burgoon,69,64.53,624,967,2018,102
59,60,Brice Garnett,99,64.45,854,"1,325",2018,102
60,61,Ryan Blaum,81,64.31,699,"1,087",2018,102
