RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR,Year,Stat ID
1,1,Rickie Fowler,78,68.66,92,134,+13.00,2017,111
2,2,Luke Donald,50,64.44,58,90,+29.00,2017,111
3,3,Rory McIlroy,51,63.24,43,68,+11.00,2017,111
4,5,Seung-Yul Noh,91,61.90,78,126,+23.00,2017,111
5,4,Webb Simpson,102,61.49,99,161,+37.00,2017,111
6,7,Louis Oosthuizen,69,61.22,60,98,+26.00,2017,111
7,6,Adam Hadwin,98,61.11,110,180,+34.00,2017,111
8,8,Tim Wilkinson,64,61.05,58,95,+28.00,2017,111
9,9,Tyrone Van Aswegen,105,60.78,93,153,+35.00,2017,111
10,10,Gary Woodland,94,60.68,71,117,+15.00,2017,111
11,11,Ian Poulter,72,59.29,67,113,+24.00,2017,111
12,13,Jon Rahm,90,59.12,81,137,+26.00,2017,111
13,12,Harris English,84,58.97,69,117,+31.00,2017,111
14,17,Brian Harman,104,58.70,108,184,+44.00,2017,111
15,14,Aaron Baddeley,61,58.42,59,101,+15.00,2017,111
16,16,Michael Thompson,60,58.16,57,98,+28.00,2017,111
17,18,Tom Hoge,54,58.06,36,62,+17.00,2017,111
18,19,Jimmy Walker,68,57.89,66,114,+40.00,2017,111
19,20,Steven Bowditch,59,57.80,63,109,+49.00,2017,111
20,21,Charl Schwartzel,63,57.61,53,92,+20.00,2017,111
21,27,Matt Kuchar,95,57.55,80,139,+41.00,2017,111
22,22,Geoff Ogilvy,80,57.50,69,120,+46.00,2017,111
23,23,Bryce Molder,74,57.24,83,145,+46.00,2017,111
24,24,John Huh,92,57.23,99,173,+40.00,2017,111
T25,T25,Brian Campbell,55,57.14,44,77,+24.00,2017,111
T25,T25,Matt Jones,64,57.14,56,98,+16.00,2017,111
27,28,Zac Blair,105,56.29,85,151,+51.00,2017,111
28,T29,Brandt Snedeker,53,56.25,45,80,+19.00,2017,111
29,31,Nick Watney,75,56.10,46,82,+11.00,2017,111
30,32,David Lingmerth,79,56.06,74,132,+39.00,2017,111
31,T29,Justin Rose,66,55.93,66,118,+19.00,2017,111
32,33,Vaughn Taylor,90,55.80,77,138,+35.00,2017,111
33,39,Jordan Spieth,85,55.79,53,95,+19.00,2017,111
34,34,Seamus Power,86,55.74,68,122,+32.00,2017,111
35,35,David Hearn,93,55.35,88,159,+57.00,2017,111
36,36,Wesley Bryan,95,55.33,83,150,+61.00,2017,111
37,37,Jonas Blixt,74,55.28,89,161,+52.00,2017,111
38,38,Hunter Mahan,73,55.22,74,134,+41.00,2017,111
39,40,Brandon Hagy,85,54.69,70,128,+36.00,2017,111
T40,T41,Ollie Schniederjans,92,54.55,84,154,+46.00,2017,111
T40,73,Pat Perez,93,54.55,84,154,+52.00,2017,111
T40,T41,Kevin Na,86,54.55,72,132,+40.00,2017,111
43,43,Ben Crane,86,54.48,73,134,+40.00,2017,111
44,44,Morgan Hoffmann,92,54.43,86,158,+57.00,2017,111
T45,T45,Brian Gay,82,54.17,65,120,+50.00,2017,111
T45,T45,C.T. Pan,88,54.17,78,144,+31.00,2017,111
47,48,Nicholas Lindheim,58,53.93,48,89,+32.00,2017,111
48,T49,Jason Day,71,53.92,55,102,+35.00,2017,111
49,47,Xander Schauffele,96,53.91,69,128,+39.00,2017,111
T50,T49,Adam Scott,58,53.85,49,91,+17.00,2017,111
T50,T49,Francesco Molinari,75,53.85,49,91,+21.00,2017,111
52,53,Sam Saunders,76,53.70,58,108,+42.00,2017,111
T53,T54,Andres Gonzales,73,53.68,51,95,+19.00,2017,111
T53,T54,Danny Lee,93,53.68,73,136,+29.00,2017,111
55,T56,Bill Haas,92,53.57,75,140,+28.00,2017,111
56,58,Michael Kim,94,53.52,76,142,+46.00,2017,111
57,59,Trey Mullinax,88,53.51,61,114,+32.00,2017,111
T58,T60,Whee Kim,74,53.33,56,105,+29.00,2017,111
T58,T60,Rafa Cabrera Bello,63,53.33,56,105,+32.00,2017,111
T58,T60,Phil Mickelson,85,53.33,72,135,+48.00,2017,111
61,63,Emiliano Grillo,90,53.28,73,137,+35.00,2017,111
62,T64,Chad Collins,66,53.21,58,109,+44.00,2017,111
63,66,Jamie Lovemark,98,53.18,92,173,+45.00,2017,111
64,T49,Sergio Garcia,65,53.10,60,113,+25.00,2017,111
65,81,Charley Hoffman,112,53.09,103,194,+50.00,2017,111
66,67,Peter Malnati,91,53.06,78,147,+49.00,2017,111
67,T71,Marc Leishman,94,53.02,79,149,+44.00,2017,111
68,68,Chad Campbell,97,52.99,62,117,+29.00,2017,111
T69,T69,Cameron Percy,71,52.94,45,85,+31.00,2017,111
T69,T69,Cameron Tringale,89,52.94,63,119,+40.00,2017,111
71,T71,Ben Martin,86,52.90,82,155,+49.00,2017,111
72,74,Scott Brown,95,52.70,78,148,+51.00,2017,111
73,76,Troy Merritt,82,52.38,55,105,+37.00,2017,111
T74,T77,Anirban Lahiri,72,52.31,68,130,+42.00,2017,111
T74,T77,Retief Goosen,52,52.31,34,65,+24.00,2017,111
76,79,Chez Reavie,98,52.29,80,153,+57.00,2017,111
77,T103,Kevin Kisner,105,52.14,73,140,+47.00,2017,111
78,83,Rory Sabbatini,71,52.04,51,98,+27.00,2017,111
79,84,Ken Duke,77,52.03,64,123,+51.00,2017,111
80,82,Tony Finau,106,52.00,78,150,+49.00,2017,111
81,85,Zach Johnson,81,51.64,63,122,+45.00,2017,111
82,86,Grayson Murray,94,51.57,82,159,+55.00,2017,111
83,87,Hudson Swafford,94,51.53,84,163,+52.00,2017,111
84,88,Johnson Wagner,71,51.49,52,101,+34.00,2017,111
85,89,Sung Kang,104,51.45,89,173,+56.00,2017,111
86,90,Sean O'Hair,84,51.41,73,142,+45.00,2017,111
T87,T91,Charles Howell III,86,51.35,57,111,+41.00,2017,111
T87,T91,Fabián Gómez,61,51.35,57,111,+43.00,2017,111
89,93,Mark Anderson,54,51.28,40,78,+27.00,2017,111
90,94,Chris Kirk,89,51.26,61,119,+31.00,2017,111
91,75,Patrick Cantlay,52,51.14,45,88,+23.00,2017,111
T92,113,Patrick Reed,107,51.09,94,184,+64.00,2017,111
T92,95,K.J. Choi,72,51.09,47,92,+32.00,2017,111
94,96,Ricky Barnes,100,51.05,73,143,+50.00,2017,111
95,97,Steven Alker,69,50.96,53,104,+39.00,2017,111
96,T64,Hideki Matsuyama,83,50.88,58,114,+37.00,2017,111
97,98,Ryan Blaum,100,50.74,69,136,+49.00,2017,111
T98,T99,Branden Grace,70,50.51,50,99,+48.00,2017,111
T98,T99,Graeme McDowell,56,50.51,50,99,+32.00,2017,111
100,101,Blayne Barber,77,50.43,58,115,+46.00,2017,111
101,102,Mark Hubbard,81,50.39,64,127,+55.00,2017,111
T102,T103,Brett Drewitt,57,50.00,34,68,+22.00,2017,111
T102,T103,Greg Chalmers,75,50.00,72,144,+58.00,2017,111
T102,T103,Ernie Els,52,50.00,48,96,+42.00,2017,111
T102,T103,Patton Kizzire,84,50.00,62,124,+51.00,2017,111
T102,T103,Martin Flores,88,50.00,56,112,+33.00,2017,111
107,109,Kevin Streelman,90,49.66,72,145,+53.00,2017,111
108,110,Cody Gribble,79,49.61,64,129,+53.00,2017,111
109,111,Lucas Glover,93,49.33,74,150,+52.00,2017,111
110,112,Cameron Smith,86,49.18,60,122,+45.00,2017,111
111,114,Daniel Summerhays,100,49.14,86,175,+63.00,2017,111
112,116,Søren Kjeldsen,58,48.98,48,98,+38.00,2017,111
113,117,Roberto Castro,70,48.94,46,94,+46.00,2017,111
114,118,Ryo Ishikawa,56,48.91,45,92,+30.00,2017,111
115,119,Byeong Hun An,77,48.87,65,133,+40.00,2017,111
116,120,Keegan Bradley,104,48.81,82,168,+55.00,2017,111
117,121,Rick Lamb,54,48.78,40,82,+33.00,2017,111
118,122,Kyle Reifers,96,48.73,77,158,+49.00,2017,111
119,123,Sebastián Muñoz,51,48.72,38,78,+25.00,2017,111
120,124,Smylie Kaufman,76,48.67,55,113,+38.00,2017,111
121,126,Robert Garrigus,78,48.51,49,101,+36.00,2017,111
122,125,Justin Thomas,86,48.21,54,112,+39.00,2017,111
123,137,Brooks Koepka,88,48.20,67,139,+44.00,2017,111
124,127,Brad Fritsch,56,48.19,40,83,+39.00,2017,111
125,128,Carl Pettersson,63,48.00,48,100,+45.00,2017,111
T126,T129,James Hahn,96,47.97,71,148,+50.00,2017,111
T126,T129,Harold Varner III,101,47.97,71,148,+53.00,2017,111
T128,T131,Si Woo Kim,80,47.92,69,144,+62.00,2017,111
T128,T131,Ryan Brehm,83,47.92,46,96,+27.00,2017,111
130,133,Spencer Levin,89,47.86,56,117,+52.00,2017,111
131,134,Shane Lowry,52,47.83,33,69,+29.00,2017,111
132,135,Rod Pampling,71,47.79,65,136,+56.00,2017,111
133,115,Kyle Stanley,104,47.73,84,176,+52.00,2017,111
134,136,Nick Taylor,97,47.71,73,153,+38.00,2017,111
135,138,Gonzalo Fernandez-Castaño,63,47.56,39,82,+25.00,2017,111
136,139,D.A. Points,68,47.47,47,99,+41.00,2017,111
