RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,Year,Stat ID
1,1,Bryson DeChambeau,62,322.1,"39,945",124,2020,101
2,2,Cameron Champ,70,322.0,"45,082",140,2020,101
3,3,Ryan Brehm,52,315.3,"31,527",100,2020,101
4,4,Rory McIlroy,60,314.0,"32,660",104,2020,101
5,5,Grayson Murray,36,313.8,"22,591",72,2020,101
6,6,Brandon Hagy,50,312.8,"28,776",92,2020,101
7,7,Jason Kokrak,62,312.4,"33,743",108,2020,101
8,8,Sam Burns,60,312.0,"36,197",116,2020,101
9,9,Matthew Wolff,74,311.6,"41,135",132,2020,101
T10,11,Dustin Johnson,49,311.0,"30,477",98,2020,101
T10,10,Bubba Watson,66,311.0,"36,072",116,2020,101
12,12,Tyler McCumber,57,310.2,"32,884",106,2020,101
13,T13,Tony Finau,72,309.8,"39,655",128,2020,101
14,T13,Tommy Fleetwood,40,309.6,"17,337",56,2020,101
15,16,Jhonattan Vegas,52,309.0,"28,424",92,2020,101
16,15,Scottie Scheffler,82,308.9,"50,667",164,2020,101
17,17,Will Gordon,36,308.8,"19,762",64,2020,101
18,18,Patrick Rodgers,95,308.5,"56,147",182,2020,101
19,19,Adam Scott,38,308.1,"18,483",60,2020,101
20,20,Cameron Davis,62,308.0,"35,723",116,2020,101
21,21,Luke List,69,307.8,"40,008",130,2020,101
22,22,Jon Rahm,58,307.6,"35,682",116,2020,101
23,23,Paul Casey,56,307.2,"29,490",96,2020,101
24,24,Scott Harrington,68,307.1,"41,766",136,2020,101
25,25,Brooks Koepka,40,307.0,"23,332",76,2020,101
26,26,Beau Hossler,71,306.6,"41,091",134,2020,101
27,28,Sergio Garcia,44,305.8,"19,573",64,2020,101
T28,T29,Kristoffer Ventura,48,305.7,"26,905",88,2020,101
T28,T29,Byeong Hun An,75,305.7,"38,518",126,2020,101
T30,33,Gary Woodland,62,305.4,"32,983",108,2020,101
T30,T31,Xander Schauffele,70,305.4,"37,868",124,2020,101
32,T34,Wyndham Clark,65,305.1,"32,336",106,2020,101
33,T36,Seamus Power,36,304.5,"19,488",64,2020,101
34,T34,Hideki Matsuyama,74,304.4,"37,744",124,2020,101
35,T36,Justin Thomas,66,304.2,"35,286",116,2020,101
36,38,Kevin Tway,52,303.8,"21,873",72,2020,101
37,39,Sebastian Cappelen,55,303.7,"32,192",106,2020,101
38,40,Brendan Steele,68,303.6,"38,859",128,2020,101
39,41,Sung Kang,73,303.4,"39,444",130,2020,101
40,42,Patrick Cantlay,46,303.1,"27,884",92,2020,101
41,43,Sepp Straka,70,302.7,"42,381",140,2020,101
42,46,Lanto Griffin,96,302.5,"55,656",184,2020,101
T43,T44,Nick Watney,46,302.3,"26,602",88,2020,101
T43,T44,Sebastián Muñoz,84,302.3,"50,793",168,2020,101
T45,T47,Martin Laird,39,302.1,"23,562",78,2020,101
T45,T47,Martin Trainer,48,302.1,"27,795",92,2020,101
T47,T49,Danny Lee,69,302.0,"36,840",122,2020,101
T47,T49,Adam Schenk,78,302.0,"39,860",132,2020,101
T49,T51,Harold Varner III,74,301.9,"39,856",132,2020,101
T49,T51,Keith Mitchell,64,301.9,"33,812",112,2020,101
T49,T51,Cameron Tringale,63,301.9,"38,044",126,2020,101
52,54,Peter Uihlein,47,301.8,"25,951",86,2020,101
T53,T59,Joaquin Niemann,76,301.7,"41,034",136,2020,101
T53,55,Matt Wallace,44,301.7,"24,138",80,2020,101
T55,T56,Zack Sucher,38,301.6,"21,712",72,2020,101
T55,T56,Jordan Spieth,62,301.6,"30,162",100,2020,101
T55,73,Tyrrell Hatton,42,301.6,"20,510",68,2020,101
T55,T56,Lucas Glover,67,301.6,"33,181",110,2020,101
T59,T59,Phil Mickelson,51,301.5,"25,929",86,2020,101
T59,T59,Aaron Wise,49,301.5,"27,137",90,2020,101
61,T62,Danny Willett,40,301.2,"19,277",64,2020,101
62,64,Charles Howell III,69,301.1,"34,324",114,2020,101
T63,T65,Keegan Bradley,68,301.0,"36,125",120,2020,101
T63,T65,Harry Higgs,83,301.0,"49,974",166,2020,101
T65,T62,Harris English,76,300.9,"45,732",152,2020,101
T65,67,Vincent Whaley,40,300.9,"22,872",76,2020,101
T67,T69,Max Homa,70,300.6,"37,270",124,2020,101
T67,T69,Kevin Chappell,41,300.6,"24,649",82,2020,101
69,T71,Sungjae Im,94,300.5,"49,276",164,2020,101
70,T71,Carlos Ortiz,72,300.3,"43,247",144,2020,101
71,68,Daniel Berger,64,300.2,"36,025",120,2020,101
72,74,Louis Oosthuizen,48,300.1,"24,008",80,2020,101
73,T77,Cameron Smith,64,299.8,"33,578",112,2020,101
74,75,Jason Day,53,299.7,"26,976",90,2020,101
75,76,Justin Rose,38,299.6,"20,373",68,2020,101
76,79,Shane Lowry,44,299.4,"21,556",72,2020,101
T77,80,Joseph Bramlett,57,299.3,"31,727",106,2020,101
T77,T82,Ryan Palmer,68,299.3,"35,910",120,2020,101
T77,T77,Billy Horschel,79,299.3,"40,107",134,2020,101
T77,81,Viktor Hovland,74,299.3,"39,512",132,2020,101
81,T82,Dominic Bozzelli,38,299.0,"21,531",72,2020,101
T82,84,Corey Conners,74,298.7,"37,043",124,2020,101
T82,T85,Mackenzie Hughes,70,298.7,"41,821",140,2020,101
84,T85,Michael Gligic,52,298.4,"28,645",96,2020,101
T85,T87,Nelson Ledesma,42,298.2,"23,852",80,2020,101
T85,T87,Talor Gooch,83,298.2,"49,505",166,2020,101
