RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR,Year,Stat ID
1,1,Webb Simpson,95,66.10,351,531,2018,130
2,2,Johnson Wagner,75,65.41,261,399,2018,130
3,4,Louis Oosthuizen,62,64.26,214,333,2018,130
T4,5,Ryan Moore,78,64.16,281,438,2018,130
T4,9,Tiger Woods,68,64.16,256,399,2018,130
6,6,Alex Cejka,77,64.00,288,450,2018,130
7,8,Seamus Power,86,63.80,312,489,2018,130
8,3,Kevin Na,91,63.62,348,547,2018,130
9,11,Matt Kuchar,88,63.60,304,478,2018,130
10,13,Chris Kirk,108,63.53,385,606,2018,130
11,T15,Joel Dahmen,93,63.31,302,477,2018,130
12,12,Brooks Koepka,64,63.28,224,354,2018,130
13,17,Brian Gay,103,63.26,408,645,2018,130
14,10,Rickie Fowler,74,63.05,256,406,2018,130
15,14,Justin Rose,70,63.03,225,357,2018,130
16,T19,Ben Crane,65,63.00,235,373,2018,130
17,7,Rory McIlroy,64,62.97,233,370,2018,130
18,T15,Patrick Reed,94,62.94,355,564,2018,130
19,21,William McGirt,84,62.86,286,455,2018,130
20,23,Abraham Ancer,98,62.69,363,579,2018,130
T21,T24,Tyrrell Hatton,58,62.58,204,326,2018,130
T21,T24,Jim Furyk,50,62.58,199,318,2018,130
23,18,Dustin Johnson,77,62.50,245,392,2018,130
24,22,Justin Thomas,91,62.47,288,461,2018,130
T25,T19,Jason Day,75,62.35,265,425,2018,130
T25,26,Zach Johnson,94,62.35,318,510,2018,130
27,27,Chez Reavie,93,62.27,302,485,2018,130
28,28,Austin Cook,107,62.02,400,645,2018,130
29,30,Nick Taylor,94,61.83,324,524,2018,130
30,31,Alex Noren,67,61.74,234,379,2018,130
31,32,Jordan Spieth,81,61.63,249,404,2018,130
32,33,Andrew Putnam,97,61.52,291,473,2018,130
33,34,Zac Blair,64,61.43,215,350,2018,130
34,35,Tom Hoge,101,61.41,374,609,2018,130
35,36,Rory Sabbatini,91,61.36,316,515,2018,130
36,37,Peter Malnati,87,61.30,339,553,2018,130
37,38,Byeong Hun An,86,61.16,296,484,2018,130
38,29,Cameron Smith,85,61.12,316,517,2018,130
39,39,Aaron Baddeley,84,61.09,314,514,2018,130
40,41,Jamie Lovemark,92,61.07,342,560,2018,130
41,42,Emiliano Grillo,94,61.05,315,516,2018,130
42,43,Steve Wheatcroft,60,61.03,213,349,2018,130
43,45,Kevin Streelman,94,60.93,287,471,2018,130
44,46,Charles Howell III,104,60.87,336,552,2018,130
45,47,Scott Stallings,96,60.86,339,557,2018,130
46,48,Danny Lee,88,60.81,329,541,2018,130
47,44,Hideki Matsuyama,75,60.80,242,398,2018,130
48,49,Henrik Stenson,60,60.67,162,267,2018,130
49,50,Nate Lashley,51,60.59,163,269,2018,130
50,40,Paul Casey,74,60.58,249,411,2018,130
51,52,Bill Haas,76,60.34,283,469,2018,130
52,53,Kevin Kisner,89,60.29,293,486,2018,130
53,54,Wesley Bryan,69,60.17,281,467,2018,130
54,55,Matt Jones,70,60.16,225,374,2018,130
55,56,Ryan Armour,109,60.13,368,612,2018,130
56,57,Bud Cauley,55,60.12,205,341,2018,130
57,58,Brandt Snedeker,84,60.08,310,516,2018,130
T58,T59,Conrad Shindler,60,60.00,204,340,2018,130
T58,T59,Beau Hossler,104,60.00,360,600,2018,130
60,61,Chris Stroud,81,59.96,292,487,2018,130
