RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK,Year,Stat ID
1,1,Jim Furyk,71,"31' 5""","29,344.083",933,Under,2015,331
2,2,Russell Knox,96,"31' 6""","49,110.083","1,557",1 Under,2015,331
3,3,Jason Bohn,95,"31' 7""","49,287.917","1,560",1 Under,2015,331
T4,T4,Jason Gore,76,"32' 4""","33,532.667","1,036",Under,2015,331
T4,T4,Lucas Glover,79,"32' 4""","41,733.333","1,291",Under,2015,331
T4,T4,Chez Reavie,56,"32' 4""","28,937.333",896,Under,2015,331
T7,T7,Jim Herman,88,"32' 8""","45,057.167","1,380",Under,2015,331
T7,T7,Stewart Cink,77,"32' 8""","38,692.250","1,183",Under,2015,331
T9,T11,Paul Casey,87,"32' 9""","37,037.667","1,130",Under,2015,331
T9,T9,Brian Stuard,97,"32' 9""","46,324.500","1,416",Under,2015,331
T9,T9,Tom Hoge,83,"32' 9""","38,178.250","1,166",Under,2015,331
12,T11,Nicholas Thompson,90,"32' 11""","41,323.500","1,254",Over,2015,331
13,T13,Colt Knost,90,"33' 0""","43,744.250","1,326",Under,2015,331
T14,T15,Roberto Castro,54,"33' 1""","21,290.250",644,Under,2015,331
T14,T15,David Toms,62,"33' 1""","32,677.917",987,Under,2015,331
T14,T15,Greg Owen,58,"33' 1""","23,769.417",718,Under,2015,331
T14,T15,Hudson Swafford,97,"33' 1""","49,106.583","1,484",Under,2015,331
T18,T19,Steven Alker,62,"33' 2""","29,709.917",895,Under,2015,331
T18,T19,Tyrone Van Aswegen,58,"33' 2""","24,954.417",752,Under,2015,331
20,21,Will Wilcox,58,"33' 4""","24,425.500",733,Under,2015,331
T21,T13,Justin Rose,69,"33' 5""","29,367.917",878,Under,2015,331
T21,22,Robert Allenby,63,"33' 5""","30,612.917",916,Over,2015,331
T23,T23,Chad Collins,79,"33' 6""","37,777.667","1,128",Under,2015,331
T23,T23,Billy Hurley III,83,"33' 6""","37,616.333","1,124",Under,2015,331
25,25,Hideki Matsuyama,95,"33' 7""","42,162.083","1,254",1 Under,2015,331
T26,T26,Jordan Spieth,91,"33' 8""","39,656.000","1,179",1 Under,2015,331
T26,T26,William McGirt,103,"33' 8""","58,550.000","1,741",Under,2015,331
T28,T28,Danny Lee,120,"33' 10""","60,665.250","1,792",1 Under,2015,331
T28,T28,Alex Cejka,94,"33' 10""","47,830.167","1,415",Under,2015,331
T28,T28,Jon Curran,83,"33' 10""","39,633.000","1,170",Under,2015,331
T31,T31,Whee Kim,71,"33' 11""","34,052.750","1,003",Under,2015,331
T31,T31,Nick Watney,91,"33' 11""","49,171.667","1,449",Under,2015,331
T33,T33,Johnson Wagner,68,"34' 0""","34,850.083","1,025",Under,2015,331
T33,T33,Ryo Ishikawa,90,"34' 0""","45,719.083","1,345",Under,2015,331
T33,T33,Brendon Todd,96,"34' 0""","46,278.333","1,360",Under,2015,331
T33,T33,Webb Simpson,81,"34' 0""","39,035.667","1,148",Under,2015,331
T37,T37,Charlie Beljan,76,"34' 1""","34,761.833","1,021",Over,2015,331
T37,T37,Kevin Chappell,86,"34' 1""","45,613.500","1,338",Under,2015,331
T37,T37,Graham DeLaet,65,"34' 1""","33,017.250",969,Under,2015,331
T37,T37,Ken Duke,93,"34' 1""","47,658.500","1,397",Under,2015,331
T37,T37,Bo Van Pelt,81,"34' 1""","39,798.583","1,168",Under,2015,331
42,42,David Lingmerth,90,"34' 2""","45,335.083","1,328",Under,2015,331
T43,T43,Francesco Molinari,56,"34' 3""","26,349.000",770,Under,2015,331
T43,T43,Justin Leonard,61,"34' 3""","33,198.500",970,Even,2015,331
T43,T43,Spencer Levin,99,"34' 3""","51,023.917","1,488",Under,2015,331
T43,T43,Jason Dufner,76,"34' 3""","29,413.833",858,Under,2015,331
T43,T43,James Hahn,94,"34' 3""","47,965.833","1,399",Under,2015,331
T48,T43,Kevin Kisner,104,"34' 4""","57,907.500","1,686",Under,2015,331
T48,T49,Louis Oosthuizen,68,"34' 4""","28,968.000",844,Under,2015,331
T48,T49,Chad Campbell,97,"34' 4""","56,130.917","1,634",Under,2015,331
T48,T49,Scott Langley,94,"34' 4""","48,583.167","1,416",Under,2015,331
T52,T52,Blayne Barber,76,"34' 5""","38,728.667","1,126",Under,2015,331
T52,T52,Bryce Molder,91,"34' 5""","47,411.083","1,376",Under,2015,331
T52,T52,Pat Perez,96,"34' 5""","51,124.750","1,487",Under,2015,331
T52,T52,David Hearn,97,"34' 5""","52,236.750","1,518",Under,2015,331
T56,T56,Dustin Johnson,75,"34' 6""","33,396.750",967,Under,2015,331
T56,T69,Zach Johnson,90,"34' 6""","43,350.250","1,257",Under,2015,331
T56,T56,Mark Wilson,89,"34' 6""","49,940.917","1,449",Under,2015,331
T59,T58,George McNeill,93,"34' 7""","55,345.333","1,600",Under,2015,331
T59,T58,Jim Renner,68,"34' 7""","34,565.833","1,000",Over,2015,331
T59,T58,John Merrick,78,"34' 7""","35,928.333","1,040",Even,2015,331
T62,T62,Chris Stroud,84,"34' 8""","42,299.667","1,221",Under,2015,331
T62,T62,Ryan Moore,81,"34' 8""","37,767.667","1,090",Under,2015,331
T62,T62,Bill Lunde,50,"34' 8""","22,382.083",645,Over,2015,331
T62,T62,Heath Slocum,57,"34' 8""","24,247.500",699,Over,2015,331
T62,T62,Justin Thomas,106,"34' 8""","59,646.583","1,719",1 Under,2015,331
67,T67,Tim Wilkinson,73,"34' 9""","36,041.333","1,038",Over,2015,331
T68,T69,Ryan Palmer,80,"34' 10""","33,681.917",968,Under,2015,331
T68,T69,Davis Love III,51,"34' 10""","26,123.000",750,Over,2015,331
T68,T69,Ben Martin,93,"34' 10""","48,174.500","1,383",Under,2015,331
T68,T69,Luke Guthrie,84,"34' 10""","42,358.917","1,217",Under,2015,331
T72,T74,Brooks Koepka,84,"34' 11""","40,527.500","1,162",Under,2015,331
T72,T74,Shawn Stefani,94,"34' 11""","55,061.583","1,578",Under,2015,331
T72,T67,Scott Piercy,90,"34' 11""","51,942.250","1,486",Under,2015,331
T72,T74,D.A. Points,72,"34' 11""","36,255.417","1,038",Under,2015,331
T72,T74,Brendon de Jonge,106,"34' 11""","57,660.000","1,650",Under,2015,331
T72,T74,Brian Harman,90,"34' 11""","48,758.250","1,396",Under,2015,331
T72,T74,Alex Prugh,84,"34' 11""","44,976.333","1,289",Under,2015,331
T79,T81,Chris Kirk,76,"35' 0""","35,086.417","1,003",Under,2015,331
T79,T81,Fabián Gómez,83,"35' 0""","43,282.000","1,237",Over,2015,331
T79,T81,Byron Smith,59,"35' 0""","26,960.333",770,Under,2015,331
T79,T81,Sam Saunders,83,"35' 0""","39,496.917","1,128",Under,2015,331
T79,T81,Rory Sabbatini,81,"35' 0""","41,497.583","1,185",Under,2015,331
T79,T81,Vijay Singh,78,"35' 0""","43,227.250","1,235",Under,2015,331
T85,T88,Michael Putnam,87,"35' 1""","42,807.500","1,221",Under,2015,331
T85,T88,Boo Weekley,79,"35' 1""","42,031.583","1,198",Under,2015,331
T85,T74,Rickie Fowler,76,"35' 1""","35,772.083","1,019",Under,2015,331
T85,T88,Adam Hadwin,95,"35' 1""","50,790.833","1,449",Under,2015,331
T85,T88,John Peterson,84,"35' 1""","48,382.333","1,379",Under,2015,331
T90,T92,Jeff Overton,94,"35' 2""","47,267.250","1,344",Under,2015,331
T90,T92,Seung-Yul Noh,65,"35' 2""","33,994.417",967,Under,2015,331
T90,T92,Jerry Kelly,79,"35' 2""","41,677.583","1,184",Under,2015,331
T90,T92,Carl Pettersson,106,"35' 2""","60,609.167","1,722",Under,2015,331
94,T97,Daniel Summerhays,101,"35' 3""","56,307.833","1,596",Under,2015,331
T95,T99,J.J. Henry,94,"35' 4""","48,028.000","1,360",Under,2015,331
T95,T99,Ben Crane,62,"35' 4""","33,004.167",934,Under,2015,331
T95,T102,Daniel Berger,97,"35' 4""","52,515.167","1,485",Under,2015,331
T95,T99,Zac Blair,108,"35' 4""","55,858.417","1,581",Under,2015,331
T95,T92,Harris English,105,"35' 4""","55,663.750","1,577",Under,2015,331
T100,T102,Mark Hubbard,79,"35' 5""","38,720.167","1,094",Under,2015,331
T100,T102,Erik Compton,86,"35' 5""","44,444.250","1,254",Under,2015,331
T100,T102,Troy Merritt,91,"35' 5""","52,088.250","1,469",Under,2015,331
T100,T102,Scott Brown,97,"35' 5""","51,331.333","1,450",Under,2015,331
T104,T109,Eric Axley,57,"35' 7""","27,449.500",771,Over,2015,331
