RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL),Year,Stat ID
T89,T90,Derek Fathauer,84,2.85,41,"1,440",2018,426
T89,T90,Anirban Lahiri,82,2.85,42,"1,476",2018,426
T89,T90,Charley Hoffman,87,2.85,41,"1,440",2018,426
T93,T94,Stewart Cink,87,2.87,45,"1,566",2018,426
T93,T94,Michael Thompson,62,2.87,30,"1,044",2018,426
T93,T102,Keegan Bradley,98,2.87,48,"1,674",2018,426
T93,T94,Brice Garnett,99,2.87,49,"1,710",2018,426
T93,T94,Xander Schauffele,96,2.87,48,"1,674",2018,426
98,98,Chris Stroud,81,2.89,38,"1,314",2018,426
T99,T99,Bronson Burgoon,69,2.90,36,"1,242",2018,426
T99,T99,Kelly Kraft,94,2.90,48,"1,656",2018,426
101,101,Austin Cook,107,2.91,56,"1,926",2018,426
T102,T102,Whee Kim,93,2.93,47,"1,602",2018,426
T102,T85,Patton Kizzire,92,2.93,47,"1,602",2018,426
T104,T104,Bud Cauley,55,2.94,28,954,2018,426
T104,T104,Sung Kang,89,2.94,45,"1,530",2018,426
T106,T106,Billy Hurley III,70,2.95,34,"1,152",2018,426
T106,T106,J.J. Spaun,85,2.95,42,"1,422",2018,426
T108,T109,Jason Kokrak,99,2.97,53,"1,782",2018,426
T108,130,Paul Casey,74,2.97,38,"1,278",2018,426
T108,T109,Chez Reavie,93,2.97,46,"1,548",2018,426
111,111,Conrad Shindler,60,2.98,30,"1,008",2018,426
112,112,Retief Goosen,60,2.99,28,936,2018,426
T113,T113,Shawn Stefani,76,3.00,40,"1,332",2018,426
T113,T113,Andrew Putnam,97,3.00,48,"1,602",2018,426
T115,T115,Brett Stegmaier,67,3.01,33,"1,098",2018,426
T115,T115,Ryan Armour,109,3.01,58,"1,926",2018,426
T117,T117,Kiradech Aphibarnrat,51,3.02,25,828,2018,426
T117,T117,Roberto Díaz,72,3.02,37,"1,224",2018,426
T117,T117,Richy Werenski,98,3.02,50,"1,656",2018,426
120,108,Tommy Fleetwood,73,3.03,36,"1,188",2018,426
121,120,J.B. Holmes,77,3.04,41,"1,350",2018,426
122,121,James Hahn,85,3.05,45,"1,476",2018,426
123,122,Nicholas Lindheim,77,3.06,38,"1,242",2018,426
T124,T123,Charl Schwartzel,65,3.07,32,"1,044",2018,426
T124,T123,Rod Pampling,62,3.07,32,"1,044",2018,426
T126,134,Francesco Molinari,73,3.10,39,"1,260",2018,426
T126,126,Brandon Harkins,101,3.10,53,"1,710",2018,426
128,127,Byeong Hun An,86,3.11,47,"1,512",2018,426
129,128,"Ted Potter, Jr.",87,3.13,49,"1,566",2018,426
130,129,Jonathan Byrd,70,3.14,35,"1,116",2018,426
131,131,Jonathan Randolph,71,3.16,37,"1,170",2018,426
132,132,Ryan Palmer,69,3.17,36,"1,134",2018,426
133,133,D.A. Points,63,3.19,35,"1,098",2018,426
134,135,Russell Knox,94,3.21,52,"1,620",2018,426
135,T143,Kyle Stanley,93,3.22,51,"1,584",2018,426
T136,T136,Martin Flores,92,3.23,50,"1,548",2018,426
T136,T136,Blayne Barber,69,3.23,39,"1,206",2018,426
138,138,Martin Piller,79,3.25,45,"1,386",2018,426
T139,T139,J.J. Henry,81,3.26,44,"1,350",2018,426
T139,T139,Adam Schenk,86,3.26,47,"1,440",2018,426
141,141,Jordan Spieth,81,3.29,45,"1,368",2018,426
142,142,Branden Grace,67,3.30,38,"1,152",2018,426
143,T143,Harold Varner III,91,3.31,53,"1,602",2018,426
144,145,Luke List,98,3.33,57,"1,710",2018,426
145,146,Ryan Blaum,81,3.35,47,"1,404",2018,426
146,147,Rory Sabbatini,91,3.37,54,"1,602",2018,426
147,148,Nick Taylor,94,3.40,55,"1,620",2018,426
148,149,Peter Uihlein,83,3.42,48,"1,404",2018,426
149,150,Lanto Griffin,80,3.45,46,"1,332",2018,426
150,151,Shane Lowry,64,3.47,35,"1,008",2018,426
151,152,Matt Jones,70,3.49,39,"1,116",2018,426
152,153,Rob Oppenheim,74,3.51,43,"1,224",2018,426
T153,T169,Gary Woodland,96,3.54,58,"1,638",2018,426
T153,T155,Jon Rahm,71,3.54,42,"1,188",2018,426
155,T157,Hideki Matsuyama,75,3.55,46,"1,296",2018,426
T156,T155,Graeme McDowell,67,3.58,38,"1,062",2018,426
T156,161,Bryson DeChambeau,93,3.58,60,"1,674",2018,426
T156,174,Brooks Koepka,64,3.58,40,"1,116",2018,426
T159,T157,Martin Laird,73,3.59,42,"1,170",2018,426
T159,T157,Joel Dahmen,93,3.59,55,"1,530",2018,426
161,154,Aaron Wise,90,3.60,57,"1,584",2018,426
162,160,David Hearn,66,3.61,39,"1,080",2018,426
T163,T162,Matt Every,79,3.63,49,"1,350",2018,426
T163,T162,Matt Atkins,56,3.63,34,936,2018,426
165,164,Tom Hoge,101,3.64,61,"1,674",2018,426
166,165,Rafa Cabrera Bello,75,3.65,46,"1,260",2018,426
167,166,Vaughn Taylor,83,3.66,52,"1,422",2018,426
T168,T167,Jhonattan Vegas,92,3.68,59,"1,602",2018,426
T168,176,Patrick Cantlay,87,3.68,53,"1,440",2018,426
T168,T167,Ethan Tracy,72,3.68,45,"1,224",2018,426
T171,T169,Tom Lovelady,87,3.70,54,"1,458",2018,426
T171,T169,Andrew Yun,51,3.70,30,810,2018,426
T171,T169,Brian Harman,94,3.70,60,"1,620",2018,426
174,173,Brendan Steele,74,3.73,45,"1,206",2018,426
175,175,Cameron Tringale,67,3.79,43,"1,134",2018,426
176,177,Sam Ryder,82,3.82,55,"1,440",2018,426
177,178,Kyle Thompson,50,3.86,32,828,2018,426
178,179,Corey Conners,97,3.88,65,"1,674",2018,426
179,180,Lucas Glover,65,3.92,43,"1,098",2018,426
180,181,Robert Garrigus,80,3.95,54,"1,368",2018,426
181,182,Scott Piercy,84,3.96,57,"1,440",2018,426
182,183,Louis Oosthuizen,62,4.01,39,972,2018,426
183,184,Tyler Duncan,97,4.06,68,"1,674",2018,426
184,185,Keith Mitchell,99,4.18,73,"1,746",2018,426
185,186,Chad Campbell,87,4.22,60,"1,422",2018,426
186,187,Kevin Chappell,77,4.28,57,"1,332",2018,426
187,188,Hudson Swafford,73,4.39,53,"1,206",2018,426
188,189,Jason Dufner,71,4.43,51,"1,152",2018,426
189,190,Xinjun Zhang,81,4.52,61,"1,350",2018,426
190,191,Adam Scott,78,4.56,64,"1,404",2018,426
191,192,Grayson Murray,72,4.63,60,"1,296",2018,426
192,193,Zecheng Dou,53,4.88,43,882,2018,426
193,194,Satoshi Kodaira,51,5.44,47,864,2018,426
