RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL),Year,Stat ID
1,1,Daniel Summerhays,51,1.48,12,810,2018,426
2,2,Greg Chalmers,56,1.50,14,936,2018,426
3,3,Kevin Kisner,89,1.78,25,"1,404",2018,426
T4,5,Webb Simpson,95,1.81,30,"1,656",2018,426
T4,4,Peter Malnati,87,1.81,27,"1,494",2018,426
6,6,Cameron Smith,85,1.92,27,"1,404",2018,426
7,7,Brian Stuard,103,2.00,35,"1,746",2018,426
8,8,Johnson Wagner,75,2.01,25,"1,242",2018,426
9,12,Dustin Johnson,77,2.03,27,"1,332",2018,426
10,9,Wesley Bryan,69,2.07,25,"1,206",2018,426
11,10,Nick Watney,94,2.10,34,"1,620",2018,426
12,11,Zac Blair,64,2.11,22,"1,044",2018,426
13,13,Andrew Landry,82,2.15,31,"1,440",2018,426
T14,T14,Kevin Streelman,94,2.17,36,"1,656",2018,426
T14,T14,Ian Poulter,73,2.17,25,"1,152",2018,426
16,17,Bill Haas,76,2.18,29,"1,332",2018,426
17,18,Hunter Mahan,67,2.20,25,"1,134",2018,426
18,T14,Jason Day,75,2.21,27,"1,224",2018,426
19,19,Zach Johnson,94,2.23,35,"1,566",2018,426
T20,T20,Jimmy Walker,81,2.24,31,"1,386",2018,426
T20,T20,Brandt Snedeker,84,2.24,33,"1,476",2018,426
T22,22,Sam Saunders,80,2.25,30,"1,332",2018,426
T22,27,Rickie Fowler,74,2.25,30,"1,332",2018,426
24,23,Ben Crane,65,2.26,24,"1,062",2018,426
T25,T24,Scott Brown,102,2.27,40,"1,764",2018,426
T25,T24,J.T. Poston,73,2.27,29,"1,278",2018,426
27,26,Henrik Stenson,60,2.28,23,"1,008",2018,426
28,28,Brian Gay,103,2.31,42,"1,818",2018,426
29,T33,Tony Finau,105,2.32,41,"1,764",2018,426
30,29,Alex Cejka,77,2.33,29,"1,242",2018,426
31,30,Ben Martin,64,2.34,27,"1,152",2018,426
T32,T31,Harris English,84,2.35,33,"1,404",2018,426
T32,T31,Troy Merritt,89,2.35,36,"1,530",2018,426
34,T33,Nate Lashley,51,2.36,20,846,2018,426
35,35,Denny McCarthy,71,2.38,27,"1,134",2018,426
T36,T36,Dominic Bozzelli,65,2.39,28,"1,170",2018,426
T36,T36,Tyrone Van Aswegen,101,2.39,40,"1,674",2018,426
T36,T50,Patrick Reed,94,2.39,37,"1,548",2018,426
T36,T36,Charles Howell III,104,2.39,43,"1,800",2018,426
T36,T44,Kevin Na,91,2.39,37,"1,548",2018,426
41,39,Kevin Tway,110,2.40,45,"1,872",2018,426
T42,T40,Alex Noren,67,2.41,26,"1,080",2018,426
T42,T40,Chesson Hadley,103,2.41,43,"1,782",2018,426
44,42,William McGirt,84,2.42,34,"1,404",2018,426
45,43,Jim Furyk,50,2.43,21,864,2018,426
46,T44,Cameron Percy,56,2.44,22,900,2018,426
T47,T47,Ricky Barnes,65,2.45,26,"1,062",2018,426
T47,T47,Ben Silverman,90,2.45,37,"1,512",2018,426
49,T44,Rory McIlroy,64,2.46,27,"1,098",2018,426
50,49,John Huh,94,2.47,40,"1,620",2018,426
T51,T50,Si Woo Kim,108,2.51,47,"1,872",2018,426
T51,T50,Beau Hossler,104,2.51,47,"1,872",2018,426
53,54,Chris Kirk,108,2.52,48,"1,908",2018,426
54,T55,Michael Kim,74,2.54,32,"1,260",2018,426
T55,57,Ollie Schniederjans,91,2.55,40,"1,566",2018,426
T55,T55,Phil Mickelson,90,2.55,40,"1,566",2018,426
T57,T58,Sean O'Hair,67,2.56,29,"1,134",2018,426
T57,T58,Ryan Moore,78,2.56,36,"1,404",2018,426
T57,T58,Mackenzie Hughes,80,2.56,35,"1,368",2018,426
T57,T58,David Lingmerth,82,2.56,36,"1,404",2018,426
61,63,Matt Kuchar,88,2.57,37,"1,440",2018,426
T62,T64,Pat Perez,82,2.59,35,"1,350",2018,426
T62,T64,Steve Wheatcroft,60,2.59,27,"1,044",2018,426
T62,T64,Scott Stallings,96,2.59,42,"1,620",2018,426
65,T70,Bubba Watson,90,2.60,37,"1,422",2018,426
66,72,Tiger Woods,68,2.61,32,"1,224",2018,426
T67,T58,Billy Horschel,86,2.64,39,"1,476",2018,426
T67,T74,Justin Thomas,91,2.64,39,"1,476",2018,426
T69,T67,C.T. Pan,104,2.66,47,"1,764",2018,426
T69,T67,Abraham Ancer,98,2.66,46,"1,728",2018,426
T69,T67,Trey Mullinax,75,2.66,33,"1,242",2018,426
72,T70,Tyrrell Hatton,58,2.67,26,972,2018,426
73,T50,Justin Rose,70,2.69,32,"1,188",2018,426
74,73,Daniel Berger,81,2.70,37,"1,368",2018,426
T75,T74,Aaron Baddeley,84,2.71,38,"1,404",2018,426
T75,T74,Jamie Lovemark,92,2.71,43,"1,584",2018,426
T75,T74,Seamus Power,86,2.71,38,"1,404",2018,426
T75,T74,Fabián Gómez,88,2.71,41,"1,512",2018,426
79,79,Emiliano Grillo,94,2.72,45,"1,656",2018,426
80,80,Cody Gribble,71,2.74,32,"1,170",2018,426
81,81,Adam Hadwin,92,2.75,44,"1,602",2018,426
T82,T82,Talor Gooch,78,2.78,36,"1,296",2018,426
T82,T82,Robert Streb,78,2.78,37,"1,332",2018,426
T84,T85,Patrick Rodgers,97,2.81,47,"1,674",2018,426
T84,T85,Stephan Jaeger,81,2.81,38,"1,350",2018,426
86,88,Jonas Blixt,67,2.82,31,"1,098",2018,426
T87,T82,Marc Leishman,93,2.84,46,"1,620",2018,426
T87,89,Danny Lee,88,2.84,44,"1,548",2018,426
T89,T90,Russell Henley,77,2.85,38,"1,332",2018,426
