RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,Year,Stat ID
1,1,Dustin Johnson,75,317.7,"45,109",142,2015,101
2,2,Bubba Watson,71,315.2,"40,351",128,2015,101
3,3,Jason Day,75,313.7,"45,166",144,2015,101
4,4,Adam Scott,51,311.6,"27,425",88,2015,101
5,5,J.B. Holmes,89,309.9,"47,731",154,2015,101
6,6,Charlie Beljan,76,309.8,"41,516",134,2015,101
7,7,Tony Finau,106,309.0,"64,897",210,2015,101
8,8,Brooks Koepka,84,308.2,"49,312",160,2015,101
9,9,Patrick Rodgers,57,307.7,"31,997",104,2015,101
10,10,Keegan Bradley,87,306.1,"48,362",158,2015,101
11,11,Jason Kokrak,88,305.6,"53,789",176,2015,101
12,12,Gary Woodland,81,305.5,"39,709",130,2015,101
13,13,Ryan Palmer,80,305.2,"43,955",144,2015,101
14,14,Justin Rose,69,303.5,"37,636",124,2015,101
15,15,Justin Thomas,106,303.2,"63,667",210,2015,101
16,16,Brendan Steele,88,302.9,"50,277",166,2015,101
17,T17,Charles Howell III,105,302.7,"62,968",208,2015,101
T18,19,Steven Bowditch,103,302.1,"59,213",196,2015,101
T18,T17,Daniel Berger,97,302.1,"58,001",192,2015,101
20,21,Robert Garrigus,70,301.7,"39,218",130,2015,101
21,20,Jimmy Walker,89,301.6,"48,854",162,2015,101
T22,T22,Phil Mickelson,70,300.5,"42,068",140,2015,101
T22,T22,Martin Laird,77,300.5,"45,672",152,2015,101
24,24,Charl Schwartzel,67,300.4,"32,438",108,2015,101
T25,T26,Lee Westwood,56,300.0,"26,404",88,2015,101
T25,T26,Sergio Garcia,59,300.0,"28,802",96,2015,101
27,28,Jhonattan Vegas,90,299.9,"48,585",162,2015,101
28,30,Ángel Cabrera,53,299.7,"31,763",106,2015,101
T29,29,Charley Hoffman,97,298.9,"55,596",186,2015,101
T29,31,Hudson Swafford,97,298.9,"56,192",188,2015,101
31,T32,Louis Oosthuizen,68,298.8,"35,261",118,2015,101
32,34,Graham DeLaet,65,298.7,"38,236",128,2015,101
T33,35,Carlos Ortiz,100,298.4,"54,309",182,2015,101
T33,T32,Harris English,105,298.4,"60,286",202,2015,101
35,36,Paul Casey,87,297.8,"46,450",156,2015,101
T36,T40,Russell Henley,87,297.1,"46,941",158,2015,101
T36,T38,Robert Streb,110,297.1,"65,357",220,2015,101
38,42,Lucas Glover,79,296.9,"46,911",158,2015,101
T39,43,Martin Flores,95,296.8,"53,430",180,2015,101
T39,T38,Rickie Fowler,76,296.8,"40,367",136,2015,101
41,T40,Scott Piercy,90,296.7,"53,410",180,2015,101
42,44,Will Wilcox,58,296.6,"29,064",98,2015,101
43,37,Henrik Stenson,63,296.4,"33,202",112,2015,101
44,45,Shawn Stefani,94,296.3,"55,704",188,2015,101
45,46,Morgan Hoffmann,85,296.1,"47,382",160,2015,101
46,47,Matt Jones,89,296.0,"45,585",154,2015,101
T47,T49,Andres Romero,69,295.3,"38,683",131,2015,101
T47,T49,Sean O'Hair,86,295.3,"50,792",172,2015,101
49,51,Alex Prugh,84,295.2,"46,642",158,2015,101
T50,T52,James Hahn,94,295.1,"52,523",178,2015,101
T50,T52,Hunter Mahan,88,295.1,"46,626",158,2015,101
T50,T52,Derek Ernst,75,295.1,"41,308",140,2015,101
53,T55,Billy Horschel,99,295.0,"51,924",176,2015,101
54,57,Jamie Donaldson,50,294.9,"25,363",86,2015,101
55,58,Marc Leishman,74,294.8,"35,962",122,2015,101
56,59,Davis Love III,51,294.7,"27,703",94,2015,101
T57,T55,Hideki Matsuyama,95,294.5,"48,885",166,2015,101
T57,60,Andres Gonzales,90,294.5,"50,069",170,2015,101
59,61,Max Homa,78,294.2,"42,957",146,2015,101
60,62,Aaron Baddeley,76,294.1,"42,941",146,2015,101
61,63,Nick Watney,91,294.0,"52,919",180,2015,101
T62,T64,Jim Herman,88,293.8,"51,121",174,2015,101
T62,T64,Greg Owen,58,293.8,"33,492",114,2015,101
64,67,Geoff Ogilvy,50,293.7,"27,608",94,2015,101
T65,T68,Stewart Cink,77,293.6,"42,869",146,2015,101
T65,T68,Roger Sloan,56,293.6,"29,946",102,2015,101
67,70,Kevin Chappell,86,293.5,"48,133",164,2015,101
68,71,Sam Saunders,83,293.2,"47,492",162,2015,101
69,T64,Patrick Reed,103,292.9,"53,893",184,2015,101
70,72,Seung-Yul Noh,65,292.7,"35,705",122,2015,101
71,73,Retief Goosen,81,292.6,"42,725",146,2015,101
T72,T74,J.J. Henry,94,292.3,"52,035",178,2015,101
T72,T74,Nick Taylor,91,292.3,"53,198",182,2015,101
T74,T76,Camilo Villegas,83,292.2,"48,512",166,2015,101
T74,T76,Tom Hoge,83,292.2,"45,576",156,2015,101
76,79,Boo Weekley,79,292.0,"43,223",148,2015,101
77,80,Byron Smith,59,291.9,"31,521",108,2015,101
T78,81,Scott Stallings,60,291.8,"30,351",104,2015,101
T78,T76,Jordan Spieth,91,291.8,"48,431",166,2015,101
80,82,Ernie Els,57,291.7,"30,925",106,2015,101
81,83,Carl Pettersson,106,291.6,"61,245",210,2015,101
T82,84,Bill Haas,89,290.7,"47,675",164,2015,101
T82,T85,Johnson Wagner,68,290.7,"38,958",134,2015,101
T82,T85,Chesson Hadley,101,290.7,"56,398",194,2015,101
85,87,Vijay Singh,78,290.6,"44,760",154,2015,101
86,T88,Padraig Harrington,60,290.5,"34,857",120,2015,101
87,90,Jason Gore,76,290.4,"41,522",143,2015,101
88,91,Scott Pinckney,88,290.3,"50,510",174,2015,101
89,92,John Senden,80,290.2,"38,303",132,2015,101
T90,T93,Cameron Percy,72,290.0,"40,016",138,2015,101
T90,T93,Rory Sabbatini,81,290.0,"44,074",152,2015,101
92,T88,Sangmoon Bae,98,289.8,"53,911",186,2015,101
T93,T95,Kevin Streelman,95,289.5,"48,052",166,2015,101
T93,T95,Oscar Fraustro,58,289.5,"30,691",106,2015,101
T93,T95,Bo Van Pelt,81,289.5,"45,159",156,2015,101
T93,T95,David Lingmerth,90,289.5,"49,223",170,2015,101
97,99,Webb Simpson,81,289.4,"45,146",156,2015,101
T98,T100,Michael Thompson,83,289.3,"46,280",160,2015,101
T98,T100,Gonzalo Fernandez-Castaño,81,289.3,"43,974",152,2015,101
100,T103,Ryo Ishikawa,90,289.2,"48,578",168,2015,101
T101,T105,Derek Fathauer,81,288.8,"43,903",152,2015,101
T101,T105,Michael Putnam,87,288.8,"46,210",160,2015,101
103,108,Blayne Barber,76,288.6,"42,718",148,2015,101
104,T100,Matt Kuchar,97,288.5,"53,658",186,2015,101
T105,110,Erik Compton,86,288.4,"49,020",170,2015,101
T105,T105,Brandt Snedeker,98,288.4,"51,920",180,2015,101
107,111,Steve Wheatcroft,87,288.3,"47,276",164,2015,101
