RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK,Year,Stat ID
24,25,Andrew Landry,53,"34' 1""","20,031.333",588,Under,2016,331
T25,T26,Lucas Glover,75,"34' 2""","40,692.083","1,192",1 Under,2016,331
T25,T26,Louis Oosthuizen,63,"34' 2""","25,654.667",751,Under,2016,331
T25,T26,Kyle Stanley,92,"34' 2""","48,226.500","1,410",Under,2016,331
28,T26,Kevin Na,96,"34' 3""","42,296.333","1,234",1 Under,2016,331
T29,T30,Boo Weekley,83,"34' 4""","43,301.000","1,262",Under,2016,331
T29,T30,Rod Pampling,54,"34' 4""","22,724.167",662,Under,2016,331
T29,T30,Hudson Swafford,104,"34' 4""","55,978.167","1,630",1 Under,2016,331
32,T44,Rory McIlroy,69,"34' 5""","29,209.667",849,1 Under,2016,331
T33,T33,Chris Kirk,90,"34' 6""","45,795.083","1,326",1 Under,2016,331
T33,T33,Colt Knost,90,"34' 6""","43,667.417","1,267",Under,2016,331
T33,T38,Roberto Castro,97,"34' 6""","54,358.000","1,575",1 Under,2016,331
T33,T33,Alex Cejka,71,"34' 6""","31,528.417",913,1 Under,2016,331
T33,T33,Jason Bohn,67,"34' 6""","36,221.417","1,051",Under,2016,331
T33,T33,Thomas Aiken,70,"34' 6""","29,538.750",857,Under,2016,331
T39,T38,K.J. Choi,73,"34' 7""","41,047.833","1,186",Under,2016,331
T39,T38,Ryan Palmer,86,"34' 7""","47,874.250","1,385",1 Under,2016,331
T39,T38,Zach Johnson,90,"34' 7""","45,141.583","1,305",1 Under,2016,331
T39,T38,Tyler Aldridge,83,"34' 7""","41,549.250","1,200",Under,2016,331
T43,T56,Kevin Chappell,93,"34' 8""","48,380.833","1,397",1 Under,2016,331
T43,43,Ken Duke,58,"34' 8""","29,634.167",855,Over,2016,331
T45,T44,Charley Hoffman,91,"34' 9""","43,932.750","1,265",Under,2016,331
T45,T44,Tyrone Van Aswegen,105,"34' 9""","54,492.917","1,568",Under,2016,331
T45,T44,Spencer Levin,104,"34' 9""","50,807.083","1,462",1 Under,2016,331
T45,T44,Abraham Ancer,51,"34' 9""","23,579.083",679,Over,2016,331
T49,T51,Jon Curran,99,"34' 10""","52,263.583","1,501",Under,2016,331
T49,T53,Emiliano Grillo,93,"34' 10""","45,420.250","1,303",1 Under,2016,331
T49,T51,Henrik Norlander,71,"34' 10""","32,879.833",945,Under,2016,331
T49,T44,Matt Kuchar,100,"34' 10""","47,982.833","1,378",1 Under,2016,331
T53,T53,Dicky Pride,55,"34' 11""","25,430.917",728,Under,2016,331
T53,T53,Blayne Barber,84,"34' 11""","46,210.583","1,322",Under,2016,331
T55,T56,Ben Martin,92,"35' 0""","49,791.333","1,423",1 Under,2016,331
T55,T56,Branden Grace,63,"35' 0""","26,239.500",749,Under,2016,331
T55,T56,Brett Stegmaier,87,"35' 0""","46,863.583","1,340",Under,2016,331
58,T69,Paul Casey,77,"35' 1""","35,699.333","1,017",1 Under,2016,331
T59,T61,Greg Owen,85,"35' 2""","43,266.667","1,231",Over,2016,331
T59,T61,Steve Stricker,53,"35' 2""","28,130.250",800,1 Under,2016,331
T59,T61,Jason Kokrak,89,"35' 2""","46,989.750","1,337",1 Under,2016,331
T62,T44,Kevin Kisner,97,"35' 3""","45,553.917","1,293",1 Under,2016,331
T62,60,Bubba Watson,72,"35' 3""","32,014.417",908,1 Under,2016,331
T62,T64,Luke Donald,81,"35' 3""","37,079.333","1,053",Under,2016,331
T62,T64,Will MacKenzie,84,"35' 3""","41,607.500","1,181",Over,2016,331
T62,T64,Justin Thomas,99,"35' 3""","47,144.583","1,336",Under,2016,331
T62,T64,John Huh,86,"35' 3""","49,499.583","1,404",Under,2016,331
T62,T64,Wes Roach,59,"35' 3""","27,066.333",767,Under,2016,331
T69,T69,Kelly Kraft,63,"35' 4""","28,203.000",798,Under,2016,331
T69,T69,Brooks Koepka,75,"35' 4""","37,819.750","1,070",1 Under,2016,331
T69,T79,Daniel Berger,92,"35' 4""","45,229.417","1,281",1 Under,2016,331
T72,T72,Robert Streb,87,"35' 5""","41,533.500","1,174",Under,2016,331
T72,T72,Rob Oppenheim,67,"35' 5""","32,320.083",912,Under,2016,331
T74,T74,D.H. Lee,61,"35' 6""","28,859.083",812,Over,2016,331
T74,T74,Kyle Reifers,115,"35' 6""","61,557.167","1,735",Under,2016,331
T74,T74,Chad Campbell,90,"35' 6""","50,943.833","1,434",1 Under,2016,331
T74,T88,Charl Schwartzel,73,"35' 6""","35,662.833","1,004",1 Under,2016,331
T74,T74,Chesson Hadley,81,"35' 6""","42,251.167","1,190",Over,2016,331
T74,T74,David Lingmerth,84,"35' 6""","38,096.750","1,073",Under,2016,331
T80,T79,Graeme McDowell,63,"35' 7""","28,504.667",802,Under,2016,331
T80,T79,Ricky Barnes,97,"35' 7""","50,979.917","1,433",1 Under,2016,331
T80,T79,Francesco Molinari,64,"35' 7""","36,446.333","1,024",Under,2016,331
T80,T79,Stuart Appleby,71,"35' 7""","42,136.167","1,184",Under,2016,331
T80,T79,Geoff Ogilvy,63,"35' 7""","31,818.750",895,Over,2016,331
T80,T79,Jim Herman,93,"35' 7""","44,996.750","1,265",Over,2016,331
T80,T79,Dawie van der Walt,72,"35' 7""","35,638.667","1,001",Under,2016,331
T80,T79,Kevin Streelman,82,"35' 7""","40,497.667","1,138",Under,2016,331
T88,T88,Graham DeLaet,70,"35' 8""","37,481.750","1,051",Under,2016,331
T88,T88,Brendan Steele,88,"35' 8""","43,954.250","1,232",Under,2016,331
T88,T88,Mark Wilson,66,"35' 8""","35,077.167",984,Over,2016,331
T88,T88,Jordan Spieth,80,"35' 8""","36,921.583","1,036",1 Under,2016,331
T88,T88,Cameron Smith,73,"35' 8""","29,336.417",822,Over,2016,331
T93,T95,Nick Taylor,83,"35' 9""","42,184.917","1,179",Under,2016,331
T93,T95,Andres Gonzales,80,"35' 9""","40,966.083","1,145",Under,2016,331
T93,T95,Rickie Fowler,80,"35' 9""","40,682.583","1,139",1 Under,2016,331
T93,T95,Martin Piller,59,"35' 9""","29,764.333",832,Under,2016,331
T97,T95,William McGirt,98,"35' 10""","56,514.333","1,578",1 Under,2016,331
T97,T101,Marc Leishman,89,"35' 10""","41,467.583","1,158",1 Under,2016,331
T97,T95,Brandt Snedeker,93,"35' 10""","47,868.000","1,337",1 Under,2016,331
T97,T101,Chris Stroud,82,"35' 10""","44,355.833","1,238",Under,2016,331
T97,T101,Sam Saunders,69,"35' 10""","32,557.167",908,Under,2016,331
T102,T104,Stewart Cink,61,"35' 11""","31,555.833",879,Under,2016,331
T102,T104,Shawn Stefani,91,"35' 11""","49,290.500","1,373",Under,2016,331
T102,T104,Michael Kim,100,"35' 11""","55,010.500","1,532",Under,2016,331
T105,T107,Harris English,97,"36' 0""","46,657.167","1,297",Under,2016,331
T105,T107,Luke Guthrie,57,"36' 0""","28,935.833",803,Under,2016,331
T105,T107,Bryce Molder,80,"36' 0""","42,993.417","1,194",1 Under,2016,331
T105,T107,Martin Laird,82,"36' 0""","45,501.250","1,264",Under,2016,331
T105,T123,Gary Woodland,95,"36' 0""","49,872.333","1,386",1 Under,2016,331
T105,T107,Danny Lee,93,"36' 0""","45,417.750","1,262",Under,2016,331
T105,T107,James Hahn,85,"36' 0""","44,823.417","1,245",Over,2016,331
T112,T113,Shane Lowry,57,"36' 1""","23,793.167",660,Under,2016,331
T112,T113,Adam Hadwin,93,"36' 1""","56,459.250","1,566",1 Under,2016,331
T112,T113,Scott Stallings,74,"36' 1""","40,412.917","1,121",Under,2016,331
T112,T113,Bill Haas,86,"36' 1""","41,355.833","1,146",Under,2016,331
T112,T113,George McNeill,51,"36' 1""","29,634.500",822,Over,2016,331
T112,T113,Patrick Reed,105,"36' 1""","50,282.167","1,394",1 Under,2016,331
T118,T119,Will Wilcox,67,"36' 2""","36,769.667","1,017",Under,2016,331
T118,T119,Mark Hubbard,101,"36' 2""","53,409.167","1,478",Under,2016,331
T118,T119,Freddie Jacobson,86,"36' 2""","46,171.500","1,276",Under,2016,331
T118,T119,Johnson Wagner,86,"36' 2""","49,187.500","1,360",1 Under,2016,331
T122,T123,Patton Kizzire,93,"36' 3""","48,525.583","1,340",Under,2016,331
T122,T123,Robert Allenby,51,"36' 3""","26,469.417",731,1 Over,2016,331
T122,T123,Phil Mickelson,75,"36' 3""","38,037.250","1,050",1 Under,2016,331
125,127,Smylie Kaufman,91,"36' 4""","46,547.583","1,281",1 Under,2016,331
T126,T128,Zac Blair,99,"36' 5""","52,601.750","1,445",Over,2016,331
T126,T128,Erik Compton,65,"36' 5""","33,154.167",910,Over,2016,331
T128,T131,Scott Piercy,87,"36' 6""","42,182.750","1,157",Under,2016,331
T128,T131,Camilo Villegas,83,"36' 6""","46,208.333","1,267",Over,2016,331
T128,T131,Derek Ernst,59,"36' 6""","27,945.750",765,Under,2016,331
T131,T134,Brian Harman,104,"36' 7""","59,708.083","1,632",1 Under,2016,331
T131,T134,Bronson Burgoon,83,"36' 7""","42,361.000","1,159",Under,2016,331
T131,T134,Troy Merritt,77,"36' 7""","42,356.417","1,157",Under,2016,331
T134,T137,Ben Crane,80,"36' 8""","43,048.583","1,174",Under,2016,331
T134,T137,Peter Malnati,85,"36' 8""","48,388.083","1,319",Over,2016,331
T136,T139,Harold Varner III,92,"36' 9""","52,144.083","1,419",Under,2016,331
T136,T139,Patrick Rodgers,89,"36' 9""","46,715.000","1,272",1 Under,2016,331
T136,T146,Sean O'Hair,89,"36' 9""","55,119.083","1,499",1 Under,2016,331
T136,T139,Seung-Yul Noh,85,"36' 9""","45,247.583","1,230",Under,2016,331
T140,T142,Scott Brown,88,"36' 10""","45,876.583","1,246",Under,2016,331
T140,T142,Rhein Gibson,58,"36' 10""","29,006.500",787,Over,2016,331
T140,T142,Brendon de Jonge,83,"36' 10""","42,553.250","1,154",Under,2016,331
T140,T142,Scott Pinckney,87,"36' 10""","46,713.167","1,268",Under,2016,331
T144,T146,Morgan Hoffmann,71,"36' 11""","38,658.250","1,048",Under,2016,331
T144,T150,Jimmy Walker,85,"36' 11""","46,654.667","1,264",1 Under,2016,331
T144,T146,Derek Fathauer,94,"36' 11""","50,023.417","1,355",Over,2016,331
T144,T146,Billy Horschel,73,"36' 11""","37,555.833","1,018",Under,2016,331
148,T150,John Senden,88,"37' 0""","52,104.417","1,409",Under,2016,331
T149,T152,Chad Collins,73,"37' 2""","42,445.000","1,142",Over,2016,331
T149,T152,Cameron Tringale,81,"37' 2""","46,498.750","1,251",Under,2016,331
151,154,Charles Howell III,91,"37' 3""","52,578.833","1,410",1 Under,2016,331
T152,155,Steve Marino,72,"37' 4""","36,990.833",991,Under,2016,331
T152,156,Si Woo Kim,113,"37' 4""","66,190.917","1,771",1 Under,2016,331
T154,T157,Steve Wheatcroft,85,"37' 6""","46,542.417","1,242",Under,2016,331
T154,T161,Jhonattan Vegas,97,"37' 6""","54,127.417","1,442",1 Under,2016,331
T154,T157,Anirban Lahiri,72,"37' 6""","32,080.250",855,Under,2016,331
T154,T157,Tony Finau,95,"37' 6""","51,727.083","1,380",Under,2016,331
T154,T157,Vijay Singh,72,"37' 6""","43,427.917","1,158",Under,2016,331
T159,T161,Matt Jones,83,"37' 8""","42,070.417","1,117",Over,2016,331
T159,T161,Luke List,79,"37' 8""","43,723.250","1,162",Under,2016,331
T161,T168,J.B. Holmes,77,"37' 9""","40,880.500","1,083",Under,2016,331
T161,T164,Fabián Gómez,82,"37' 9""","49,052.833","1,300",Under,2016,331
T161,T164,Whee Kim,82,"37' 9""","43,578.667","1,154",Under,2016,331
T164,T166,Andrew Loupe,75,"37' 10""","44,895.250","1,186",Under,2016,331
T164,T166,Aaron Baddeley,93,"37' 10""","50,450.500","1,333",1 Under,2016,331
T166,T172,Jason Day,76,"37' 11""","36,488.333",963,1 Under,2016,331
T166,T168,Carlos Ortiz,79,"37' 11""","41,314.500","1,089",Over,2016,331
T168,T170,Padraig Harrington,54,"38' 0""","29,708.333",782,Under,2016,331
T168,T170,Sergio Garcia,54,"38' 0""","20,960.083",551,Under,2016,331
T170,T172,Retief Goosen,55,"38' 1""","32,578.667",855,Under,2016,331
T170,T172,Justin Rose,65,"38' 1""","33,273.500",874,1 Under,2016,331
T170,T172,Sung Kang,89,"38' 1""","49,618.583","1,303",Under,2016,331
173,176,Hiroshi Iwata,85,"38' 2""","45,029.583","1,180",Over,2016,331
T174,T177,J.J. Henry,68,"38' 4""","41,997.917","1,095",Over,2016,331
T174,T177,Ángel Cabrera,62,"38' 4""","33,534.333",874,Over,2016,331
176,179,Ernie Els,66,"38' 5""","38,160.167",994,Under,2016,331
177,180,Jeff Overton,69,"38' 7""","40,090.917","1,038",Over,2016,331
178,181,Rory Sabbatini,57,"38' 8""","27,031.250",699,Over,2016,331
T179,T182,Jamie Lovemark,91,"38' 9""","57,400.917","1,482",1 Under,2016,331
T179,T182,Jonas Blixt,79,"38' 9""","46,535.167","1,201",Under,2016,331
181,184,Daniel Summerhays,99,"39' 0""","54,956.000","1,410",Under,2016,331
182,185,Scott Langley,65,"39' 8""","37,623.750",948,Under,2016,331
T183,T186,Hunter Mahan,61,"40' 0""","35,390.917",885,Over,2016,331
T183,T186,Brendon Todd,66,"40' 0""","38,258.000",957,1 Over,2016,331
185,188,Steven Bowditch,71,"41' 1""","40,037.500",974,1 Over,2016,331
