RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK,Year,Stat ID
1,T1,Adam Scott,79,"32' 5""","32,364.500",999,1 Under,2016,331
2,T1,David Hearn,95,"32' 7""","47,698.583","1,465",1 Under,2016,331
3,3,Jerry Kelly,76,"32' 10""","35,228.750","1,073",Under,2016,331
4,4,Vaughn Taylor,72,"32' 11""","39,394.750","1,197",Under,2016,331
T5,T5,Jason Gore,78,"33' 0""","35,440.333","1,073",Over,2016,331
T5,T5,Robert Garrigus,69,"33' 0""","32,228.417",976,1 Under,2016,331
T7,T7,Tim Wilkinson,72,"33' 1""","29,557.917",893,1 Under,2016,331
T7,T7,Jim Furyk,52,"33' 1""","26,178.000",791,Under,2016,331
T7,T7,Webb Simpson,70,"33' 1""","34,187.750","1,034",1 Under,2016,331
10,T10,Russell Knox,92,"33' 4""","38,802.667","1,164",1 Under,2016,331
11,T10,Dustin Johnson,87,"33' 5""","37,433.667","1,121",1 Under,2016,331
T12,T13,Michael Thompson,71,"33' 6""","32,147.083",960,Under,2016,331
T12,T13,Billy Hurley III,66,"33' 6""","35,237.833","1,051",Under,2016,331
T12,T13,Chez Reavie,90,"33' 6""","45,459.500","1,358",1 Under,2016,331
15,12,Hideki Matsuyama,76,"33' 7""","34,683.417","1,034",1 Under,2016,331
T16,T16,Keegan Bradley,82,"33' 8""","37,913.333","1,126",Under,2016,331
T16,T16,Brian Stuard,66,"33' 8""","36,044.917","1,071",Under,2016,331
T16,T23,Ryan Moore,86,"33' 8""","39,048.583","1,161",1 Under,2016,331
19,T18,Jason Dufner,105,"33' 9""","47,712.250","1,413",Under,2016,331
T20,T20,David Toms,62,"33' 10""","32,749.500",967,Under,2016,331
T20,T20,Russell Henley,76,"33' 10""","41,698.167","1,233",1 Under,2016,331
T20,T20,Tom Hoge,81,"33' 10""","37,994.417","1,123",Under,2016,331
23,T23,D.A. Points,55,"33' 11""","23,651.750",698,Under,2016,331
